endpoint	stratum	model_name	threshold	net_benefit	treat_all_net_benefit	treat_none_net_benefit	net_benefit_vs_treat_all	net_benefit_vs_treat_none	n_samples	prevalence
primary_recist	melanoma_core_high_evidence	APM	0.05	0.3342330184435448	0.3342330184435448	0.0	0.0	0.3342330184435448	117	0.36752136752136755
primary_recist	melanoma_core_high_evidence	APM	0.1	0.2991452991452992	0.2972459639126306	0.0	0.0018993352326686086	0.2991452991452992	117	0.36752136752136755
primary_recist	melanoma_core_high_evidence	APM	0.15	0.2564102564102564	0.2559074912016089	0.0	0.0005027652086475043	0.2564102564102564	117	0.36752136752136755
primary_recist	melanoma_core_high_evidence	APM	0.2	0.2222222222222222	0.20940170940170943	0.0	0.012820512820512775	0.2222222222222222	117	0.36752136752136755
primary_recist	melanoma_core_high_evidence	APM	0.25	0.1737891737891738	0.15669515669515674	0.0	0.01709401709401706	0.1737891737891738	117	0.36752136752136755
primary_recist	melanoma_core_high_evidence	APM	0.3	0.1355311355311355	0.09645909645909645	0.0	0.039072039072039044	0.1355311355311355	117	0.36752136752136755
primary_recist	melanoma_core_high_evidence	APM	0.35	0.0775805391190007	0.026955950032873155	0.0	0.05062458908612755	0.0775805391190007	117	0.36752136752136755
primary_recist	melanoma_core_high_evidence	APM	0.4	0.05982905982905978	-0.054131054131054124	0.0	0.1139601139601139	0.05982905982905978	117	0.36752136752136755
primary_recist	melanoma_core_high_evidence	APM	0.45	0.006216006216006265	-0.14996114996114984	0.0	0.1561771561771561	0.006216006216006265	117	0.36752136752136755
primary_recist	melanoma_core_high_evidence	APM	0.5	-0.02564102564102566	-0.2649572649572649	0.0	0.23931623931623924	-0.02564102564102566	117	0.36752136752136755
primary_recist	melanoma_core_high_evidence	APM	0.55	-0.04273504273504283	-0.40550807217473894	0.0	0.36277302943969614	-0.04273504273504283	117	0.36752136752136755
primary_recist	melanoma_core_high_evidence	APM	0.6	-0.05555555555555555	-0.581196581196581	0.0	0.5256410256410254	-0.05555555555555555	117	0.36752136752136755
primary_recist	melanoma_core_high_evidence	APM	0.65	-0.11599511599511603	-0.8070818070818071	0.0	0.6910866910866911	-0.11599511599511603	117	0.36752136752136755
primary_recist	melanoma_core_high_evidence	APM	0.7	-0.1367521367521367	-1.108262108262108	0.0	0.9715099715099713	-0.1367521367521367	117	0.36752136752136755
primary_recist	melanoma_core_high_evidence	APM	0.75	-0.09401709401709402	-1.5299145299145298	0.0	1.4358974358974357	-0.09401709401709402	117	0.36752136752136755
primary_recist	melanoma_core_high_evidence	APM	0.8	-0.07692307692307696	-2.1623931623931627	0.0	2.0854700854700856	-0.07692307692307696	117	0.36752136752136755
primary_recist	melanoma_core_high_evidence	APM	0.85	-0.09686609686609686	-3.216524216524216	0.0	3.1196581196581192	-0.09686609686609686	117	0.36752136752136755
