endpoint	selection_set	C	inner_mean_AUROC	inner_sd_AUROC	inner_mean_AUPRC	inner_mean_balanced_accuracy	inner_mean_ECE	selection_score
strict_recist	GSE91061,GSE78220,PRJEB23709_PD1_PRE	0.01	0.7010905189394893	0.08119172929787936	0.6561940759758738	0.6255425876564321	0.16355955226925786	0.7000475546317761
strict_recist	GSE91061,GSE78220,PRJEB23709_PD1_PRE	0.03	0.6751536030712231	0.0622311826241495	0.6224100234263066	0.620627865650749	0.19829245320957056	0.6764460382315656
strict_recist	GSE91061,GSE78220,PRJEB23709_PD1_PRE	0.1	0.6339594806414028	0.05460702387311684	0.5787164913389912	0.5988744331564697	0.19596670297480215	0.6361405094833971
strict_recist	GSE91061,GSE78220,PRJEB23709_PD1_PRE	0.3	0.5937996119060193	0.0618173829348824	0.5495798220785281	0.5951458390960679	0.2577943832729726	0.5814580460063619
strict_recist	GSE91061,GSE78220,PRJEB23709_PD1_PRE	1.0	0.5549765928198422	0.0980984207115156	0.5292765135415521	0.5075459342335772	0.24520034724531792	0.5209884527660432
strict_recist	GSE91061,GSE78220,PRJEB23709_PD1_PRE	3.0	0.5374849121130586	0.11434563791888595	0.5195069883265728	0.508733424279763	0.3210737240583829	0.48356305517517506
