AUROC	AUPRC	balanced_accuracy	accuracy	MCC	F1	sensitivity	specificity	PPV	NPV	Brier	ECE	calibration_slope	calibration_intercept	endpoint	stratum	cohort	model_name	C	threshold	n_samples	n_responders	n_nonresponders	train_cohorts	selection_boundary
0.5871794871794871	0.4125397430775005	0.5282051282051282	0.3673469387755102	0.0528687317334433	0.3404255319148936	0.8	0.2564102564102564	0.21621621621621623	0.8333333333333334	0.24802432292076818	0.31726285912991514	0.8762689511916053	-1.407143504233054	primary_recist	melanoma_core_high_evidence	GSE91061	EcoNiche-Opt-InteractionEdgeLogistic	0.01	0.4294507188225941	49	10	39	GSE78220,PRJEB23709_PD1_PRE	training_only_inner_lodo
0.6128205128205129	0.443052059052059	0.5064102564102564	0.5102040816326531	0.010336227882434037	0.29411764705882354	0.5	0.5128205128205128	0.20833333333333334	0.8	0.31423500343198435	0.33997949256796905	0.24712001488480964	-1.4350441545460417	primary_recist	melanoma_core_high_evidence	GSE91061	EcoNiche-Opt-ModulePriorComposite		0.43604919693064953	49	10	39	GSE78220,PRJEB23709_PD1_PRE	training_only_inner_lodo
0.6318681318681318	0.648545596008002	0.5879120879120879	0.5925925925925926	0.18192392764355278	0.6451612903225806	0.7142857142857143	0.46153846153846156	0.5882352941176471	0.6	0.24592837251944394	0.17588271175874534	0.5545258381361815	0.11353464440809602	primary_recist	melanoma_core_high_evidence	GSE78220	EcoNiche-Opt-InteractionEdgeLogistic	0.01	0.4171160669126035	27	14	13	GSE91061,PRJEB23709_PD1_PRE	training_only_inner_lodo
0.6483516483516484	0.6310725135349196	0.6263736263736264	0.6296296296296297	0.2570193398539127	0.6666666666666666	0.7142857142857143	0.5384615384615384	0.625	0.6363636363636364	0.2909107984360428	0.32640283009776705	0.13949154944492717	0.0771320292345374	primary_recist	melanoma_core_high_evidence	GSE78220	EcoNiche-Opt-ModulePriorComposite		0.40980104728815997	27	14	13	GSE91061,PRJEB23709_PD1_PRE	training_only_inner_lodo
0.8205741626794258	0.733993886690768	0.7464114832535884	0.7317073170731707	0.5281148598752876	0.7659574468085106	0.9473684210526315	0.5454545454545454	0.6428571428571429	0.9230769230769231	0.2152510584178566	0.15407059375604004	3.892000196043261	0.015012293255087938	primary_recist	melanoma_core_high_evidence	PRJEB23709_PD1_PRE	EcoNiche-Opt-InteractionEdgeLogistic	0.01	0.4554990516159532	41	19	22	GSE91061,GSE78220	training_only_inner_lodo
0.8755980861244019	0.8331876911765292	0.7212918660287082	0.7317073170731707	0.46541211876427413	0.6666666666666666	0.5789473684210527	0.8636363636363636	0.7857142857142857	0.7037037037037037	0.1463994372895915	0.2213819619490431	0.7739163054922703	-0.12331167315888543	primary_recist	melanoma_core_high_evidence	PRJEB23709_PD1_PRE	EcoNiche-Opt-ModulePriorComposite		0.7106589134139443	41	19	22	GSE91061,GSE78220	training_only_inner_lodo
0.5717948717948718	0.40234831427926054	0.5294871794871795	0.42857142857142855	0.0499339684647285	0.3333333333333333	0.7	0.358974358974359	0.21875	0.8235294117647058	0.24789234365831106	0.3167965339790944	0.9503427417584597	-1.4229651343425578	primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-InteractionEdgeLogistic	0.01	0.4537078756149405	49	10	39	GSE78220,GSE145996,PRJEB23709_PD1_PRE	training_only_inner_lodo
0.6128205128205129	0.443052059052059	0.5064102564102564	0.5102040816326531	0.010336227882434037	0.29411764705882354	0.5	0.5128205128205128	0.20833333333333334	0.8	0.31423500343198435	0.33997949256796905	0.24712001488480964	-1.4350441545460417	primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-ModulePriorComposite		0.4209547786696646	49	10	39	GSE78220,GSE145996,PRJEB23709_PD1_PRE	training_only_inner_lodo
0.6098901098901099	0.6470283302050219	0.5494505494505495	0.5555555555555556	0.10482848367219182	0.625	0.7142857142857143	0.38461538461538464	0.5555555555555556	0.5555555555555556	0.2519198383182547	0.12014360946953156	0.40717758972039486	0.08873719698852137	primary_recist	melanoma_recist_supported_primary	GSE78220	EcoNiche-Opt-InteractionEdgeLogistic	0.01	0.4233120719383442	27	14	13	GSE91061,GSE145996,PRJEB23709_PD1_PRE	training_only_inner_lodo
0.6483516483516484	0.6310725135349196	0.6263736263736264	0.6296296296296297	0.2570193398539127	0.6666666666666666	0.7142857142857143	0.5384615384615384	0.625	0.6363636363636364	0.2909107984360428	0.32640283009776705	0.13949154944492717	0.0771320292345374	primary_recist	melanoma_recist_supported_primary	GSE78220	EcoNiche-Opt-ModulePriorComposite		0.40980104728815997	27	14	13	GSE91061,GSE145996,PRJEB23709_PD1_PRE	training_only_inner_lodo
