endpoint	stratum	edge_model	baseline_model	n_samples	edge_AUROC	baseline_AUROC	delta_AUROC	edge_AUPRC	baseline_AUPRC	delta_AUPRC	edge_ECE	baseline_ECE	delta_ECE	edge_fold_AUROC_sd	baseline_fold_AUROC_sd	delta_fold_AUROC_sd	claim_level
primary_recist	melanoma_core_high_evidence	EcoNiche-Opt-InteractionEdgeLogistic	EcoNiche-Opt-ModulePriorComposite	117	0.6473915776241357	0.7049025769956003	-0.057510999371464644	0.4982077724874984	0.5584727461504684	-0.060264973662969956	0.12459767209321276	0.2348619118541941	-0.11026423976098135	0.10114901854875237	0.11640707219066235	-0.015258053641909977	interaction_edge_calibration_and_stability_tradeoff
primary_recist	melanoma_recist_supported_primary	EcoNiche-Opt-InteractionEdgeLogistic	EcoNiche-Opt-ModulePriorComposite	131	0.615686274509804	0.6845588235294118	-0.06887254901960782	0.5138209799680784	0.5804730202048082	-0.06665204023672977	0.1065833560780146	0.23858416431842683	-0.13200080824041222	0.11504146840834596	0.13051246343310557	-0.015470995024759612	interaction_edge_calibration_and_stability_tradeoff
