endpoint	stratum	holdout	C	inner_mean_AUROC	inner_sd_AUROC	inner_mean_AUPRC	inner_mean_balanced_accuracy	inner_mean_ECE	selection_score
primary_recist	melanoma_core_high_evidence	GSE91061	0.01	0.692241968557758	0.0493848257006152	0.6654053403733404	0.5707779063042221	0.08864687728421433	0.7160616864486964
primary_recist	melanoma_core_high_evidence	GSE91061	0.03	0.670710868079289	0.027853725222146297	0.6248493334244634	0.571468005678532	0.1419804897904525	0.6953027989547979
primary_recist	melanoma_core_high_evidence	GSE91061	0.1	0.6250328618749672	0.004153740995846256	0.5803396615021806	0.5408736000841264	0.19612716623472015	0.6495975795211514
primary_recist	melanoma_core_high_evidence	GSE91061	0.3	0.611612072138388	0.042234081707765936	0.595553950461774	0.5270256059729743	0.23532707820782287	0.6113249473750689
primary_recist	melanoma_core_high_evidence	GSE91061	1.0	0.568102949681897	0.041787160208212826	0.5682443958367205	0.49712129975287866	0.32818584555640684	0.5512497775238097
primary_recist	melanoma_core_high_evidence	GSE91061	3.0	0.5353593774646406	0.03057468846942535	0.5499172208128609	0.5120143014879857	0.3806231321477638	0.5160751395228057
primary_recist	melanoma_core_high_evidence	GSE78220	0.01	0.7319899398846768	0.1268617347564716	0.6063091616689846	0.678836952521163	0.22015168817688366	0.6997936249894158
primary_recist	melanoma_core_high_evidence	GSE78220	0.03	0.698582995951417	0.09089068825910929	0.5731212147374489	0.6320175438596491	0.2103957125044325	0.6818352328760523
primary_recist	melanoma_core_high_evidence	GSE78220	0.1	0.6278370752054963	0.025272972641393665	0.48249072259141634	0.5992914979757085	0.20079958487622965	0.6391697621817213
primary_recist	melanoma_core_high_evidence	GSE78220	0.3	0.5546865415286468	0.02904551588762111	0.4055837754430579	0.5466599190283401	0.27202102902187225	0.5469728139551253
primary_recist	melanoma_core_high_evidence	GSE78220	1.0	0.5111888111888112	0.03426573426573423	0.38249173851018126	0.4685498711814501	0.33890036928117157	0.48577296914834994
primary_recist	melanoma_core_high_evidence	GSE78220	3.0	0.4940130045393203	0.029910440436756253	0.3963921025965693	0.47657956079008706	0.3608018260039825	0.4685860935896776
primary_recist	melanoma_core_high_evidence	PRJEB23709_PD1_PRE	0.01	0.5172161172161172	0.0007326007326006745	0.4044019269426465	0.5108058608058608	0.1853873197545633	0.5348021082740576
primary_recist	melanoma_core_high_evidence	PRJEB23709_PD1_PRE	0.03	0.426007326007326	0.0688644688644689	0.3605882943776261	0.42600732600732605	0.21848930466544178	0.3981314768945229
primary_recist	melanoma_core_high_evidence	PRJEB23709_PD1_PRE	0.1	0.38699633699633695	0.0847985347985348	0.3487372310499349	0.41730769230769227	0.29558739142030854	0.3385612070519046
primary_recist	melanoma_core_high_evidence	PRJEB23709_PD1_PRE	3.0	0.3882783882783883	0.04761904761904767	0.38835020432324857	0.4021978021978022	0.4907477931494479	0.33038409582249983
primary_recist	melanoma_core_high_evidence	PRJEB23709_PD1_PRE	1.0	0.3706959706959707	0.0575091575091575	0.37010227204306534	0.36501831501831505	0.41770315319621654	0.3160419483150285
