endpoint	stratum	target_model	ablation_model	n_samples	target_AUROC	ablation_AUROC	delta_AUROC	target_AUPRC	ablation_AUPRC	delta_AUPRC	target_balanced_accuracy	ablation_balanced_accuracy	delta_balanced_accuracy	target_ECE	ablation_ECE	delta_ECE	fold_delta_AUROC_sd	mean_delta	ci_low	ci_high	p_value	fdr_q	claim_level
primary_recist	melanoma_core_high_evidence	EcoNiche-Opt-BioObjectivePanelSearch	EcoNiche-Opt-NoBioObjectivePanelSearch	117	0.6373350094280327	0.624764299182904	0.01257071024512868	0.46926722123144704	0.46044309125083016	0.00882412998061688	0.6315210559396606	0.6247642991829039	0.006756756756756688	0.15334996794451627	0.1518384457655264	0.0015115221789898658	0.04244190605273714	0.01246749477535517	-0.007095801158301168	0.031984605047434916	0.212	0.41700000000000004	point_estimate_biological_objective_gain
primary_recist	melanoma_recist_supported_primary	EcoNiche-Opt-BioObjectivePanelSearch	EcoNiche-Opt-NoBioObjectivePanelSearch	131	0.607107843137255	0.6178921568627451	-0.010784313725490158	0.49914082389319336	0.5063194561993007	-0.00717863230610738	0.6199754901960784	0.6003676470588235	0.019607843137254943	0.12860122077451713	0.13584420378278664	-0.007242983008269505	0.035752429276715215	-0.010982352381906252	-0.031378676470588236	0.008088485002151407	0.278	0.41700000000000004	biological_objective_calibration_or_threshold_tradeoff
strict_recist	strict_melanoma_pd1_like_external	EcoNiche-Opt-BioObjectivePanelSearch	EcoNiche-Opt-NoBioObjectivePanelSearch	116	0.5720238095238095	0.5785714285714285	-0.006547619047619024	0.6000201924512661	0.5944224652160154	0.00559772723525076	0.530952380952381	0.506547619047619	0.02440476190476193	0.10232469357062647	0.15193775515524707	-0.0496130615846206	0.050568181818181845	-0.007103672861596922	-0.05115501077675758	0.03393601190476189	0.734	0.734	biological_objective_calibration_or_threshold_tradeoff
