AUROC	AUPRC	balanced_accuracy	accuracy	MCC	F1	sensitivity	specificity	PPV	NPV	Brier	ECE	calibration_slope	calibration_intercept	endpoint	stratum	cohort	model_name	variant	calibration	threshold	train_cohorts	n_samples	n_responders	n_nonresponders
0.6128205128205129	0.443052059052059	0.5064102564102564	0.5102040816326531	0.010336227882434037	0.29411764705882354	0.5	0.5128205128205128	0.20833333333333334	0.8	0.31423500343198435	0.33997949256796905	0.24712001488480964	-1.4350441545460417	primary_recist	melanoma_core_high_evidence	GSE91061	EcoNiche-Opt-AlignedPanelNoCalibration	full	raw_sigmoid	0.43604919693064953	GSE78220,PRJEB23709_PD1_PRE	49	10	39
0.6128205128205129	0.443052059052059	0.5064102564102564	0.5102040816326531	0.010336227882434037	0.29411764705882354	0.5	0.5128205128205128	0.20833333333333334	0.8	0.2607956708959116	0.2994737822020228	0.5576001643891171	-1.4405139493938044	primary_recist	melanoma_core_high_evidence	GSE91061	EcoNiche-Opt-AlignedPanelCalibrated	full	training_only_platt	0.47410023793357814	GSE78220,PRJEB23709_PD1_PRE	49	10	39
0.6358974358974359	0.49278263387685994	0.5307692307692308	0.4897959183673469	0.04986383946711771	0.32432432432432434	0.6	0.46153846153846156	0.2222222222222222	0.8181818181818182	0.2579023397940457	0.3023678776269268	0.5988889782646731	-1.4303756012938769	primary_recist	melanoma_core_high_evidence	GSE91061	EcoNiche-Opt-NoResistanceModules	no_resistance_modules	training_only_platt	0.4427961467011636	GSE78220,PRJEB23709_PD1_PRE	49	10	39
0.46153846153846156	0.23036957901799912	0.5192307692307692	0.5306122448979592	0.03106049434950955	0.30303030303030304	0.5	0.5384615384615384	0.21739130434782608	0.8076923076923077	0.25960468480994436	0.2958326337152826	-0.2975627033615477	-1.3646624019355067	primary_recist	melanoma_core_high_evidence	GSE91061	EcoNiche-Opt-NoResponseModules	no_response_modules	training_only_platt	0.4962188791219044	GSE78220,PRJEB23709_PD1_PRE	49	10	39
0.6230769230769231	0.4729920055997642	0.532051282051282	0.5510204081632653	0.05194149944491429	0.3125	0.5	0.5641025641025641	0.22727272727272727	0.8148148148148148	0.2523714812724256	0.2954955155841649	0.705338948077139	-1.4129645891511702	primary_recist	melanoma_core_high_evidence	GSE91061	EcoNiche-Opt-UnsignedStateDirection	unsigned_state_direction	training_only_platt	0.5046879983729651	GSE78220,PRJEB23709_PD1_PRE	49	10	39
0.6128205128205129	0.4057073783445735	0.47948717948717945	0.40816326530612246	-0.03429814086339152	0.2926829268292683	0.6	0.358974358974359	0.1935483870967742	0.7777777777777778	0.2512539097985773	0.29517161330118236	0.7219218431620346	-1.4300046017065566	primary_recist	melanoma_core_high_evidence	GSE91061	IFNG_ModuleOnly	ifn_only	training_only_platt	0.42276036289612634	GSE78220,PRJEB23709_PD1_PRE	49	10	39
0.6307692307692307	0.462840673538348	0.5294871794871795	0.42857142857142855	0.0499339684647285	0.3333333333333333	0.7	0.358974358974359	0.21875	0.8235294117647058	0.25251848390952836	0.3013472132754895	0.7079195156725302	-1.4480092323246474	primary_recist	melanoma_core_high_evidence	GSE91061	ResponseModulesEqualWeight	response_modules_only_equal	training_only_platt	0.40527176291348316	GSE78220,PRJEB23709_PD1_PRE	49	10	39
0.6483516483516484	0.6310725135349196	0.6263736263736264	0.6296296296296297	0.2570193398539127	0.6666666666666666	0.7142857142857143	0.5384615384615384	0.625	0.6363636363636364	0.2909107984360428	0.32640283009776705	0.13949154944492717	0.0771320292345374	primary_recist	melanoma_core_high_evidence	GSE78220	EcoNiche-Opt-AlignedPanelNoCalibration	full	raw_sigmoid	0.40980104728815997	GSE91061,PRJEB23709_PD1_PRE	27	14	13
0.6483516483516484	0.6310725135349196	0.6263736263736264	0.6296296296296297	0.2570193398539127	0.6666666666666666	0.7142857142857143	0.5384615384615384	0.625	0.6363636363636364	0.2596603442220278	0.23312391292511558	0.3095838424957679	0.118817244764577	primary_recist	melanoma_core_high_evidence	GSE78220	EcoNiche-Opt-AlignedPanelCalibrated	full	training_only_platt	0.4257412706299257	GSE91061,PRJEB23709_PD1_PRE	27	14	13
0.5384615384615384	0.565984566545712	0.489010989010989	0.48148148148148145	-0.024049303512194094	0.36363636363636365	0.2857142857142857	0.6923076923076923	0.5	0.47368421052631576	0.2767877797369074	0.2048359724895884	0.0676076163607706	0.0823565765144721	primary_recist	melanoma_core_high_evidence	GSE78220	EcoNiche-Opt-NoResistanceModules	no_resistance_modules	training_only_platt	0.5799176557493726	GSE91061,PRJEB23709_PD1_PRE	27	14	13
