endpoint	stratum	target_model	ablation_model	n_samples	target_AUROC	ablation_AUROC	delta_AUROC	target_ECE	ablation_ECE	delta_ECE	mean_delta	ci_low	ci_high	p_value	fdr_q	claim_level
primary_recist	melanoma_core_high_evidence	EcoNiche-Opt-AlignedPanelNoCalibration	EcoNiche-Opt-NoResponseModules	117	0.7049025769956003	0.5537397862979259	0.15116279069767447	0.2348619118541941	0.1493290312817757	0.08553288057241842	0.15016379056580875	0.008796133619065453	0.29563244424855933	0.028	0.028	FDR_supported_component_gain
primary_recist	melanoma_core_high_evidence	EcoNiche-Opt-AlignedPanelNoCalibration	EcoNiche-Opt-UnsignedStateDirection	117	0.7049025769956003	0.5634820867379007	0.14142049025769965	0.2348619118541941	0.1661301695395132	0.0687317423146809	0.1416692710949993	0.0685341363833008	0.21065912513861076	0.0	0.0	FDR_supported_component_gain
primary_recist	melanoma_core_high_evidence	EcoNiche-Opt-AlignedPanelNoCalibration	IFNG_ModuleOnly	117	0.7049025769956003	0.5905091137649278	0.11439346323067257	0.2348619118541941	0.15128097602475243	0.08358093582944168	0.11452876378351629	0.05869556943684865	0.17490510441598597	0.0	0.0	FDR_supported_component_gain
primary_recist	melanoma_core_high_evidence	EcoNiche-Opt-AlignedPanelNoCalibration	EcoNiche-Opt-NoResistanceModules	117	0.7049025769956003	0.6115650534255186	0.09333752357008174	0.2348619118541941	0.13274954850322207	0.10211236335097204	0.09297652079953406	0.040604987262394726	0.1458996137205843	0.0	0.0	FDR_supported_component_gain
primary_recist	melanoma_core_high_evidence	EcoNiche-Opt-AlignedPanelNoCalibration	ResponseModulesEqualWeight	117	0.7049025769956003	0.615021998742929	0.08988057825267137	0.2348619118541941	0.15052838415576308	0.08433352769843103	0.08994494972049527	0.03683113767500639	0.14345325100515166	0.0	0.0	FDR_supported_component_gain
primary_recist	melanoma_core_high_evidence	EcoNiche-Opt-AlignedPanelNoCalibration	EcoNiche-Opt-AlignedPanelCalibrated	117	0.7049025769956003	0.6552482715273412	0.04965430546825911	0.2348619118541941	0.14865713902293257	0.08620477283126154	0.049003765087609626	0.019678981937602688	0.07991086791966949	0.002	0.0024000000000000002	calibration_improves_ECE_with_discrimination_tradeoff
primary_recist	melanoma_recist_supported_primary	EcoNiche-Opt-AlignedPanelNoCalibration	EcoNiche-Opt-NoResponseModules	131	0.6845588235294118	0.5387254901960784	0.14583333333333337	0.23858416431842683	0.12201872772394376	0.11656543659448307	0.14470755926913245	0.004012561875408552	0.2775249494067695	0.042	0.042	FDR_supported_component_gain
primary_recist	melanoma_recist_supported_primary	EcoNiche-Opt-AlignedPanelNoCalibration	EcoNiche-Opt-UnsignedStateDirection	131	0.6845588235294118	0.5571078431372548	0.12745098039215697	0.23858416431842683	0.10742285788507754	0.13116130643334928	0.12602989989699886	0.06200384786781856	0.19085763293310443	0.0	0.0	FDR_supported_component_gain
primary_recist	melanoma_recist_supported_primary	EcoNiche-Opt-AlignedPanelNoCalibration	IFNG_ModuleOnly	131	0.6845588235294118	0.5625	0.12205882352941178	0.23858416431842683	0.11208760731973418	0.12649655699869267	0.12000499225227589	0.06715427559912854	0.17157912148894386	0.0	0.0	FDR_supported_component_gain
primary_recist	melanoma_recist_supported_primary	EcoNiche-Opt-AlignedPanelNoCalibration	EcoNiche-Opt-NoResistanceModules	131	0.6845588235294118	0.5990196078431372	0.08553921568627454	0.23858416431842683	0.13225714660030596	0.10632701771812086	0.08452347885077927	0.043212429988528235	0.1272436466158002	0.0	0.0	FDR_supported_component_gain
primary_recist	melanoma_recist_supported_primary	EcoNiche-Opt-AlignedPanelNoCalibration	ResponseModulesEqualWeight	131	0.6845588235294118	0.6049019607843137	0.07965686274509809	0.23858416431842683	0.1136239412842009	0.12496022303422592	0.07894995759278456	0.03455772607550482	0.1237632014528299	0.002	0.0024000000000000002	FDR_supported_component_gain
primary_recist	melanoma_recist_supported_primary	EcoNiche-Opt-AlignedPanelNoCalibration	EcoNiche-Opt-AlignedPanelCalibrated	131	0.6845588235294118	0.6303921568627452	0.054166666666666585	0.23858416431842683	0.12076221874679825	0.11782194557162858	0.05427828446502271	0.02868370249949197	0.08431897759103645	0.0	0.0	calibration_improves_ECE_with_discrimination_tradeoff
