endpoint	stratum	model_name	variant	n_samples	n_cohorts	pooled_AUROC	pooled_AUPRC	pooled_balanced_accuracy	pooled_Brier	pooled_ECE
primary_recist	melanoma_core_high_evidence	EcoNiche-Opt-AlignedPanelNoCalibration	full	117	3	0.7049025769956003	0.5584727461504684	0.6315210559396606	0.250038321836014	0.2348619118541941
primary_recist	melanoma_core_high_evidence	EcoNiche-Opt-AlignedPanelCalibrated	full	117	3	0.6552482715273412	0.4877455053893849	0.6382778126964174	0.23934611047808996	0.14865713902293257
primary_recist	melanoma_core_high_evidence	ResponseModulesEqualWeight	response_modules_only_equal	117	3	0.615021998742929	0.46137645107719094	0.6266499057196732	0.2440179195390351	0.15052838415576308
primary_recist	melanoma_core_high_evidence	EcoNiche-Opt-NoResistanceModules	no_resistance_modules	117	3	0.6115650534255186	0.4581325206020156	0.6015084852294155	0.24790597946788512	0.13274954850322207
primary_recist	melanoma_core_high_evidence	IFNG_ModuleOnly	ifn_only	117	3	0.5905091137649278	0.4386012766972134	0.6063796354494029	0.2519659739194911	0.15128097602475243
primary_recist	melanoma_core_high_evidence	EcoNiche-Opt-UnsignedStateDirection	unsigned_state_direction	117	3	0.5634820867379007	0.42487388738951665	0.6112507856693903	0.25362631662187896	0.1661301695395132
primary_recist	melanoma_core_high_evidence	EcoNiche-Opt-NoResponseModules	no_response_modules	117	3	0.5537397862979259	0.48060130293662473	0.5647391577624136	0.24647386233612165	0.1493290312817757
primary_recist	melanoma_recist_supported_primary	EcoNiche-Opt-AlignedPanelNoCalibration	full	131	4	0.6845588235294118	0.5804730202048082	0.6128676470588235	0.2599313770648727	0.23858416431842683
primary_recist	melanoma_recist_supported_primary	EcoNiche-Opt-AlignedPanelCalibrated	full	131	4	0.6303921568627452	0.5174460482582935	0.6253676470588235	0.24013020200933854	0.12076221874679825
primary_recist	melanoma_recist_supported_primary	ResponseModulesEqualWeight	response_modules_only_equal	131	4	0.6049019607843137	0.48703242673202374	0.603063725490196	0.24374716380328057	0.1136239412842009
primary_recist	melanoma_recist_supported_primary	EcoNiche-Opt-NoResistanceModules	no_resistance_modules	131	4	0.5990196078431372	0.4806057156939248	0.5968137254901961	0.24704466546147574	0.13225714660030596
primary_recist	melanoma_recist_supported_primary	IFNG_ModuleOnly	ifn_only	131	4	0.5625	0.46488537581047634	0.5905637254901961	0.25148408741801437	0.11208760731973418
primary_recist	melanoma_recist_supported_primary	EcoNiche-Opt-UnsignedStateDirection	unsigned_state_direction	131	4	0.5571078431372548	0.44952054084283416	0.5941176470588235	0.25205740682254646	0.10742285788507754
primary_recist	melanoma_recist_supported_primary	EcoNiche-Opt-NoResponseModules	no_response_modules	131	4	0.5387254901960784	0.4001617623328694	0.584313725490196	0.2531429301944995	0.12201872772394376
