group_id	target_model	baseline_family	n_samples	n_signatures	target_AUROC	family_mean_AUROC	best_signature	best_signature_AUROC	delta_vs_family_mean	ci_low	ci_high	two_sided_p	two_sided_fdr_q	claim_level
strict_current_gse145996_phs000452	0.80*base+0.20*(0.65*pct__PLA2G2D+0.35*rz__PIK3CD)	eight_strong_signatures	116	8	0.6988095238095239	0.5666666666666667	CXCL9	0.5901785714285713	0.13233379354907163	0.044208484499118475	0.22708650091788826	0.003	0.009000000000000001	family_point_estimate_only
cbio_liu_dfci_only	0.80*base+0.20*(0.65*pct__PLA2G2D+0.35*rz__PIK3CD)	eight_strong_signatures	103	8	0.6717325227963525	0.5645896656534954	APM	0.5889057750759878	0.10744547942428553	-0.0004395937436759223	0.21978190061808706	0.051	0.051	family_point_estimate_only
strict_cbio_liu_plus_gse145996	0.80*base+0.20*(0.65*pct__PLA2G2D+0.35*rz__PIK3CD)	eight_strong_signatures	116	8	0.6855439642324889	0.5525335320417288	TIDE_dysfunction	0.5855439642324889	0.13393426378932724	0.027072768189885726	0.2361074472402597	0.016	0.024	family_point_estimate_only
