group_id	endpoint	candidate	n_samples	n_responders	n_nonresponders	AUROC	AUPRC	balanced_accuracy	accuracy	MCC	F1	sensitivity	specificity	PPV	NPV	Brier	ECE	calibration_slope	calibration_intercept
strict_current_gse145996_phs000452	strict_recist	0.80*base+0.20*(0.65*pct__PLA2G2D+0.35*rz__PIK3CD)	116	56	60	0.6988095238095239	0.7180288578516263	0.6202380952380953	0.6206896551724138	0.24047619047619048	0.6071428571428571	0.6071428571428571	0.6333333333333333	0.6071428571428571	0.6333333333333333	0.22223371494787678	0.07716176781305595	0.6954279412226522	0.23869103270094252
cbio_liu_dfci_only	strict_recist	0.80*base+0.20*(0.65*pct__PLA2G2D+0.35*rz__PIK3CD)	103	47	56	0.6717325227963525	0.6784603672493048	0.5917553191489362	0.5728155339805825	0.2011787618013932	0.6333333333333333	0.8085106382978723	0.375	0.5205479452054794	0.7	0.22313901134123437	0.05422270576029841	1.0279751010643137	-0.021253893730581945
strict_cbio_liu_plus_gse145996	strict_recist	0.80*base+0.20*(0.65*pct__PLA2G2D+0.35*rz__PIK3CD)	116	55	61	0.6855439642324889	0.7132371004324527	0.5958271236959762	0.5862068965517241	0.20532900517729413	0.6417910447761194	0.7818181818181819	0.4098360655737705	0.5443037974683544	0.6756756756756757	0.2181627797584106	0.03955685359335355	1.0199124644068813	0.07479868104894055
