endpoint	stratum	candidate	weight_base	component_method	component_gene	selection_boundary	n_samples	n_responders	n_nonresponders	AUROC	AUPRC	balanced_accuracy	accuracy	MCC	F1	sensitivity	specificity	PPV	NPV	Brier	ECE	calibration_slope	calibration_intercept
primary_recist	melanoma_core_high_evidence	0.65*base+0.35*z__SLC6A12	0.65	z	SLC6A12	selected_by_primary_lodo_only	117	43	74	0.8453802639849151	0.7527988068510428	0.7369578881206789	0.7777777777777778	0.5386752290617539	0.717391304347826	0.7674418604651163	0.7837837837837838	0.673469387755102	0.8529411764705882	0.16651394655238766	0.10508348290373923	1.4677366092117017	-0.423727534284751
primary_recist	melanoma_core_high_evidence	0.65*base+0.35*rz__SLC6A12	0.65	rz	SLC6A12	selected_by_primary_lodo_only	117	43	74	0.8412947831552483	0.7467893204708081	0.7253299811439347	0.7692307692307693	0.5240557836571896	0.7096774193548387	0.7674418604651163	0.7702702702702703	0.66	0.8507462686567164	0.1676581222959066	0.10177308176431361	1.431297403678389	-0.4595650515080651
primary_recist	melanoma_core_high_evidence	0.65*base+0.35*z__CYP21A1P	0.65	z	CYP21A1P	selected_by_primary_lodo_only	117	43	74	0.8350094280326839	0.758413639757835	0.7774984286612194	0.7521367521367521	0.44690434665927664	0.5671641791044776	0.4418604651162791	0.9324324324324325	0.7916666666666666	0.7419354838709677	0.16524092712474636	0.13215091886732563	1.4894025637672064	0.26442675652966735
primary_recist	melanoma_core_high_evidence	0.65*base+0.35*rz__SNORA65	0.65	rz	SNORA65	selected_by_primary_lodo_only	117	43	74	0.8334380892520428	0.7499327546688045	0.757228158390949	0.7692307692307693	0.5240557836571896	0.7096774193548387	0.7674418604651163	0.7702702702702703	0.66	0.8507462686567164	0.165258893853585	0.11480648170489291	1.2596919424247979	-0.2455405254432515
primary_recist	melanoma_core_high_evidence	0.35*base+0.65*z__MIR613	0.35	z	MIR613	selected_by_primary_lodo_only	117	43	74	0.8334380892520427	0.753912434397115	0.7437146448774355	0.7094017094017094	0.3509885473947301	0.39285714285714285	0.2558139534883721	0.972972972972973	0.8461538461538461	0.6923076923076923	0.17534450141245297	0.0984265526306986	1.4563003843952629	1.0009988810482064
primary_recist	melanoma_core_high_evidence	0.65*base+0.35*z__SNORA65	0.65	z	SNORA65	selected_by_primary_lodo_only	117	43	74	0.8324952859836581	0.7475805317533682	0.7474858579509742	0.7692307692307693	0.5115198337642796	0.6966292134831461	0.7209302325581395	0.7972972972972973	0.6739130434782609	0.8309859154929577	0.16595474596852006	0.08749999485840317	1.3200482924291597	-0.20148542592600355
primary_recist	melanoma_core_high_evidence	0.65*base+0.35*pct__SNORA65	0.65	pct	SNORA65	selected_by_primary_lodo_only	117	43	74	0.8321810182275299	0.7476225433654151	0.7745128849780012	0.7777777777777778	0.5325216154645881	0.7111111111111111	0.7441860465116279	0.7972972972972973	0.6808510638297872	0.8428571428571429	0.1659812829405515	0.09000684197718303	1.466943888580698	-0.24617927171990367
primary_recist	melanoma_core_high_evidence	0.65*base+0.35*pct__SCARF2	0.65	pct	SCARF2	selected_by_primary_lodo_only	117	43	74	0.8315524827152734	0.6823238283287891	0.7380578252671276	0.7521367521367521	0.44698321317950335	0.6133333333333333	0.5348837209302325	0.8783783783783784	0.71875	0.7647058823529411	0.16570159210879296	0.09725370615230047	0.2786989915520602	-0.4081172366722901
primary_recist	melanoma_core_high_evidence	0.80*base+0.20*rz__ARHGAP40	0.8	rz	ARHGAP40	selected_by_primary_lodo_only	117	43	74	0.8284098051539912	0.6863732565330334	0.7448145820238843	0.7692307692307693	0.4867528222608736	0.64	0.5581395348837209	0.8918918918918919	0.75	0.7764705882352941	0.17117643343936695	0.11364519196724907	0.567712067193308	-0.3088536045384971
primary_recist	melanoma_core_high_evidence	0.65*base+0.35*rz__CYP21A1P	0.65	rz	CYP21A1P	selected_by_primary_lodo_only	117	43	74	0.8280955373978629	0.7338031180546748	0.7185732243871779	0.7435897435897436	0.42586822801179874	0.5454545454545454	0.4186046511627907	0.9324324324324325	0.782608695652174	0.7340425531914894	0.1691693732806864	0.1388663896878238	1.3278751876523633	0.15963049129241771
