method	gene	primary_AUROC	primary_AUPRC	primary_balanced_accuracy
z	CYP21A1P	0.7408862350722816	0.5901111381851633	0.697517284726587
z	HSF5	0.7402576995600252	0.6097604381422406	0.7080452545568825
pct	PTTG2	0.7347580138277813	0.5709387779435913	0.669076052796983
z	SNORA65	0.7320867379006915	0.6416544847735155	0.5774670018856065
z	RP1	0.7313010685103708	0.636453648664763	0.7126021370207416
z	SLC6A12	0.7294154619736015	0.6268370502611664	0.6626335637963545
pct	HSF5	0.715744814582024	0.5617110001216685	0.7148020113136393
pct	SNORA65	0.7129164047768698	0.6175917586872284	0.5084852294154619
z	MIR613	0.7110307982401006	0.6028063672247527	0.5267127592708989
z	LINC00994	0.7107165304839723	0.5494644275964768	0.47093023255813954
pct	SLC6A12	0.7105593966059082	0.608833926621874	0.6539912005028284
pct	ZFP42	0.7094594594594595	0.5602315121811905	0.4795725958516657
pct	NLRP13	0.7091451917033312	0.5151963666592324	0.5952231301068511
z	NLRP13	0.7091451917033312	0.5151963666592324	0.5952231301068511
rz	IL36B	0.7086737900691389	0.5585699181315161	0.6037083595223129
z	CLEC17A	0.7077309868007542	0.597104506082507	0.6847894406033941
pct	GCH1	0.707416719044626	0.5835290601011869	0.6191074795725959
z	GCH1	0.7071024512884978	0.5723931988034354	0.6191074795725959
rz	FAM209B	0.7067881835323695	0.598749331740651	0.595065996228787
rz	WNT1	0.7066310496543055	0.6109699936914652	0.6228786926461345
rz	CYP21A1P	0.7063167818981771	0.5068521199269942	0.623664362036455
rz	EFCAB3	0.7055311125078567	0.601303349373917	0.5707102451288497
z	SIRPG	0.7055311125078567	0.5668669632224564	0.5875235700817096
pct	SNORD114-5	0.7055311125078566	0.512113956501112	0.6222501571338781
pct	CLEC17A	0.7049025769956003	0.5769009454556954	0.6847894406033941
z	SMPD2	0.7049025769956003	0.5686462885479722	0.6596480201131364
rz	MFAP2	0.7039597737272156	0.5655483677721123	0.6239786297925832
z	DTHD1	0.7038026398491515	0.561035731150856	0.5909805153991201
pct	UBD	0.7036455059710873	0.523681163546483	0.681803896920176
z	DPPA2P3	0.7031741043368951	0.5798971508964671	0.4923004399748586
rz	GCH1	0.7030169704588309	0.570241765334772	0.6172218730358265
rz	JAKMIP1	0.7023884349465745	0.5858546691363569	0.5582966687617851
z	WTAPP1	0.7023884349465744	0.5830926760306354	0.6319924575738529
z	MFAP2	0.7023884349465744	0.5645490805185236	0.5872093023255813
z	CELA3B	0.7019170333123821	0.49995540162299146	0.6877749842866122
z	GPR88	0.7014456316781899	0.5799051562812514	0.652105593966059
rz	NLRP7	0.7014456316781897	0.5378748464858409	0.5763670647391578
pct	CYP21A1P	0.7012884978001258	0.5774083768387898	0.6356065367693274
pct	SIRPG	0.7008170961659335	0.5589111908450994	0.5680389692017599
z	IL2	0.7005028284098052	0.5776790510102019	0.6569767441860466
z	FCRL3	0.7005028284098052	0.5611511059503913	0.6461345065996229
z	LHX5	0.7003456945317411	0.5115168376498662	0.47014456316781894
z	CCR9	0.7000314267756128	0.5400472458860761	0.5061282212445003
z	DCAF4L2	0.6997171590194845	0.6105516181102197	0.5865807668133249
z	PRKCQ	0.6995600251414205	0.5704134747374271	0.5785669390320554
rz	FDCSP	0.6989314896291641	0.5410915797754157	0.6561910747957259
pct	MFAP2	0.698931489629164	0.5398399739957378	0.5988372093023255
z	NLRP7	0.6986172218730359	0.5520990093627071	0.677561282212445
pct	MIR613	0.6984600879949717	0.5977728223421314	0.45663104965430545
rz	IKZF3	0.6983029541169076	0.5690248514892366	0.5493400377121307
pct	SPATA19	0.6981458202388435	0.5042170934571851	0.6821181646763042
rz	PLA2G2D	0.697517284726587	0.5872736227900504	0.6596480201131364
pct	DTHD1	0.6972030169704588	0.5700807492239535	0.63073538654934
rz	SLC6A12	0.6970458830923948	0.5703648419569672	0.6202074167190447
pct	TVP23A	0.6970458830923947	0.5720314466695059	0.6934318038969202
z	MAP4K1	0.6967316153362665	0.5807901122553956	0.6547768698931489
z	NHEG1	0.6967316153362665	0.5117000331958249	0.4333752357008171
pct	DCAF4L2	0.6965744814582024	0.6067393998665862	0.6027655562539284
rz	HSF5	0.6964173475801383	0.5027804987460115	0.6858893777498428
pct	NLRC3	0.6961030798240101	0.5891776379265606	0.5688246385920805
pct	LINC00381	0.6961030798240101	0.5429644713415124	0.6753614079195475
pct	MIR4777	0.6959459459459459	0.5067987567987567	0.607950974230044
rz	FBXO6	0.6957888120678818	0.6026301493079467	0.5898805782526713
rz	TMPRSS3	0.6957888120678818	0.5286982287074389	0.6115650534255186
z	CGB8	0.6956316781898176	0.49658754778784786	0.6877749842866122
pct	CGB8	0.6956316781898176	0.49658754778784786	0.6060653676932747
z	LINC00381	0.6954745443117536	0.5355447592706376	0.623664362036455
rz	DTHD1	0.6953174104336894	0.5572918199024453	0.6382778126964174
pct	JAKMIP1	0.6951602765556254	0.5719713244663456	0.5718101822752986
pct	PRKCQ	0.6951602765556253	0.5741952839403676	0.6250785669390321
rz	CD244	0.6950031426775612	0.5619766049832191	0.6150219987429291
pct	MAP4K1	0.6945317410433689	0.5857281519390208	0.6104651162790697
z	PLEK2	0.6945317410433689	0.560439361353799	0.6202074167190447
pct	IKZF3	0.6945317410433689	0.5491129018417185	0.5047140163419233
z	SCARNA14	0.6939032055311125	0.5319415834854427	0.46150219987429286
rz	MIR1262	0.6937460716530484	0.5356091140008901	0.5117850408548082
rz	BLK	0.6928032683846638	0.5687195078436758	0.6352922690131992
z	NLRC3	0.6926461345065996	0.5867207221657598	0.5230986800754243
z	JAKMIP1	0.6926461345065996	0.5570042523639397	0.5801382778126964
z	TMPRSS3	0.6924890006285355	0.5655306034988288	0.6191074795725959
pct	PNLIPRP1	0.6921747328724073	0.5170889575540738	0.6158076681332495
rz	CCR9	0.6921747328724072	0.5070453223019715	0.634820867379007
rz	SIRPG	0.6920175989943432	0.5529934462383737	0.5150848522941547
z	EFCAB3	0.6920175989943431	0.598398858988107	0.6503771213073538
pct	NLRP7	0.6920175989943431	0.5447003109381854	0.6202074167190447
pct	AGAP11	0.6918604651162791	0.5306304794372981	0.5509113764927718
pct	TAP1	0.691703331238215	0.49405157367206365	0.6258642363293526
rz	CD27	0.6913890634820867	0.5813679461687593	0.6277498428661219
z	FAM209B	0.6913890634820867	0.5606438615510401	0.6115650534255186
rz	ZNF672	0.6913890634820866	0.5477389977245659	0.6142363293526084
pct	WNT1	0.6912319296040227	0.5714296929263756	0.6593337523570082
z	CUX2	0.6912319296040226	0.5861226106960233	0.620678818353237
z	WNT1	0.6912319296040226	0.5642915608341617	0.6458202388434946
pct	FAM209B	0.6910747957259585	0.5606872630082684	0.5564110622250157
rz	IL12RB1	0.6910747957259584	0.5601134995340566	0.6715901948460088
pct	ICOS	0.6910747957259584	0.5355025232891699	0.6153362664990571
pct	LINC00658	0.6910747957259584	0.5154490435164052	0.5982086737900691
pct	MIR548H2	0.6910747957259584	0.5154490435164052	0.5982086737900691
rz	PIM2	0.6907605279698303	0.5732399566530026	0.6525769956002514
z	SLAMF7	0.6907605279698302	0.5943469479911097	0.45144563167818985
z	ICOS	0.6904462602137021	0.5531082461934373	0.6550911376492772
pct	SNRPD2P2	0.6901319924575738	0.5112147637258542	0.5787240729101194
pct	SLAMF7	0.6898177247014456	0.5979856208706001	0.5317410433689503
rz	ITK	0.6895034569453174	0.5465939394829783	0.5834380892520428
pct	LINC00609	0.6893463230672534	0.5462897160890152	0.6169076052796982
pct	EGFLAM-AS4	0.689189189189189	0.552839423345529	0.6323067253299811
z	NUGGC	0.6890320553111251	0.5892571508086041	0.4349465744814582
rz	PTTG2	0.6890320553111251	0.4887703697837176	0.36737900691389064
pct	SMPD2	0.688874921433061	0.5442729559451647	0.6217787554996858
z	BTN3A2	0.688874921433061	0.5282542167897659	0.6018227529855437
z	DNAJA1P5	0.688874921433061	0.5042708045432411	0.5903519798868636
z	AGAP11	0.6887177875549968	0.5046718958784737	0.6464487743557511
pct	KIR3DX1	0.6885606536769328	0.5514888986511544	0.676147077309868
rz	GFI1	0.6885606536769328	0.5315176752049164	0.5661533626649906
z	TVP23A	0.6885606536769326	0.5503615596908618	0.6566624764299183
z	DISP2	0.6885606536769326	0.5461637593002427	0.6450345694531741
pct	PLA2G2D	0.6884035197988686	0.5836535153211255	0.63073538654934
rz	FCRL2	0.6882463859208046	0.569124824500653	0.6582338152105593
rz	SMPD2	0.6882463859208044	0.5425427005926398	0.6345065996228787
rz	SNORA53	0.6880892520427404	0.5309609832558224	0.563953488372093
z	SPEM1	0.6880892520427404	0.49167276193844156	0.599308610936518
rz	MEIS3	0.6879321181646764	0.5372173665831935	0.6588623507228157
z	KLRB1	0.6879321181646764	0.5243413800943871	0.5861093651791326
pct	SPATA31D3	0.6879321181646764	0.5033184286747677	0.5952231301068511
z	C4B	0.6879321181646763	0.575296070906073	0.6044940289126335
z	IKZF3	0.6876178504085481	0.562538746933569	0.5872093023255813
pct	GFI1	0.6876178504085481	0.5313843509208827	0.5279698302954117
pct	CCDC28A	0.6873035826524199	0.52858056710829	0.6266499057196732
rz	MAP4K1	0.6869893148962917	0.5580604308246278	0.6239786297925832
z	IL21	0.6869893148962917	0.5502953169368058	0.6653048397234445
z	MIR580	0.6868321810182276	0.494998864812648	0.5180703959773727
rz	NLRC3	0.6868321810182274	0.5531526396307389	0.5290697674418605
pct	RFX5	0.686046511627907	0.5948040711414747	0.6082652419861723
pct	CD244	0.686046511627907	0.5542624495270181	0.6363922061596481
pct	IL12RB1	0.686046511627907	0.5413995515602346	0.6483343808925205
pct	DISP2	0.686046511627907	0.517752916381734	0.6015084852294155
pct	LCE2C	0.686046511627907	0.5153587642001893	0.5952231301068511
rz	DISP2	0.6860465116279069	0.5265198252084946	0.609365179132621
pct	TMPRSS3	0.6858893777498429	0.5247266952299	0.6096794468887492
pct	PLA2G4D	0.6857322438717788	0.581069366165984	0.5911376492771842
z	IRF1	0.6857322438717788	0.5684774046125352	0.5958516656191075
rz	CLEC17A	0.6857322438717788	0.5259570260761404	0.6450345694531741
rz	HLA-F	0.6857322438717788	0.4956537277317531	0.6367064739157763
rz	ITGB7	0.6854179761156506	0.6012763868313546	0.6758328095537398
z	P2RY10	0.6854179761156505	0.5524865601543405	0.6315210559396606
rz	PRKCQ	0.6854179761156505	0.5288232227637801	0.6288497800125707
rz	CCDC28A	0.6851037083595224	0.5472741442693392	0.6720615964802011
z	IL12RB1	0.6851037083595223	0.562173108443949	0.6561910747957259
rz	SAMD3	0.6851037083595223	0.5572027341610597	0.5417976115650535
pct	IRF1	0.6847894406033941	0.5559468759460671	0.634820867379007
rz	IRF1	0.6844751728472659	0.564705051993237	0.5909805153991201
pct	MACROD2-AS1	0.6844751728472659	0.5588406926639906	0.6222501571338781
pct	PLEK2	0.6844751728472658	0.5615292142131965	0.5947517284726587
pct	LCK	0.6841609050911376	0.5801390035281454	0.5279698302954117
z	FCRL5	0.6841609050911376	0.5710373450037093	0.6180075424261471
z	LINC00671	0.6840037712130735	0.5401674705554906	0.5017284726587052
pct	CLNK	0.6838466373350094	0.555279158369538	0.6082652419861723
z	CXCL13	0.6835323695788812	0.5754263059188578	0.5298554368321811
z	CD247	0.683218101822753	0.5587536576591069	0.6085795097423005
pct	IL21	0.683218101822753	0.5414226399098716	0.6653048397234445
rz	LAX1	0.683218101822753	0.5215790412222447	0.6769327467001887
pct	CD3E	0.6829038340666248	0.5616118989550339	0.5647391577624136
z	SLC5A7	0.6829038340666248	0.4981720968835195	0.5768384663733501
rz	ICOS	0.6829038340666247	0.551927556865751	0.5579824010056568
pct	LAP3	0.6829038340666247	0.5244041765881167	0.599308610936518
rz	IFIT5	0.6829038340666247	0.522446350547549	0.6077938403519799
rz	HELB	0.6822752985543683	0.58423526799586	0.6198931489629164
z	CD6	0.6822752985543683	0.568523968113714	0.6026084223758643
pct	CD6	0.6822752985543683	0.5582288696997466	0.6063796354494029
z	PLA2G2D	0.6821181646763043	0.5756477983375967	0.6007228158390949
pct	DMRTB1	0.6821181646763043	0.4990106460986493	0.5787240729101194
z	WNT7B	0.6821181646763042	0.5542104999413017	0.6172218730358265
z	GALNTL5	0.6821181646763042	0.49282509334317154	0.5963230672532998
rz	NELL2	0.6819610307982401	0.6061596192709022	0.5362979258328096
rz	C12orf42	0.6819610307982401	0.563349178816142	0.6363922061596481
rz	FAM120B	0.6819610307982401	0.5264131864550929	0.6198931489629164
z	TAP1	0.6819610307982401	0.48898767653551606	0.585323695788812
z	CLPS	0.6819610307982401	0.48813779346810837	0.5817096165933375
z	CYLC1	0.6819610307982401	0.48813779346810837	0.5817096165933375
z	TMPRSS11BNL	0.6819610307982401	0.48813779346810837	0.5817096165933375
rz	SNORA65	0.68196103079824	0.5862674822984736	0.5395977372721559
pct	HLA-F	0.68196103079824	0.4971755346067833	0.622093023255814
z	GP5	0.681803896920176	0.5538617217017494	0.6090509113764928
z	GPR174	0.6816467630421119	0.5754610302599186	0.5658390949088623
rz	GPR174	0.6816467630421119	0.557792080777806	0.5406976744186047
pct	PRR23A	0.6816467630421119	0.49883022911552566	0.424732872407291
z	LINC00658	0.6814896291640478	0.4986086265156032	0.6704902576995599
z	MIR548H2	0.6814896291640478	0.4986086265156032	0.6704902576995599
pct	P2RY10	0.6813324952859836	0.5399386026167475	0.5996228786926461
z	CACNG6	0.6811753614079195	0.515003108330406	0.5955373978629792
pct	UBASH3A	0.6807039597737272	0.5566361571817113	0.5260842237586424
rz	LCK	0.680389692017599	0.5843905935522876	0.5579824010056568
z	C12orf42	0.6803896920175989	0.5625283173000556	0.4907291011942175
pct	ANKRD55	0.6802325581395348	0.5580076964401517	0.5887806411062224
pct	C12orf42	0.6800754242614708	0.5465559736587822	0.6682903834066625
rz	TVP23A	0.6800754242614708	0.5363965113777176	0.6363922061596481
z	SCAF8	0.6800754242614708	0.5145698660477631	0.6558768070395977
rz	RFX5	0.6797611565053426	0.5971156048002214	0.5928661219358893
rz	UBASH3A	0.6797611565053425	0.5589418564532762	0.5571967316153363
rz	ELFN1	0.6797611565053425	0.55892864089894	0.6228786926461345
pct	PDCD1	0.6797611565053425	0.5041140920029177	0.6813324952859836
rz	TMEFF1	0.6796040226272785	0.574323088460092	0.6387492143306097
pct	CD8B	0.6796040226272784	0.5387211121309821	0.6018227529855437
pct	CD8A	0.6794468887492143	0.5464622760213715	0.6626335637963545
rz	ITGAL	0.6794468887492142	0.5591940159706986	0.6018227529855437
z	CD3E	0.6794468887492142	0.5557076434052306	0.5804525455688246
rz	CD8B	0.6792897548711502	0.5920153649993503	0.6656191074795725
z	CD27	0.6791326209930861	0.5553550700882376	0.5969516027655563
rz	ARHGAP40	0.6791326209930861	0.4986062489226144	0.640477686989315
pct	FAM120B	0.6788183532369579	0.5117400229258272	0.6499057196731616
pct	TNFAIP3	0.6785040854808297	0.6030145225424072	0.6282212445003142
rz	SLAMF7	0.6785040854808297	0.5503734242802896	0.5006285355122564
pct	BTN3A2	0.6785040854808297	0.5225103897151482	0.6269641734758014
pct	CD38	0.6785040854808296	0.5477856110344443	0.5542111879321181
z	SCML4	0.6785040854808296	0.5388770656881194	0.48632935260842236
z	MEIS3	0.6785040854808296	0.5270609842154738	0.6431489629164048
pct	TMEFF1	0.6781898177247014	0.5734030415264746	0.6436203645505971
z	UBD	0.6781898177247014	0.5262663353310989	0.5612822124450032
pct	MEIS3	0.6781898177247014	0.5141655762146743	0.6528912633563797
rz	CXCL13	0.6780326838466373	0.5675261109053982	0.5666247642991828
z	LCK	0.6778755499685732	0.5806768536858573	0.5425832809553739
z	CCDC28A	0.6778755499685732	0.5510813643797381	0.6071653048397234
z	BSX	0.6777184160905091	0.4788982296249738	0.45883092394720304
z	KCNA5	0.677561282212445	0.5395041334792551	0.5801382778126964
pct	LAX1	0.6775612822124449	0.5470127989029394	0.6228786926461345
z	LAX1	0.6775612822124449	0.5444839017736723	0.5744814582023885
rz	LAP3	0.6775612822124449	0.5437670968395649	0.6041797611565053
pct	EFCAB3	0.6772470144563169	0.57815192679759	0.5293840351979886
pct	PIM2	0.6772470144563169	0.5677435341345435	0.6469201759899434
rz	CD79A	0.6772470144563169	0.5518607983255889	0.5677247014456317
pct	PPP1R16B	0.6772470144563167	0.5591029597272282	0.506913890634821
pct	OR52E2	0.6772470144563167	0.48858360571650733	0.5768384663733501
rz	THEMIS	0.6769327467001885	0.54657795742312	0.5084852294154619
pct	IL36B	0.6769327467001885	0.5156658423943354	0.6134506599622879
pct	CD247	0.6769327467001884	0.55243352407805	0.5707102451288497
pct	LCE3D	0.6767756128221245	0.5142643500533388	0.6000942803268384
pct	IL2RB	0.6766184789440604	0.5361444726499287	0.49308610936517916
rz	MTMR1	0.6766184789440602	0.5641424284526378	0.4833438089252043
pct	SAMD3	0.6766184789440602	0.5444887801669651	0.5845380263984915
rz	PPP1R16B	0.6763042111879322	0.5612301072167376	0.5271841609050911
z	TNFAIP3	0.676304211187932	0.6002262801317904	0.51147077309868
pct	GPR174	0.676304211187932	0.5877726689160784	0.6458202388434946
z	UBASH3A	0.676304211187932	0.5742811118415387	0.5260842237586424
pct	NELL2	0.676304211187932	0.558840992332867	0.5260842237586424
pct	FBXO6	0.676304211187932	0.5376502691216772	0.6780326838466373
rz	CD8A	0.6761470773098681	0.5517024520442169	0.5928661219358893
z	SYNRG	0.6759899434318039	0.59066736067261	0.538497800125707
z	BLK	0.6759899434318039	0.5741250129638221	0.6071653048397234
pct	GBP5	0.6759899434318039	0.5338592248775227	0.5230986800754243
pct	LAG3	0.6759899434318039	0.5233212827772071	0.5336266499057197
z	FAM120B	0.6759899434318039	0.5196014072722205	0.605279698302954
rz	CLNK	0.6759899434318037	0.5111398323928456	0.5996228786926461
z	LINC01346	0.6758328095537398	0.4839625898377429	0.5817096165933375
z	CD244	0.6756756756756758	0.5609524139871689	0.5463544940289127
rz	PSME1	0.6756756756756757	0.5346554859603447	0.6409490886235072
rz	CA12	0.6756756756756757	0.5116450476702639	0.6577624135763671
rz	TAP1	0.6756756756756757	0.4901476017476303	0.6007228158390949
pct	DNM1	0.6756756756756757	0.4826765300142257	0.5669390320553112
pct	PHGR1	0.6755185417976117	0.5177402641835069	0.43824638592080456
pct	CUX2	0.6755185417976116	0.5528400852058188	0.5655248271527341
z	MS4A1	0.6753614079195475	0.5557213120238855	0.5947517284726587
pct	FCRL3	0.6753614079195475	0.5406495830922008	0.6055939660590823
z	DNM1	0.6753614079195475	0.5151865188505124	0.5620678818353237
pct	IFIT5	0.6753614079195475	0.5064107755356655	0.6213073538654934
pct	RASGRP1	0.6750471401634193	0.5724858833601115	0.5582966687617851
pct	THEMIS	0.6750471401634193	0.5577618749443756	0.5609679446888749
z	ITGB7	0.6750471401634192	0.5828223792282492	0.6612193588937776
pct	BLK	0.6750471401634192	0.5343876232477469	0.6150219987429291
pct	LCE1F	0.6747328724072911	0.4944929032733475	0.5020427404148334
z	CD83	0.674732872407291	0.5779971247840924	0.5546825895663106
z	TBX21	0.674732872407291	0.553124265612994	0.5785669390320554
pct	TBX21	0.674732872407291	0.5353531036338948	0.5507542426147077
rz	IFNG	0.674732872407291	0.5170889318504451	0.6044940289126335
pct	ZBED2	0.6744186046511629	0.5447486692079162	0.5201131363922061
z	WFDC11	0.6744186046511628	0.4842301749911234	0.4558453802639849
rz	NUGGC	0.6742614707730987	0.541234668253075	0.4960716530483972
rz	CXCR2P1	0.6742614707730986	0.5961181104349214	0.6071653048397234
rz	BTLA	0.6742614707730986	0.5377805337169594	0.5455688246385921
z	CETP	0.6741043368950346	0.6210569782583653	0.5430546825895664
rz	SCML4	0.6741043368950346	0.5554102139467042	0.6063796354494029
rz	ARID1B	0.6741043368950346	0.5173161087856891	0.6142363293526084
z	CD8A	0.6741043368950345	0.5408146157765209	0.6539912005028284
pct	LINC00474	0.6739472030169704	0.4923258406574888	0.5865807668133249
pct	MIR1227	0.6739472030169704	0.4923258406574888	0.5865807668133249
pct	MIR3147	0.6739472030169704	0.4923258406574888	0.5865807668133249
pct	MIR3646	0.6739472030169704	0.4923258406574888	0.5865807668133249
pct	MIR3649	0.6739472030169704	0.4923258406574888	0.5865807668133249
pct	MIR3925	0.6739472030169704	0.4923258406574888	0.5865807668133249
pct	MIR3926-1	0.6739472030169704	0.4923258406574888	0.5865807668133249
pct	MIR4311	0.6739472030169704	0.4923258406574888	0.5865807668133249
pct	MIR4491	0.6739472030169704	0.4923258406574888	0.5865807668133249
pct	MIR4540	0.6739472030169704	0.4923258406574888	0.5865807668133249
pct	MIR4679-2	0.6739472030169704	0.4923258406574888	0.5865807668133249
pct	MIR4710	0.6739472030169704	0.4923258406574888	0.5865807668133249
pct	MIR5092	0.6739472030169704	0.4923258406574888	0.5865807668133249
pct	MIR670	0.6739472030169704	0.4923258406574888	0.5865807668133249
pct	MIR676	0.6739472030169704	0.4923258406574888	0.5865807668133249
pct	PCAT4	0.6739472030169704	0.4923258406574888	0.5865807668133249
pct	SNORD115-13	0.6739472030169704	0.4923258406574888	0.5865807668133249
pct	SNORD115-47	0.6739472030169704	0.4923258406574888	0.5865807668133249
pct	SPATA8-AS1	0.6739472030169704	0.4923258406574888	0.5865807668133249
z	RFX5	0.6737900691389064	0.5912539164685473	0.5763670647391578
pct	NMU	0.6737900691389064	0.5704602371440088	0.6566624764299183
rz	RASGRP1	0.6737900691389064	0.5657784111921749	0.5166561910747958
z	CLNK	0.6737900691389064	0.54774223240593	0.6123507228158391
pct	IL37	0.6737900691389064	0.5256356266582489	0.5534255185417976
z	MIR623	0.6737900691389064	0.46932551719404825	0.6150219987429291
rz	MMP28	0.6737900691389063	0.5919402467335251	0.6623192960402262
pct	GVINP1	0.6737900691389063	0.5451907884013186	0.619421747328724
pct	KCNA5	0.6737900691389063	0.5253353003281885	0.5512256442489001
pct	TEX26	0.6737900691389063	0.5219767401771752	0.5388120678818353
rz	NMU	0.6736329352608422	0.596201688344231	0.5725958516656191
pct	NUGGC	0.6736329352608422	0.5885675852549737	0.48632935260842236
rz	MS4A1	0.6736329352608422	0.5360454201500027	0.6393777498428661
z	CEACAM3	0.6734758013827782	0.4864209194771062	0.6791326209930861
rz	IDO1	0.6734758013827781	0.5279194287658735	0.6580766813324953
pct	SPANXN4	0.673318667504714	0.48512029471331797	0.43636077938403517
rz	NCR3LG1	0.67316153362665	0.5400372106265705	0.6360779384035198
pct	TTTY18	0.67316153362665	0.498713504527458	0.5895663104965431
pct	CD83	0.6731615336266499	0.5915815092524274	0.5944374607165305
pct	HELB	0.6731615336266499	0.5626224184349613	0.6015084852294155
pct	FCRL5	0.6731615336266499	0.562494768221889	0.5755813953488372
rz	IST1	0.6731615336266499	0.560775420680566	0.6120364550597108
rz	CD247	0.6731615336266499	0.5530434401815971	0.595065996228787
rz	DIAPH1	0.6731615336266499	0.5345604380220117	0.6428346951602766
pct	ITK	0.6731615336266499	0.5062216984805051	0.5331552482715274
z	KRTAP8-1	0.6731615336266499	0.49601725793586254	0.5963230672532998
pct	DPPA2P3	0.6730043997485858	0.5546726691723386	0.457416719044626
rz	CUX2	0.6730043997485858	0.5318803826388673	0.6626335637963545
pct	SPRR2E	0.6730043997485858	0.5214021809153104	0.5065996228786926
rz	PDCD1	0.6728472658705218	0.5306331305661095	0.6445631678189818
pct	ITGB7	0.6728472658705217	0.556318310220828	0.6642049025769956
pct	SCARF2	0.6728472658705217	0.548283650794625	0.5955373978629792
pct	LCE3C	0.6728472658705217	0.48109689657691335	0.599308610936518
pct	MIR503HG	0.6726901319924575	0.5286738568744146	0.6637335009428033
z	HBS1L	0.6725329981143936	0.5431176900836358	0.6461345065996229
z	NELL2	0.6725329981143935	0.5956562862464483	0.5276555625392835
rz	CD6	0.6725329981143935	0.5782069693146723	0.6258642363293526
z	ANKRD26P1	0.6725329981143935	0.53582273895298	0.6120364550597108
pct	KLRB1	0.6725329981143935	0.5040742677574136	0.6539912005028284
z	FXYD4	0.6725329981143935	0.49652059955655936	0.5982086737900691
rz	IL4I1	0.6722187303582653	0.5644094590939994	0.5084852294154619
rz	TNFAIP3	0.6722187303582652	0.594163798555452	0.5047140163419233
rz	SYNRG	0.6722187303582652	0.5818927050796325	0.6385920804525456
rz	FCRL5	0.6722187303582652	0.5346828085535589	0.5212130735386549
z	ITK	0.6722187303582652	0.5278795554962786	0.5631678189817725
z	STATH	0.6722187303582652	0.48719531827122586	0.6517913262099309
rz	ANKRD55	0.6720615964802011	0.5643686874196225	0.6120364550597108
pct	ADARB2-AS1	0.6720615964802011	0.4855285882987662	0.6011942174732873
pct	FCRL2	0.671904462602137	0.5492020374842673	0.5944374607165305
z	GFI1	0.671904462602137	0.5311155436299594	0.5650534255185418
rz	P2RY10	0.671904462602137	0.5245541151233248	0.6142363293526084
pct	MIR580	0.671904462602137	0.49317614295077095	0.5113136392206159
pct	EPB41	0.6715901948460089	0.5505583411053137	0.5801382778126964
pct	HBS1L	0.6715901948460089	0.5479609845669112	0.6161219358893777
pct	DNTT	0.6715901948460088	0.5754016023225881	0.6011942174732873
pct	ERAP1	0.6715901948460088	0.5170869062010437	0.595065996228787
z	ARID1B	0.6715901948460088	0.4979572940628838	0.6431489629164048
pct	OR14C36	0.6715901948460088	0.47782262057424085	0.5289126335637964
pct	KRT85	0.6714330609679446	0.5063166014505036	0.6147077309868008
z	TMC8	0.6712759270898806	0.5577096037649102	0.5688246385920805
z	ERAP1	0.6712759270898806	0.5300704853182405	0.6532055311125078
z	MIR1301	0.6712759270898806	0.5204956677148366	0.5064424890006286
z	LAP3	0.6712759270898806	0.5181146658441109	0.6158076681332495
z	IFIT5	0.6712759270898806	0.5165800631732876	0.6096794468887492
z	HLA-F	0.6712759270898806	0.48613003140555755	0.6037083595223129
z	OR14C36	0.6712759270898806	0.47774360666779336	0.676147077309868
pct	NUB1	0.6712759270898805	0.5479564371696033	0.5857950974230044
z	CD8B	0.6711187932118164	0.5371456997095337	0.6074795725958517
pct	POM121L8P	0.6711187932118163	0.5369749631312958	0.5421118793211817
z	TMEFF1	0.6709616593337524	0.578185886045191	0.5843808925204274
z	PPP1R16B	0.6709616593337524	0.5708063320073389	0.506913890634821
pct	ITGAL	0.6709616593337524	0.5638905198029899	0.6037083595223129
pct	ADAM18	0.6709616593337524	0.4873361775503845	0.4596165933375236
rz	PSMA8	0.6708045254556882	0.49481766601630967	0.5928661219358893
z	OR2A12	0.6708045254556881	0.5188559287132075	0.5229415461973601
pct	CCSAP	0.6706473915776242	0.5665202321463294	0.650691389063482
z	PDCD1	0.6706473915776241	0.5152030655719883	0.634820867379007
z	ADAM18	0.6706473915776241	0.487258549852822	0.4596165933375236
pct	GP5	0.67049025769956	0.5491069842755067	0.5955373978629792
rz	FAM27C	0.6704902576995599	0.5777836807339035	0.5795097423004401
rz	BHLHE40-AS1	0.6704902576995599	0.5613878585100256	0.5538969201759899
pct	STAT4	0.670333123821496	0.519718792365091	0.5366121935889377
rz	CLECL1	0.6703331238214959	0.5218259217638608	0.6483343808925205
pct	BTLA	0.6701759899434319	0.5153759587659323	0.576681332495286
rz	CCSAP	0.6700188560653677	0.5755078687709247	0.6150219987429291
rz	ERICH4	0.6700188560653677	0.5533563903732599	0.6466059082338151
pct	SCAF8	0.6700188560653677	0.5241811550761397	0.5909805153991201
pct	IFNA8	0.6700188560653677	0.5004003748189795	0.5914519170333123
z	IFNA8	0.6700188560653677	0.5004003748189795	0.5914519170333123
rz	PSMB8	0.6700188560653677	0.49725053103166683	0.6074795725958517
z	MIR4642	0.6700188560653677	0.4939418190948179	0.5925518541797612
pct	RTP4	0.6700188560653677	0.4874582693808328	0.6239786297925832
z	FCRL2	0.6700188560653676	0.552543871009316	0.5347265870521685
z	SOX11	0.6698617221873036	0.5719601214632307	0.5861093651791326
