context_id	context_type	source_context	endpoint	model_name	bin	prob_low	prob_high	n	prob_mean	event_rate
locked_external|clinical_benefit|locked_external_melanoma_pd1_recist	standard_context	locked_external	clinical_benefit	EcoNiche-Opt-HeuristicEcology-LockedPanel	6.0	0.6000000000000001	0.7000000000000001	1.0	0.6792502149380215	1.0
locked_external|clinical_benefit|locked_external_melanoma_pd1_recist	standard_context	locked_external	clinical_benefit	EcoNiche-Opt-HeuristicEcology-LockedPanel	7.0	0.7000000000000001	0.8	0.0		
locked_external|clinical_benefit|locked_external_melanoma_pd1_recist	standard_context	locked_external	clinical_benefit	EcoNiche-Opt-HeuristicEcology-LockedPanel	8.0	0.8	0.9	1.0	0.8219676109368775	1.0
locked_external|clinical_benefit|locked_external_melanoma_pd1_recist	standard_context	locked_external	clinical_benefit	EcoNiche-Opt-HeuristicEcology-LockedPanel	9.0	0.9	1.0	0.0		
locked_external|clinical_benefit|nanostring_hcc_clinical_assay_transfer	standard_context	locked_external	clinical_benefit	EcoNiche-Opt-HeuristicEcology-LockedPanel	0.0	0.0	0.1	0.0		
locked_external|clinical_benefit|nanostring_hcc_clinical_assay_transfer	standard_context	locked_external	clinical_benefit	EcoNiche-Opt-HeuristicEcology-LockedPanel	1.0	0.1	0.2	0.0		
locked_external|clinical_benefit|nanostring_hcc_clinical_assay_transfer	standard_context	locked_external	clinical_benefit	EcoNiche-Opt-HeuristicEcology-LockedPanel	2.0	0.2	0.30000000000000004	0.0		
locked_external|clinical_benefit|nanostring_hcc_clinical_assay_transfer	standard_context	locked_external	clinical_benefit	EcoNiche-Opt-HeuristicEcology-LockedPanel	3.0	0.30000000000000004	0.4	4.0	0.35838492398702854	0.25
locked_external|clinical_benefit|nanostring_hcc_clinical_assay_transfer	standard_context	locked_external	clinical_benefit	EcoNiche-Opt-HeuristicEcology-LockedPanel	4.0	0.4	0.5	9.0	0.46260398559065025	0.6666666666666666
locked_external|clinical_benefit|nanostring_hcc_clinical_assay_transfer	standard_context	locked_external	clinical_benefit	EcoNiche-Opt-HeuristicEcology-LockedPanel	5.0	0.5	0.6000000000000001	6.0	0.547257618331272	0.6666666666666666
