source_context	endpoint	evaluation_group	subgroup_axis	subgroup_value	model_name	threshold_policy	n_samples	n_responders	n_nonresponders	prevalence	n_predicted_high	threshold_min	threshold_median	threshold_max	AUROC	AUPRC	balanced_accuracy	accuracy	MCC	F1	sensitivity	specificity	PPV	NPV	Brier	ECE	calibration_slope	calibration_intercept
locked_external	clinical_benefit	locked_external_melanoma_combination_transfer	cohort	PRJEB23709_COMBO_PRE	EcoNiche-Opt-HeuristicEcology-LockedPanel	locked_or_training_fold_threshold	32	26	6	0.8125	17	0.4866388147907647	0.4866388147907647	0.4866388147907647	0.7243589743589743	0.9306875382508506	0.6217948717948718	0.59375	0.1905246652387925	0.6976744186046512	0.5769230769230769	0.6666666666666666	0.8823529411764706	0.26666666666666666	0.23357657914684565	0.30847663711050777	1.6855964032171369	1.6572480662252487
locked_external	clinical_benefit	locked_external_melanoma_combination_transfer	therapy_context	combo_therapy	EcoNiche-Opt-HeuristicEcology-LockedPanel	locked_or_training_fold_threshold	32	26	6	0.8125	17	0.4866388147907647	0.4866388147907647	0.4866388147907647	0.7243589743589743	0.9306875382508506	0.6217948717948718	0.59375	0.1905246652387925	0.6976744186046512	0.5769230769230769	0.6666666666666666	0.8823529411764706	0.26666666666666666	0.23357657914684565	0.30847663711050777	1.6855964032171369	1.6572480662252487
locked_external	clinical_benefit	locked_external_melanoma_combination_transfer	platform_context	bulk_RNAseq_or_processed_expression	EcoNiche-Opt-HeuristicEcology-LockedPanel	locked_or_training_fold_threshold	32	26	6	0.8125	17	0.4866388147907647	0.4866388147907647	0.4866388147907647	0.7243589743589743	0.9306875382508506	0.6217948717948718	0.59375	0.1905246652387925	0.6976744186046512	0.5769230769230769	0.6666666666666666	0.8823529411764706	0.26666666666666666	0.23357657914684565	0.30847663711050777	1.6855964032171369	1.6572480662252487
locked_external	clinical_benefit	locked_external_melanoma_combination_transfer	sampling_context	pretreatment_design_or_panel_transfer	EcoNiche-Opt-HeuristicEcology-LockedPanel	locked_or_training_fold_threshold	32	26	6	0.8125	17	0.4866388147907647	0.4866388147907647	0.4866388147907647	0.7243589743589743	0.9306875382508506	0.6217948717948718	0.59375	0.1905246652387925	0.6976744186046512	0.5769230769230769	0.6666666666666666	0.8823529411764706	0.26666666666666666	0.23357657914684565	0.30847663711050777	1.6855964032171369	1.6572480662252487
locked_external	clinical_benefit	locked_external_melanoma_combination_transfer	analysis_type	locked_external_melanoma_combination_transfer	EcoNiche-Opt-HeuristicEcology-LockedPanel	locked_or_training_fold_threshold	32	26	6	0.8125	17	0.4866388147907647	0.4866388147907647	0.4866388147907647	0.7243589743589743	0.9306875382508506	0.6217948717948718	0.59375	0.1905246652387925	0.6976744186046512	0.5769230769230769	0.6666666666666666	0.8823529411764706	0.26666666666666666	0.23357657914684565	0.30847663711050777	1.6855964032171369	1.6572480662252487
locked_external	clinical_benefit	locked_external_melanoma_pd1_like	cohort	PHS000452_LIU_LIKE_PRE	EcoNiche-Opt-HeuristicEcology-LockedPanel	locked_or_training_fold_threshold	121	66	55	0.5454545454545454	58	0.4866388147907647	0.4866388147907647	0.4866388147907647	0.5829201101928375	0.6495006794445877	0.5727272727272728	0.5702479338842975	0.14497607525854994	0.5806451612903226	0.5454545454545454	0.6	0.6206896551724138	0.5238095238095238	0.24464013486420055	0.07486361044383909	0.7153161228029348	0.17742229136086474
locked_external	clinical_benefit	locked_external_melanoma_pd1_like	therapy_context	anti_pd1_monotherapy	EcoNiche-Opt-HeuristicEcology-LockedPanel	locked_or_training_fold_threshold	121	66	55	0.5454545454545454	58	0.4866388147907647	0.4866388147907647	0.4866388147907647	0.5829201101928375	0.6495006794445877	0.5727272727272728	0.5702479338842975	0.14497607525854994	0.5806451612903226	0.5454545454545454	0.6	0.6206896551724138	0.5238095238095238	0.24464013486420055	0.07486361044383909	0.7153161228029348	0.17742229136086474
locked_external	clinical_benefit	locked_external_melanoma_pd1_like	platform_context	bulk_RNAseq_or_processed_expression	EcoNiche-Opt-HeuristicEcology-LockedPanel	locked_or_training_fold_threshold	121	66	55	0.5454545454545454	58	0.4866388147907647	0.4866388147907647	0.4866388147907647	0.5829201101928375	0.6495006794445877	0.5727272727272728	0.5702479338842975	0.14497607525854994	0.5806451612903226	0.5454545454545454	0.6	0.6206896551724138	0.5238095238095238	0.24464013486420055	0.07486361044383909	0.7153161228029348	0.17742229136086474
locked_external	clinical_benefit	locked_external_melanoma_pd1_like	sampling_context	pretreatment_design_or_panel_transfer	EcoNiche-Opt-HeuristicEcology-LockedPanel	locked_or_training_fold_threshold	121	66	55	0.5454545454545454	58	0.4866388147907647	0.4866388147907647	0.4866388147907647	0.5829201101928375	0.6495006794445877	0.5727272727272728	0.5702479338842975	0.14497607525854994	0.5806451612903226	0.5454545454545454	0.6	0.6206896551724138	0.5238095238095238	0.24464013486420055	0.07486361044383909	0.7153161228029348	0.17742229136086474
locked_external	clinical_benefit	locked_external_melanoma_pd1_like	analysis_type	locked_external_melanoma_pd1_like	EcoNiche-Opt-HeuristicEcology-LockedPanel	locked_or_training_fold_threshold	121	66	55	0.5454545454545454	58	0.4866388147907647	0.4866388147907647	0.4866388147907647	0.5829201101928375	0.6495006794445877	0.5727272727272728	0.5702479338842975	0.14497607525854994	0.5806451612903226	0.5454545454545454	0.6	0.6206896551724138	0.5238095238095238	0.24464013486420055	0.07486361044383909	0.7153161228029348	0.17742229136086474
