context_id	context_type	source_context	endpoint	model_name	threshold_policy	n_samples	n_responders	n_nonresponders	prevalence	n_predicted_high	threshold_min	threshold_median	threshold_max	AUROC	AUPRC	balanced_accuracy	accuracy	MCC	F1	sensitivity	specificity	PPV	NPV	Brier	ECE	calibration_slope	calibration_intercept
locked_external|clinical_benefit|locked_external_melanoma_combination_transfer	standard_context	locked_external	clinical_benefit	EcoNiche-Opt-HeuristicEcology-LockedPanel	locked_or_training_fold_threshold	32	26	6	0.8125	17	0.4866388147907647	0.4866388147907647	0.4866388147907647	0.7243589743589743	0.9306875382508506	0.6217948717948718	0.59375	0.1905246652387925	0.6976744186046512	0.5769230769230769	0.6666666666666666	0.8823529411764706	0.26666666666666666	0.23357657914684565	0.30847663711050777	1.6855964032171369	1.6572480662252487
locked_external|clinical_benefit|locked_external_melanoma_combination_transfer	standard_context	locked_external	clinical_benefit	EcoNiche-Opt-HeuristicEcology-LockedPanel	fixed_0.25	32	26	6	0.8125	32	0.25	0.25	0.25	0.7243589743589743	0.9306875382508506	0.5	0.8125	0.0	0.896551724137931	1.0	0.0	0.8125		0.23357657914684565	0.30847663711050777	1.6855964032171369	1.6572480662252487
locked_external|clinical_benefit|locked_external_melanoma_combination_transfer	standard_context	locked_external	clinical_benefit	EcoNiche-Opt-HeuristicEcology-LockedPanel	fixed_0.50	32	26	6	0.8125	16	0.5	0.5	0.5	0.7243589743589743	0.9306875382508506	0.7051282051282051	0.625	0.32025630761017426	0.7142857142857143	0.5769230769230769	0.8333333333333334	0.9375	0.3125	0.23357657914684565	0.30847663711050777	1.6855964032171369	1.6572480662252487
locked_external|clinical_benefit|locked_external_melanoma_combination_transfer	standard_context	locked_external	clinical_benefit	EcoNiche-Opt-HeuristicEcology-LockedPanel	fixed_0.75	32	26	6	0.8125	0	0.75	0.75	0.75	0.7243589743589743	0.9306875382508506	0.5	0.1875	0.0	0.0	0.0	1.0		0.1875	0.23357657914684565	0.30847663711050777	1.6855964032171369	1.6572480662252487
locked_external|clinical_benefit|locked_external_melanoma_pd1_like	standard_context	locked_external	clinical_benefit	EcoNiche-Opt-HeuristicEcology-LockedPanel	locked_or_training_fold_threshold	121	66	55	0.5454545454545454	58	0.4866388147907647	0.4866388147907647	0.4866388147907647	0.5829201101928375	0.6495006794445877	0.5727272727272728	0.5702479338842975	0.14497607525854994	0.5806451612903226	0.5454545454545454	0.6	0.6206896551724138	0.5238095238095238	0.24464013486420055	0.07486361044383909	0.7153161228029348	0.17742229136086474
locked_external|clinical_benefit|locked_external_melanoma_pd1_like	standard_context	locked_external	clinical_benefit	EcoNiche-Opt-HeuristicEcology-LockedPanel	fixed_0.25	121	66	55	0.5454545454545454	121	0.25	0.25	0.25	0.5829201101928375	0.6495006794445877	0.5	0.5454545454545454	0.0	0.7058823529411765	1.0	0.0	0.5454545454545454		0.24464013486420055	0.07486361044383909	0.7153161228029348	0.17742229136086474
locked_external|clinical_benefit|locked_external_melanoma_pd1_like	standard_context	locked_external	clinical_benefit	EcoNiche-Opt-HeuristicEcology-LockedPanel	fixed_0.50	121	66	55	0.5454545454545454	53	0.5	0.5	0.5	0.5829201101928375	0.6495006794445877	0.5515151515151515	0.5454545454545454	0.10340127610126999	0.5378151260504201	0.48484848484848486	0.6181818181818182	0.6037735849056604	0.5	0.24464013486420055	0.07486361044383909	0.7153161228029348	0.17742229136086474
locked_external|clinical_benefit|locked_external_melanoma_pd1_like	standard_context	locked_external	clinical_benefit	EcoNiche-Opt-HeuristicEcology-LockedPanel	fixed_0.75	121	66	55	0.5454545454545454	4	0.75	0.75	0.75	0.5829201101928375	0.6495006794445877	0.5303030303030303	0.48760330578512395	0.16878989451394444	0.11428571428571428	0.06060606060606061	1.0	1.0	0.4700854700854701	0.24464013486420055	0.07486361044383909	0.7153161228029348	0.17742229136086474
locked_external|clinical_benefit|locked_external_melanoma_pd1_recist	standard_context	locked_external	clinical_benefit	EcoNiche-Opt-HeuristicEcology-LockedPanel	locked_or_training_fold_threshold	14	9	5	0.6428571428571429	6	0.4866388147907647	0.4866388147907647	0.4866388147907647	0.6222222222222222	0.817977392977393	0.5222222222222221	0.5	0.04303314829119352	0.5333333333333333	0.4444444444444444	0.6	0.6666666666666666	0.375	0.23253477528029615	0.16855886701708286	1.5756790046632305	0.6831127653263713
locked_external|clinical_benefit|locked_external_melanoma_pd1_recist	standard_context	locked_external	clinical_benefit	EcoNiche-Opt-HeuristicEcology-LockedPanel	fixed_0.25	14	9	5	0.6428571428571429	14	0.25	0.25	0.25	0.6222222222222222	0.817977392977393	0.5	0.6428571428571429	0.0	0.782608695652174	1.0	0.0	0.6428571428571429		0.23253477528029615	0.16855886701708286	1.5756790046632305	0.6831127653263713
