context_id	context_type	source_context	endpoint	model_name	threshold_policy	n_samples	n_responders	n_nonresponders	prevalence	n_predicted_high	threshold_min	threshold_median	threshold_max	AUROC	AUPRC	balanced_accuracy	accuracy	MCC	F1	sensitivity	specificity	PPV	NPV	Brier	ECE	calibration_slope	calibration_intercept
locked_external|clinical_benefit|locked_external_melanoma_pd1_recist	standard_context	locked_external	clinical_benefit	EcoNiche-Opt-HeuristicEcology-LockedPanel	fixed_0.50	14	9	5	0.6428571428571429	5	0.5	0.5	0.5	0.6222222222222222	0.817977392977393	0.6222222222222222	0.5714285714285714	0.24444444444444444	0.5714285714285714	0.4444444444444444	0.8	0.8	0.4444444444444444	0.23253477528029615	0.16855886701708286	1.5756790046632305	0.6831127653263713
locked_external|clinical_benefit|locked_external_melanoma_pd1_recist	standard_context	locked_external	clinical_benefit	EcoNiche-Opt-HeuristicEcology-LockedPanel	fixed_0.75	14	9	5	0.6428571428571429	1	0.75	0.75	0.75	0.6222222222222222	0.817977392977393	0.5555555555555556	0.42857142857142855	0.20672455764868078	0.2	0.1111111111111111	1.0	1.0	0.38461538461538464	0.23253477528029615	0.16855886701708286	1.5756790046632305	0.6831127653263713
locked_external|clinical_benefit|nanostring_hcc_clinical_assay_transfer	standard_context	locked_external	clinical_benefit	EcoNiche-Opt-HeuristicEcology-LockedPanel	locked_or_training_fold_threshold	24	16	8	0.6666666666666666	15	0.4866388147907647	0.4866388147907647	0.4866388147907647	0.7109375	0.8509012535666948	0.59375	0.625	0.18257418583505539	0.7096774193548387	0.6875	0.5	0.7333333333333333	0.4444444444444444	0.22594532861680797	0.19889572484171936	2.0812873732094976	0.7699897329205447
locked_external|clinical_benefit|nanostring_hcc_clinical_assay_transfer	standard_context	locked_external	clinical_benefit	EcoNiche-Opt-HeuristicEcology-LockedPanel	fixed_0.25	24	16	8	0.6666666666666666	24	0.25	0.25	0.25	0.7109375	0.8509012535666948	0.5	0.6666666666666666	0.0	0.8	1.0	0.0	0.6666666666666666		0.22594532861680797	0.19889572484171936	2.0812873732094976	0.7699897329205447
locked_external|clinical_benefit|nanostring_hcc_clinical_assay_transfer	standard_context	locked_external	clinical_benefit	EcoNiche-Opt-HeuristicEcology-LockedPanel	fixed_0.50	24	16	8	0.6666666666666666	11	0.5	0.5	0.5	0.7109375	0.8509012535666948	0.65625	0.625	0.2956561979945413	0.6666666666666666	0.5625	0.75	0.8181818181818182	0.46153846153846156	0.22594532861680797	0.19889572484171936	2.0812873732094976	0.7699897329205447
locked_external|clinical_benefit|nanostring_hcc_clinical_assay_transfer	standard_context	locked_external	clinical_benefit	EcoNiche-Opt-HeuristicEcology-LockedPanel	fixed_0.75	24	16	8	0.6666666666666666	0	0.75	0.75	0.75	0.7109375	0.8509012535666948	0.5	0.3333333333333333	0.0	0.0	0.0	1.0		0.3333333333333333	0.22594532861680797	0.19889572484171936	2.0812873732094976	0.7699897329205447
locked_external|clinical_benefit|nanostring_melanoma_clinical_assay_transfer	standard_context	locked_external	clinical_benefit	EcoNiche-Opt-HeuristicEcology-LockedPanel	locked_or_training_fold_threshold	65	36	29	0.5538461538461539	38	0.4866388147907647	0.4866388147907647	0.4866388147907647	0.5766283524904214	0.6805184247029877	0.5296934865900383	0.5384615384615384	0.059905646549091425	0.5945945945945946	0.6111111111111112	0.4482758620689655	0.5789473684210527	0.48148148148148145	0.2468155190802023	0.062290473124393626	0.6177256549491683	0.21013093949818884
locked_external|clinical_benefit|nanostring_melanoma_clinical_assay_transfer	standard_context	locked_external	clinical_benefit	EcoNiche-Opt-HeuristicEcology-LockedPanel	fixed_0.25	65	36	29	0.5538461538461539	65	0.25	0.25	0.25	0.5766283524904214	0.6805184247029877	0.5	0.5538461538461539	0.0	0.7128712871287128	1.0	0.0	0.5538461538461539		0.2468155190802023	0.062290473124393626	0.6177256549491683	0.21013093949818884
locked_external|clinical_benefit|nanostring_melanoma_clinical_assay_transfer	standard_context	locked_external	clinical_benefit	EcoNiche-Opt-HeuristicEcology-LockedPanel	fixed_0.50	65	36	29	0.5538461538461539	35	0.5	0.5	0.5	0.5766283524904214	0.6805184247029877	0.5502873563218391	0.5538461538461539	0.10028694463571924	0.5915492957746479	0.5833333333333334	0.5172413793103449	0.6	0.5	0.2468155190802023	0.062290473124393626	0.6177256549491683	0.21013093949818884
locked_external|clinical_benefit|nanostring_melanoma_clinical_assay_transfer	standard_context	locked_external	clinical_benefit	EcoNiche-Opt-HeuristicEcology-LockedPanel	fixed_0.75	65	36	29	0.5538461538461539	0	0.75	0.75	0.75	0.5766283524904214	0.6805184247029877	0.5	0.4461538461538462	0.0	0.0	0.0	1.0		0.4461538461538462	0.2468155190802023	0.062290473124393626	0.6177256549491683	0.21013093949818884
locked_external|primary_recist|locked_external_melanoma_combination_transfer	standard_context	locked_external	primary_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	locked_or_training_fold_threshold	32	21	11	0.65625	18	0.4377922748557101	0.4377922748557101	0.4377922748557101	0.7402597402597402	0.8677481485429872	0.6515151515151515	0.65625	0.29012942659282975	0.717948717948718	0.6666666666666666	0.6363636363636364	0.7777777777777778	0.5	0.22075717279513635	0.16956239975280474	1.1463793432121685	0.8364395348531752
locked_external|primary_recist|locked_external_melanoma_combination_transfer	standard_context	locked_external	primary_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	fixed_0.25	32	21	11	0.65625	29	0.25	0.25	0.25	0.7402597402597402	0.8677481485429872	0.49783549783549785	0.625	-0.007053982594841415	0.76	0.9047619047619048	0.09090909090909091	0.6551724137931034	0.3333333333333333	0.22075717279513635	0.16956239975280474	1.1463793432121685	0.8364395348531752
locked_external|primary_recist|locked_external_melanoma_combination_transfer	standard_context	locked_external	primary_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	fixed_0.50	32	21	11	0.65625	16	0.5	0.5	0.5	0.7402597402597402	0.8677481485429872	0.6731601731601732	0.65625	0.3289758474798845	0.7027027027027027	0.6190476190476191	0.7272727272727273	0.8125	0.5	0.22075717279513635	0.16956239975280474	1.1463793432121685	0.8364395348531752
locked_external|primary_recist|locked_external_melanoma_combination_transfer	standard_context	locked_external	primary_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	fixed_0.75	32	21	11	0.65625	1	0.75	0.75	0.75	0.7402597402597402	0.8677481485429872	0.5238095238095238	0.375	0.12998877418150556	0.09090909090909091	0.047619047619047616	1.0	1.0	0.3548387096774194	0.22075717279513635	0.16956239975280474	1.1463793432121685	0.8364395348531752
locked_external|primary_recist|locked_external_melanoma_pd1_like	standard_context	locked_external	primary_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	locked_or_training_fold_threshold	121	50	71	0.4132231404958678	63	0.4377922748557101	0.4377922748557101	0.4377922748557101	0.5349295774647889	0.4943932156513664	0.5335211267605634	0.5289256198347108	0.06608128948033426	0.49557522123893805	0.56	0.5070422535211268	0.4444444444444444	0.6206896551724138	0.26196247530438765	0.14475165592915978	0.24468251627116544	-0.3376669078589453
locked_external|primary_recist|locked_external_melanoma_pd1_like	standard_context	locked_external	primary_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	fixed_0.25	121	50	71	0.4132231404958678	116	0.25	0.25	0.25	0.5349295774647889	0.4943932156513664	0.5352112676056338	0.45454545454545453	0.1742255464601546	0.6024096385542169	1.0	0.07042253521126761	0.43103448275862066	1.0	0.26196247530438765	0.14475165592915978	0.24468251627116544	-0.3376669078589453
locked_external|primary_recist|locked_external_melanoma_pd1_like	standard_context	locked_external	primary_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	fixed_0.50	121	50	71	0.4132231404958678	50	0.5	0.5	0.5	0.5349295774647889	0.4943932156513664	0.505774647887324	0.5206611570247934	0.011549295774647887	0.42	0.42	0.5915492957746479	0.42	0.5915492957746479	0.26196247530438765	0.14475165592915978	0.24468251627116544	-0.3376669078589453
locked_external|primary_recist|locked_external_melanoma_pd1_like	standard_context	locked_external	primary_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	fixed_0.75	121	50	71	0.4132231404958678	7	0.75	0.75	0.75	0.5349295774647889	0.4943932156513664	0.5359154929577465	0.6115702479338843	0.15150416013068962	0.17543859649122806	0.1	0.971830985915493	0.7142857142857143	0.6052631578947368	0.26196247530438765	0.14475165592915978	0.24468251627116544	-0.3376669078589453
locked_external|primary_recist|locked_external_melanoma_pd1_recist	standard_context	locked_external	primary_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	locked_or_training_fold_threshold	14	8	6	0.5714285714285714	7	0.4377922748557101	0.4377922748557101	0.4377922748557101	0.5208333333333334	0.7016684704184704	0.35416666666666663	0.35714285714285715	-0.28867513459481287	0.4	0.375	0.3333333333333333	0.42857142857142855	0.2857142857142857	0.25805042011319107	0.3873430257322005	0.48552646870541355	0.3358440898378441
locked_external|primary_recist|locked_external_melanoma_pd1_recist	standard_context	locked_external	primary_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	fixed_0.25	14	8	6	0.5714285714285714	14	0.25	0.25	0.25	0.5208333333333334	0.7016684704184704	0.5	0.5714285714285714	0.0	0.7272727272727273	1.0	0.0	0.5714285714285714		0.25805042011319107	0.3873430257322005	0.48552646870541355	0.3358440898378441
locked_external|primary_recist|locked_external_melanoma_pd1_recist	standard_context	locked_external	primary_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	fixed_0.50	14	8	6	0.5714285714285714	4	0.5	0.5	0.5	0.5208333333333334	0.7016684704184704	0.6041666666666667	0.5714285714285714	0.22821773229381923	0.5	0.375	0.8333333333333334	0.75	0.5	0.25805042011319107	0.3873430257322005	0.48552646870541355	0.3358440898378441
locked_external|primary_recist|locked_external_melanoma_pd1_recist	standard_context	locked_external	primary_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	fixed_0.75	14	8	6	0.5714285714285714	1	0.75	0.75	0.75	0.5208333333333334	0.7016684704184704	0.5625	0.5	0.24019223070763068	0.2222222222222222	0.125	1.0	1.0	0.46153846153846156	0.25805042011319107	0.3873430257322005	0.48552646870541355	0.3358440898378441
locked_external|primary_recist|nanostring_hcc_clinical_assay_transfer	standard_context	locked_external	primary_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	locked_or_training_fold_threshold	24	6	18	0.25	16	0.4377922748557101	0.4377922748557101	0.4377922748557101	0.7592592592592593	0.5318473193473194	0.7222222222222222	0.5833333333333334	0.408248290463863	0.5454545454545454	1.0	0.4444444444444444	0.375	1.0	0.22358300294770098	0.2713180020818369	1.3118136422890652	-1.1705001720481445
locked_external|primary_recist|nanostring_hcc_clinical_assay_transfer	standard_context	locked_external	primary_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	fixed_0.25	24	6	18	0.25	23	0.25	0.25	0.25	0.7592592592592593	0.5318473193473194	0.5277777777777778	0.2916666666666667	0.12038585308576921	0.41379310344827586	1.0	0.05555555555555555	0.2608695652173913	1.0	0.22358300294770098	0.2713180020818369	1.3118136422890652	-1.1705001720481445
locked_external|primary_recist|nanostring_hcc_clinical_assay_transfer	standard_context	locked_external	primary_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	fixed_0.50	24	6	18	0.25	10	0.5	0.5	0.5	0.7592592592592593	0.5318473193473194	0.6666666666666666	0.6666666666666666	0.29277002188455997	0.5	0.6666666666666666	0.6666666666666666	0.4	0.8571428571428571	0.22358300294770098	0.2713180020818369	1.3118136422890652	-1.1705001720481445
locked_external|primary_recist|nanostring_hcc_clinical_assay_transfer	standard_context	locked_external	primary_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	fixed_0.75	24	6	18	0.25	0	0.75	0.75	0.75	0.7592592592592593	0.5318473193473194	0.5	0.75	0.0	0.0	0.0	1.0		0.75	0.22358300294770098	0.2713180020818369	1.3118136422890652	-1.1705001720481445
locked_external|primary_recist|nanostring_melanoma_clinical_assay_transfer	standard_context	locked_external	primary_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	locked_or_training_fold_threshold	65	20	45	0.3076923076923077	39	0.4377922748557101	0.4377922748557101	0.4377922748557101	0.5722222222222222	0.5179635609458979	0.5	0.46153846153846156	0.0	0.4067796610169492	0.6	0.4	0.3076923076923077	0.6923076923076923	0.2528283085670866	0.20314915486470905	0.3644867204776517	-0.7999319226846928
locked_external|primary_recist|nanostring_melanoma_clinical_assay_transfer	standard_context	locked_external	primary_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	fixed_0.25	65	20	45	0.3076923076923077	61	0.25	0.25	0.25	0.5722222222222222	0.5179635609458979	0.4722222222222222	0.3076923076923077	-0.10669739994407998	0.4444444444444444	0.9	0.044444444444444446	0.29508196721311475	0.5	0.2528283085670866	0.20314915486470905	0.3644867204776517	-0.7999319226846928
locked_external|primary_recist|nanostring_melanoma_clinical_assay_transfer	standard_context	locked_external	primary_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	fixed_0.50	65	20	45	0.3076923076923077	27	0.5	0.5	0.5	0.5722222222222222	0.5179635609458979	0.5611111111111111	0.5846153846153846	0.11447159919331815	0.425531914893617	0.5	0.6222222222222222	0.37037037037037035	0.7368421052631579	0.2528283085670866	0.20314915486470905	0.3644867204776517	-0.7999319226846928
locked_external|primary_recist|nanostring_melanoma_clinical_assay_transfer	standard_context	locked_external	primary_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	fixed_0.75	65	20	45	0.3076923076923077	5	0.75	0.75	0.75	0.5722222222222222	0.5179635609458979	0.5888888888888889	0.7384615384615385	0.3079201435678004	0.32	0.2	0.9777777777777777	0.8	0.7333333333333333	0.2528283085670866	0.20314915486470905	0.3644867204776517	-0.7999319226846928
locked_external|strict_recist|locked_external_melanoma_combination_transfer	standard_context	locked_external	strict_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	locked_or_training_fold_threshold	27	21	6	0.7777777777777778	16	0.4464485197217447	0.4464485197217447	0.4464485197217447	0.7619047619047619	0.9301116483889595	0.6666666666666666	0.6666666666666666	0.2820380374088831	0.7567567567567568	0.6666666666666666	0.6666666666666666	0.875	0.36363636363636365	0.2248711260257452	0.2768511998932794	1.2946288806132813	1.519252683278961
locked_external|strict_recist|locked_external_melanoma_combination_transfer	standard_context	locked_external	strict_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	fixed_0.25	27	21	6	0.7777777777777778	25	0.25	0.25	0.25	0.7619047619047619	0.9301116483889595	0.4523809523809524	0.7037037037037037	-0.15118578920369088	0.8260869565217391	0.9047619047619048	0.0	0.76	0.0	0.2248711260257452	0.2768511998932794	1.2946288806132813	1.519252683278961
locked_external|strict_recist|locked_external_melanoma_combination_transfer	standard_context	locked_external	strict_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	fixed_0.50	27	21	6	0.7777777777777778	14	0.5	0.5	0.5	0.7619047619047619	0.9301116483889595	0.7261904761904763	0.6666666666666666	0.37640370458140543	0.7428571428571429	0.6190476190476191	0.8333333333333334	0.9285714285714286	0.38461538461538464	0.2248711260257452	0.2768511998932794	1.2946288806132813	1.519252683278961
locked_external|strict_recist|locked_external_melanoma_combination_transfer	standard_context	locked_external	strict_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	fixed_0.75	27	21	6	0.7777777777777778	2	0.75	0.75	0.75	0.7619047619047619	0.9301116483889595	0.5476190476190477	0.2962962962962963	0.15118578920369088	0.17391304347826086	0.09523809523809523	1.0	1.0	0.24	0.2248711260257452	0.2768511998932794	1.2946288806132813	1.519252683278961
locked_external|strict_recist|locked_external_melanoma_pd1_like	standard_context	locked_external	strict_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	locked_or_training_fold_threshold	103	48	55	0.46601941747572817	49	0.4464485197217447	0.4464485197217447	0.4464485197217447	0.5731060606060606	0.5787465694242914	0.5617424242424243	0.5631067961165048	0.12334476352939013	0.5360824742268041	0.5416666666666666	0.5818181818181818	0.5306122448979592	0.5925925925925926	0.25317928221134817	0.12208957495112494	0.42157844148117724	-0.10105386358107159
locked_external|strict_recist|locked_external_melanoma_pd1_like	standard_context	locked_external	strict_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	fixed_0.25	103	48	55	0.46601941747572817	99	0.25	0.25	0.25	0.5731060606060606	0.5787465694242914	0.5363636363636364	0.5048543689320388	0.18778101072520811	0.6530612244897959	1.0	0.07272727272727272	0.48484848484848486	1.0	0.25317928221134817	0.12208957495112494	0.42157844148117724	-0.10105386358107159
locked_external|strict_recist|locked_external_melanoma_pd1_like	standard_context	locked_external	strict_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	fixed_0.50	103	48	55	0.46601941747572817	40	0.5	0.5	0.5	0.5731060606060606	0.5787465694242914	0.5265151515151515	0.5339805825242718	0.05427824560657747	0.45454545454545453	0.4166666666666667	0.6363636363636364	0.5	0.5555555555555556	0.25317928221134817	0.12208957495112494	0.42157844148117724	-0.10105386358107159
locked_external|strict_recist|locked_external_melanoma_pd1_like	standard_context	locked_external	strict_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	fixed_0.75	103	48	55	0.46601941747572817	6	0.75	0.75	0.75	0.5731060606060606	0.5787465694242914	0.5429924242424242	0.5728155339805825	0.18313122539556373	0.18518518518518517	0.10416666666666667	0.9818181818181818	0.8333333333333334	0.5567010309278351	0.25317928221134817	0.12208957495112494	0.42157844148117724	-0.10105386358107159
locked_external|strict_recist|locked_external_melanoma_pd1_recist	standard_context	locked_external	strict_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	locked_or_training_fold_threshold	13	8	5	0.6153846153846154	6	0.4464485197217447	0.4464485197217447	0.4464485197217447	0.575	0.7723099816849817	0.3875	0.38461538461538464	-0.21957751641341997	0.42857142857142855	0.375	0.4	0.5	0.2857142857142857	0.24872726082410315	0.36963865375156424	0.8284183759374931	0.6303929540460782
locked_external|strict_recist|locked_external_melanoma_pd1_recist	standard_context	locked_external	strict_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	fixed_0.25	13	8	5	0.6153846153846154	13	0.25	0.25	0.25	0.575	0.7723099816849817	0.5	0.6153846153846154	0.0	0.7619047619047619	1.0	0.0	0.6153846153846154		0.24872726082410315	0.36963865375156424	0.8284183759374931	0.6303929540460782
locked_external|strict_recist|locked_external_melanoma_pd1_recist	standard_context	locked_external	strict_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	fixed_0.50	13	8	5	0.6153846153846154	3	0.5	0.5	0.5	0.575	0.7723099816849817	0.6875	0.6153846153846154	0.4330127018922193	0.5454545454545454	0.375	1.0	1.0	0.5	0.24872726082410315	0.36963865375156424	0.8284183759374931	0.6303929540460782
locked_external|strict_recist|locked_external_melanoma_pd1_recist	standard_context	locked_external	strict_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	fixed_0.75	13	8	5	0.6153846153846154	1	0.75	0.75	0.75	0.575	0.7723099816849817	0.5625	0.46153846153846156	0.22821773229381923	0.2222222222222222	0.125	1.0	1.0	0.4166666666666667	0.24872726082410315	0.36963865375156424	0.8284183759374931	0.6303929540460782
locked_external|strict_recist|nanostring_hcc_clinical_assay_transfer	standard_context	locked_external	strict_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	locked_or_training_fold_threshold	14	6	8	0.42857142857142855	10	0.4464485197217447	0.4464485197217447	0.4464485197217447	0.8333333333333334	0.7996031746031745	0.75	0.7142857142857143	0.5477225575051661	0.75	1.0	0.5	0.6	1.0	0.19128632816684904	0.16557433779660394	2.8467888213772556	-0.16785801403900694
locked_external|strict_recist|nanostring_hcc_clinical_assay_transfer	standard_context	locked_external	strict_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	fixed_0.25	14	6	8	0.42857142857142855	14	0.25	0.25	0.25	0.8333333333333334	0.7996031746031745	0.5	0.42857142857142855	0.0	0.6	1.0	0.0	0.42857142857142855		0.19128632816684904	0.16557433779660394	2.8467888213772556	-0.16785801403900694
locked_external|strict_recist|nanostring_hcc_clinical_assay_transfer	standard_context	locked_external	strict_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	fixed_0.50	14	6	8	0.42857142857142855	6	0.5	0.5	0.5	0.8333333333333334	0.7996031746031745	0.7083333333333333	0.7142857142857143	0.4166666666666667	0.6666666666666666	0.6666666666666666	0.75	0.6666666666666666	0.75	0.19128632816684904	0.16557433779660394	2.8467888213772556	-0.16785801403900694
locked_external|strict_recist|nanostring_hcc_clinical_assay_transfer	standard_context	locked_external	strict_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	fixed_0.75	14	6	8	0.42857142857142855	0	0.75	0.75	0.75	0.8333333333333334	0.7996031746031745	0.5	0.5714285714285714	0.0	0.0	0.0	1.0		0.5714285714285714	0.19128632816684904	0.16557433779660394	2.8467888213772556	-0.16785801403900694
locked_external|strict_recist|nanostring_melanoma_clinical_assay_transfer	standard_context	locked_external	strict_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	locked_or_training_fold_threshold	49	20	29	0.40816326530612246	28	0.4464485197217447	0.4464485197217447	0.4464485197217447	0.5862068965517241	0.6096389324156446	0.5241379310344827	0.5102040816326531	0.04794633014853841	0.5	0.6	0.4482758620689655	0.42857142857142855	0.6190476190476191	0.24976501924811123	0.14608079905535076	0.4347698753515843	-0.34835191464152543
locked_external|strict_recist|nanostring_melanoma_clinical_assay_transfer	standard_context	locked_external	strict_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	fixed_0.25	49	20	29	0.40816326530612246	45	0.25	0.25	0.25	0.5862068965517241	0.6096389324156446	0.4844827586206897	0.40816326530612246	-0.05570860145311556	0.5538461538461539	0.9	0.06896551724137931	0.4	0.5	0.24976501924811123	0.14608079905535076	0.4347698753515843	-0.34835191464152543
locked_external|strict_recist|nanostring_melanoma_clinical_assay_transfer	standard_context	locked_external	strict_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	fixed_0.50	49	20	29	0.40816326530612246	21	0.5	0.5	0.5	0.5862068965517241	0.6096389324156446	0.5603448275862069	0.5714285714285714	0.11986582537134603	0.4878048780487805	0.5	0.6206896551724138	0.47619047619047616	0.6428571428571429	0.24976501924811123	0.14608079905535076	0.4347698753515843	-0.34835191464152543
locked_external|strict_recist|nanostring_melanoma_clinical_assay_transfer	standard_context	locked_external	strict_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	fixed_0.75	49	20	29	0.40816326530612246	4	0.75	0.75	0.75	0.5862068965517241	0.6096389324156446	0.6	0.673469387755102	0.3590109871423003	0.3333333333333333	0.2	1.0	1.0	0.6444444444444445	0.24976501924811123	0.14608079905535076	0.4347698753515843	-0.34835191464152543
