AUROC	AUPRC	balanced_accuracy	accuracy	MCC	F1	sensitivity	specificity	PPV	NPV	Brier	ECE	calibration_slope	calibration_intercept	model_name	cohort	n_samples	n_responders	n_nonresponders	threshold	calibration	train_cohorts	selection_boundary	endpoint	stratum
0.6128205128205129	0.443052059052059	0.5064102564102564	0.5102040816326531	0.010336227882434037	0.29411764705882354	0.5	0.5128205128205128	0.20833333333333334	0.8	0.31423500343198435	0.33997949256796905	0.24712001488480964	-1.4350441545460417	EcoNiche-Opt-RawModulePrior	GSE91061	49	10	39	0.43604919693064953	raw_sigmoid	GSE78220,PRJEB23709_PD1_PRE	training_only_no_external_labels	primary_recist	melanoma_core_high_evidence
0.5487179487179487	0.3951852050165393	0.5166666666666666	0.40816326530612246	0.028647985456347027	0.32558139534883723	0.7	0.3333333333333333	0.21212121212121213	0.8125	0.16773987899864443	0.1639521787348395	0.2315112478256532	-0.8402411079190814	EcoNiche-Opt-RankModulePrior	GSE91061	49	10	39	0.03631788893623638	raw_sigmoid	GSE78220,PRJEB23709_PD1_PRE	training_only_no_external_labels	primary_recist	melanoma_core_high_evidence
0.5487179487179487	0.3951852050165393	0.5166666666666666	0.40816326530612246	0.028647985456347027	0.32558139534883723	0.7	0.3333333333333333	0.21212121212121213	0.8125	0.29749833041148555	0.3564815261271893	0.33259828523294144	-1.4470692790409265	EcoNiche-Opt-RankModulePriorCalibrated	GSE91061	49	10	39	0.38739882506222106	training_only_platt	GSE78220,PRJEB23709_PD1_PRE	training_only_no_external_labels	primary_recist	melanoma_core_high_evidence
0.5564102564102564	0.41651269020834236	0.4525641025641025	0.30612244897959184	-0.09163919799010097	0.2916666666666667	0.7	0.20512820512820512	0.18421052631578946	0.7272727272727273	0.248299114901229	0.30646013764626434	0.2629984200352867	-1.2467338897905722	EcoNiche-Opt-SignedRankResponseModules	GSE91061	49	10	39	0.13282670928432003	raw_sigmoid	GSE78220,PRJEB23709_PD1_PRE	training_only_no_external_labels	primary_recist	melanoma_core_high_evidence
0.5564102564102564	0.41651269020834236	0.4525641025641025	0.30612244897959184	-0.09163919799010097	0.2916666666666667	0.7	0.20512820512820512	0.18421052631578946	0.7272727272727273	0.31981521243333305	0.407425210193071	0.4996263227782557	-1.6079075686885431	EcoNiche-Opt-SignedRankResponseModulesCalibrated	GSE91061	49	10	39	0.4344795822513413	training_only_platt	GSE78220,PRJEB23709_PD1_PRE	training_only_no_external_labels	primary_recist	melanoma_core_high_evidence
0.6483516483516484	0.6310725135349196	0.6263736263736264	0.6296296296296297	0.2570193398539127	0.6666666666666666	0.7142857142857143	0.5384615384615384	0.625	0.6363636363636364	0.2909107984360428	0.32640283009776705	0.13949154944492717	0.0771320292345374	EcoNiche-Opt-RawModulePrior	GSE78220	27	14	13	0.40980104728815997	raw_sigmoid	GSE91061,PRJEB23709_PD1_PRE	training_only_no_external_labels	primary_recist	melanoma_core_high_evidence
0.7197802197802198	0.7068086046620938	0.6263736263736264	0.6296296296296297	0.2570193398539127	0.6666666666666666	0.7142857142857143	0.5384615384615384	0.625	0.6363636363636364	0.39653748815980033	0.41056645183065554	0.35622224184045437	0.9912768899045803	EcoNiche-Opt-RankModulePrior	GSE78220	27	14	13	0.04335552490806397	raw_sigmoid	GSE91061,PRJEB23709_PD1_PRE	training_only_no_external_labels	primary_recist	melanoma_core_high_evidence
0.7197802197802198	0.7068086046620938	0.6263736263736264	0.6296296296296297	0.2570193398539127	0.6666666666666666	0.7142857142857143	0.5384615384615384	0.625	0.6363636363636364	0.22850068543145785	0.18504994653220502	0.7212254676092836	0.16194557676939533	EcoNiche-Opt-RankModulePriorCalibrated	GSE78220	27	14	13	0.40660579545683545	training_only_platt	GSE91061,PRJEB23709_PD1_PRE	training_only_no_external_labels	primary_recist	melanoma_core_high_evidence
0.6318681318681318	0.6282631150888752	0.4945054945054945	0.48148148148148145	-0.015456116693379658	0.2222222222222222	0.14285714285714285	0.8461538461538461	0.5	0.4782608695652174	0.34251650494599944	0.34271362955949847	0.23184995276323633	0.4255750166488803	EcoNiche-Opt-SignedRankResponseModules	GSE78220	27	14	13	0.56852887040529	raw_sigmoid	GSE91061,PRJEB23709_PD1_PRE	training_only_no_external_labels	primary_recist	melanoma_core_high_evidence
0.6318681318681318	0.6282631150888752	0.4945054945054945	0.48148148148148145	-0.015456116693379658	0.2222222222222222	0.14285714285714285	0.8461538461538461	0.5	0.4782608695652174	0.29600588995266053	0.24699315425706198	0.3389955187661511	0.38024476969830157	EcoNiche-Opt-SignedRankResponseModulesCalibrated	GSE78220	27	14	13	0.5796099869222688	training_only_platt	GSE91061,PRJEB23709_PD1_PRE	training_only_no_external_labels	primary_recist	melanoma_core_high_evidence
0.8755980861244019	0.8331876911765292	0.7212918660287082	0.7317073170731707	0.46541211876427413	0.6666666666666666	0.5789473684210527	0.8636363636363636	0.7857142857142857	0.7037037037037037	0.1463994372895915	0.2213819619490431	0.7739163054922703	-0.12331167315888543	EcoNiche-Opt-RawModulePrior	PRJEB23709_PD1_PRE	41	19	22	0.7106589134139443	raw_sigmoid	GSE91061,GSE78220	training_only_no_external_labels	primary_recist	melanoma_core_high_evidence
0.8803827751196172	0.8350494100026515	0.7212918660287082	0.7317073170731707	0.46541211876427413	0.6666666666666666	0.5789473684210527	0.8636363636363636	0.7857142857142857	0.7037037037037037	0.3043017656563659	0.3250133129667017	1.1576843078868932	2.9296699176612586	EcoNiche-Opt-RankModulePrior	PRJEB23709_PD1_PRE	41	19	22	0.09034990921760222	raw_sigmoid	GSE91061,GSE78220	training_only_no_external_labels	primary_recist	melanoma_core_high_evidence
0.8803827751196172	0.8350494100026515	0.7212918660287082	0.7317073170731707	0.46541211876427413	0.6666666666666666	0.5789473684210527	0.8636363636363636	0.7857142857142857	0.7037037037037037	0.20199893989595158	0.15306122511502956	4.793480471627646	0.21893365899026684	EcoNiche-Opt-RankModulePriorCalibrated	PRJEB23709_PD1_PRE	41	19	22	0.5019378666593158	training_only_platt	GSE91061,GSE78220	training_only_no_external_labels	primary_recist	melanoma_core_high_evidence
0.8827751196172249	0.8114510191074473	0.5825358851674641	0.6097560975609756	0.2515502175743891	0.3333333333333333	0.21052631578947367	0.9545454545454546	0.8	0.5833333333333334	0.3233162179037031	0.3404772632296286	1.9972264614916235	4.453135450438224	EcoNiche-Opt-SignedRankResponseModules	PRJEB23709_PD1_PRE	41	19	22	0.24275176602207454	raw_sigmoid	GSE91061,GSE78220	training_only_no_external_labels	primary_recist	melanoma_core_high_evidence
0.8827751196172249	0.8114510191074473	0.5825358851674641	0.6097560975609756	0.2515502175743891	0.3333333333333333	0.21052631578947367	0.9545454545454546	0.8	0.5833333333333334	0.19003361553253656	0.23287489976830478	3.2144486760566755	1.2943165578493925	EcoNiche-Opt-SignedRankResponseModulesCalibrated	PRJEB23709_PD1_PRE	41	19	22	0.5684105009017574	training_only_platt	GSE91061,GSE78220	training_only_no_external_labels	primary_recist	melanoma_core_high_evidence
0.6128205128205129	0.443052059052059	0.5064102564102564	0.5102040816326531	0.010336227882434037	0.29411764705882354	0.5	0.5128205128205128	0.20833333333333334	0.8	0.31423500343198435	0.33997949256796905	0.24712001488480964	-1.4350441545460417	EcoNiche-Opt-RawModulePrior	GSE91061	49	10	39	0.4209547786696646	raw_sigmoid	GSE78220,GSE145996,PRJEB23709_PD1_PRE	training_only_no_external_labels	primary_recist	melanoma_recist_supported_primary
0.5487179487179487	0.3951852050165393	0.5038461538461538	0.3877551020408163	0.006726727939963125	0.3181818181818182	0.7	0.3076923076923077	0.20588235294117646	0.8	0.16773987899864443	0.1639521787348395	0.2315112478256532	-0.8402411079190814	EcoNiche-Opt-RankModulePrior	GSE91061	49	10	39	0.03182643626883261	raw_sigmoid	GSE78220,GSE145996,PRJEB23709_PD1_PRE	training_only_no_external_labels	primary_recist	melanoma_recist_supported_primary
0.5487179487179487	0.3951852050165393	0.5038461538461538	0.3877551020408163	0.006726727939963125	0.3181818181818182	0.7	0.3076923076923077	0.20588235294117646	0.8	0.2767212880541663	0.34529002004716103	0.3880858089873833	-1.4174112627361455	EcoNiche-Opt-RankModulePriorCalibrated	GSE91061	49	10	39	0.3658203466611259	training_only_platt	GSE78220,GSE145996,PRJEB23709_PD1_PRE	training_only_no_external_labels	primary_recist	melanoma_recist_supported_primary
0.5384615384615384	0.40245139938471464	0.5512820512820513	0.2857142857142857	0.15097027121927944	0.36363636363636365	1.0	0.10256410256410256	0.2222222222222222	1.0	0.23240177981493237	0.2918627776185412	0.21938425647788962	-1.187887321613016	EcoNiche-Opt-SignedRankResponseModules	GSE91061	49	10	39	0.03840255430800351	raw_sigmoid	GSE78220,GSE145996,PRJEB23709_PD1_PRE	training_only_no_external_labels	primary_recist	melanoma_recist_supported_primary
0.5384615384615384	0.40245139938471464	0.5512820512820513	0.2857142857142857	0.15097027121927944	0.36363636363636365	1.0	0.10256410256410256	0.2222222222222222	1.0	0.3095986136651244	0.3774570616040462	0.5026752461872905	-1.5710192723886303	EcoNiche-Opt-SignedRankResponseModulesCalibrated	GSE91061	49	10	39	0.3447436738577453	training_only_platt	GSE78220,GSE145996,PRJEB23709_PD1_PRE	training_only_no_external_labels	primary_recist	melanoma_recist_supported_primary
0.6483516483516484	0.6310725135349196	0.6263736263736264	0.6296296296296297	0.2570193398539127	0.6666666666666666	0.7142857142857143	0.5384615384615384	0.625	0.6363636363636364	0.2909107984360428	0.32640283009776705	0.13949154944492717	0.0771320292345374	EcoNiche-Opt-RawModulePrior	GSE78220	27	14	13	0.40980104728815997	raw_sigmoid	GSE91061,GSE145996,PRJEB23709_PD1_PRE	training_only_no_external_labels	primary_recist	melanoma_recist_supported_primary
0.7197802197802198	0.7068086046620938	0.6263736263736264	0.6296296296296297	0.2570193398539127	0.6666666666666666	0.7142857142857143	0.5384615384615384	0.625	0.6363636363636364	0.39653748815980033	0.41056645183065554	0.35622224184045437	0.9912768899045803	EcoNiche-Opt-RankModulePrior	GSE78220	27	14	13	0.04160099401953176	raw_sigmoid	GSE91061,GSE145996,PRJEB23709_PD1_PRE	training_only_no_external_labels	primary_recist	melanoma_recist_supported_primary
0.7197802197802198	0.7068086046620938	0.6263736263736264	0.6296296296296297	0.2570193398539127	0.6666666666666666	0.7142857142857143	0.5384615384615384	0.625	0.6363636363636364	0.2288160406021307	0.20513907314180665	0.7766067648286741	0.1837980886857573	EcoNiche-Opt-RankModulePriorCalibrated	GSE78220	27	14	13	0.4015683916624517	training_only_platt	GSE91061,GSE145996,PRJEB23709_PD1_PRE	training_only_no_external_labels	primary_recist	melanoma_recist_supported_primary
0.6318681318681318	0.6282631150888752	0.5302197802197802	0.5185185185185185	0.07774288420142415	0.3157894736842105	0.21428571428571427	0.8461538461538461	0.6	0.5	0.34251650494599944	0.34271362955949847	0.23184995276323633	0.4255750166488803	EcoNiche-Opt-SignedRankResponseModules	GSE78220	27	14	13	0.49311652544937606	raw_sigmoid	GSE91061,GSE145996,PRJEB23709_PD1_PRE	training_only_no_external_labels	primary_recist	melanoma_recist_supported_primary
0.6318681318681318	0.6282631150888752	0.5302197802197802	0.5185185185185185	0.07774288420142415	0.3157894736842105	0.21428571428571427	0.8461538461538461	0.6	0.5	0.2753583756754084	0.29057556653109134	0.40595019185635	0.33534197779766906	EcoNiche-Opt-SignedRankResponseModulesCalibrated	GSE78220	27	14	13	0.5514109184691137	training_only_platt	GSE91061,GSE145996,PRJEB23709_PD1_PRE	training_only_no_external_labels	primary_recist	melanoma_recist_supported_primary
0.5208333333333334	0.7016684704184704	0.35416666666666663	0.35714285714285715	-0.28867513459481287	0.4	0.375	0.3333333333333333	0.42857142857142855	0.2857142857142857	0.34260905290604876	0.4018903197022125	0.16905098599105375	0.30535128873521733	EcoNiche-Opt-RawModulePrior	GSE145996	14	8	6	0.36866837649370504	raw_sigmoid	GSE91061,GSE78220,PRJEB23709_PD1_PRE	training_only_no_external_labels	primary_recist	melanoma_recist_supported_primary
0.5416666666666666	0.6973415473415474	0.5208333333333334	0.5714285714285714	0.05892556509887897	0.7	0.875	0.16666666666666666	0.5833333333333334	0.5	0.3886684244568756	0.40872565966546015	0.21984757594672744	0.658269521597249	EcoNiche-Opt-RankModulePrior	GSE145996	14	8	6	0.04293882156184874	raw_sigmoid	GSE91061,GSE78220,PRJEB23709_PD1_PRE	training_only_no_external_labels	primary_recist	melanoma_recist_supported_primary
0.5416666666666666	0.6973415473415474	0.5208333333333334	0.5714285714285714	0.05892556509887897	0.7	0.875	0.16666666666666666	0.5833333333333334	0.5	0.24842117070108927	0.274972435026667	0.4944205261221694	0.13230642579575808	EcoNiche-Opt-RankModulePriorCalibrated	GSE145996	14	8	6	0.42142392755113545	training_only_platt	GSE91061,GSE78220,PRJEB23709_PD1_PRE	training_only_no_external_labels	primary_recist	melanoma_recist_supported_primary
0.5416666666666667	0.7071629759129758	0.625	0.5714285714285714	0.3535533905932738	0.4	0.25	1.0	1.0	0.5	0.324607920126234	0.3527128890186974	0.29068885404836375	0.5821937617182685	EcoNiche-Opt-SignedRankResponseModules	GSE145996	14	8	6	0.5067936510447181	raw_sigmoid	GSE91061,GSE78220,PRJEB23709_PD1_PRE	training_only_no_external_labels	primary_recist	melanoma_recist_supported_primary
0.5416666666666667	0.7071629759129758	0.625	0.5714285714285714	0.3535533905932738	0.4	0.25	1.0	1.0	0.5	0.25592184821938807	0.25517326677406893	0.6025855047288756	0.4258781364909406	EcoNiche-Opt-SignedRankResponseModulesCalibrated	GSE145996	14	8	6	0.567473351233631	training_only_platt	GSE91061,GSE78220,PRJEB23709_PD1_PRE	training_only_no_external_labels	primary_recist	melanoma_recist_supported_primary
0.8755980861244019	0.8331876911765292	0.7476076555023923	0.7560975609756098	0.5126841617284027	0.7058823529411765	0.631578947368421	0.8636363636363636	0.8	0.7307692307692307	0.1463994372895915	0.2213819619490431	0.7739163054922703	-0.12331167315888543	EcoNiche-Opt-RawModulePrior	PRJEB23709_PD1_PRE	41	19	22	0.6731694744274304	raw_sigmoid	GSE91061,GSE78220,GSE145996	training_only_no_external_labels	primary_recist	melanoma_recist_supported_primary
0.8803827751196172	0.8350494100026515	0.8074162679425837	0.8048780487804879	0.6133669020106273	0.8	0.8421052631578947	0.7727272727272727	0.7619047619047619	0.85	0.3043017656563659	0.3250133129667017	1.1576843078868932	2.9296699176612586	EcoNiche-Opt-RankModulePrior	PRJEB23709_PD1_PRE	41	19	22	0.05329865246353192	raw_sigmoid	GSE91061,GSE78220,GSE145996	training_only_no_external_labels	primary_recist	melanoma_recist_supported_primary
0.8803827751196172	0.8350494100026515	0.8074162679425837	0.8048780487804879	0.6133669020106273	0.8	0.8421052631578947	0.7727272727272727	0.7619047619047619	0.85	0.19961430068846012	0.18638919279134816	4.525550502054702	0.34717771188926094	EcoNiche-Opt-RankModulePriorCalibrated	PRJEB23709_PD1_PRE	41	19	22	0.45875229429484443	training_only_platt	GSE91061,GSE78220,GSE145996	training_only_no_external_labels	primary_recist	melanoma_recist_supported_primary
0.8540669856459331	0.7757858335079537	0.8110047846889952	0.8048780487804879	0.6250072232206321	0.8095238095238095	0.8947368421052632	0.7272727272727273	0.7391304347826086	0.8888888888888888	0.349466028373006	0.366642763875657	1.432668632704005	3.814276004182598	EcoNiche-Opt-SignedRankResponseModules	PRJEB23709_PD1_PRE	41	19	22	0.03720887338486568	raw_sigmoid	GSE91061,GSE78220,GSE145996	training_only_no_external_labels	primary_recist	melanoma_recist_supported_primary
0.8540669856459331	0.7757858335079537	0.8110047846889952	0.8048780487804879	0.6250072232206321	0.8095238095238095	0.8947368421052632	0.7272727272727273	0.7391304347826086	0.8888888888888888	0.18576953696448592	0.18643804969525754	2.4012548003114076	0.19681280373142546	EcoNiche-Opt-SignedRankResponseModulesCalibrated	PRJEB23709_PD1_PRE	41	19	22	0.39304089512646334	training_only_platt	GSE91061,GSE78220,GSE145996	training_only_no_external_labels	primary_recist	melanoma_recist_supported_primary
0.575	0.7723099816849817	0.3875	0.38461538461538464	-0.21957751641341997	0.42857142857142855	0.375	0.4	0.5	0.2857142857142857	0.3172118189403036	0.3697105392890441	0.2887579809668471	0.580429371904649	EcoNiche-Opt-RawModulePrior	GSE145996	13	8	5	0.39077794189971365	raw_sigmoid	GSE91061,GSE78220,PRJEB23709_PD1_PRE	training_only_no_external_labels	strict_recist	strict_melanoma_pd1_like_external
0.6	0.7593749999999999	0.5	0.6153846153846154	0.0	0.7619047619047619	1.0	0.0	0.6153846153846154		0.40184742431900317	0.404304640197424	0.4074928827615944	1.2769474862199843	EcoNiche-Opt-RankModulePrior	GSE145996	13	8	5	0.03274771585310502	raw_sigmoid	GSE91061,GSE78220,PRJEB23709_PD1_PRE	training_only_no_external_labels	strict_recist	strict_melanoma_pd1_like_external
0.6	0.7593749999999999	0.5	0.6153846153846154	0.0	0.7619047619047619	1.0	0.0	0.6153846153846154		0.2267160068970312	0.2409586580977978	0.8174512809635087	0.271726306168813	EcoNiche-Opt-RankModulePriorCalibrated	GSE145996	13	8	5	0.38757662511708246	training_only_platt	GSE91061,GSE78220,PRJEB23709_PD1_PRE	training_only_no_external_labels	strict_recist	strict_melanoma_pd1_like_external
0.575	0.747470238095238	0.525	0.46153846153846156	0.05773502691896257	0.36363636363636365	0.25	0.8	0.6666666666666666	0.4	0.3237570370735293	0.3529935720750312	0.47601170070017446	0.9368670354604048	EcoNiche-Opt-SignedRankResponseModules	GSE145996	13	8	5	0.3710445592051202	raw_sigmoid	GSE91061,GSE78220,PRJEB23709_PD1_PRE	training_only_no_external_labels	strict_recist	strict_melanoma_pd1_like_external
