AUROC	AUPRC	balanced_accuracy	accuracy	MCC	F1	sensitivity	specificity	PPV	NPV	Brier	ECE	calibration_slope	calibration_intercept	endpoint	stratum	model_name	n_samples	n_cohorts	n_responders	n_nonresponders	response_prevalence	AUPRC_minus_prevalence
0.6926461345065996	0.5568296625294817	0.5378692646134506	0.6495726495726496	0.14468007074644507	0.19607843137254902	0.11627906976744186	0.9594594594594594	0.625	0.6513761467889908	0.26839434737742895	0.23733656255480784	0.4368818563201541	0.5019918863413784	primary_recist	melanoma_core_high_evidence	EcoNiche-Opt-RankModulePrior	117	3	43	74	0.36752136752136755	0.1893082950081142
0.6404776869893148	0.485220121030668	0.6217787554996858	0.6324786324786325	0.23737184823747634	0.5376344086021505	0.5813953488372093	0.6621621621621622	0.5	0.7313432835820896	0.24811019856877062	0.1874434038390314	0.474600506116058	-0.56772062020812	primary_recist	melanoma_core_high_evidence	EcoNiche-Opt-RankModulePriorCalibrated	117	3	43	74	0.36752136752136755	0.11769875350930042
0.7049025769956003	0.5584727461504684	0.6315210559396606	0.6324786324786325	0.25439479174218027	0.5567010309278351	0.627906976744186	0.6351351351351351	0.5	0.746031746031746	0.250038321836014	0.2348619118541941	0.3445839112636591	-0.6044426196350924	primary_recist	melanoma_core_high_evidence	EcoNiche-Opt-RawModulePrior	117	3	43	74	0.36752136752136755	0.19095137862910083
0.57950974230044	0.43820901174856247	0.45490257699560027	0.5384615384615384	-0.1094218276091193	0.18181818181818182	0.13953488372093023	0.7702702702702703	0.2608695652173913	0.6063829787234043	0.2963296341688379	0.27718583269674507	0.15961759573948034	-0.3249017383840512	primary_recist	melanoma_core_high_evidence	EcoNiche-Opt-SignedRankResponseModules	117	3	43	74	0.36752136752136755	0.07068764422719492
0.549654305468259	0.4194861534331986	0.5182275298554369	0.5384615384615384	0.03562504365516731	0.41304347826086957	0.4418604651162791	0.5945945945945946	0.3877551020408163	0.6470588235294118	0.2688417322631552	0.19042340463584254	0.16364273623201925	-0.5141124351303138	primary_recist	melanoma_core_high_evidence	EcoNiche-Opt-SignedRankResponseModulesCalibrated	117	3	43	74	0.36752136752136755	0.05196478591183107
0.6830882352941177	0.5775575625798638	0.5498774509803922	0.6412213740458015	0.18317729545068476	0.22950819672131148	0.13725490196078433	0.9625	0.7	0.6363636363636364	0.2812480655385912	0.24787394749287872	0.41914139332069933	0.5264149032149459	primary_recist	melanoma_recist_supported_primary	EcoNiche-Opt-RankModulePrior	131	4	51	80	0.3893129770992366	0.18824458548062717
0.6502450980392157	0.5290000051866346	0.6093137254901961	0.6183206106870229	0.2150213009365604	0.5370370370370371	0.5686274509803921	0.65	0.5087719298245614	0.7027027027027027	0.23969052617521983	0.15688772319861632	0.6279226046875285	-0.46946019130641703	primary_recist	melanoma_recist_supported_primary	EcoNiche-Opt-RankModulePriorCalibrated	131	4	51	80	0.3893129770992366	0.13968702808739797
0.6845588235294118	0.5804730202048082	0.6128676470588235	0.6183206106870229	0.22122657444712313	0.5454545454545454	0.5882352941176471	0.6375	0.5084745762711864	0.7083333333333334	0.2599313770648727	0.23858416431842683	0.3140888852438914	-0.48888244176884754	primary_recist	melanoma_recist_supported_primary	EcoNiche-Opt-RawModulePrior	131	4	51	80	0.3893129770992366	0.19116004310557155
0.5838235294117647	0.4773926216528134	0.4971813725490196	0.5725190839694656	-0.007491896422860166	0.2222222222222222	0.1568627450980392	0.8375	0.38095238095238093	0.6090909090909091	0.3015897014468259	0.26000051459415624	0.18992939460796157	-0.14917300219510218	primary_recist	melanoma_recist_supported_primary	EcoNiche-Opt-SignedRankResponseModules	131	4	51	80	0.3893129770992366	0.08807964455357675
0.5750000000000001	0.4809192458061763	0.5549019607843138	0.5648854961832062	0.10778851919730385	0.47706422018348627	0.5098039215686274	0.6	0.4482758620689655	0.6575342465753424	0.25804935193467543	0.14248193447885218	0.3208161638134416	-0.436161150209802	primary_recist	melanoma_recist_supported_primary	EcoNiche-Opt-SignedRankResponseModulesCalibrated	131	4	51	80	0.3893129770992366	0.09160626870693966
0.5472429210134129	0.5300320770952519	0.5272727272727272	0.5517241379310345	0.1715951380191002	0.10344827586206896	0.05454545454545454	1.0	1.0	0.5398230088495575	0.3945227028574751	0.39436298051910995	0.13986761009428791	0.29030966003810277	strict_recist	strict_cbio_liu_plus_gse145996	EcoNiche-Opt-RankModulePrior	116	2	55	61	0.47413793103448276	0.055894146060769145
0.5472429210134129	0.5300320770952519	0.5087928464977645	0.5172413793103449	0.018587803952850784	0.40425531914893614	0.34545454545454546	0.6721311475409836	0.48717948717948717	0.5324675324675324	0.2620944294656139	0.13108316301506615	0.28041747621536833	-0.05491161482230938	strict_recist	strict_cbio_liu_plus_gse145996	EcoNiche-Opt-RankModulePriorCalibrated	116	2	55	61	0.47413793103448276	0.055894146060769145
0.5561847988077496	0.5917278041810641	0.5515648286140089	0.5603448275862069	0.10972124753002924	0.45161290322580644	0.38181818181818183	0.7213114754098361	0.5526315789473685	0.5641025641025641	0.2960798924735118	0.20927646437006744	0.1804084716880039	-0.08448674556610448	strict_recist	strict_cbio_liu_plus_gse145996	EcoNiche-Opt-RawModulePrior	116	2	55	61	0.47413793103448276	0.11758987314658131
0.5585692995529061	0.5360225028314426	0.5025335320417288	0.5172413793103449	0.006153354822265135	0.3	0.21818181818181817	0.7868852459016393	0.48	0.5274725274725275	0.319014919286942	0.2666539885981975	0.17390839973972844	0.08247456041388515	strict_recist	strict_cbio_liu_plus_gse145996	EcoNiche-Opt-SignedRankResponseModules	116	2	55	61	0.47413793103448276	0.06188457179695983
0.5585692995529061	0.5360225028314426	0.5005961251862892	0.5086206896551724	0.001252497700690316	0.4	0.34545454545454546	0.6557377049180327	0.475	0.5263157894736842	0.2631459926457249	0.1437666683671805	0.2887046039012262	-0.04852233803515198	strict_recist	strict_cbio_liu_plus_gse145996	EcoNiche-Opt-SignedRankResponseModulesCalibrated	116	2	55	61	0.47413793103448276	0.06188457179695983
