query_direction	library	rank	perturbation_id	perturbation_name	cell_line	timepoint	dose	pvalue	zscore	combined_score	adjusted_pvalue	overlapping_genes	signature_genes_submitted	reversal_score	status	interpretation
upregulate_resistance_down_genes	LINCS_L1000_Chem_Pert_up	70	LJP009	CGP-60474	HEPG2	24H	1.11	0.0025897355285690606	30.592307692307692	182.21388842339513	0.07077377237360875	CD3D;PSMB9	15	183.36401607846986	LINCS_Enrichr_hypothesis	signature-reversal hypothesis only; not a clinical recommendation
upregulate_resistance_down_genes	LINCS_L1000_Chem_Pert_up	69	LJP009	BX-795	HT29	24H	10	0.0025897355285690606	30.592307692307692	182.21388842339513	0.07077377237360875	HLA-B;PSMB9	15	183.36401607846986	LINCS_Enrichr_hypothesis	signature-reversal hypothesis only; not a clinical recommendation
upregulate_resistance_down_genes	LINCS_L1000_Chem_Pert_up	71	LJP005	PD-0325901	HA1E	24H	3.33	0.002690473196205733	29.9894419306184	177.47866268622553	0.07249120034283897	CD3D;PSMB9	15	178.61837739516477	LINCS_Enrichr_hypothesis	signature-reversal hypothesis only; not a clinical recommendation
upregulate_resistance_down_genes	LINCS_L1000_Chem_Pert_up	72	LJP006	QL-XII-47	HA1E	24H	1.11	0.0027415291407791365	29.696788648244958	175.18846664723523	0.07284090619875677	ZEB1;S100A8	15	176.32609130711026	LINCS_Enrichr_hypothesis	signature-reversal hypothesis only; not a clinical recommendation
upregulate_resistance_down_genes	LINCS_L1000_Chem_Pert_up	73	LJP008	PD-0325901	HEPG2	24H	1.11	0.0028974379576251997	28.851959361393323	168.60878457384547	0.07462327586880892	HLA-B;PSMB9	15	169.7359102637357	LINCS_Enrichr_hypothesis	signature-reversal hypothesis only; not a clinical recommendation
upregulate_resistance_down_genes	LINCS_L1000_Chem_Pert_up	74	LJP005	WZ-3105	MCF7	24H	3.33	0.0029503191560754415	28.580877066858374	166.50767189744704	0.07462327586880892	HLA-B;PSMB9	15	167.63479758733726	LINCS_Enrichr_hypothesis	signature-reversal hypothesis only; not a clinical recommendation
upregulate_resistance_down_genes	LINCS_L1000_Chem_Pert_up	75	LJP005	CGP-60474	MCF7	24H	0.37	0.0029503191560754415	28.580877066858374	166.50767189744704	0.07462327586880892	HLA-B;PSMB9	15	167.63479758733726	LINCS_Enrichr_hypothesis	signature-reversal hypothesis only; not a clinical recommendation
upregulate_resistance_down_genes	LINCS_L1000_Chem_Pert_up	77	LJP005	trametinib	HEPG2	24H	10	0.003003655118608618	28.314814814814813	164.4503310000054	0.07462327586880892	S100A8;PSMB9	15	165.57745668989563	LINCS_Enrichr_hypothesis	signature-reversal hypothesis only; not a clinical recommendation
upregulate_resistance_down_genes	LINCS_L1000_Chem_Pert_up	78	LJP005	WZ-3105	MCF7	24H	1.11	0.0030574452255414677	28.05363443895554	162.4354697698338	0.0749858040571901	HLA-B;PSMB9	15	163.56049071715108	LINCS_Enrichr_hypothesis	signature-reversal hypothesis only; not a clinical recommendation
upregulate_resistance_down_genes	LINCS_L1000_Chem_Pert_up	79	LJP005	geldanamycin	HA1E	24H	10	0.0032771347496153088	27.05513955071477	154.77665789635276	0.07588098498975995	IFNG;S100A8	15	155.89652493664482	LINCS_Enrichr_hypothesis	signature-reversal hypothesis only; not a clinical recommendation
upregulate_resistance_down_genes	LINCS_L1000_Chem_Pert_up	81	LJP007	OTSSP167	HEPG2	24H	3.33	0.0033896883352085155	26.581939799331103	151.17195146203872	0.07588098498975995	HLA-B;PSMB9	15	152.29181850233078	LINCS_Enrichr_hypothesis	signature-reversal hypothesis only; not a clinical recommendation
upregulate_resistance_down_genes	LINCS_L1000_Chem_Pert_up	80	LJP005	mitoxantrone	SKBR3	24H	1.11	0.0033896883352085155	26.581939799331103	151.17195146203872	0.07588098498975995	HLA-B;PSMB9	15	152.29181850233078	LINCS_Enrichr_hypothesis	signature-reversal hypothesis only; not a clinical recommendation
upregulate_resistance_down_genes	LINCS_L1000_Chem_Pert_up	82	LJP005	AS-601245	HEPG2	24H	10	0.0034466401799523047	26.351458885941646	149.42213675257386	0.07588098498975995	CD3D;S100A8	15	150.54200379286593	LINCS_Enrichr_hypothesis	signature-reversal hypothesis only; not a clinical recommendation
upregulate_resistance_down_genes	LINCS_L1000_Chem_Pert_up	83	LJP005	AZD-8330	HEPG2	24H	10	0.003504041239607983	26.12491781722551	147.7060618977154	0.07588098498975995	HLA-B;S100A8	15	148.82592893800745	LINCS_Enrichr_hypothesis	signature-reversal hypothesis only; not a clinical recommendation
upregulate_resistance_down_genes	LINCS_L1000_Chem_Pert_up	84	LJP006	PF-562271	MCF7	24H	10	0.003504041239607983	26.12491781722551	147.7060618977154	0.07588098498975995	AXL;HLA-B	15	148.82592893800745	LINCS_Enrichr_hypothesis	signature-reversal hypothesis only; not a clinical recommendation
upregulate_resistance_down_genes	LINCS_L1000_Chem_Pert_up	85	LJP006	mitoxantrone	A549	24H	1.11	0.003504041239607983	26.12491781722551	147.7060618977154	0.07588098498975995	HLA-B;HLA-A	15	148.82592893800745	LINCS_Enrichr_hypothesis	signature-reversal hypothesis only; not a clinical recommendation
upregulate_resistance_down_genes	LINCS_L1000_Chem_Pert_up	86	LJP007	OTSSP167	MCF7	24H	0.04	0.003504041239607983	26.12491781722551	147.7060618977154	0.07588098498975995	HLA-B;HLA-A	15	148.82592893800745	LINCS_Enrichr_hypothesis	signature-reversal hypothesis only; not a clinical recommendation
upregulate_resistance_down_genes	LINCS_L1000_Chem_Pert_up	87	CPC013	s1216	MCF7	24H	10.0	0.0035618909009462376	25.902216427640155	146.02280546073374	0.07588098498975995	LAG3;CD3E	15	147.1426725010258	LINCS_Enrichr_hypothesis	signature-reversal hypothesis only; not a clinical recommendation
upregulate_resistance_down_genes	LINCS_L1000_Chem_Pert_up	88	LJP007	OTSSP167	MCF7	24H	0.12	0.0035618909009462376	25.902216427640155	146.02280546073374	0.07588098498975995	HLA-B;CD3E	15	147.1426725010258	LINCS_Enrichr_hypothesis	signature-reversal hypothesis only; not a clinical recommendation
upregulate_resistance_down_genes	LINCS_L1000_Chem_Pert_up	89	CPC006	pp-110	PC3	6H	22.2	0.0035618909009462376	25.902216427640155	146.02280546073374	0.07588098498975995	LAG3;CD3E	15	147.1426725010258	LINCS_Enrichr_hypothesis	signature-reversal hypothesis only; not a clinical recommendation
upregulate_resistance_down_genes	LINCS_L1000_Chem_Pert_up	90	LJP005	WZ-3105	MCF7	24H	10	0.003678933576028342	25.46794871794872	142.75122344884733	0.07588098498975995	HLA-B;PSMB9	15	143.8710904891394	LINCS_Enrichr_hypothesis	signature-reversal hypothesis only; not a clinical recommendation
upregulate_resistance_down_genes	LINCS_L1000_Chem_Pert_up	91	LJP006	WZ-4-145	HA1E	24H	0.37	0.0037381253660131258	25.25619834710744	141.16121218646114	0.07588098498975995	HLA-B;PSMB9	15	142.2810792267532	LINCS_Enrichr_hypothesis	signature-reversal hypothesis only; not a clinical recommendation
upregulate_resistance_down_genes	LINCS_L1000_Chem_Pert_up	93	LJP006	mitoxantrone	SKBR3	24H	1.11	0.0037977633081283458	25.047919293820932	139.60064537695735	0.07588098498975995	HLA-B;PSMB9	15	140.7205124172494	LINCS_Enrichr_hypothesis	signature-reversal hypothesis only; not a clinical recommendation
upregulate_resistance_down_genes	LINCS_L1000_Chem_Pert_up	94	LJP007	CGP-60474	HCC515	24H	10	0.003918375206481569	24.641439205955336	136.5647830213751	0.07588098498975995	CD3E;CD3D	15	137.68465006166716	LINCS_Enrichr_hypothesis	signature-reversal hypothesis only; not a clinical recommendation
upregulate_resistance_down_genes	LINCS_L1000_Chem_Pert_up	95	LJP008	CGP-60474	HCC515	24H	10	0.003979347942816952	24.443076923076923	135.0880208104625	0.07588098498975995	CD3E;CD3D	15	136.20788785075456	LINCS_Enrichr_hypothesis	signature-reversal hypothesis only; not a clinical recommendation
upregulate_resistance_down_genes	LINCS_L1000_Chem_Pert_up	96	LJP005	CGP-60474	MCF7	24H	1.11	0.003979347942816952	24.443076923076923	135.0880208104625	0.07588098498975995	HLA-B;PSMB9	15	136.20788785075456	LINCS_Enrichr_hypothesis	signature-reversal hypothesis only; not a clinical recommendation
upregulate_resistance_down_genes	LINCS_L1000_Chem_Pert_up	97	LJP005	PF-477736	SKBR3	24H	10	0.003979347942816952	24.443076923076923	135.0880208104625	0.07588098498975995	HLA-B;PSMB9	15	136.20788785075456	LINCS_Enrichr_hypothesis	signature-reversal hypothesis only; not a clinical recommendation
upregulate_resistance_down_genes	LINCS_L1000_Chem_Pert_up	98	LJP006	PD-0325901	A549	24H	1.11	0.003979347942816952	24.443076923076923	135.0880208104625	0.07588098498975995	HLA-B;PSMB9	15	136.20788785075456	LINCS_Enrichr_hypothesis	signature-reversal hypothesis only; not a clinical recommendation
upregulate_resistance_down_genes	LINCS_L1000_Chem_Pert_up	99	LJP006	mitoxantrone	HA1E	24H	0.04	0.003979347942816952	24.443076923076923	135.0880208104625	0.07588098498975995	HLA-B;HLA-A	15	136.20788785075456	LINCS_Enrichr_hypothesis	signature-reversal hypothesis only; not a clinical recommendation
upregulate_resistance_down_genes	LINCS_L1000_Chem_Pert_up	100	LJP005	geldanamycin	HS578T	24H	1.11	0.004040764391772693	24.247863247863247	133.63776759850597	0.07588098498975995	ZEB1;S100A8	15	134.75763463879804	LINCS_Enrichr_hypothesis	signature-reversal hypothesis only; not a clinical recommendation
