target_gene	drug_name	drug_concept_id	interaction_types	sources	pmids	status
AXL	RIPK1 INHIBITOR 22B	iuphar.ligand:10155	inhibitor:INHIBITORY	GuideToPharmacology		DGIdb_evidence
HLA-B	CLOZAPINE	rxcui:2626		PharmGKB	2222133;26876947;34083506;9587740	DGIdb_evidence
HLA-A	FLOXACILLIN	rxcui:4448		PharmGKB	30661239	DGIdb_evidence
ZEB1	DOXORUBICIN HYDROCHLORIDE	rxcui:142433		CIViC		DGIdb_evidence
LAG3	FIANLIMAB	ncit:C132339	inhibitor:INHIBITORY	ChEMBL		DGIdb_evidence
CD3E	ERTUMAXOMAB	ncit:C2658	modulator:None	ChEMBL;TTD		DGIdb_evidence
CD3E	GLOFITAMAB	rxcui:2639782	binder:None	ChEMBL		DGIdb_evidence
HLA-B	SULFASALAZINE	rxcui:9524		PharmGKB	25303297	DGIdb_evidence
TGFB1	MELATONIN	rxcui:6711		NCI	9649124	DGIdb_evidence
PDCD1	PIDILIZUMAB	ncit:C71014	antibody:INHIBITORY;immunotherapy:None;inhibitor:INHIBITORY	ChEMBL;MyCancerGenome		DGIdb_evidence
PDCD1	CADONILIMAB	ncit:C153379	inhibitor:INHIBITORY	ChEMBL		DGIdb_evidence
LAG3	GSK2831781	wikidata:Q19904145		TTD		DGIdb_evidence
AXL	GONIOTHALAMIN	chembl:CHEMBL464443		DTC	25305718	DGIdb_evidence
IFNG	SURAMIN	rxcui:10256		NCI	1899122	DGIdb_evidence
IL10	AMOXICILLIN ANHYDROUS	rxcui:1297882		NCI	16815316	DGIdb_evidence
TGFB1	ISOTRETINOIN	rxcui:6064		NCI	9815590	DGIdb_evidence
PDCD1	CAMRELIZUMAB	ncit:C123816	inhibitor:INHIBITORY	ChEMBL		DGIdb_evidence
S100A9	TASQUINIMOD	ncit:C74080		TTD	24162378	DGIdb_evidence
HAVCR2	ANTI-TIM3 MONOCLONAL ANTIBODY LY3321367	ncit:C137820		TTD		DGIdb_evidence
PDCD1	PENPULIMAB	ncit:C155879	inhibitor:INHIBITORY	ChEMBL		DGIdb_evidence
TIGIT	DOMVANALIMAB	ncit:C162875	inhibitor:INHIBITORY	ChEMBL		DGIdb_evidence
HLA-B	FLOXACILLIN	rxcui:4448		PharmGKB	18256392;18637831;19483685;19696695;23132554;30661239;30664875	DGIdb_evidence
IL10	CLARITHROMYCIN	rxcui:21212		NCI	16815316	DGIdb_evidence
HLA-B	ABACAVIR	rxcui:190521		FDA;PharmGKB	11888582;15024131;15247625;18184080;18256392;18637831;19195327;19696695;22197535;22378157;23132554;24433361;24561393;25877443;25934581;27403179;27530904;27976978	DGIdb_evidence
CD3D	TECLISTAMAB	rxcui:2619426	binder:None	ChEMBL		DGIdb_evidence
PDCD1	MEDI0680	drugbank:DB15768		TTD		DGIdb_evidence
TGFB1	VACTOSERTIB	ncit:C116357		TTD		DGIdb_evidence
CD3E	REMOGLIFLOZIN	iuphar.ligand:4588	inhibitor:INHIBITORY	GuideToPharmacology		DGIdb_evidence
IFNG	DOXIFLURIDINE	ncit:C978		NCI	12553027	DGIdb_evidence
IL10	ILODECAKIN	rxcui:2604685		TTD		DGIdb_evidence
PDCD1	FINOTONLIMAB	ncit:C170758	inhibitor:INHIBITORY	ChEMBL		DGIdb_evidence
CD3E	SOTAGLIFLOZIN	rxcui:2638675	inhibitor:INHIBITORY	GuideToPharmacology		DGIdb_evidence
IFNG	THERAPEUTIC AUTOLOGOUS LYMPHOCYTES	ncit:C28681		NCI	7750192	DGIdb_evidence
TGFB1	TRIAMCINOLONE	rxcui:10759		NCI	12174062	DGIdb_evidence
CD3D	BEXAGLIFLOZIN	rxcui:2627044	inhibitor:INHIBITORY	GuideToPharmacology		DGIdb_evidence
CD3E	ODRONEXTAMAB	ncit:C119615	binder:None	ChEMBL		DGIdb_evidence
AXL	SLC-391	iuphar.ligand:12320	inhibitor:INHIBITORY	GuideToPharmacology		DGIdb_evidence
AXL	XL999	drugbank:DB05014		TdgClinicalTrial		DGIdb_evidence
HLA-B	BACILLUS CALMETTE-GUERIN ANTIGEN	ncit:C77178		NCI	17028812	DGIdb_evidence
GZMB	GKT136901	iuphar.ligand:9935	inhibitor:INHIBITORY	GuideToPharmacology		DGIdb_evidence
LAG3	FAVEZELIMAB	ncit:C142077	inhibitor:INHIBITORY	ChEMBL		DGIdb_evidence
TGFB1	TAMOXIFEN	rxcui:10324		NCI	8019941	DGIdb_evidence
CD3E	ELRANATAMAB	rxcui:2644880	binder:None	ChEMBL		DGIdb_evidence
LAG3	ANTI-LAG-3/PD-L1 BISPECIFIC ANTIBODY FS118	ncit:C150734		TTD		DGIdb_evidence
PDCD1	CETRELIMAB	ncit:C129448	inhibitor:INHIBITORY	ChEMBL;TTD		DGIdb_evidence
HLA-B	INTERFERON BETA-1A	rxcui:75917		PharmGKB	27020477	DGIdb_evidence
S100A9	PAQUINIMOD	ncit:C87681		TTD		DGIdb_evidence
CD3D	LICOGLIFLOZIN	ncit:C150375	inhibitor:INHIBITORY	GuideToPharmacology		DGIdb_evidence
IFNG	AMG-811	chembl:CHEMBL2109450	inhibitor:INHIBITORY	ChEMBL		DGIdb_evidence
CD3D	ANTI-CD3 MONOCLONAL ANTIBODY	ncit:C112883		TdgClinicalTrial		DGIdb_evidence
CD3E	EMPAGLIFLOZIN	rxcui:1545653	inhibitor:INHIBITORY	GuideToPharmacology		DGIdb_evidence
CD3E	HOKT3	chembl:CHEMBL2109253	inhibitor:INHIBITORY	ChEMBL		DGIdb_evidence
PDCD1	SERPLULIMAB	ncit:C156738	inhibitor:INHIBITORY	ChEMBL		DGIdb_evidence
CD3E	CATUMAXOMAB	ncit:C62445	modulator:None	ChEMBL;TdgClinicalTrial		DGIdb_evidence
HLA-A	TETANUS ANTITOXIN	chembl:CHEMBL2108107		PharmGKB	27749688	DGIdb_evidence
IFNG	PREDNISONE	rxcui:8640		NCI	10784002	DGIdb_evidence
AXL	ENAPOTAMAB VEDOTIN	ncit:C132017	binder:None	ChEMBL		DGIdb_evidence
HLA-A	TICLOPIDINE	rxcui:10594		PharmGKB	17339877;28043905	DGIdb_evidence
PDCD1	BUDIGALIMAB	ncit:C137682	inhibitor:INHIBITORY	ChEMBL		DGIdb_evidence
TGFB1	ADRIAMYCIN	wikidata:Q47520887		NCI	10203574	DGIdb_evidence
CD3D	ERTUGLIFLOZIN	rxcui:1992672	inhibitor:INHIBITORY	GuideToPharmacology		DGIdb_evidence
HLA-B	CLAVULANIC ACID	rxcui:21216		PharmGKB	23874514;30664875	DGIdb_evidence
PDCD1	LIPUSTOBART	ncit:C153149		TTD		DGIdb_evidence
CD3E	SOLITOMAB	ncit:C77854	modulator:None	ChEMBL;TdgClinicalTrial		DGIdb_evidence
TGFB1	HEPARAN SULFATE	rxcui:2603494		NCI	1331122	DGIdb_evidence
IFNG	EDRECOLOMAB	rxcui:80726		NCI	2121912	DGIdb_evidence
IFNG	INTERFERON ALFA-2B	rxcui:5880		NCI	10540707;9192993	DGIdb_evidence
HLA-A	LEVETIRACETAM	rxcui:114477		PharmGKB	30020991	DGIdb_evidence
LAG3	RELATLIMAB	rxcui:2596773	inhibitor:INHIBITORY	ChEMBL;TTD	25755681	DGIdb_evidence
IFNG	CISPLATIN	rxcui:2555		NCI	8044830	DGIdb_evidence
HLA-B	LAPATINIB	rxcui:480167		PharmGKB	26265235	DGIdb_evidence
PDCD1	CAMRELIZUMAB	iuphar.ligand:9758		TTD		DGIdb_evidence
TIGIT	IBI-939	chembl:CHEMBL4650473	inhibitor:INHIBITORY	ChEMBL		DGIdb_evidence
CD3D	SERGLIFLOZIN	iuphar.ligand:4587	inhibitor:INHIBITORY	GuideToPharmacology		DGIdb_evidence
TGFB1	GOSSYPOL	ncit:C529		NCI	15015581	DGIdb_evidence
PDCD1	DURVALUMAB	rxcui:1919503		PharmGKB		DGIdb_evidence
PDCD1	BALSTILIMAB	ncit:C136465	inhibitor:INHIBITORY	ChEMBL;TTD		DGIdb_evidence
CD3E	ERTUGLIFLOZIN	rxcui:1992672	inhibitor:INHIBITORY	GuideToPharmacology		DGIdb_evidence
IL10	FLUTICASONE	rxcui:41126		NCI	12372131	DGIdb_evidence
CD3D	SOTAGLIFLOZIN	rxcui:2638675	inhibitor:INHIBITORY	GuideToPharmacology		DGIdb_evidence
TGFB1	TCDD	iuphar.ligand:9642		NCI	9772220	DGIdb_evidence
HLA-B	PENICILLIN G POTASSIUM	rxcui:203133		PharmGKB	32888428	DGIdb_evidence
TGFB1	AMIFOSTINE ANHYDROUS	rxcui:1545987		NCI	12005544	DGIdb_evidence
HLA-B	DAPSONE	rxcui:3108		PharmGKB	23604100;24152261;28885988;29458119;29512326;29541744	DGIdb_evidence
LAG3	EFTILAGIMOD ALPHA	ncit:C62509	vaccine:ACTIVATING	ChEMBL		DGIdb_evidence
IL10	TRETINOIN	rxcui:10753		NCI	8982293	DGIdb_evidence
PDCD1	RETIFANLIMAB	rxcui:2632981	inhibitor:INHIBITORY	ChEMBL		DGIdb_evidence
CD3E	LICOGLIFLOZIN	ncit:C150375	inhibitor:INHIBITORY	GuideToPharmacology		DGIdb_evidence
CD3D	OTELIXIZUMAB	ncit:C95790		TdgClinicalTrial		DGIdb_evidence
CD3D	MIZAGLIFLOZIN	ncit:C166520	inhibitor:INHIBITORY	GuideToPharmacology		DGIdb_evidence
TGFB1	RAMIPRIL	rxcui:35296		NCI	15716710	DGIdb_evidence
IL10	MESALAMINE	rxcui:52582		NCI	15887108	DGIdb_evidence
HLA-B	ISONIAZID	rxcui:6038		PharmGKB	33135175	DGIdb_evidence
HLA-A	BACAMPICILLIN	rxcui:18687		PharmGKB	9609616	DGIdb_evidence
PSMB9	IXAZOMIB CITRATE	rxcui:1723734	inhibitor:INHIBITORY	ChEMBL		DGIdb_evidence
ZEB1	OXALIPLATIN	rxcui:32592		CIViC		DGIdb_evidence
AXL	BI-505	chembl:CHEMBL2109482		TTD		DGIdb_evidence
HLA-A	CLAVULANIC ACID	rxcui:21216		PharmGKB	23874514	DGIdb_evidence
CD3E	MEDI-565	chembl:CHEMBL2109372	modulator:None	ChEMBL		DGIdb_evidence
PSMB9	BORTEZOMIB D-MANNITOL	drugbank:DB16741	inhibitor:INHIBITORY	ChEMBL		DGIdb_evidence
TGFB1	ANTIOXIDANT	ncit:C275		NCI	12221586	DGIdb_evidence
PDCD1	TEBOTELIMAB	ncit:C143957	inhibitor:INHIBITORY	ChEMBL;TTD		DGIdb_evidence
HAVCR2	LOMVASTOMIG	ncit:C160714	inhibitor:INHIBITORY	ChEMBL		DGIdb_evidence
ITGB7	ABRILUMAB	ncit:C139025	inhibitor:INHIBITORY	ChEMBL;TTD		DGIdb_evidence
HLA-A	DAPSONE	rxcui:3108		PharmGKB	29233746	DGIdb_evidence
PRF1	COMPOUND 16 [PMID: 31525966]	iuphar.ligand:10501	inhibitor:INHIBITORY	GuideToPharmacology		DGIdb_evidence
HLA-B	RIBAVIRIN	rxcui:9344		PharmGKB	12873589;23360626	DGIdb_evidence
TGFB1	SOTATERCEPT	rxcui:2678930		TTD		DGIdb_evidence
TGFB1	ASPIRIN	rxcui:1191		PharmGKB	19138248	DGIdb_evidence
CD3E	TALQUETAMAB	rxcui:2644447	binder:None	ChEMBL		DGIdb_evidence
GZMB	COMPOUND 7C [PMID: 22041175]	iuphar.ligand:9931	inhibitor:INHIBITORY	GuideToPharmacology		DGIdb_evidence
TGFB1	GALUNISERTIB	ncit:C116891		TTD		DGIdb_evidence
CD3E	ANTI-CD3 MONOCLONAL ANTIBODY	ncit:C112883		TdgClinicalTrial		DGIdb_evidence
AXL	CP-547632	iuphar.ligand:7881		DTC		DGIdb_evidence
PDCD1	BINTRAFUSP ALFA	ncit:C124229		TTD		DGIdb_evidence
HLA-B	RECOMBINANT INTERFERON	ncit:C584		NCI;PharmGKB	23360626;7507709;8081556	DGIdb_evidence
AXL	CANLITINIB	iuphar.ligand:12865	inhibitor:INHIBITORY	GuideToPharmacology		DGIdb_evidence
IL10	ROFECOXIB	rxcui:232158		NCI	15613743	DGIdb_evidence
HLA-B	PENICILLIN V	rxcui:7984		PharmGKB	32888428	DGIdb_evidence
