target_gene	drug_name	drug_concept_id	interaction_types	sources	pmids	status
PSMB9	IXAZOMIB	rxcui:1723735	inhibitor:INHIBITORY	ChEMBL		DGIdb_evidence
AXL	NINGETINIB	drugbank:DB16256	inhibitor:INHIBITORY	ChEMBL		DGIdb_evidence
IFNG	THERAPEUTIC GLUCOCORTICOID	ncit:C521		NCI	7543821	DGIdb_evidence
PDCD1	CC-90006	chembl:CHEMBL4594467		TTD		DGIdb_evidence
PDCD1	RETIFANLIMAB	ncit:C142168		TTD		DGIdb_evidence
TGFB1	LY-2382770	chembl:CHEMBL2109585	inhibitor:INHIBITORY	ChEMBL		DGIdb_evidence
HLA-A	AMOXICILLIN ANHYDROUS	rxcui:1297882		PharmGKB	23874514;30661239;9609616	DGIdb_evidence
CD3E	FLOTETUZUMAB	ncit:C117238	binder:None	ChEMBL		DGIdb_evidence
TIGIT	VIBOSTOLIMAB	ncit:C140041	inhibitor:INHIBITORY	ChEMBL		DGIdb_evidence
TIGIT	ASP-8374	chembl:CHEMBL4297894	inhibitor:INHIBITORY	ChEMBL		DGIdb_evidence
CD3D	TOFOGLIFLOZIN ANHYDROUS	ncit:C152676	inhibitor:INHIBITORY	GuideToPharmacology		DGIdb_evidence
IL10	ZIDOVUDINE	rxcui:11413		NCI	10433557	DGIdb_evidence
AXL	COMPOUND 19A [PMID: 30503936]	iuphar.ligand:10181	inhibitor:INHIBITORY	GuideToPharmacology		DGIdb_evidence
TGFB1	METELIMUMAB	ncit:C166745	inhibitor:INHIBITORY	ChEMBL		DGIdb_evidence
PDCD1	GEPTANOLIMAB	ncit:C148159		TTD		DGIdb_evidence
TIGIT	ANTI-TIGIT MONOCLONAL ANTIBODY ASP8374	ncit:C141421		TTD		DGIdb_evidence
TGFB1	ALPHA-TOCOPHEROL	ncit:C74960		NCI	9608545	DGIdb_evidence
PDCD1	TORIPALIMAB	rxcui:2669406	inhibitor:INHIBITORY	ChEMBL		DGIdb_evidence
TGFB1	GLATIRAMER	rxcui:214582		PharmGKB	22111603	DGIdb_evidence
TGFB1	ANTISENSE OLIGONUCLEOTIDES	ncit:C1291		NCI	9108414	DGIdb_evidence
TIGIT	TIRAGOLUMAB	ncit:C131291	inhibitor:INHIBITORY	ChEMBL		DGIdb_evidence
TGFB1	STREPTOZOCIN	rxcui:10114		NCI	17968528	DGIdb_evidence
ITGB7	ETROLIZUMAB	ncit:C97944	inhibitor:INHIBITORY	ChEMBL;TTD		DGIdb_evidence
PDCD1	NIVOLUMAB	rxcui:1597876	antibody:INHIBITORY;blocker:INHIBITORY;immunotherapy:None;inhibitor:INHIBITORY	ChEMBL;ClearityFoundationClinicalTrial;MyCancerGenome;TALC;TTD;TdgClinicalTrial		DGIdb_evidence
HLA-A	DESIPRAMINE	rxcui:3247		PharmGKB		DGIdb_evidence
PDCD1	SASANLIMAB	ncit:C124058	inhibitor:INHIBITORY	ChEMBL;TTD		DGIdb_evidence
CD3D	DAPAGLIFLOZIN PROPANEDIOL	rxcui:1486966	inhibitor:INHIBITORY	GuideToPharmacology		DGIdb_evidence
TGFB1	ESTRADIOL VALERATE	rxcui:24395		NCI	11498938	DGIdb_evidence
IFNG	MELATONIN	rxcui:6711		NCI	7722866	DGIdb_evidence
AXL	HESPERADIN	rxcui:1552358	inhibitor:INHIBITORY	DTC	19035792	DGIdb_evidence
TGFB1	BOVINE CARTILAGE	ncit:C2418		NCI	12525389	DGIdb_evidence
TGFB1	CLADRIBINE	rxcui:44157		NCI	12097998	DGIdb_evidence
GZMB	SETANAXIB	iuphar.ligand:9932	inhibitor:INHIBITORY	GuideToPharmacology		DGIdb_evidence
AXL	GEFITINIB	rxcui:328134		DTC		DGIdb_evidence
CD3D	ENAVOGLIFLOZIN	ncit:C171901	inhibitor:INHIBITORY	GuideToPharmacology		DGIdb_evidence
IFNG	CYCLOPHOSPHAMIDE ANHYDROUS	rxcui:1545988		NCI	10823419	DGIdb_evidence
LAG3	TEBOTELIMAB	ncit:C143957	inhibitor:INHIBITORY	ChEMBL		DGIdb_evidence
CD3D	REMOGLIFLOZIN	iuphar.ligand:4588	inhibitor:INHIBITORY	GuideToPharmacology		DGIdb_evidence
PSMB9	OPROZOMIB	ncit:C91388	inhibitor:INHIBITORY	ChEMBL		DGIdb_evidence
