release_title	article_id	file_name	download_url	remote_size_bytes	local_path	local_size_bytes	sha256	status	reason
DepMap 24Q2 Public	25880521	CRISPRGeneEffect.csv	https://ndownloader.figshare.com/files/46489063	419330454	D:\EcoNiche-Opt\data\raw\DepMap\CRISPRGeneEffect.csv	419330454	d155149181308f8e16b6a4677cde3e5af1ddef68ada1947486ae8c0bcb231452	EXISTING	
DepMap 24Q2 Public	25880521	Model.csv	https://ndownloader.figshare.com/files/46489732	559182	D:\EcoNiche-Opt\data\raw\DepMap\Model.csv	559182	a4cac376131b41aa10b60a075b11c80264bfa860a5509d22cde259c5e85867f8	EXISTING	
