endpoint	stratum	holdout	candidate	inner_mean_AUROC	inner_mean_AUPRC	inner_mean_balanced_accuracy	inner_mean_ECE	inner_sd_AUROC	performance_score	selection_score	bio_cell_specificity	bio_pathway	bio_network	bio_lr	bio_direction_stability	penalty_size	penalty_batch	penalty_leakage	penalty_redundancy	penalty_therapy_confounding	bio_bonus	bio_penalty	bio_objective_delta
primary_recist	melanoma_recist_supported_primary	GSE91061	module_prior_composite	0.6815943559364612	0.7219762250433064	0.5813189003978478	0.31655837058300756	0.14672722006363606	0.7467591122085189	0.7467591122085189													
primary_recist	melanoma_recist_supported_primary	GSE91061	module_positive_composite	0.622868359710465	0.6865964428986114	0.5589381378855063	0.2151232307439742	0.14740437118466207	0.6851450887496708	0.6851450887496708													
primary_recist	melanoma_recist_supported_primary	GSE91061	word_full_graph	0.7133188448977923	0.7695231673456018	0.5881947000368053	0.28381162434804236	0.045331605229445404	0.7567099306287359	0.8588705341157953	0.5757575757575758	0.0	1.0	0.0	0.9191919191919191	0.2777777777777778	0.14390381642230715	0.0	0.5413012669926458	0.15493752668744507	0.1595959595959596	0.05743535610890023	0.10216060348705937
primary_recist	melanoma_recist_supported_primary	GSE91061	word_no_interaction	0.7925491905755063	0.8095570716174082	0.68435110211426	0.2961700292414848	0.04412184576440416	0.8434421178627556	0.8730048561787633	0.6511627906976745	0.0	0.0	0.0	0.8565891472868216	0.46296296296296297	0.359270936146361	0.0	0.42453771976356613	0.4514067464869247	0.12062015503875968	0.09105741672275194	0.02956273831600774
primary_recist	melanoma_recist_supported_primary	GSE91061	word_unsigned_graph	0.556528997318471	0.5671567436389583	0.6054698225750857	0.27850114800898546	0.08269205871918105	0.5645315641861418	0.6570561883415793	0.55	0.022222222222222223	0.9777777777777777	0.0	0.9416666666666667	0.4074074074074074	0.16670875342970148	0.0	0.4817708449705785	0.2617434071738887	0.15933333333333333	0.06680870917789578	0.09252462415543755
primary_recist	melanoma_recist_supported_primary	GSE91061	word_no_bio_objective	0.6094464745780536	0.6833661485649768	0.5229204275256907	0.26734483442585283	0.03320727256666385	0.6488841129919591	0.6488841129919591	0.6060606060606061	0.0	1.0	0.0	0.9191919191919191	0.2777777777777778	0.1614429609857302	0.0	0.4892176218189534	0.23417971625591683	0.162020202020202	0.06019641489371304	0.10182378712648897
primary_recist	melanoma_recist_supported_primary	GSE91061	module_logistic_l1_C0.05	0.5	0.5177872413644771	0.5	0.042177485266916136	0.0	0.5508893620682239	0.5508893620682239													
primary_recist	melanoma_recist_supported_primary	GSE91061	module_logistic_l1_C0.25	0.5397314673630462	0.5877203361550151	0.5465499412867834	0.13410981405155956	0.040646096050502824	0.5964449812351361	0.5964449812351361													
primary_recist	melanoma_recist_supported_primary	GSE91061	module_logistic_l1_C1	0.5947068282594599	0.6283997501445493	0.5754417366259471	0.24490097754666681	0.02336817523170498	0.6548989025979847	0.6548989025979847													
primary_recist	melanoma_recist_supported_primary	GSE91061	module_logistic_l2_C0.05	0.5875177454124824	0.6224810079552295	0.5660384936700726	0.09826487773662622	0.07129749552219092	0.6469437204937475	0.6469437204937475													
primary_recist	melanoma_recist_supported_primary	GSE91061	module_logistic_l2_C0.25	0.5950883911410226	0.6254136323215881	0.5462695199537305	0.18997344984535516	0.03795906016277528	0.6536725487547885	0.6536725487547885													
primary_recist	melanoma_recist_supported_primary	GSE91061	module_logistic_l2_C1	0.5866447149341886	0.6168434331232072	0.578442756074335	0.2659545775941865	0.024878127437221686	0.6464090243940657	0.6464090243940657													
primary_recist	melanoma_recist_supported_primary	GSE78220	module_prior_composite	0.6697506440927494	0.6593027402156862	0.4846813274444853	0.32108392473974157	0.1503225140394979	0.726949847475758	0.726949847475758													
primary_recist	melanoma_recist_supported_primary	GSE78220	module_positive_composite	0.6536375904796957	0.6552704741986846	0.5603545577229787	0.2524907282127235	0.13574709516448272	0.7144188420757789	0.7144188420757789													
primary_recist	melanoma_recist_supported_primary	GSE78220	word_full_graph	0.72847452255347	0.5995866225451324	0.5637626262626262	0.2843217869530143	0.06023115828309523	0.7468690268507695	0.7954763578309816	0.3783783783783784	0.022727272727272728	0.9772727272727273	0.0	0.9504504504504504	0.35185185185185186	0.34594972808741736	0.0	0.7620577199834102	0.3569207401171255	0.1463063063063063	0.09769897532609426	0.048607330980212055
primary_recist	melanoma_recist_supported_primary	GSE78220	word_no_interaction	0.7333241320083426	0.6692401257249871	0.5707264957264958	0.26673145054729375	0.04127479196657954	0.7702010954001113	0.7782940311001376	0.4878048780487805	0.0	0.0	0.0	0.9512195121951219	0.42592592592592593	0.4153524273686467	0.0	0.47413324995207423	0.6611424359070667	0.11512195121951219	0.10702901551948582	0.008092935700026366
primary_recist	melanoma_recist_supported_primary	GSE78220	word_unsigned_graph	0.5381640289535027	0.482653516568013	0.49179599640125954	0.4033348276918005	0.04152482798329426	0.5318327836841145	0.6255880651784546	0.6774193548387096	0.024390243902439025	0.975609756097561	0.0	0.967741935483871	0.24074074074074073	0.22148108170003467	0.0	0.6912186938169935	0.31897141749968555	0.17161290322580647	0.07785762173146636	0.0937552814943401
primary_recist	melanoma_recist_supported_primary	GSE78220	word_no_bio_objective	0.6479261235840182	0.5892518856535608	0.5253108003108004	0.2971307028219579	0.08323029893763291	0.6510936122196859	0.6510936122196859	0.47619047619047616	0.0	1.0	0.0	0.9642857142857141	0.4444444444444444	0.1361136876345054	0.0	0.5450739712644501	0.1725787507756885	0.15523809523809523	0.06454950889054514	0.09068858634755009
primary_recist	melanoma_recist_supported_primary	GSE78220	module_logistic_l1_C0.05	0.5	0.41297494607599133	0.5	0.13464410154305623	0.0	0.5456487473037996	0.5456487473037996													
