fold	gene	feature_kind	selected_in_outer_training
GSE78220	TAP1	genes_prior	1
GSE78220	NKG7	genes_prior	1
GSE78220	LAG3	genes_prior	1
GSE78220	PRF1	genes_prior	1
GSE78220	GZMB	genes_prior	1
GSE78220	TIGIT	genes_prior	1
GSE78220	TGFB1	genes_prior	1
GSE78220	ZEB1	genes_prior	1
GSE78220	S100A9	genes_prior	1
GSE78220	IL10	genes_prior	1
GSE78220	LILRB2	genes_prior	1
GSE78220	AXL	genes_prior	1
GSE78220	HAVCR2	genes_prior	1
GSE78220	HLA-A	genes_prior	1
GSE78220	CD163	genes_prior	1
GSE78220	HLA-DRA	genes_prior	1
GSE78220	HLA-B	genes_prior	1
GSE78220	PDCD1	genes_prior	1
GSE78220	ITGAL	genes_prior	1
GSE78220	ITGB7	genes_prior	1
GSE78220	CD3E	genes_prior	1
GSE78220	PSMB9	genes_prior	1
GSE78220	IFNG	genes_prior	1
GSE78220	GBP1	genes_prior	1
GSE78220	CD44	genes_prior	1
GSE78220	TAGAP	genes_prior	1
GSE78220	AKT1	genes_prior	1
GSE78220	GNLY	genes_prior	1
GSE78220	S100A8	genes_prior	1
GSE78220	IL10RA	genes_prior	1
GSE78220	PYGL	genes_prior	1
GSE78220	LAMP1	genes_prior	1
GSE78220	PTEN	genes_prior	1
GSE78220	HLA-DMA	genes_prior	1
GSE78220	AIF1	genes_prior	1
GSE78220	HLA-DQA1	genes_prior	1
GSE78220	CD3D	genes_prior	1
GSE78220	IGF1R	genes_prior	1
GSE78220	MAPK1	genes_prior	1
GSE78220	CD276	genes_prior	1
GSE78220	CD2	genes_prior	1
GSE78220	FASLG	genes_prior	1
GSE78220	BCL2	genes_prior	1
GSE78220	PTPN7	genes_prior	1
GSE78220	HLA-E	genes_prior	1
GSE78220	TFRC	genes_prior	1
GSE78220	SDHA	genes_prior	1
GSE78220	IL7	genes_prior	1
GSE78220	TNFAIP8	genes_prior	1
GSE78220	CCR2	genes_prior	1
GSE78220	LILRB1	genes_prior	1
GSE78220	SIT1	genes_prior	1
GSE78220	CIITA	genes_prior	1
GSE78220	KREMEN1	genes_prior	1
GSE78220	CTLA4	genes_prior	1
GSE78220	CD8A	genes_prior	1
GSE78220	SNAI2	genes_prior	1
GSE78220	IL23A	genes_prior	1
GSE78220	FOXO1	genes_prior	1
GSE78220	TCF7	genes_prior	1
GSE78220	IRS1	genes_prior	1
GSE78220	TNFSF9	genes_prior	1
GSE78220	TLR3	genes_prior	1
GSE78220	BCL2L11	genes_prior	1
GSE78220	IL15	genes_prior	1
GSE78220	IKZF4	genes_prior	1
GSE78220	IL13	genes_prior	1
GSE78220	FCGR1A	genes_prior	1
GSE78220	ICOS	genes_prior	1
GSE78220	CCL21	genes_prior	1
GSE78220	CXCL10	genes_prior	1
GSE78220	KLF2	genes_prior	1
GSE78220	FAS	genes_prior	1
GSE78220	TBX21	genes_prior	1
GSE78220	MYC	genes_prior	1
GSE78220	PTPN6	genes_prior	1
GSE78220	TP63	genes_prior	1
GSE78220	CCL5	genes_prior	1
GSE78220	ALOX15B	genes_prior	1
GSE78220	CDKN3	genes_prior	1
GSE78220	CEACAM1	genes_prior	1
GSE78220	IFI44L	genes_prior	1
GSE78220	CSF1R	genes_prior	1
GSE78220	TRIM29	genes_prior	1
GSE78220	SH2D1B	genes_prior	1
GSE78220	CD1C	genes_prior	1
GSE78220	NOS2	genes_prior	1
GSE78220	STAT6	genes_prior	1
GSE78220	ID2	genes_prior	1
GSE78220	PTGS2	genes_prior	1
GSE78220	LYZ	genes_prior	1
GSE78220	MADCAM1	genes_prior	1
GSE78220	IDO1	genes_prior	1
GSE78220	GZMH	genes_prior	1
GSE78220	IL2RB	genes_prior	1
GSE78220	MAPK14	genes_prior	1
GSE78220	IL17A	genes_prior	1
GSE78220	ITGAX	genes_prior	1
GSE78220	C1QA	genes_prior	1
GSE78220	CXCL9	genes_prior	1
GSE78220	TNF	genes_prior	1
GSE78220	CD209	genes_prior	1
GSE78220	VTCN1	genes_prior	1
GSE78220	MPO	genes_prior	1
GSE78220	IL4	genes_prior	1
GSE78220	HIF1A	genes_prior	1
GSE78220	EOMES	genes_prior	1
GSE78220	ITK	genes_prior	1
GSE78220	IKZF2	genes_prior	1
GSE78220	CDK1	genes_prior	1
GSE78220	CD68	genes_prior	1
GSE78220	NFATC1	genes_prior	1
GSE78220	SLAMF7	genes_prior	1
GSE78220	ZBTB46	genes_prior	1
GSE78220	VEGFA	genes_prior	1
GSE78220	SLAMF8	genes_prior	1
GSE78220	IFI35	genes_prior	1
GSE78220	CD6	genes_prior	1
GSE78220	PIK3CA	genes_prior	1
GSE78220	CCL2	genes_prior	1
GSE78220	CX3CR1	genes_prior	1
GSE78220	IL17F	genes_prior	1
GSE78220	IFIT2	genes_prior	1
GSE78220	HLA-G	genes_prior	1
GSE78220	ITGAM	genes_prior	1
GSE78220	FOXM1	genes_prior	1
GSE78220	MMP2	genes_prior	1
GSE78220	CEACAM8	genes_prior	1
GSE78220	SKAP2	genes_prior	1
GSE78220	HLA-DPA1	genes_prior	1
GSE78220	ITGB1	genes_prior	1
GSE78220	PIK3CD	genes_prior	1
GSE78220	STAT4	genes_prior	1
GSE78220	CD33	genes_prior	1
GSE78220	IFIT1	genes_prior	1
GSE78220	C1QB	genes_prior	1
GSE78220	CSF2RB	genes_prior	1
GSE78220	LMNA	genes_prior	1
GSE78220	NRP1	genes_prior	1
GSE78220	CD14	genes_prior	1
GSE78220	GZMA	genes_prior	1
GSE78220	CD63	genes_prior	1
GSE78220	TNFSF13B	genes_prior	1
GSE78220	CD47	genes_prior	1
GSE78220	TNFSF18	genes_prior	1
GSE78220	IL21	genes_prior	1
GSE78220	CD3G	genes_prior	1
GSE78220	CCR6	genes_prior	1
GSE78220	KLRB1	genes_prior	1
GSE78220	CD8B	genes_prior	1
GSE78220	HLA-DOA	genes_prior	1
GSE78220	CD28	genes_prior	1
GSE78220	CD226	genes_prior	1
GSE78220	NFKBIA	genes_prior	1
GSE78220	GATA3	genes_prior	1
GSE78220	IL18	genes_prior	1
GSE78220	HLA-DOB	genes_prior	1
GSE78220	CXCL13	genes_prior	1
GSE78220	PVR	genes_prior	1
GSE78220	LCN2	genes_prior	1
GSE78220	HLA-C	genes_prior	1
GSE78220	LAPTM5	genes_prior	1
GSE78220	CD83	genes_prior	1
GSE78220	RB1	genes_prior	1
GSE78220	KIR2DL3	genes_prior	1
GSE78220	CCL17	genes_prior	1
GSE78220	CD70	genes_prior	1
GSE78220	TBP	genes_prior	1
GSE78220	KRT7	genes_prior	1
GSE78220	CD38	genes_prior	1
GSE78220	TYROBP	genes_prior	1
GSE78220	IL1A	genes_prior	1
GSE78220	IFITM1	genes_prior	1
GSE78220	EBI3	genes_prior	1
GSE78220	CD22	genes_prior	1
GSE78220	CD80	genes_prior	1
GSE78220	CD274	genes_prior	1
GSE78220	GRAP2	genes_prior	1
GSE78220	IFIH1	genes_prior	1
GSE78220	M6PR	genes_prior	1
GSE78220	PGF	genes_prior	1
GSE78220	PRDM1	genes_prior	1
GSE78220	PTK7	genes_prior	1
GSE78220	IGSF6	genes_prior	1
GSE78220	IFI6	genes_prior	1
GSE78220	CX3CL1	genes_prior	1
GSE78220	ICOSLG	genes_prior	1
GSE78220	TWIST1	genes_prior	1
GSE78220	CD79A	genes_prior	1
GSE78220	TNFSF4	genes_prior	1
GSE78220	TDO2	genes_prior	1
GSE78220	PTPRC	genes_prior	1
GSE78220	GUSB	genes_prior	1
GSE78220	KRT5	genes_prior	1
GSE78220	IDO2	genes_prior	1
GSE78220	MAD2L1	genes_prior	1
GSE78220	IL12B	genes_prior	1
GSE78220	BRCA1	genes_prior	1
GSE78220	CD37	genes_prior	1
GSE78220	CD247	genes_prior	1
GSE91061	NKG7	genes_prior	1
GSE91061	GZMB	genes_prior	1
GSE91061	HAVCR2	genes_prior	1
GSE91061	AXL	genes_prior	1
GSE91061	LAG3	genes_prior	1
GSE91061	IL10	genes_prior	1
GSE91061	ZEB1	genes_prior	1
GSE91061	TAP1	genes_prior	1
GSE91061	PRF1	genes_prior	1
GSE91061	MADCAM1	genes_prior	1
GSE91061	LILRB2	genes_prior	1
GSE91061	HLA-A	genes_prior	1
GSE91061	TGFB1	genes_prior	1
GSE91061	TFRC	genes_prior	1
GSE91061	GNLY	genes_prior	1
GSE91061	TYROBP	genes_prior	1
GSE91061	IRS1	genes_prior	1
GSE91061	AIF1	genes_prior	1
GSE91061	CD3E	genes_prior	1
GSE91061	IL13	genes_prior	1
GSE91061	IKZF2	genes_prior	1
GSE91061	PSMB9	genes_prior	1
GSE91061	CD3D	genes_prior	1
GSE91061	C1QA	genes_prior	1
GSE91061	PTEN	genes_prior	1
GSE91061	S100A9	genes_prior	1
GSE91061	KIR2DL3	genes_prior	1
GSE91061	CD2	genes_prior	1
GSE91061	IFNG	genes_prior	1
GSE91061	IL21	genes_prior	1
GSE91061	LYZ	genes_prior	1
GSE91061	SH2D1B	genes_prior	1
GSE91061	S100A8	genes_prior	1
GSE91061	IFI35	genes_prior	1
GSE91061	IGF1R	genes_prior	1
GSE91061	HLA-B	genes_prior	1
GSE91061	MPO	genes_prior	1
GSE91061	NOS2	genes_prior	1
GSE91061	HLA-DQA1	genes_prior	1
GSE91061	IL17A	genes_prior	1
GSE91061	ITGB7	genes_prior	1
GSE91061	PRDM1	genes_prior	1
GSE91061	CXCL10	genes_prior	1
GSE91061	IFI6	genes_prior	1
GSE91061	C1QB	genes_prior	1
GSE91061	IL17F	genes_prior	1
GSE91061	TRIM29	genes_prior	1
GSE91061	PTGS2	genes_prior	1
GSE91061	TP63	genes_prior	1
GSE91061	SLAMF7	genes_prior	1
GSE91061	CCL5	genes_prior	1
GSE91061	GZMA	genes_prior	1
GSE91061	IL23A	genes_prior	1
GSE91061	NRP1	genes_prior	1
GSE91061	NCR1	genes_prior	1
GSE91061	IL12B	genes_prior	1
GSE91061	GBP1	genes_prior	1
GSE91061	IL1A	genes_prior	1
GSE91061	TIGIT	genes_prior	1
GSE91061	TNFSF14	genes_prior	1
GSE91061	BCL2L11	genes_prior	1
GSE91061	TNFSF18	genes_prior	1
GSE91061	FOXO1	genes_prior	1
GSE91061	HIF1A	genes_prior	1
GSE91061	KLRB1	genes_prior	1
GSE91061	CD68	genes_prior	1
GSE91061	MKI67	genes_prior	1
GSE91061	FCER1G	genes_prior	1
GSE91061	PDCD1	genes_prior	1
GSE91061	LRP1	genes_prior	1
GSE91061	IFNB1	genes_prior	1
GSE91061	IFIT1	genes_prior	1
GSE91061	TCF7	genes_prior	1
GSE91061	FCGR1A	genes_prior	1
GSE91061	CD8A	genes_prior	1
GSE91061	IL4	genes_prior	1
GSE91061	IFITM1	genes_prior	1
GSE91061	IKZF4	genes_prior	1
GSE91061	IGSF6	genes_prior	1
GSE91061	CD163	genes_prior	1
GSE91061	IDO2	genes_prior	1
GSE91061	CEACAM8	genes_prior	1
GSE91061	CD63	genes_prior	1
GSE91061	IL10RA	genes_prior	1
GSE91061	IL7	genes_prior	1
GSE91061	CD33	genes_prior	1
GSE91061	BRCA2	genes_prior	1
GSE91061	KRT7	genes_prior	1
GSE91061	GATA3	genes_prior	1
GSE91061	RPS6	genes_prior	1
GSE91061	TLR3	genes_prior	1
GSE91061	MAPK1	genes_prior	1
GSE91061	CD14	genes_prior	1
GSE91061	NOTCH3	genes_prior	1
GSE91061	ITGA1	genes_prior	1
GSE91061	LILRB1	genes_prior	1
GSE91061	VEGFA	genes_prior	1
GSE91061	IL7R	genes_prior	1
GSE91061	TNFSF13B	genes_prior	1
GSE91061	CXCR5	genes_prior	1
GSE91061	PIK3CA	genes_prior	1
GSE91061	CD48	genes_prior	1
GSE91061	EGFR	genes_prior	1
GSE91061	CD44	genes_prior	1
GSE91061	EIF2AK2	genes_prior	1
GSE91061	CSF1R	genes_prior	1
GSE91061	CD52	genes_prior	1
GSE91061	VTCN1	genes_prior	1
GSE91061	IL2	genes_prior	1
GSE91061	CD83	genes_prior	1
GSE91061	CD53	genes_prior	1
GSE91061	CXCL9	genes_prior	1
GSE91061	ITGAL	genes_prior	1
GSE91061	IFIT2	genes_prior	1
GSE91061	LAPTM5	genes_prior	1
GSE91061	FCRLA	genes_prior	1
GSE91061	IKZF1	genes_prior	1
GSE91061	CD86	genes_prior	1
GSE91061	SIT1	genes_prior	1
GSE91061	EOMES	genes_prior	1
GSE91061	ZBTB46	genes_prior	1
GSE91061	GZMH	genes_prior	1
GSE91061	MTOR	genes_prior	1
GSE91061	SNAI2	genes_prior	1
GSE91061	BRCA1	genes_prior	1
GSE91061	CD226	genes_prior	1
GSE91061	BST2	genes_prior	1
GSE91061	BCL2	genes_prior	1
GSE91061	ISG15	genes_prior	1
GSE91061	CLEC4C	genes_prior	1
GSE91061	TNFAIP8	genes_prior	1
GSE91061	BTLA	genes_prior	1
GSE91061	CCL21	genes_prior	1
GSE91061	FAS	genes_prior	1
GSE91061	MMP2	genes_prior	1
GSE91061	CCR4	genes_prior	1
GSE91061	HLA-DMA	genes_prior	1
GSE91061	MAPK14	genes_prior	1
GSE91061	OAS1	genes_prior	1
GSE91061	ITGB1	genes_prior	1
GSE91061	BCL6	genes_prior	1
GSE91061	FCGR3A	genes_prior	1
GSE91061	CBLB	genes_prior	1
GSE91061	IL12A	genes_prior	1
GSE91061	IFI44L	genes_prior	1
GSE91061	BATF	genes_prior	1
GSE91061	B3GAT1	genes_prior	1
GSE91061	AKT1	genes_prior	1
GSE91061	IL15	genes_prior	1
GSE91061	ENTPD1	genes_prior	1
GSE91061	SLAMF8	genes_prior	1
GSE91061	PYGL	genes_prior	1
GSE91061	PTPN7	genes_prior	1
GSE91061	PDCD1LG2	genes_prior	1
GSE91061	MS4A1	genes_prior	1
GSE91061	TAGAP	genes_prior	1
GSE91061	LCN2	genes_prior	1
GSE91061	SKAP2	genes_prior	1
GSE91061	CD8B	genes_prior	1
GSE91061	CCR2	genes_prior	1
GSE91061	POU2AF1	genes_prior	1
GSE91061	CCL22	genes_prior	1
GSE91061	TNFSF4	genes_prior	1
GSE91061	IKZF3	genes_prior	1
GSE91061	IFI27	genes_prior	1
GSE91061	KRT5	genes_prior	1
GSE91061	CD27	genes_prior	1
GSE91061	ISG20	genes_prior	1
GSE91061	GZMK	genes_prior	1
GSE91061	CD74	genes_prior	1
GSE91061	IFIT3	genes_prior	1
GSE91061	STAT6	genes_prior	1
GSE91061	CD19	genes_prior	1
GSE91061	CORO1A	genes_prior	1
GSE91061	NTN3	genes_prior	1
GSE91061	CRTAM	genes_prior	1
GSE91061	MRC1	genes_prior	1
GSE91061	KLRD1	genes_prior	1
GSE91061	OAS2	genes_prior	1
GSE91061	PTK7	genes_prior	1
GSE91061	HLA-DPB1	genes_prior	1
GSE91061	IFITM2	genes_prior	1
GSE91061	IL2RB	genes_prior	1
GSE91061	SDHA	genes_prior	1
GSE91061	HLA-DQB2	genes_prior	1
GSE91061	CD47	genes_prior	1
GSE91061	HLA-DPA1	genes_prior	1
GSE91061	GPR18	genes_prior	1
GSE91061	CD209	genes_prior	1
GSE91061	CCL4	genes_prior	1
GSE91061	LAMP1	genes_prior	1
GSE91061	TOP2A	genes_prior	1
GSE91061	IL3RA	genes_prior	1
GSE91061	CXCR2	genes_prior	1
GSE91061	CCR5	genes_prior	1
GSE91061	HMBS	genes_prior	1
GSE91061	CTLA4	genes_prior	1
GSE91061	CXCL13	genes_prior	1
GSE91061	KREMEN1	genes_prior	1
GSE91061	CD274	genes_prior	1
