cohort	AUROC	AUPRC	balanced_accuracy	balanced_accuracy_0_5	MCC	F1	Brier	n_samples	n_features	feature_kind	k	model_name	inner_auc	inner_ap	threshold	inner_balanced_accuracy	selection_score
GSE115821	0.9166666666666667	0.8333333333333333	0.5	0.75	0.0	0.0	0.12598680998482256	8	345	all_common	345	l20.1	0.5730940934065935	0.4554989087433546	0.9979904515429406	0.49871584138072733	0.6208048309127976
GSE136961	0.37962962962962965	0.379124895572264	0.5	0.5	0.0	0.0	0.42808289518911263	21	345	all_common	345	l21.0	0.6258763227513228	0.5057615312507038	0.9999915024686226	0.5131848284166165	0.6768236407346888
GSE168204	0.3055555555555555	0.34678270168466246	0.3472222222222222	0.3472222222222222	-0.31137618438976383	0.36363636363636365	0.33960740698544456	21	50	genes_prior	50	enet_0.1_0.5	0.6215792887667888	0.487089070887763	0.28445160765997207	0.5116195063214931	0.6715147176272516
GSE176307	0.4809027777777778	0.18207848016946573	0.5	0.5	0.0	0.3076923076923077	0.6239882816625107	88	50	genes	50	l20.03	0.6254248066748067	0.5725859316869528	0.7107530405227902	0.5622710622710623	0.6821676563727075
GSE78220	0.38461538461538464	0.514387856152562	0.41758241758241754	0.5357142857142857	-0.19810721293758182	0.2	0.31555924080508474	27	200	genes_prior	200	et	0.6491319444444444	0.5216585955277613	0.3113766985543999	0.5066666666666666	0.7005482075541658
GSE91061	0.4910714285714285	0.23196133454532664	0.44345238095238093	0.49107142857142855	-0.0946222649056395	0.2608695652173913	0.44139116127821904	62	200	genes_prior	200	l20.03	0.668462555962556	0.5559947832125495	0.7667384610086507	0.5204347826086957	0.7222840342536183
