state	gene	direction	selection_frequency	cell_state_prior	coefficient
antigen_presentation_mhc	B2M	-1	1.0	0.9	1.1251193363179832
antigen_presentation_mhc	PRF1	-1	1.0	0.0	1.1251193363179832
caf_ecm_exclusion	PRF1	-1	1.0	0.0	0.8117949369215459
caf_ecm_exclusion	TGFB1	1	1.0	0.9	0.8117949369215459
myeloid_suppression	PRF1	-1	1.0	0.0	0.7799910596398175
myeloid_suppression	S100A8	1	1.0	0.9	0.7799910596398175
tcell_dysfunction	PDCD1	1	1.0	0.9	1.0093237322929047
tcell_dysfunction	PRF1	-1	1.0	0.0	1.0093237322929047
tnk_effector	B2M	-1	1.0	0.0	1.22324117302929
tnk_effector	PDCD1	1	1.0	0.0	1.22324117302929
tnk_effector	PRF1	-1	1.0	0.9	1.22324117302929
tumor_dedifferentiation	AXL	1	1.0	0.9	0.6111132307653946
tumor_dedifferentiation	PRF1	-1	1.0	0.0	0.6111132307653946
antigen_presentation_mhc	HLA-B	-1	0.999208575118912	0.9	1.1251193363179832
tumor_dedifferentiation	NGFR	1	0.9991645399909604	0.9	0.6111132307653946
caf_ecm_exclusion	COL1A1	1	0.9989458037598022	0.9	0.8117949369215459
antigen_presentation_mhc	GZMB	-1	0.998211369005934	0.0	1.1251193363179832
caf_ecm_exclusion	GZMB	-1	0.998211369005934	0.0	0.8117949369215459
myeloid_suppression	GZMB	-1	0.998211369005934	0.0	0.7799910596398175
tcell_dysfunction	GZMB	-1	0.998211369005934	0.0	1.0093237322929047
tnk_effector	GZMB	-1	0.998211369005934	0.9	1.22324117302929
tumor_dedifferentiation	GZMB	-1	0.998211369005934	0.0	0.6111132307653946
caf_ecm_exclusion	FN1	1	0.9977480252812688	0.9	0.8117949369215459
tcell_dysfunction	HAVCR2	1	0.9969264943444656	0.9	1.0093237322929047
