endpoint	stratum	holdout	candidate	inner_mean_AUROC	inner_mean_AUPRC	inner_mean_balanced_accuracy	selection_score
strict_recist	melanoma_anti_pd1_primary	GSE91061	module_prior_composite	0.5900894329841699	0.602965939174738	0.5414615866589549	0.6473108092758546
strict_recist	melanoma_anti_pd1_primary	GSE91061	module_positive_composite	0.5952995201679412	0.5973401494150521	0.6139126662810874	0.6558621609527481
strict_recist	melanoma_anti_pd1_primary	GSE91061	module_logistic_l1_C0.05	0.5	0.47106634106634104	0.5	0.5485533170533171
strict_recist	melanoma_anti_pd1_primary	GSE91061	module_logistic_l1_C0.25	0.5634869224342909	0.5599202736479455	0.492345205963627	0.6161001964148695
strict_recist	melanoma_anti_pd1_primary	GSE91061	module_logistic_l1_C1	0.5303118372855214	0.5450771450467725	0.5218300559090032	0.5836571973333102
strict_recist	melanoma_anti_pd1_primary	GSE91061	module_logistic_l2_C0.05	0.5378896493370178	0.5447047681386232	0.5380344290212712	0.5920266091950125
strict_recist	melanoma_anti_pd1_primary	GSE91061	module_logistic_l2_C0.25	0.5438131118394276	0.5481257453130396	0.4743676498939656	0.5949377815997778
strict_recist	melanoma_anti_pd1_primary	GSE91061	module_logistic_l2_C1	0.5150584259794786	0.5328536645209679	0.47365995115995113	0.5653841067635245
strict_recist	melanoma_anti_pd1_primary	GSE78220	module_prior_composite	0.5908538859225358	0.5928766206705245	0.49051678108314267	0.6450235560102192
strict_recist	melanoma_anti_pd1_primary	GSE78220	module_positive_composite	0.6189115603017206	0.6127859572969502	0.5578470633104501	0.6774432113320906
strict_recist	melanoma_anti_pd1_primary	GSE78220	module_logistic_l1_C0.05	0.5	0.42796869796869796	0.5	0.5463984348984349
strict_recist	melanoma_anti_pd1_primary	GSE78220	module_logistic_l1_C0.25	0.5861420459360962	0.5924040984139227	0.5722428807526061	0.6443743948944227
strict_recist	melanoma_anti_pd1_primary	GSE78220	module_logistic_l1_C1	0.5582280277989661	0.5851624061998665	0.5235529494024916	0.613663795579084
strict_recist	melanoma_anti_pd1_primary	GSE78220	module_logistic_l2_C0.05	0.6083483769811	0.6007104792099295	0.5348118484617341	0.6651244933646832
strict_recist	melanoma_anti_pd1_primary	GSE78220	module_logistic_l2_C0.25	0.5598853716416646	0.5718740201117166	0.5372314391050088	0.6153406446025008
strict_recist	melanoma_anti_pd1_primary	GSE78220	module_logistic_l2_C1	0.5370340706839564	0.5559564443182705	0.5155552377320112	0.5906096547864704
strict_recist	melanoma_anti_pd1_primary	GSE168204	module_prior_composite	0.6408945859632358	0.6420106500534851	0.5868469983487146	0.7023374683833459
strict_recist	melanoma_anti_pd1_primary	GSE168204	module_positive_composite	0.6395668309569912	0.6438286133266327	0.599347448889783	0.701725634067812
strict_recist	melanoma_anti_pd1_primary	GSE168204	module_logistic_l1_C0.05	0.5	0.44595811595811596	0.5	0.5472979057979058
strict_recist	melanoma_anti_pd1_primary	GSE168204	module_logistic_l1_C0.25	0.5809304825609173	0.5742301619066053	0.5602702932079362	0.6376555053166444
strict_recist	melanoma_anti_pd1_primary	GSE168204	module_logistic_l1_C1	0.5921134986295169	0.5849270931557077	0.5846955599701595	0.6505946312858102
strict_recist	melanoma_anti_pd1_primary	GSE168204	module_logistic_l2_C0.05	0.592715295764495	0.5884641611452285	0.5240021772659073	0.6483386126850518
strict_recist	melanoma_anti_pd1_primary	GSE168204	module_logistic_l2_C0.25	0.6021851660924888	0.5958927612781338	0.5649587178648964	0.6602277400496404
strict_recist	melanoma_anti_pd1_primary	GSE168204	module_logistic_l2_C1	0.5779726280584404	0.5746143071203946	0.5475432100317683	0.6340805039160486
strict_recist	melanoma_anti_pd1_primary	GSE115821	module_prior_composite	0.6205242155928655	0.64051969480608	0.5808237671939045	0.6815913886928648
strict_recist	melanoma_anti_pd1_primary	GSE115821	module_positive_composite	0.5932705346606948	0.6341496732245759	0.5195228874862743	0.6509541626962373
strict_recist	melanoma_anti_pd1_primary	GSE115821	module_logistic_l1_C0.05	0.5	0.48167240167240166	0.5	0.5490836200836201
strict_recist	melanoma_anti_pd1_primary	GSE115821	module_logistic_l1_C0.25	0.5691289516060684	0.579814126554493	0.5487366793516679	0.6255564919013763
strict_recist	melanoma_anti_pd1_primary	GSE115821	module_logistic_l1_C1	0.5859215276206122	0.5915945213793556	0.5264445359496847	0.6418234804870642
strict_recist	melanoma_anti_pd1_primary	GSE115821	module_logistic_l2_C0.05	0.5899149024549482	0.6195223552664335	0.5481099802181039	0.648296519229175
strict_recist	melanoma_anti_pd1_primary	GSE115821	module_logistic_l2_C0.25	0.5594176937140324	0.5789866284090686	0.5323105631972909	0.6149825532943504
strict_recist	melanoma_anti_pd1_primary	GSE115821	module_logistic_l2_C1	0.553167853207899	0.5705883712793509	0.5181447347465654	0.6076045085091948
strict_recist	melanoma_anti_pd1_primary	GSE145996	module_prior_composite	0.6055242155928655	0.5646291270405122	0.5580737064232487	0.6616593572660535
strict_recist	melanoma_anti_pd1_primary	GSE145996	module_positive_composite	0.6166038679940282	0.5710183600932628	0.6365842909950462	0.6769840005484437
strict_recist	melanoma_anti_pd1_primary	GSE145996	module_logistic_l1_C0.05	0.5	0.40859547859547857	0.5	0.545429773929774
strict_recist	melanoma_anti_pd1_primary	GSE145996	module_logistic_l1_C0.25	0.5529433114558973	0.5064633018417675	0.5129835772541721	0.6039156554106943
strict_recist	melanoma_anti_pd1_primary	GSE145996	module_logistic_l1_C1	0.5260417720257538	0.490656800109522	0.4917557760063481	0.5751624008315472
strict_recist	melanoma_anti_pd1_primary	GSE145996	module_logistic_l2_C0.05	0.5518953133484026	0.5175249771143424	0.5830827382000152	0.6069256991141205
strict_recist	melanoma_anti_pd1_primary	GSE145996	module_logistic_l2_C0.25	0.5511215725117327	0.5476831044607646	0.5073983244063336	0.6038756439550876
strict_recist	melanoma_anti_pd1_primary	GSE145996	module_logistic_l2_C1	0.5405527778010615	0.5444413304769004	0.4670397286415593	0.5911268307569845
strict_recist	melanoma_anti_pd1_primary	PRJEB23709_PD1_PRE	module_prior_composite	0.554734741908655	0.5524535851422027	0.5566969262621436	0.6101922674788723
strict_recist	melanoma_anti_pd1_primary	PRJEB23709_PD1_PRE	module_positive_composite	0.569367025888765	0.5616256127664059	0.49988533205924507	0.6224425731300475
strict_recist	melanoma_anti_pd1_primary	PRJEB23709_PD1_PRE	module_logistic_l1_C0.05	0.5	0.4231009731009731	0.5	0.5461550486550487
strict_recist	melanoma_anti_pd1_primary	PRJEB23709_PD1_PRE	module_logistic_l1_C0.25	0.5201548371113589	0.529407490788925	0.5071074215639434	0.5719805827290023
strict_recist	melanoma_anti_pd1_primary	PRJEB23709_PD1_PRE	module_logistic_l1_C1	0.4659241563589389	0.46099582880034917	0.42997717258586815	0.5104728064282498
strict_recist	melanoma_anti_pd1_primary	PRJEB23709_PD1_PRE	module_logistic_l2_C0.05	0.47428164428164427	0.4710102003334667	0.4816078728035249	0.5219125479384938
strict_recist	melanoma_anti_pd1_primary	PRJEB23709_PD1_PRE	module_logistic_l2_C0.25	0.45044938153633807	0.45706988585112523	0.36928558156819025	0.4917671549073039
strict_recist	melanoma_anti_pd1_primary	PRJEB23709_PD1_PRE	module_logistic_l2_C1	0.4046083948257862	0.44116380919057496	0.4190068747677443	0.44761692902370215
strict_recist	melanoma_recist_supported_primary	GSE91061	module_prior_composite	0.6840996722575671	0.7455233954654767	0.543308993637941	0.748541291712738
strict_recist	melanoma_recist_supported_primary	GSE91061	module_positive_composite	0.6248819163292848	0.7116984825285148	0.5437921727395412	0.6876564490926876
strict_recist	melanoma_recist_supported_primary	GSE91061	module_logistic_l1_C0.05	0.5	0.5589200922534255	0.5	0.5529460046126713
strict_recist	melanoma_recist_supported_primary	GSE91061	module_logistic_l1_C0.25	0.5559981684981685	0.62302537316912	0.5402291787160208	0.6141608960924255
strict_recist	melanoma_recist_supported_primary	GSE91061	module_logistic_l1_C1	0.5962430113745903	0.6597267953034179	0.5577501445922498	0.6571168583693737
strict_recist	melanoma_recist_supported_primary	GSE91061	module_logistic_l2_C0.05	0.6048076923076923	0.6659230609117804	0.5857347696163485	0.6673905838340987
strict_recist	melanoma_recist_supported_primary	GSE91061	module_logistic_l2_C0.25	0.6127265278581069	0.6668581421439693	0.5605925872373241	0.6740990643271716
strict_recist	melanoma_recist_supported_primary	GSE91061	module_logistic_l2_C1	0.5850828995565838	0.6424398328791127	0.5406448814343552	0.6442371352722572
strict_recist	melanoma_recist_supported_primary	GSE78220	module_prior_composite	0.685373760488177	0.7287078646251212	0.5077326468344775	0.747195786061157
strict_recist	melanoma_recist_supported_primary	GSE78220	module_positive_composite	0.6642353165522502	0.7374414956650116	0.5172292143401983	0.7269688520525107
strict_recist	melanoma_recist_supported_primary	GSE78220	module_logistic_l1_C0.05	0.5	0.4870906870906871	0.5	0.5493545343545344
