endpoint	stratum	baseline_model	n_samples	target_AUROC	baseline_AUROC	delta_AUROC	bootstrap_mean_delta	ci_low	ci_high	p_value	fdr_q	claim_level
primary_recist	melanoma_anti_pd1_primary	IFNG	160	0.6407175773535221	0.619486504279131	0.021231073074391094	0.021298856862468	-0.0248434884373382	0.0638137009189639	0.338	0.5124	point_estimate_only
primary_recist	melanoma_anti_pd1_primary	CXCL9	160	0.6407175773535221	0.6254114549045425	0.015306122448979553	0.0158502480706436	-0.0323833464553739	0.0630032049021336	0.502	0.526	point_estimate_only
primary_recist	melanoma_anti_pd1_primary	TIG	160	0.6407175773535221	0.6259052007899935	0.014812376563528629	0.01508895026123	-0.0240174257785609	0.0528326658577247	0.458	0.526	point_estimate_only
primary_recist	melanoma_anti_pd1_primary	TIDE_dysfunction	160	0.6407175773535221	0.6120803159973667	0.028637261356155408	0.0278138764925409	-0.018072037585611	0.0712074825962872	0.232	0.5124	point_estimate_only
primary_recist	melanoma_anti_pd1_primary	APM	160	0.6407175773535221	0.6137261356155366	0.02699144173798551	0.0272720422292442	-0.0362282768475251	0.0944051106770832	0.406	0.5167272727272727	point_estimate_only
primary_recist	melanoma_anti_pd1_primary	CYT	160	0.6407175773535221	0.6076366030283081	0.03308097432521395	0.0324342493360104	-0.0195403358255198	0.0789896805414141	0.194	0.5124	point_estimate_only
primary_recist	melanoma_anti_pd1_primary	IPRES	160	0.6407175773535221	0.5146477946017116	0.12606978275181047	0.1256460048338524	-0.0003591420021625	0.24568541516114	0.054	0.189	point_estimate_only
primary_recist	melanoma_anti_pd1_primary	TIDE_exclusion	160	0.6407175773535221	0.499341672152732	0.14137590520079008	0.1412899059139726	0.0108140710382513	0.275044266744875	0.034	0.1586666666666666	point_estimate_only
primary_recist	melanoma_recist_supported_primary	IFNG	131	0.6845588235294118	0.6397058823529411	0.04485294117647065	0.0448540710517209	-0.0017104120129064	0.0943214535290006	0.062	0.1085	point_estimate_only
primary_recist	melanoma_recist_supported_primary	CXCL9	131	0.6845588235294118	0.649264705882353	0.03529411764705881	0.0348944135860776	-0.0147431464748909	0.0873961834733893	0.186	0.2003076923076923	point_estimate_only
primary_recist	melanoma_recist_supported_primary	TIG	131	0.6845588235294118	0.6443627450980393	0.04019607843137252	0.0401171595265372	0.0002344877344878	0.0858713564034871	0.05	0.1	point_estimate_only
primary_recist	melanoma_recist_supported_primary	TIDE_dysfunction	131	0.6845588235294118	0.6455882352941177	0.03897058823529409	0.0390172095822425	-0.008788754114593	0.0876144385204378	0.116	0.1353333333333333	point_estimate_only
primary_recist	melanoma_recist_supported_primary	APM	131	0.6845588235294118	0.6419117647058823	0.04264705882352948	0.0428326932686611	-0.0251198866330445	0.113389869526057	0.216	0.216	point_estimate_only
primary_recist	melanoma_recist_supported_primary	CYT	131	0.6845588235294118	0.6242647058823529	0.06029411764705883	0.0595406328047734	0.0090358893557422	0.1133874156653686	0.012	0.042	FDR_supported
primary_recist	melanoma_recist_supported_primary	IPRES	131	0.6845588235294118	0.5732843137254903	0.1112745098039215	0.1079502398063649	-0.0239013393355137	0.239282668881506	0.096	0.1221818181818181	point_estimate_only
primary_recist	melanoma_recist_supported_primary	TIDE_exclusion	131	0.6845588235294118	0.5392156862745099	0.1453431372549019	0.1426839198696999	0.0041330778379807	0.2769063726930872	0.04	0.0933333333333333	point_estimate_only
primary_recist	melanoma_core_high_evidence	IFNG	117	0.7049025769956003	0.6643620364550596	0.04054054054054068	0.0416872755944832	-0.0058649982529699	0.0914235764235765	0.094	0.1096666666666666	point_estimate_only
primary_recist	melanoma_core_high_evidence	CXCL9	117	0.7049025769956003	0.6656191074795725	0.03928346951602779	0.0402979027350893	-0.0114492682050821	0.0933047805086465	0.136	0.1464615384615384	point_estimate_only
primary_recist	melanoma_core_high_evidence	TIG	117	0.7049025769956003	0.6656191074795725	0.03928346951602779	0.0397385807343999	-0.0012624956639943	0.0834439660386046	0.06	0.1036	point_estimate_only
primary_recist	melanoma_core_high_evidence	TIDE_dysfunction	117	0.7049025769956003	0.6546197360150849	0.050282840980515386	0.0509472416260521	-0.0028939435237243	0.1052519377193779	0.068	0.1036	point_estimate_only
primary_recist	melanoma_core_high_evidence	APM	117	0.7049025769956003	0.6637335009428034	0.04116907605279696	0.0414422237005936	-0.0292929864253394	0.1137871821604946	0.246	0.246	point_estimate_only
primary_recist	melanoma_core_high_evidence	CYT	117	0.7049025769956003	0.6297925832809553	0.075109993714645	0.0756719650670132	0.0232537412427974	0.132716049382716	0.008	0.028	FDR_supported
primary_recist	melanoma_core_high_evidence	IPRES	117	0.7049025769956003	0.5669390320553112	0.13796354494028917	0.1403103324206265	-0.0065519008666419	0.2919169719169719	0.07	0.1036	point_estimate_only
primary_recist	melanoma_core_high_evidence	TIDE_exclusion	117	0.7049025769956003	0.5436832181018227	0.1612193588937776	0.1611745070208296	0.0069784427284427	0.3101398106686568	0.042	0.098	point_estimate_only
primary_recist	melanoma_binary_response_stress	IFNG	29	0.404040404040404	0.5151515151515151	-0.11111111111111116	-0.1111613894737723	-0.2596200980392156	0.0144301470588235	0.086	0.21	not_superior
primary_recist	melanoma_binary_response_stress	CXCL9	29	0.404040404040404	0.4898989898989899	-0.08585858585858591	-0.0853764417994398	-0.2381524725274725	0.050631313131313	0.21	0.3136	not_superior
primary_recist	melanoma_binary_response_stress	TIG	29	0.404040404040404	0.5505050505050505	-0.14646464646464652	-0.1461079897117509	-0.2979822261072261	-0.0336458333333333	0.004	0.028	not_superior
primary_recist	melanoma_binary_response_stress	TIDE_dysfunction	29	0.404040404040404	0.4696969696969697	-0.06565656565656575	-0.0640126951863141	-0.2143452380952381	0.0758080808080807	0.366	0.427	not_superior
primary_recist	melanoma_binary_response_stress	APM	29	0.404040404040404	0.4999999999999999	-0.09595959595959591	-0.0952245209415104	-0.2677705627705627	0.047374686716792	0.224	0.3136	not_superior
primary_recist	melanoma_binary_response_stress	CYT	29	0.404040404040404	0.5202020202020202	-0.11616161616161624	-0.1155353661477766	-0.2918269230769231	0.0289961636828645	0.118	0.236	not_superior
primary_recist	melanoma_binary_response_stress	IPRES	29	0.404040404040404	0.2272727272727273	0.17676767676767668	0.1839366131131846	-0.1520833333333333	0.5097537878787878	0.266	0.3385454545454545	point_estimate_only
primary_recist	melanoma_binary_response_stress	TIDE_exclusion	29	0.404040404040404	0.3232323232323232	0.08080808080808077	0.087298075055469	-0.2696858288770052	0.4615789473684209	0.666	0.7172307692307692	point_estimate_only
