AUROC	AUPRC	balanced_accuracy	accuracy	MCC	F1	sensitivity	specificity	PPV	NPV	Brier	ECE	calibration_slope	calibration_intercept	endpoint	stratum	evaluation	cohort	model_name	n_samples	n_responders	n_nonresponders	selected_model	threshold	inner_mean_AUROC	inner_mean_AUPRC	inner_mean_balanced_accuracy	selection_score	train_cohorts
0.6565217391304348	0.634047619047619	0.5521739130434783	0.45454545454545453	0.1076763804116331	0.47058823529411764	0.8	0.30434782608695654	0.3333333333333333	0.7777777777777778	0.2361106108444671	0.2446158489293604	1.5446528018796322	-0.9095417370831825	strict_recist	melanoma_anti_pd1_primary	LODO	GSE91061	EcoNiche-Opt-ModulePrior	33	10	23	module_positive_composite	0.4372470290231186	0.5952995201679412	0.5973401494150521	0.6139126662810874	0.6558621609527481	GSE78220,GSE168204,GSE115821,GSE145996,PRJEB23709_PD1_PRE
0.5384615384615384	0.5568185796381285	0.6208791208791209	0.6296296296296297	0.27564680606792347	0.7058823529411765	0.8571428571428571	0.38461538461538464	0.6	0.7142857142857143	0.25789957406367037	0.11324122422446264	0.1671331832347681	0.07645834311634148	strict_recist	melanoma_anti_pd1_primary	LODO	GSE78220	EcoNiche-Opt-ModulePrior	27	14	13	module_positive_composite	0.41463467747736044	0.6189115603017206	0.6127859572969502	0.5578470633104501	0.6774432113320906	GSE91061,GSE168204,GSE115821,GSE145996,PRJEB23709_PD1_PRE
0.39814814814814814	0.38540236662011684	0.41666666666666663	0.42857142857142855	-0.16666666666666666	0.3333333333333333	0.3333333333333333	0.5	0.3333333333333333	0.5	0.2964047875150554	0.2986381253441227	-0.579360956974211	-0.3022397891354698	strict_recist	melanoma_anti_pd1_primary	LODO	GSE168204	EcoNiche-Opt-ModulePrior	21	9	12	module_prior_composite	0.5258766442011938	0.6408945859632358	0.6420106500534851	0.5868469983487146	0.7023374683833459	GSE91061,GSE78220,GSE115821,GSE145996,PRJEB23709_PD1_PRE
0.5	0.39285714285714285	0.5833333333333333	0.625	0.14907119849998599	0.4	0.5	0.6666666666666666	0.3333333333333333	0.8	0.24828488386754619	0.24920154397245028	0.7548512212940717	-1.12231438091868	strict_recist	melanoma_anti_pd1_primary	LODO	GSE115821	EcoNiche-Opt-ModulePrior	8	2	6	module_prior_composite	0.5507274040884493	0.6205242155928655	0.64051969480608	0.5808237671939045	0.6815913886928648	GSE91061,GSE78220,GSE168204,GSE145996,PRJEB23709_PD1_PRE
0.55	0.7656565656565657	0.475	0.5384615384615384	-0.05773502691896257	0.6666666666666666	0.75	0.2	0.6	0.3333333333333333	0.23762868494051198	0.20397563545112454	1.5138616004877092	0.5531551213231591	strict_recist	melanoma_anti_pd1_primary	LODO	GSE145996	EcoNiche-Opt-ModulePrior	13	8	5	module_positive_composite	0.4292202680063272	0.6166038679940282	0.5710183600932628	0.6365842909950462	0.6769840005484437	GSE91061,GSE78220,GSE168204,GSE115821,PRJEB23709_PD1_PRE
0.7861842105263157	0.81262030229085	0.5953947368421053	0.5714285714285714	0.22634157113224274	0.4444444444444444	0.3157894736842105	0.875	0.75	0.5185185185185185	0.22533977150894405	0.1952604799719462	5.594725711808111	0.2536104590511049	strict_recist	melanoma_anti_pd1_primary	LODO	PRJEB23709_PD1_PRE	EcoNiche-Opt-ModulePrior	35	19	16	module_positive_composite	0.550133841925331	0.569367025888765	0.5616256127664059	0.49988533205924507	0.6224425731300475	GSE91061,GSE78220,GSE168204,GSE115821,GSE145996
0.5652173913043479	0.4447609813514295	0.5108695652173914	0.5151515151515151	0.01999040690647504	0.38461538461538464	0.5	0.5217391304347826	0.3125	0.7058823529411765	0.2794779896700126	0.2343389524220879	0.26015394141767006	-0.8464266764022665	strict_recist	melanoma_anti_pd1_primary	LODO	GSE91061	APM	33	10	23	fixed_score	0.5776284078838422					GSE78220,GSE168204,GSE115821,GSE145996,PRJEB23709_PD1_PRE
0.7197802197802198	0.6773333180439501	0.5851648351648352	0.5925925925925926	0.18638210221950421	0.6666666666666666	0.7857142857142857	0.38461538461538464	0.5789473684210527	0.625	0.21969492614842054	0.255150338358452	0.7219225188256037	0.08162544900412584	strict_recist	melanoma_anti_pd1_primary	LODO	GSE78220	APM	27	14	13	fixed_score	0.37400397351485265					GSE91061,GSE168204,GSE115821,GSE145996,PRJEB23709_PD1_PRE
0.48148148148148145	0.4253034547152194	0.5555555555555556	0.5714285714285714	0.11322770341445958	0.47058823529411764	0.4444444444444444	0.6666666666666666	0.5	0.6153846153846154	0.3150164801995962	0.34709270522659363	-0.27517067493938546	-0.2927688223559734	strict_recist	melanoma_anti_pd1_primary	LODO	GSE168204	APM	21	9	12	fixed_score	0.5685914427081001					GSE91061,GSE78220,GSE115821,GSE145996,PRJEB23709_PD1_PRE
0.6666666666666667	0.45	0.5833333333333333	0.625	0.14907119849998599	0.4	0.5	0.6666666666666666	0.3333333333333333	0.8	0.26582780008125956	0.40333127836823573	0.41569120997944803	-1.1414816169795723	strict_recist	melanoma_anti_pd1_primary	LODO	GSE115821	APM	8	2	6	fixed_score	0.5670208944158505					GSE91061,GSE78220,GSE168204,GSE145996,PRJEB23709_PD1_PRE
0.525	0.7467147435897437	0.65	0.6153846153846154	0.3	0.6153846153846154	0.5	0.8	0.8	0.5	0.3112623661326172	0.3446831499561712	-0.14830634443375287	0.47254238224178396	strict_recist	melanoma_anti_pd1_primary	LODO	GSE145996	APM	13	8	5	fixed_score	0.5670954675633797					GSE91061,GSE78220,GSE168204,GSE115821,PRJEB23709_PD1_PRE
0.8026315789473684	0.7728045469006036	0.5986842105263157	0.6285714285714286	0.2809757434745082	0.7346938775510204	0.9473684210526315	0.25	0.6	0.8	0.19331340384398343	0.17002887741248904	1.0994945379468801	0.1806379989625507	strict_recist	melanoma_anti_pd1_primary	LODO	PRJEB23709_PD1_PRE	APM	35	19	16	fixed_score	0.3159544604451619					GSE91061,GSE78220,GSE168204,GSE115821,GSE145996
0.6782608695652174	0.6336617509958471	0.5239130434782608	0.45454545454545453	0.04662524041201569	0.4375	0.7	0.34782608695652173	0.3181818181818182	0.7272727272727273	0.24688174740273436	0.2391090444965433	0.6682296347297344	-0.9207514242306682	strict_recist	melanoma_anti_pd1_primary	LODO	GSE91061	CXCL9	33	10	23	fixed_score	0.36472111398352686					GSE78220,GSE168204,GSE115821,GSE145996,PRJEB23709_PD1_PRE
0.49999999999999994	0.5161586204921446	0.5851648351648352	0.5925925925925926	0.18638210221950421	0.6666666666666666	0.7857142857142857	0.38461538461538464	0.5789473684210527	0.625	0.29023496111055624	0.23338037385529548	0.023407445893800973	0.07411533015811612	strict_recist	melanoma_anti_pd1_primary	LODO	GSE78220	CXCL9	27	14	13	fixed_score	0.3608689563597309					GSE91061,GSE168204,GSE115821,GSE145996,PRJEB23709_PD1_PRE
0.4629629629629629	0.41001221001221005	0.4305555555555556	0.42857142857142855	-0.13762047064079508	0.4	0.4444444444444444	0.4166666666666667	0.36363636363636365	0.5	0.30171881944271506	0.3070211235714344	-0.06262370006782357	-0.2879076523176113	strict_recist	melanoma_anti_pd1_primary	LODO	GSE168204	CXCL9	21	9	12	fixed_score	0.46379324650815307					GSE91061,GSE78220,GSE115821,GSE145996,PRJEB23709_PD1_PRE
0.5	0.39285714285714285	0.5	0.5	0.0	0.3333333333333333	0.5	0.5	0.25	0.75	0.2710544978502041	0.31115743706326987	0.1615536270061548	-1.1050557761788	strict_recist	melanoma_anti_pd1_primary	LODO	GSE115821	CXCL9	8	2	6	fixed_score	0.4286300775661673					GSE91061,GSE78220,GSE168204,GSE145996,PRJEB23709_PD1_PRE
0.47500000000000003	0.6963675213675214	0.45	0.46153846153846156	-0.09759000729485333	0.5333333333333333	0.5	0.4	0.5714285714285714	0.3333333333333333	0.2836755615236077	0.40276624118577664	0.14696539296315558	0.47275805284454964	strict_recist	melanoma_anti_pd1_primary	LODO	GSE145996	CXCL9	13	8	5	fixed_score	0.41551438624090165					GSE91061,GSE78220,GSE168204,GSE115821,PRJEB23709_PD1_PRE
0.7763157894736842	0.77855580613661	0.7598684210526316	0.7714285714285715	0.5454635744577812	0.8095238095238095	0.8947368421052632	0.625	0.7391304347826086	0.8333333333333334	0.1894114908752808	0.16638646810188096	1.2574699926073334	0.25600626323560544	strict_recist	melanoma_anti_pd1_primary	LODO	PRJEB23709_PD1_PRE	CXCL9	35	19	16	fixed_score	0.3658625775102764					GSE91061,GSE78220,GSE168204,GSE115821,GSE145996
