holdout	candidate	inner_mean_AUROC	inner_mean_AUPRC	inner_balanced_accuracy	threshold	selection_score
GSE115821	immune_top5	0.6160396316646317	0.4846523698723102	0.6115163344976371	0.38738734638804395	0.670848066883129
GSE115821	tcell_checkpoint	0.6153458231583232	0.49021293166684865	0.6022190260941032	0.5060421897151758	0.6699674210463709
GSE115821	immune_mean	0.5942517551892552	0.47562724853838034	0.5935381138278201	0.585535528424752	0.6477100233075652
GSE115821	top5_minus_stroma_myeloid	0.5718190374440375	0.4421696838272721	0.5890178754879802	0.44029081205435217	0.6233784154098001
GSE115821	immune_minus_suppressive	0.5512381715506716	0.43087250079702094	0.5726320115060612	0.3164400106032132	0.6014133971658258
GSE115821	suppression_inverse	0.4422746235246235	0.3791090626090643	0.5363160057530306	0.266806045385003	0.4880458769427282
GSE115821	signed_TIG	0.605272563085063	0.45411722822023703	0.6221491678652147	0.449352487993791	0.6590858828893356
GSE115821	signed_TIDE_dysfunction	0.597482002950753	0.47839696567421564	0.6333983973700432	0.39602796998874573	0.653071771102966
GSE115821	signed_IFNG	0.5996184371184372	0.46694411660879975	0.6115163344976371	0.37292398573798485	0.6535414596737591
GSE115821	signed_PDCD1LG2	0.5679111975986977	0.44042920293198573	0.6035031847133758	0.4750232991466703	0.6201078169809658
GSE115821	signed_CXCL9	0.5903397817460317	0.4327048388780308	0.6227655640024656	0.36415717029340755	0.6431133018900566
GSE115821	signed_MCP_CD8_T	0.5914017984330484	0.4573799857196866	0.6134682555989316	0.43291590243614525	0.6449442104989793
GSE115821	signed_APM	0.6031408984533985	0.47593631360342326	0.6009348674748305	0.5415616243860544	0.6569844575073112
GSE115821	signed_PDL1_CD274	0.5487929894179895	0.4324149221520348	0.5996507088555578	0.3984424409074275	0.6003962709683691
GSE115821	signed_IMPRES_template	0.5834128256003256	0.4737461300281566	0.6173207314567496	0.6226968115244151	0.6379661686745709
GSE115821	signed_HLA_DRA	0.608613782051282	0.508948733913361	0.5697554961988904	0.6209984403232713	0.6625489935568947
GSE115821	signed_CTLA4	0.5387572496947497	0.43701666527960426	0.6047873433326485	0.50746841846236	0.5908474501253623
GSE115821	signed_CYT	0.5599632427757428	0.450894536303041	0.5922539552085473	0.49620557487191963	0.6121206673513223
GSE115821	signed_PDCD1	0.560248461029711	0.43672175964880144	0.5935381138278201	0.4731032164762015	0.6117614547035422
GSE115821	signed_TLS	0.5551046754171753	0.4689922520747182	0.5565543455927676	0.420714319966201	0.6063820053005496
GSE115821	signed_MCP_fibroblast	0.5081915191290192	0.40228407625496754	0.5470002054653791	0.5	0.5556557332150366
