cohort	AUROC	AUPRC	balanced_accuracy_0_5	Brier	n_samples
GSE115821	0.7500000000000001	0.5	0.5833333333333333	0.23779837443228713	8
GSE136961	0.7685185185185185	0.7565476190476192	0.6388888888888888	0.1964845655767404	21
GSE168204	0.5	0.431617148283815	0.45833333333333337	0.2973808367248254	21
GSE176307	0.7065972222222222	0.3612166138955911	0.6284722222222222	0.23739388877292364	88
GSE78220	0.48901098901098905	0.5253792273133705	0.4807692307692308	0.2974992204568928	27
GSE91061	0.6160714285714285	0.348501240821155	0.5565476190476191	0.2651398537973435	62
