cohort	AUROC	AUPRC	balanced_accuracy	balanced_accuracy_0_5	MCC	F1	Brier	n_samples	selected_model	inner_mean_AUROC	inner_mean_AUPRC	inner_balanced_accuracy	threshold	selection_score
GSE115821	0.7500000000000001	0.5	0.75	0.5833333333333333	0.4472135954999579	0.5714285714285714	0.23779837443228713	8	immune_top5	0.6160396316646317	0.4846523698723102	0.6115163344976371	0.38738734638804395	0.670848066883129
GSE136961	0.7685185185185185	0.7565476190476192	0.7083333333333334	0.6388888888888888	0.4841229182759271	0.72	0.1964845655767404	21	immune_top5	0.612335927960928	0.43334284606278634	0.6102950030102348	0.3805875650790152	0.6645178204145791
GSE168204	0.5	0.431617148283815	0.5	0.45833333333333337	0.0	0.5217391304347826	0.2973808367248254	21	immune_top5	0.6660396316646316	0.4983289402155472	0.6391932570740517	0.3731849993407946	0.7229157415291115
GSE176307	0.5807291666666666	0.31022727272727274	0.5	0.5798611111111112	0.0	0.3076923076923077	0.22322733695974586	88	signed_PDCD1LG2	0.6350986975986976	0.5450504150531978	0.6008470695970696	0.4293178234548257	0.6923935718312111
GSE78220	0.48901098901098905	0.5253792273133705	0.6236263736263736	0.4807692307692308	0.26207120918047955	0.6875	0.2974992204568928	27	immune_top5	0.6682374338624338	0.4795765244096361	0.6266666666666667	0.3731616024066502	0.7235495934162489
GSE91061	0.6160714285714285	0.348501240821155	0.5401785714285714	0.5565476190476191	0.06808809742524027	0.36	0.2651398537973435	62	immune_top5	0.642825345950346	0.5149521217080791	0.6291304347826088	0.3881735584367792	0.7000294737748805
