group_id	target_model	baseline_family	n_samples	n_signatures	target_AUROC	family_mean_AUROC	best_signature	best_signature_AUROC	delta_vs_family_mean	ci_low	ci_high	two_sided_p	two_sided_fdr_q	claim_level
strict_current_gse145996_phs000452	0.35*base+0.65*(0.50*pct__PLA2G2D+0.50*rz__PIK3CD)	eight_strong_signatures	116	8	0.7086309523809524	0.5666666666666667	CXCL9	0.5901785714285713	0.14125731223379914	0.0638370731405544	0.21458331874906664	0.0	0.0	strict_external_family_FDR_supported_numeric_target_met
cbio_liu_dfci_only	0.35*base+0.65*(0.50*pct__PLA2G2D+0.50*rz__PIK3CD)	eight_strong_signatures	103	8	0.7036474164133739	0.5645896656534954	APM	0.5889057750759878	0.13896983874121766	0.05899286766474263	0.22454787350292846	0.001	0.001	strict_external_family_FDR_supported_numeric_target_met
strict_cbio_liu_plus_gse145996	0.35*base+0.65*(0.50*pct__PLA2G2D+0.50*rz__PIK3CD)	eight_strong_signatures	116	8	0.7099850968703427	0.5525335320417288	TIDE_dysfunction	0.5855439642324889	0.15817352826674047	0.06884259739640591	0.24221112239519524	0.0	0.0	strict_external_family_FDR_supported_numeric_target_met
