endpoint	stratum	discovery_set	axis	transform	negative_weight	selection_boundary	AUROC	AUPRC	balanced_accuracy	accuracy	MCC	F1	sensitivity	specificity	PPV	NPV	Brier	ECE	calibration_slope	calibration_intercept	threshold_median	threshold_min	threshold_max	n_samples	n_responders	n_nonresponders	response_prevalence	AUPRC_minus_prevalence	selection_score
strict_recist	strict_melanoma_pd1_like_external	high_evidence_primary	MAP4K1_minus_TBX3	cohort_gene_percentile	0.75	discovery_only_no_external_selection	0.6617559523809524	0.6717439315551271	0.6041666666666667	0.6120689655172413	0.23525458238379615	0.4827586206896552	0.375	0.8333333333333334	0.6774193548387096	0.5882352941176471	0.24016299254532175	0.12024580185566026	0.4630696560029722	-0.0963474230701305	0.6858974358974359	0.6858974358974359	0.6858974358974359	116	56	60	0.4827586206896552	0.18898531086547193	0.8780840217508348
strict_recist	strict_melanoma_pd1_like_external	high_evidence_primary	MAP4K1_minus_TBX3	cohort_gene_percentile	1.0	discovery_only_no_external_selection	0.6532738095238095	0.6606914359748829	0.5946428571428571	0.603448275862069	0.22103809307443242	0.4523809523809524	0.3392857142857143	0.85	0.6785714285714286	0.5795454545454546	0.24243101444503307	0.1189753479623824	0.45144630827600046	-0.11026136689861285	0.7045454545454545	0.7045454545454545	0.7045454545454545	116	56	60	0.4827586206896552	0.1779328152852277	0.8660134194355777
strict_recist	strict_melanoma_pd1_like_external	high_evidence_primary	MAP4K1_minus_TBX3	cohort_gene_percentile	1.25	discovery_only_no_external_selection	0.6422619047619047	0.6436036565574133	0.5857142857142857	0.5948275862068966	0.20271036672278514	0.43373493975903615	0.32142857142857145	0.85	0.6666666666666666	0.5730337078651685	0.24637104287350495	0.14212956307289393	0.41947154578256396	-0.11811100422977412	0.7095406360424028	0.7095406360424028	0.7095406360424028	116	56	60	0.4827586206896552	0.16084503586775806	0.8475212911653973
strict_recist	strict_melanoma_pd1_like_external	high_evidence_primary	MAP4K1_minus_TBX3	cohort_zscore	0.75	discovery_only_no_external_selection	0.6476190476190476	0.6671397764596065	0.5839285714285715	0.5862068965517241	0.1693762429867651	0.5471698113207547	0.5178571428571429	0.65	0.58	0.5909090909090909	0.23789234113069382	0.08687149688692844	0.6160467363415064	0.22584794330421143	0.4285427978429621	0.4285427978429621	0.4285427978429621	116	56	60	0.4827586206896552	0.18438115576995134	0.8641096991881135
strict_recist	strict_melanoma_pd1_like_external	high_evidence_primary	MAP4K1_minus_TBX3	cohort_zscore	1.0	discovery_only_no_external_selection	0.6470238095238096	0.6671070924868088	0.6035714285714285	0.603448275862069	0.20701966780270628	0.5964912280701754	0.6071428571428571	0.6	0.5862068965517241	0.6206896551724138	0.2351829335216807	0.11561519533517577	0.5849193622312311	0.1290915670825813	0.4482559808943305	0.4482559808943305	0.4482559808943305	116	56	60	0.4827586206896552	0.18434847179715358	0.862596205969137
strict_recist	strict_melanoma_pd1_like_external	high_evidence_primary	MAP4K1_minus_TBX3	cohort_zscore	1.25	discovery_only_no_external_selection	0.6494047619047618	0.6712741194875719	0.6035714285714285	0.603448275862069	0.20701966780270628	0.5964912280701754	0.6071428571428571	0.6	0.5862068965517241	0.6206896551724138	0.2353965367371969	0.0810087941911222	0.5383529568256282	0.05367848529055368	0.4853391084266142	0.4853391084266142	0.4853391084266142	116	56	60	0.4827586206896552	0.18851549879791668	0.8694795552146855
strict_recist	strict_melanoma_pd1_like_external	high_evidence_primary	MAP4K1_minus_TBX3	raw_log	0.75	discovery_only_no_external_selection	0.6251488095238096	0.6194822802274549	0.5130952380952382	0.5	0.040174356558671784	0.6329113924050633	0.8928571428571429	0.13333333333333333	0.49019607843137253	0.5714285714285714	0.31562989251882706	0.2928980052120154	0.15660002471508713	-0.2629568419434063	0.6145993691389434	0.6145993691389434	0.6145993691389434	116	56	60	0.4827586206896552	0.1367236595377997	0.8020391028689956
strict_recist	strict_melanoma_pd1_like_external	high_evidence_primary	MAP4K1_minus_TBX3	raw_log	1.0	discovery_only_no_external_selection	0.6141369047619049	0.6046781434057757	0.5208333333333334	0.5086206896551724	0.058873023345141565	0.632258064516129	0.875	0.16666666666666666	0.494949494949495	0.5882352941176471	0.2882403388627367	0.2390125744007415	0.14144844343006183	-0.19565815871780384	0.5866669891524147	0.5866669891524147	0.5866669891524147	116	56	60	0.4827586206896552	0.12191952271612055	0.7934885165066079
strict_recist	strict_melanoma_pd1_like_external	high_evidence_primary	MAP4K1_minus_TBX3	raw_log	1.25	discovery_only_no_external_selection	0.6084821428571429	0.5979906584144521	0.5196428571428572	0.5086206896551724	0.05098387521252537	0.6225165562913907	0.8392857142857143	0.2	0.49473684210526314	0.5714285714285714	0.27017354610556926	0.1855435127735803	0.1377593860955907	-0.1603201233497673	0.5652752833565887	0.5652752833565887	0.5652752833565887	116	56	60	0.4827586206896552	0.1152320377247969	0.7913897418976835
strict_recist	strict_melanoma_pd1_like_external	high_evidence_primary	MAP4K1_minus_TBX3_AXL	cohort_gene_percentile	0.75	discovery_only_no_external_selection	0.6611607142857143	0.6385385434515458	0.6392857142857142	0.6379310344827587	0.27907021398170967	0.6440677966101694	0.6785714285714286	0.6	0.6129032258064516	0.6666666666666666	0.24970942853629796	0.14943561493489363	0.18914891918698643	-0.1443499442123576	0.5436544850498339	0.5436544850498339	0.5436544850498339	116	56	60	0.4827586206896552	0.15577992276189062	0.8697803600836828
strict_recist	strict_melanoma_pd1_like_external	high_evidence_primary	MAP4K1_minus_TBX3_AXL	cohort_gene_percentile	1.0	discovery_only_no_external_selection	0.6605654761904762	0.6102916193311602	0.6339285714285714	0.6293103448275862	0.2771259614786443	0.6666666666666666	0.7678571428571429	0.5	0.589041095890411	0.6976744186046512	0.25316548192021576	0.16157585193579205	0.16997698887514762	-0.1562653846264858	0.5252083333333333	0.5252083333333333	0.5252083333333333	116	56	60	0.4827586206896552	0.12753299864150497	0.8603736529725442
strict_recist	strict_melanoma_pd1_like_external	high_evidence_primary	MAP4K1_minus_TBX3_AXL	cohort_gene_percentile	1.25	discovery_only_no_external_selection	0.6563988095238096	0.5994138265765485	0.6273809523809524	0.6206896551724138	0.27517430743239724	0.6764705882352942	0.8214285714285714	0.43333333333333335	0.575	0.7222222222222222	0.2518053813194219	0.13516083696436304	0.16009114569205307	-0.1432666185425099	0.4923857868020305	0.4923857868020305	0.4923857868020305	116	56	60	0.4827586206896552	0.11665520588689332	0.8554742777096057
strict_recist	strict_melanoma_pd1_like_external	high_evidence_primary	MAP4K1_minus_TBX3_AXL	cohort_zscore	0.75	discovery_only_no_external_selection	0.6741071428571429	0.672385255961208	0.6398809523809523	0.6379310344827587	0.28110369617574044	0.65	0.6964285714285714	0.5833333333333334	0.609375	0.6730769230769231	0.23374489878732807	0.09847078520854585	0.61232528313128	0.2088938116038674	0.3790003648550704	0.3790003648550704	0.3790003648550704	116	56	60	0.4827586206896552	0.18962663527155282	0.8963444735646856
strict_recist	strict_melanoma_pd1_like_external	high_evidence_primary	MAP4K1_minus_TBX3_AXL	cohort_zscore	1.0	discovery_only_no_external_selection	0.6794642857142857	0.6837420163322454	0.6017857142857144	0.603448275862069	0.20454779594064518	0.5740740740740741	0.5535714285714286	0.65	0.5961538461538461	0.609375	0.22933119989140874	0.06882341269069966	0.6548856213458903	0.11279576751188669	0.4547186239664868	0.4547186239664868	0.4547186239664868	116	56	60	0.4827586206896552	0.2009833956425902	0.9036960199568486
strict_recist	strict_melanoma_pd1_like_external	high_evidence_primary	MAP4K1_minus_TBX3_AXL	cohort_zscore	1.25	discovery_only_no_external_selection	0.6711309523809524	0.6687787371448446	0.6	0.5948275862068966	0.20906295002503605	0.6412213740458015	0.75	0.45	0.56	0.6585365853658537	0.22930375833158279	0.12293511697524884	0.5961730643625911	0.008526044285243034	0.410016698958696	0.410016698958696	0.410016698958696	116	56	60	0.4827586206896552	0.1860201164551894	0.8860321249696388
strict_recist	strict_melanoma_pd1_like_external	high_evidence_primary	MAP4K1_minus_TBX3_AXL	raw_log	0.75	discovery_only_no_external_selection	0.6386904761904763	0.6460906735789238	0.5303571428571429	0.5172413793103449	0.0931314629314664	0.6455696202531646	0.9107142857142857	0.15	0.5	0.6428571428571429	0.30832827986961897	0.28407657204041364	0.512044535716813	-0.7014975904862786	0.5799994456836609	0.5799994456836609	0.5799994456836609	116	56	60	0.4827586206896552	0.1633320528892686	0.8248412016668801
strict_recist	strict_melanoma_pd1_like_external	high_evidence_primary	MAP4K1_minus_TBX3_AXL	raw_log	1.0	discovery_only_no_external_selection	0.668452380952381	0.6688682591959431	0.5625	0.5517241379310345	0.15933250514367064	0.6533333333333333	0.875	0.25	0.5212765957446809	0.6818181818181818	0.282227338842312	0.22950373512023764	0.5288187570669932	-0.6229913554329276	0.584717694348578	0.584717694348578	0.584717694348578	116	56	60	0.4827586206896552	0.18610963850628787	0.868969072239343
strict_recist	strict_melanoma_pd1_like_external	high_evidence_primary	MAP4K1_minus_TBX3_AXL	raw_log	1.25	discovery_only_no_external_selection	0.6724702380952381	0.6738302187497299	0.6101190476190477	0.6120689655172413	0.22172788513312436	0.5794392523364486	0.5535714285714286	0.6666666666666666	0.6078431372549019	0.6153846153846154	0.2353113002316573	0.12019248270884204	0.19070303838609706	-0.12655139932618809	0.5937492277008504	0.5937492277008504	0.5937492277008504	116	56	60	0.4827586206896552	0.19107159806007473	0.8899204492736912
strict_recist	strict_melanoma_pd1_like_external	high_evidence_primary	MAP4K1_minus_TBX3_IPRES	cohort_gene_percentile	0.75	discovery_only_no_external_selection	0.6389880952380953	0.6502605407220056	0.5595238095238095	0.5603448275862069	0.11913629512624453	0.5405405405405406	0.5357142857142857	0.5833333333333334	0.5454545454545454	0.5737704918032787	0.2550477618837405	0.15091543926267947	0.1704444336555706	-0.08607466889889796	0.5240052732502396	0.5240052732502396	0.5240052732502396	116	56	60	0.4827586206896552	0.16750192003235037	0.8424140674447097
strict_recist	strict_melanoma_pd1_like_external	high_evidence_primary	MAP4K1_minus_TBX3_IPRES	cohort_gene_percentile	1.0	discovery_only_no_external_selection	0.6395833333333334	0.6471375240899219	0.5886904761904762	0.5948275862068966	0.1901788484449375	0.4946236559139785	0.4107142857142857	0.7666666666666667	0.6216216216216216	0.5822784810126582	0.2525954274723472	0.15236790242108939	0.1684701498739364	-0.08638038959844374	0.6404368269376612	0.6404368269376612	0.6404368269376612	116	56	60	0.4827586206896552	0.16437890340026667	0.8449999717327527
strict_recist	strict_melanoma_pd1_like_external	high_evidence_primary	MAP4K1_minus_TBX3_IPRES	cohort_gene_percentile	1.25	discovery_only_no_external_selection	0.6373511904761906	0.6500973016122178	0.5880952380952381	0.5948275862068966	0.19181189520206898	0.4835164835164835	0.39285714285714285	0.7833333333333333	0.6285714285714286	0.5802469135802469	0.25129851904385786	0.15270152318634073	0.16620416800194673	-0.08696334758592801	0.6429763560500694	0.6429763560500694	0.6429763560500694	116	56	60	0.4827586206896552	0.1673386809225626	0.8434148873701348
strict_recist	strict_melanoma_pd1_like_external	high_evidence_primary	MAP4K1_minus_TBX3_IPRES	cohort_zscore	0.75	discovery_only_no_external_selection	0.6180059523809525	0.6420535526802547	0.5619047619047619	0.5689655172413793	0.13591810385595052	0.4444444444444444	0.35714285714285715	0.7666666666666667	0.5882352941176471	0.5609756097560976	0.26074073857117247	0.17058396018768346	0.15455937851162116	0.05215523972772367	0.4081022264703876	0.4081022264703876	0.4081022264703876	116	56	60	0.4827586206896552	0.15929493199059946	0.817651420722724
strict_recist	strict_melanoma_pd1_like_external	high_evidence_primary	MAP4K1_minus_TBX3_IPRES	cohort_zscore	1.0	discovery_only_no_external_selection	0.6209821428571429	0.6417205805675215	0.5952380952380952	0.603448275862069	0.21737043891712599	0.46511627906976744	0.35714285714285715	0.8333333333333334	0.6666666666666666	0.5813953488372093	0.25789333855353247	0.15420954963503525	0.14972896850622475	0.04081876911471036	0.43382479577508665	0.43382479577508665	0.43382479577508665	116	56	60	0.4827586206896552	0.15896195987786627	0.8255151425593293
strict_recist	strict_melanoma_pd1_like_external	high_evidence_primary	MAP4K1_minus_TBX3_IPRES	cohort_zscore	1.25	discovery_only_no_external_selection	0.6227678571428572	0.6439589829294827	0.5702380952380952	0.5775862068965517	0.1555880879865672	0.449438202247191	0.35714285714285715	0.7833333333333333	0.6060606060606061	0.5662650602409639	0.255929590926123	0.13909141030590597	0.1433308285582683	0.030562492488742023	0.4209358896058878	0.4209358896058878	0.4209358896058878	116	56	60	0.4827586206896552	0.16120036223982753	0.8268722713684468
strict_recist	strict_melanoma_pd1_like_external	high_evidence_primary	MAP4K1_minus_TBX3_IPRES	raw_log	0.75	discovery_only_no_external_selection	0.6217261904761904	0.6517302699078364	0.4875	0.47413793103448276	-0.039602204206878634	0.6163522012578616	0.875	0.1	0.47572815533980584	0.46153846153846156	0.3406056925855641	0.33207920659844486	0.37765180915504976	-0.6309555694769748	0.6494859514246938	0.6494859514246938	0.6494859514246938	116	56	60	0.4827586206896552	0.16897164921818125	0.8002008372933049
strict_recist	strict_melanoma_pd1_like_external	high_evidence_primary	MAP4K1_minus_TBX3_IPRES	raw_log	1.0	discovery_only_no_external_selection	0.63125	0.6580481600813025	0.49702380952380953	0.4827586206896552	-0.010597597584982433	0.6296296296296297	0.9107142857142857	0.08333333333333333	0.4811320754716981	0.5	0.3264862821107672	0.32161613213055557	0.42377817960122044	-0.6349690649157149	0.5994675399315792	0.5994675399315792	0.5994675399315792	116	56	60	0.4827586206896552	0.17528953939164732	0.813302807759651
strict_recist	strict_melanoma_pd1_like_external	high_evidence_primary	MAP4K1_minus_TBX3_IPRES	raw_log	1.25	discovery_only_no_external_selection	0.6422619047619047	0.6644311584594473	0.5214285714285715	0.5086206896551724	0.06382437004909702	0.6369426751592356	0.8928571428571429	0.15	0.49504950495049505	0.6	0.3128394587513219	0.30492782907081584	0.46714802708172753	-0.627568784889792	0.6416535818997426	0.6416535818997426	0.6416535818997426	116	56	60	0.4827586206896552	0.18167253776979214	0.8300197686125421
strict_recist	strict_melanoma_pd1_like_external	high_evidence_primary	MAP4K1_IFN_minus_TBX3_AXL	cohort_gene_percentile	0.75	discovery_only_no_external_selection	0.6172619047619048	0.6375237199197368	0.6053571428571429	0.603448275862069	0.21172491158768536	0.6166666666666667	0.6607142857142857	0.55	0.578125	0.6346153846153846	0.26097555652879134	0.12487389419238934	0.1384732525519308	-0.0817567092065602	0.47148014440433217	0.47148014440433217	0.47148014440433217	116	56	60	0.4827586206896552	0.15476509923008158	0.8246911596083144
strict_recist	strict_melanoma_pd1_like_external	high_evidence_primary	MAP4K1_IFN_minus_TBX3_AXL	cohort_gene_percentile	1.0	discovery_only_no_external_selection	0.6180059523809525	0.6299642358991071	0.6214285714285714	0.6206896551724138	0.24285714285714285	0.6206896551724138	0.6428571428571429	0.6	0.6	0.6428571428571429	0.2629651523003721	0.16365090060465068	0.14408582325161262	-0.1084477587146386	0.5351070637862154	0.5351070637862154	0.5351070637862154	116	56	60	0.4827586206896552	0.1472056152094519	0.8212747784381214
strict_recist	strict_melanoma_pd1_like_external	high_evidence_primary	MAP4K1_IFN_minus_TBX3_AXL	cohort_gene_percentile	1.25	discovery_only_no_external_selection	0.6126488095238094	0.6210563221412294	0.6309523809523809	0.6293103448275862	0.262727070872891	0.6386554621848739	0.6785714285714286	0.5833333333333334	0.6031746031746031	0.660377358490566	0.2619039001020434	0.14879118211179707	0.13719184286917765	-0.10587767556514971	0.5195227765726681	0.5195227765726681	0.5195227765726681	116	56	60	0.4827586206896552	0.13829770145157422	0.8161290099431752
strict_recist	strict_melanoma_pd1_like_external	high_evidence_primary	MAP4K1_IFN_minus_TBX3_AXL	cohort_zscore	0.75	discovery_only_no_external_selection	0.6194940476190476	0.64639447880547	0.5369047619047619	0.5431034482758621	0.07913482284285989	0.43010752688172044	0.35714285714285715	0.7166666666666667	0.5405405405405406	0.5443037974683544	0.255433506561103	0.15290994079629436	0.1296719223374683	0.00911781869347921	0.47141570750273326	0.47141570750273326	0.47141570750273326	116	56	60	0.4827586206896552	0.16363585811581477	0.8194921494312618
strict_recist	strict_melanoma_pd1_like_external	high_evidence_primary	MAP4K1_IFN_minus_TBX3_AXL	cohort_zscore	1.0	discovery_only_no_external_selection	0.6230654761904761	0.6323128071822517	0.5601190476190476	0.5689655172413793	0.14040784528627467	0.40476190476190477	0.30357142857142855	0.8166666666666667	0.6071428571428571	0.5568181818181818	0.24846231954993475	0.11136807621263055	0.13142249254972813	-0.018939016601886603	0.5624216493231038	0.5624216493231038	0.5624216493231038	116	56	60	0.4827586206896552	0.1495541864925965	0.8260187751266808
strict_recist	strict_melanoma_pd1_like_external	high_evidence_primary	MAP4K1_IFN_minus_TBX3_AXL	cohort_zscore	1.25	discovery_only_no_external_selection	0.6205357142857143	0.6217550763491662	0.5654761904761905	0.5689655172413793	0.1337688834049462	0.5098039215686274	0.4642857142857143	0.6666666666666666	0.5652173913043478	0.5714285714285714	0.2473740468199096	0.09758002897611044	0.27169732492527765	-0.013381836657473301	0.5262428345945804	0.5262428345945804	0.5262428345945804	116	56	60	0.4827586206896552	0.13899645565951096	0.8227640995230138
strict_recist	strict_melanoma_pd1_like_external	high_evidence_primary	MAP4K1_IFN_minus_TBX3_AXL	raw_log	0.75	discovery_only_no_external_selection	0.5802083333333333	0.6055980747914969	0.5815476190476191	0.5948275862068966	0.2583572369686844	0.3188405797101449	0.19642857142857142	0.9666666666666667	0.8461538461538461	0.5631067961165048	0.274022524785002	0.19165854860646864	-0.04024500892455125	-0.06894628192487928	0.6998658343047295	0.6998658343047295	0.6998658343047295	116	56	60	0.4827586206896552	0.12283945410184166	0.7705967590753225
strict_recist	strict_melanoma_pd1_like_external	high_evidence_primary	MAP4K1_IFN_minus_TBX3_AXL	raw_log	1.0	discovery_only_no_external_selection	0.5818452380952381	0.5975479734785086	0.5547619047619048	0.5689655172413793	0.19499579556367677	0.24242424242424243	0.14285714285714285	0.9666666666666667	0.8	0.5471698113207547	0.2703588710729672	0.1580728690226703	0.006084600111438949	-0.06588725002892562	0.6396246511052126	0.6396246511052126	0.6396246511052126	116	56	60	0.4827586206896552	0.11478935278885344	0.7709011350387887
strict_recist	strict_melanoma_pd1_like_external	high_evidence_primary	MAP4K1_IFN_minus_TBX3_AXL	raw_log	1.25	discovery_only_no_external_selection	0.5869047619047618	0.5893375761466985	0.5279761904761905	0.5431034482758621	0.11741563781709087	0.15873015873015872	0.08928571428571429	0.9666666666666667	0.7142857142857143	0.5321100917431193	0.2725489888640803	0.16822131656294334	0.027726812505640804	-0.05171376137367273	0.6825968965408502	0.6825968965408502	0.6825968965408502	116	56	60	0.4827586206896552	0.10657895545704327	0.7702146433327611
strict_recist	strict_melanoma_pd1_like_external	high_evidence_primary	MAP4K1_APM_minus_TBX3_AXL	cohort_gene_percentile	0.75	discovery_only_no_external_selection	0.6244047619047619	0.6018295547967775	0.575595238095238	0.5775862068965517	0.1522131968211178	0.5420560747663551	0.5178571428571429	0.6333333333333333	0.5686274509803921	0.5846153846153846	0.2578946557724728	0.11969021648224866	0.3098846606332598	-0.17586419134236408	0.6156999714853871	0.6156999714853871	0.6156999714853871	116	56	60	0.4827586206896552	0.11907093410712227	0.8204526527652551
strict_recist	strict_melanoma_pd1_like_external	high_evidence_primary	MAP4K1_APM_minus_TBX3_AXL	cohort_gene_percentile	1.0	discovery_only_no_external_selection	0.6284226190476191	0.5925580403115152	0.5988095238095238	0.5948275862068966	0.20265765332305155	0.6299212598425197	0.7142857142857143	0.48333333333333334	0.5633802816901409	0.6444444444444445	0.26588201332993955	0.1708074231525102	0.14910512221471253	-0.16260531104438197	0.5724860185138062	0.5724860185138062	0.5724860185138062	116	56	60	0.4827586206896552	0.10979941962185996	0.8193623391911992
strict_recist	strict_melanoma_pd1_like_external	high_evidence_primary	MAP4K1_APM_minus_TBX3_AXL	cohort_gene_percentile	1.25	discovery_only_no_external_selection	0.6200892857142857	0.5782980231722077	0.5898809523809524	0.5948275862068966	0.18790777055821695	0.5154639175257731	0.44642857142857145	0.7333333333333333	0.6097560975609756	0.5866666666666667	0.26834585239758657	0.1647585120833663	0.1334444854206676	-0.14386523644245267	0.6935710541298363	0.6935710541298363	0.6935710541298363	116	56	60	0.4827586206896552	0.0955394024825525	0.8071760355370962
