discovery_set	selection_id	axis	transform	negative_weight	claim_boundary	primary_AUROC	primary_AUPRC	primary_balanced_accuracy	primary_ECE	strict_external_AUROC	strict_external_AUPRC	strict_external_balanced_accuracy	strict_external_ECE
high_evidence_primary	primary_selected_candidate	MAP4K1_minus_TBX3_AXL	cohort_gene_percentile	1.25	selected_by_primary_lodo_only_not_by_external	0.7837837837837838	0.6965844820597131	0.7407291011942174	0.1299551518966918	0.6563988095238096	0.5994138265765485	0.6273809523809524	0.13516083696436304
high_evidence_primary	current_external_stress_best	MAP4K1_minus_TBX3_AXL	cohort_zscore	1.0	current_external_stress_screen_not_a_locked_selection_claim	0.7787554996857322	0.6700483519045577	0.7223444374607165	0.114325454590973	0.6794642857142857	0.6837420163322454	0.6017857142857144	0.06882341269069966
expanded_primary_with_mgh	primary_selected_candidate	MAP4K1_minus_TBX3_AXL	cohort_gene_percentile	1.25	selected_by_primary_lodo_only_not_by_external	0.7293679549114331	0.6296138537587076	0.677938808373591	0.15440882035661518	0.6563988095238096	0.5994138265765485	0.618452380952381	0.13516083696436304
expanded_primary_with_mgh	current_external_stress_best	MAP4K1_minus_TBX3_AXL	cohort_zscore	1.0	current_external_stress_screen_not_a_locked_selection_claim	0.7081320450885668	0.5799944789333898	0.6278180354267311	0.09508975546596714	0.6794642857142857	0.6837420163322454	0.6017857142857144	0.06882341269069966
