mean_delta	ci_low	ci_high	p_value	endpoint	stratum	target_model	comparison	baseline_model	n_samples	target_AUROC	baseline_AUROC	target_AUPRC	baseline_AUPRC	target_ECE	baseline_ECE	is_strong_baseline	status	fdr_q
0.04485407105172092	-0.001710412012906459	0.09432145352900066	0.062	primary_recist	melanoma_recist_supported_primary	EcoNiche-Opt-HeuristicEcology	EcoNiche-Opt-HeuristicEcology_vs_IFNG	IFNG	131	0.6845588235294118	0.6397058823529411	0.5804730202048082	0.5313226284532585	0.23858416431842683	0.13524042281735324	True	computed_from_matched_predictions	0.1116
0.05512576445119583	0.027604248399288624	0.08312250911597052	0.0	primary_recist	melanoma_recist_supported_primary	EcoNiche-Opt-HeuristicEcology	EcoNiche-Opt-HeuristicEcology_vs_EcoNiche-Opt-ModulePriorFixed-Platt	EcoNiche-Opt-ModulePriorFixed-Platt	131	0.6845588235294118	0.6303921568627452	0.5804730202048082	0.5174460482582935	0.23858416431842683	0.12076221874679825	False	computed_from_matched_predictions	0.0
0.05954063280477346	0.009035889355742222	0.11338741566536865	0.012	primary_recist	melanoma_recist_supported_primary	EcoNiche-Opt-HeuristicEcology	EcoNiche-Opt-HeuristicEcology_vs_CYT	CYT	131	0.6845588235294118	0.6242647058823529	0.5804730202048082	0.5116737068683719	0.23858416431842683	0.12143659252064323	True	computed_from_matched_predictions	0.036
0.063587639195107	0.0038425149274207236	0.125431483159199	0.032	primary_recist	melanoma_recist_supported_primary	EcoNiche-Opt-HeuristicEcology	EcoNiche-Opt-HeuristicEcology_vs_EcoNiche-Opt-ImmuneComposite	EcoNiche-Opt-ImmuneComposite	131	0.6845588235294118	0.6198529411764706	0.5804730202048082	0.5032624617711886	0.23858416431842683	0.13328941742116335	True	computed_from_matched_predictions	0.0822857142857143
0.09314246162628612	0.012717747588820813	0.1765575011912055	0.012	primary_recist	melanoma_recist_supported_primary	EcoNiche-Opt-HeuristicEcology	EcoNiche-Opt-HeuristicEcology_vs_PDCD1LG2	PDCD1LG2	131	0.6845588235294118	0.5889705882352941	0.5804730202048082	0.4748746815396976	0.23858416431842683	0.14133191364890493	True	computed_from_matched_predictions	0.036
0.0999502252110641	-0.017802308802308913	0.2174171532303417	0.084	primary_recist	melanoma_recist_supported_primary	EcoNiche-Opt-HeuristicEcology	EcoNiche-Opt-HeuristicEcology_vs_EcoNiche-Opt-WordNoInteraction	EcoNiche-Opt-WordNoInteraction	131	0.6845588235294118	0.5838235294117647	0.5804730202048082	0.47367639702937386	0.23858416431842683	0.20346816872456924	True	computed_from_matched_predictions	0.12342857142857143
0.10795023980636492	-0.023901339335513725	0.23928266888150607	0.096	primary_recist	melanoma_recist_supported_primary	EcoNiche-Opt-HeuristicEcology	EcoNiche-Opt-HeuristicEcology_vs_IPRES	IPRES	131	0.6845588235294118	0.5732843137254903	0.5804730202048082	0.47080769428251634	0.23858416431842683	0.17402200379843538	True	computed_from_matched_predictions	0.12342857142857143
0.14268391986969994	0.004133077837980756	0.27690637269308727	0.04	primary_recist	melanoma_recist_supported_primary	EcoNiche-Opt-HeuristicEcology	EcoNiche-Opt-HeuristicEcology_vs_TIDE_exclusion	TIDE_exclusion	131	0.6845588235294118	0.5392156862745099	0.5804730202048082	0.39508881504616233	0.23858416431842683	0.1561917643498541	True	computed_from_matched_predictions	0.09
0.1658914155303029	0.06702865448504992	0.2604222400456149	0.0	primary_recist	melanoma_recist_supported_primary	EcoNiche-Opt-HeuristicEcology	EcoNiche-Opt-HeuristicEcology_vs_EcoNiche-Opt-WordUnsignedGraph	EcoNiche-Opt-WordUnsignedGraph	131	0.6845588235294118	0.517892156862745	0.5804730202048082	0.39000512260102604	0.23858416431842683	0.24633826827581176	True	computed_from_matched_predictions	0.0
0.1970096889698009	0.07315729483282658	0.3202554466230938	0.006	primary_recist	melanoma_recist_supported_primary	EcoNiche-Opt-HeuristicEcology	EcoNiche-Opt-HeuristicEcology_vs_EcoNiche-Opt-WordFullGraph	EcoNiche-Opt-WordFullGraph	131	0.6845588235294118	0.4877450980392157	0.5804730202048082	0.4308331867324865	0.23858416431842683	0.31013502957425587	False	computed_from_matched_predictions	0.027
