endpoint	stratum	holdout	candidate	inner_mean_AUROC	inner_mean_AUPRC	inner_mean_balanced_accuracy	inner_mean_ECE	inner_sd_AUROC	performance_score	selection_score	bio_cell_specificity	bio_pathway	bio_network	bio_lr	bio_direction_stability	penalty_size	penalty_batch	penalty_leakage	penalty_redundancy	penalty_therapy_confounding	bio_bonus	bio_penalty	bio_objective_delta
primary_recist	melanoma_recist_supported_primary	GSE91061	module_prior_composite	0.6815943559364612	0.7219762250433064	0.5813189003978478	0.31655837058300756	0.14672722006363606	0.7467591122085189	0.7467591122085189													
primary_recist	melanoma_recist_supported_primary	GSE91061	module_positive_composite	0.622868359710465	0.6865964428986114	0.5589381378855063	0.2151232307439742	0.14740437118466207	0.6851450887496708	0.6851450887496708													
primary_recist	melanoma_recist_supported_primary	GSE91061	word_full_graph	0.8868790201027044	0.8534931329152496	0.8235514485514486	0.22182155062871609	0.06202349654978519	0.9522220997800911	1.0451061456020352	0.4878048780487805	0.0	1.0	0.0	0.9105691056910568	0.42592592592592593	0.1777472827796266	0.0	0.33491286697295536	0.219668197383761	0.15186991869918698	0.05898587287724298	0.092884045821944
primary_recist	melanoma_recist_supported_primary	GSE91061	word_no_interaction	0.8629455339981655	0.8306559997503641	0.7615819852661958	0.25407342392562327	0.04571042357805824	0.9254095290375419	0.9672228678391261	0.5	0.0	0.0	0.0	0.9166666666666666	0.3333333333333333	0.3586881637645327	0.0	0.29261087418054743	0.2972212877645159	0.11333333333333334	0.07151999453174912	0.04181333880158422
primary_recist	melanoma_recist_supported_primary	GSE91061	word_unsigned_graph	0.7713120213120211	0.7928059130601183	0.648598477545846	0.18032024529829752	0.01685315639375835	0.8483905793233893	0.9667955457488377	0.8095238095238095	0.022727272727272728	0.9772727272727273	0.0	0.8730158730158731	0.05555555555555555	0.13285276264057058	0.0	0.6585230923279269	0.20843220655724043	0.17460317460317465	0.05619820817772624	0.1184049664254484
primary_recist	melanoma_recist_supported_primary	GSE91061	word_no_bio_objective	0.874526058736585	0.8591023751496195	0.7792328285749338	0.19940713980048994	0.029834430150273986	0.9560613731425968	0.9560613731425968	0.55	0.0	1.0	0.0	0.9	0.4074074074074074	0.15336853416693685	0.0	0.4143492701206553	0.20574842313373695	0.15600000000000003	0.05957066369237086	0.09642933630762918
primary_recist	melanoma_recist_supported_primary	GSE91061	module_logistic_l1_C0.05	0.5	0.5177872413644771	0.5	0.042177485266916136	0.0	0.5508893620682239	0.5508893620682239													
primary_recist	melanoma_recist_supported_primary	GSE91061	module_logistic_l1_C0.25	0.5397314673630462	0.5877203361550151	0.5465499412867834	0.13410981405155956	0.040646096050502824	0.5964449812351361	0.5964449812351361													
primary_recist	melanoma_recist_supported_primary	GSE91061	module_logistic_l1_C1	0.5947068282594599	0.6283997501445493	0.5754417366259471	0.24490097754666681	0.02336817523170498	0.6548989025979847	0.6548989025979847													
primary_recist	melanoma_recist_supported_primary	GSE91061	module_logistic_l2_C0.05	0.5875177454124824	0.6224810079552295	0.5660384936700726	0.09826487773662622	0.07129749552219092	0.6469437204937475	0.6469437204937475													
primary_recist	melanoma_recist_supported_primary	GSE91061	module_logistic_l2_C0.25	0.5950883911410226	0.6254136323215881	0.5462695199537305	0.18997344984535516	0.03795906016277528	0.6536725487547885	0.6536725487547885													
primary_recist	melanoma_recist_supported_primary	GSE91061	module_logistic_l2_C1	0.5866447149341886	0.6168434331232072	0.578442756074335	0.2659545775941865	0.024878127437221686	0.6464090243940657	0.6464090243940657													
primary_recist	melanoma_recist_supported_primary	GSE78220	module_prior_composite	0.6697506440927494	0.6593027402156862	0.4846813274444853	0.32108392473974157	0.1503225140394979	0.726949847475758	0.726949847475758													
primary_recist	melanoma_recist_supported_primary	GSE78220	module_positive_composite	0.6536375904796957	0.6552704741986846	0.5603545577229787	0.2524907282127235	0.13574709516448272	0.7144188420757789	0.7144188420757789													
primary_recist	melanoma_recist_supported_primary	GSE78220	word_full_graph	0.8111070216333375	0.6930798367415897	0.6067307692307692	0.2863030227357641	0.019486098756154754	0.8590373459184008	0.9585963051593172	0.5357142857142857	0.0	1.0	0.0	0.9642857142857143	0.18518518518518517	0.13067949592436626	0.0	0.6387909777087405	0.21279449584579715	0.16	0.06044104075908359	0.09955895924091641
primary_recist	melanoma_recist_supported_primary	GSE78220	word_no_interaction	0.7891659510080563	0.7055295006673225	0.5989316239316239	0.2583647379745926	0.074290471645665	0.8174800593346316	0.8265148703336199	0.38095238095238093	0.0	0.0	0.0	0.9365079365079365	0.05555555555555555	0.45079718945501557	0.0	0.33207563173201343	0.8294447086522599	0.1053968253968254	0.09636201439783713	0.009034810998988271
primary_recist	melanoma_recist_supported_primary	GSE78220	word_unsigned_graph	0.7766023085102033	0.6258731073906106	0.5307692307692308	0.2646021805821079	0.12577469193823065	0.7694391423282059	0.8607070022860134	0.5833333333333334	0.0	1.0	0.0	0.9652777777777777	0.1111111111111111	0.20793244884380638	0.0	0.7295905722746948	0.30124919930795285	0.1638888888888889	0.07262102893108134	0.09126785995780755
primary_recist	melanoma_recist_supported_primary	GSE78220	word_no_bio_objective	0.7679108902793113	0.6937026659653078	0.6040608514292725	0.23353335761264404	0.04346333048763327	0.8128956970859742	0.8128956970859742	0.5531914893617021	0.0	1.0	0.0	0.9503546099290779	0.5370370370370371	0.20291947314454958	0.0	0.4820058776399989	0.19743175246985714	0.16028368794326242	0.07168692083853825	0.08859676710472417
primary_recist	melanoma_recist_supported_primary	GSE78220	module_logistic_l1_C0.05	0.5	0.41297494607599133	0.5	0.13464410154305623	0.0	0.5456487473037996	0.5456487473037996													
