endpoint	cohort	analysis_type	model_name	n_samples_ci	n_responders_ci	n_nonresponders_ci	AUROC	AUROC_ci_low	AUROC_ci_high	AUROC_ci_bootstrap_n
clinical_benefit	PRJEB23709_COMBO_PRE	locked_external_melanoma_combination_transfer	EcoNiche-Opt-HeuristicEcology-LockedPanel	32	26	6	0.7243589743589743	0.5118411404416838	0.923076923076923	998
clinical_benefit	PRJEB23709_COMBO_PRE	locked_external_melanoma_combination_transfer	IFNG	32	26	6	0.8269230769230769	0.616037087912088	0.9852849002849002	999
clinical_benefit	PRJEB23709_COMBO_PRE	locked_external_melanoma_combination_transfer	IPRES	32	26	6	0.4358974358974359	0.1739130434782609	0.7336190476190473	998
clinical_benefit	PRJEB23709_COMBO_PRE	locked_external_melanoma_combination_transfer	TIDE_dysfunction	32	26	6	0.5897435897435896	0.3460212201591512	0.8461538461538461	997
clinical_benefit	PRJEB23709_COMBO_PRE	locked_external_melanoma_combination_transfer	TIDE_exclusion	32	26	6	0.3205128205128205	0.12179487179487178	0.5580528846153843	998
clinical_benefit	PRJEB23709_COMBO_PRE	locked_external_melanoma_combination_transfer	TIG	32	26	6	0.8205128205128205	0.6024999999999999	1.0	1000
primary_recist	GSE140901	nanostring_hcc_clinical_assay_transfer	APM	24	6	18	0.8703703703703705	0.699810924369748	1.0	998
primary_recist	GSE140901	nanostring_hcc_clinical_assay_transfer	CXCL9	24	6	18	0.7916666666666666	0.5874609375	0.9523809523809523	1000
primary_recist	GSE140901	nanostring_hcc_clinical_assay_transfer	CYT	24	6	18	0.5462962962962963	0.26074879227053144	0.7897869674185461	998
primary_recist	GSE140901	nanostring_hcc_clinical_assay_transfer	EcoNiche-Opt-HeuristicEcology-LockedPanel	24	6	18	0.7592592592592593	0.5377956738250855	0.9445728291316525	1000
primary_recist	GSE140901	nanostring_hcc_clinical_assay_transfer	IFNG	24	6	18	0.8055555555555556	0.5963521772345302	0.9609375	999
primary_recist	GSE140901	nanostring_hcc_clinical_assay_transfer	IPRES	24	6	18	0.2685185185185185	0.012401315789473701	0.5632830404889226	999
primary_recist	GSE140901	nanostring_hcc_clinical_assay_transfer	TIDE_dysfunction	24	6	18	0.8055555555555555	0.5555555555555556	1.0	999
primary_recist	GSE140901	nanostring_hcc_clinical_assay_transfer	TIDE_exclusion	24	6	18	0.17592592592592593	0.02521008403361345	0.361344537815126	999
primary_recist	GSE140901	nanostring_hcc_clinical_assay_transfer	TIG	24	6	18	0.75	0.5368421052631579	0.9288961038961039	997
primary_recist	GSE145996	locked_external_melanoma_pd1_recist	APM	14	8	6	0.5208333333333334	0.16666666666666666	0.8571428571428571	1000
primary_recist	GSE145996	locked_external_melanoma_pd1_recist	CXCL9	14	8	6	0.4583333333333333	0.1107638888888889	0.8	999
primary_recist	GSE145996	locked_external_melanoma_pd1_recist	CYT	14	8	6	0.6041666666666667	0.27072916666666663	0.9111111111111111	1000
primary_recist	GSE145996	locked_external_melanoma_pd1_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	14	8	6	0.5208333333333334	0.17777777777777778	0.8333333333333334	999
primary_recist	GSE145996	locked_external_melanoma_pd1_recist	IFNG	14	8	6	0.41666666666666663	0.08888888888888893	0.7551587301587303	996
primary_recist	GSE145996	locked_external_melanoma_pd1_recist	IPRES	14	8	6	0.625	0.29166666666666663	0.937531887755102	1000
primary_recist	GSE145996	locked_external_melanoma_pd1_recist	TIDE_dysfunction	14	8	6	0.5625	0.2497222222222222	0.8666666666666667	999
primary_recist	GSE145996	locked_external_melanoma_pd1_recist	TIDE_exclusion	14	8	6	0.5	0.1875	0.8501041666666667	1000
primary_recist	GSE145996	locked_external_melanoma_pd1_recist	TIG	14	8	6	0.4583333333333333	0.125	0.7916666666666666	999
primary_recist	GSE93157	nanostring_melanoma_clinical_assay_transfer	APM	65	20	45	0.5422222222222223	0.3746812421777222	0.7133486997635934	1000
