candidate	weights_json
module_plus_IPRES_alpha0.8	"{""EcoNiche-Opt-ModulePriorFixed"": 0.8, ""IPRES"": 0.19999999999999996}"
module_plus_TIDE_exclusion_alpha0.5	"{""EcoNiche-Opt-ModulePriorFixed"": 0.5, ""TIDE_exclusion"": 0.5}"
module_plus_TIDE_exclusion_alpha0.65	"{""EcoNiche-Opt-ModulePriorFixed"": 0.65, ""TIDE_exclusion"": 0.35}"
module_plus_TIDE_exclusion_alpha0.8	"{""EcoNiche-Opt-ModulePriorFixed"": 0.8, ""TIDE_exclusion"": 0.19999999999999996}"
module_plus_CXCL9_TIG	"{""CXCL9"": 0.2, ""EcoNiche-Opt-ModulePriorFixed"": 0.6, ""TIG"": 0.2}"
module_plus_CXCL9_TIDE_dysfunction	"{""CXCL9"": 0.2, ""EcoNiche-Opt-ModulePriorFixed"": 0.6, ""TIDE_dysfunction"": 0.2}"
module_plus_CXCL9_CYT	"{""CXCL9"": 0.2, ""CYT"": 0.2, ""EcoNiche-Opt-ModulePriorFixed"": 0.6}"
module_plus_CXCL9_APM	"{""APM"": 0.2, ""CXCL9"": 0.2, ""EcoNiche-Opt-ModulePriorFixed"": 0.6}"
module_plus_CXCL9_IPRES	"{""CXCL9"": 0.2, ""EcoNiche-Opt-ModulePriorFixed"": 0.6, ""IPRES"": 0.2}"
module_plus_TIG_TIDE_dysfunction	"{""EcoNiche-Opt-ModulePriorFixed"": 0.6, ""TIDE_dysfunction"": 0.2, ""TIG"": 0.2}"
module_plus_TIG_CYT	"{""CYT"": 0.2, ""EcoNiche-Opt-ModulePriorFixed"": 0.6, ""TIG"": 0.2}"
module_plus_TIG_APM	"{""APM"": 0.2, ""EcoNiche-Opt-ModulePriorFixed"": 0.6, ""TIG"": 0.2}"
module_plus_TIG_IPRES	"{""EcoNiche-Opt-ModulePriorFixed"": 0.6, ""IPRES"": 0.2, ""TIG"": 0.2}"
module_plus_TIDE_dysfunction_CYT	"{""CYT"": 0.2, ""EcoNiche-Opt-ModulePriorFixed"": 0.6, ""TIDE_dysfunction"": 0.2}"
module_plus_TIDE_dysfunction_APM	"{""APM"": 0.2, ""EcoNiche-Opt-ModulePriorFixed"": 0.6, ""TIDE_dysfunction"": 0.2}"
module_plus_TIDE_dysfunction_IPRES	"{""EcoNiche-Opt-ModulePriorFixed"": 0.6, ""IPRES"": 0.2, ""TIDE_dysfunction"": 0.2}"
module_plus_CYT_APM	"{""APM"": 0.2, ""CYT"": 0.2, ""EcoNiche-Opt-ModulePriorFixed"": 0.6}"
module_plus_CYT_IPRES	"{""CYT"": 0.2, ""EcoNiche-Opt-ModulePriorFixed"": 0.6, ""IPRES"": 0.2}"
module_plus_APM_IPRES	"{""APM"": 0.2, ""EcoNiche-Opt-ModulePriorFixed"": 0.6, ""IPRES"": 0.2}"
ifn_apm_effector_resistance_balance	"{""APM"": 0.25, ""CXCL9"": 0.2, ""CYT"": 0.15, ""IFNG"": 0.25, ""IPRES"": 0.15}"
module_ifn_apm_cyt	"{""APM"": 0.1, ""CXCL9"": 0.1, ""CYT"": 0.1, ""EcoNiche-Opt-ModulePriorFixed"": 0.55, ""IFNG"": 0.15}"
