candidate	inner_mean_AUROC	inner_sd_AUROC	inner_mean_AUPRC	inner_mean_balanced_accuracy	inner_mean_ECE	selection_score	endpoint	stratum	holdout
module_plus_APM_IPRES	0.7763420789736579	0.020361217729638836	0.7431506900096096	0.6911903885588095	0.13407727969712763	0.8905020468975933	primary_recist	melanoma_core_high_evidence	GSE91061
module_plus_APM_alpha0.65	0.7677848467322151	0.048004626951995366	0.7142336622658099	0.707595036542405	0.17667517004667066	0.861864358977638	primary_recist	melanoma_core_high_evidence	GSE91061
module_plus_APM_alpha0.5	0.7677848467322151	0.048004626951995366	0.7142336622658099	0.707595036542405	0.1865831118182879	0.8603781677118955	primary_recist	melanoma_core_high_evidence	GSE91061
module_plus_APM_alpha0.8	0.7677848467322151	0.048004626951995366	0.7142336622658099	0.707595036542405	0.1942041576689746	0.8592350108342925	primary_recist	melanoma_core_high_evidence	GSE91061
single__APM	0.7677848467322151	0.048004626951995366	0.7142336622658099	0.707595036542405	0.21108151145101467	0.8567034077669865	primary_recist	melanoma_core_high_evidence	GSE91061
module_plus_TIDE_dysfunction_IPRES	0.7216204847783795	0.012829275987170763	0.696997115316712	0.6447959934802041	0.17573541822984928	0.8236663087293669	primary_recist	melanoma_core_high_evidence	GSE91061
module_plus_CXCL9_IPRES	0.7342000105158	0.05288132919711869	0.6970877303624934	0.6784662705715337	0.18979564010065977	0.8194894664554003	primary_recist	melanoma_core_high_evidence	GSE91061
module_plus_TIG_IPRES	0.723210999526789	0.06387034018612969	0.6963917456891863	0.7194713181555287	0.17786537089118964	0.8093758471938238	primary_recist	melanoma_core_high_evidence	GSE91061
module_plus_TIDE_dysfunction_APM	0.7341079972658919	0.0912508544087492	0.6820912759791982	0.6766391503233609	0.24152511003283794	0.792689388907285	primary_recist	melanoma_core_high_evidence	GSE91061
module_plus_TIG_APM	0.730650928019349	0.10427730164572269	0.6806920269544516	0.7137270624112729	0.2047531127102704	0.7924550843088057	primary_recist	melanoma_core_high_evidence	GSE91061
module_plus_CYT_IPRES	0.7113807245386192	0.06852358168147643	0.6847544002515793	0.6797478836952521	0.19519782415221087	0.7877156675538063	primary_recist	melanoma_core_high_evidence	GSE91061
module_plus_eight_family_alpha0.75	0.7228955255271043	0.12399442662600552	0.6843126198274458	0.6894684263105315	0.19185950858932432	0.775697211870801	primary_recist	melanoma_core_high_evidence	GSE91061
ifn_apm_effector_resistance_balance	0.7181108365318891	0.11920973763079024	0.6880940749705584	0.7365463483884536	0.21499398516443405	0.7746813991592697	primary_recist	melanoma_core_high_evidence	GSE91061
module_plus_eight_family_alpha0.85	0.7228955255271043	0.12399442662600552	0.6843126198274458	0.6894684263105315	0.2020170408828727	0.7741735820267687	primary_recist	melanoma_core_high_evidence	GSE91061
module_plus_eight_family_alpha0.65	0.7228955255271043	0.12399442662600552	0.6843126198274458	0.6894684263105315	0.22352057668882724	0.7709480516558755	primary_recist	melanoma_core_high_evidence	GSE91061
eight_signature_family_mean	0.7228955255271043	0.12399442662600552	0.6843126198274458	0.6894684263105315	0.22444588708156157	0.7708092550969654	primary_recist	melanoma_core_high_evidence	GSE91061
module_plus_eight_family_alpha0.5	0.7228955255271043	0.12399442662600552	0.6843126198274458	0.6894684263105315	0.23546699159935547	0.7691560894192963	primary_recist	melanoma_core_high_evidence	GSE91061
module_plus_CYT_APM	0.7145223197854776	0.11562122088437876	0.6764417131715892	0.7064843051685157	0.22888708831758403	0.7664523089738801	primary_recist	melanoma_core_high_evidence	GSE91061
module_plus_CXCL9_APM	0.7148772280351228	0.1104816236395183	0.6722513428276773	0.5989799674010201	0.21954407789510366	0.7593520167359438	primary_recist	melanoma_core_high_evidence	GSE91061
module_plus_immune_family_alpha0.85	0.6827514590672484	0.14978442610021558	0.668291315338027	0.6962905515537094	0.17320300068487066	0.7258262039085944	primary_recist	melanoma_core_high_evidence	GSE91061
module_plus_immune_family_alpha0.75	0.6827514590672484	0.14978442610021558	0.668291315338027	0.6962905515537094	0.199320234333841	0.7219086188612489	primary_recist	melanoma_core_high_evidence	GSE91061
module_plus_immune_family_alpha0.65	0.6827514590672484	0.14978442610021558	0.668291315338027	0.6962905515537094	0.24028165569769225	0.7157644056566712	primary_recist	melanoma_core_high_evidence	GSE91061
immune_family_mean	0.6827514590672484	0.14978442610021558	0.668291315338027	0.6962905515537094	0.25889507970354836	0.7129723920557928	primary_recist	melanoma_core_high_evidence	GSE91061
module_plus_TIG_alpha0.8	0.6709211840790787	0.15443766759556238	0.6643798015451909	0.6637441505862558	0.1500735197325938	0.7117256009143313	primary_recist	melanoma_core_high_evidence	GSE91061
module_ifn_apm_cyt	0.6812003785687996	0.15372785109627218	0.662159411604071	0.7155213207844786	0.25903652086175677	0.7109354406850685	primary_recist	melanoma_core_high_evidence	GSE91061
module_plus_CXCL9_TIDE_dysfunction	0.6784531258215469	0.15647510384352487	0.6542576645399407	0.6962905515537094	0.21726615380432251	0.7105042276306776	primary_recist	melanoma_core_high_evidence	GSE91061
module_plus_TIG_TIDE_dysfunction	0.6776118618223881	0.15013933434986065	0.6708765078622347	0.6521176192228824	0.2187050899978907	0.709542810573779	primary_recist	melanoma_core_high_evidence	GSE91061
module_plus_immune_family_alpha0.5	0.6827514590672484	0.14978442610021558	0.668291315338027	0.6962905515537094	0.2881928634503696	0.7085777244937697	primary_recist	melanoma_core_high_evidence	GSE91061
module_plus_IFNG_alpha0.8	0.6801356538198643	0.16914664283085334	0.6722539755707295	0.6345233713654767	0.1901201218836597	0.7061793809570519	primary_recist	melanoma_core_high_evidence	GSE91061
single__IFNG	0.6801356538198643	0.16914664283085334	0.6722539755707295	0.6345233713654767	0.19704049908266905	0.7051413243772006	primary_recist	melanoma_core_high_evidence	GSE91061
module_plus_TIG_alpha0.5	0.6709211840790787	0.15443766759556238	0.6643798015451909	0.6637441505862558	0.20026001699887713	0.7041976263243888	primary_recist	melanoma_core_high_evidence	GSE91061
single__TIG	0.6709211840790787	0.15443766759556238	0.6643798015451909	0.6637441505862558	0.2050689421151753	0.703476287556944	primary_recist	melanoma_core_high_evidence	GSE91061
module_plus_IFNG_alpha0.65	0.6801356538198643	0.16914664283085334	0.6722539755707295	0.6345233713654767	0.2108666762133565	0.7030673978075974	primary_recist	melanoma_core_high_evidence	GSE91061
module_plus_IFNG_alpha0.5	0.6801356538198643	0.16914664283085334	0.6722539755707295	0.6345233713654767	0.21273941403210267	0.7027864871347854	primary_recist	melanoma_core_high_evidence	GSE91061
module_plus_TIG_alpha0.65	0.6709211840790787	0.15443766759556238	0.6643798015451909	0.6637441505862558	0.21761102018454154	0.7015949758465392	primary_recist	melanoma_core_high_evidence	GSE91061
module_plus_CXCL9_TIG	0.675350964824649	0.16436195383563806	0.6655904754490773	0.6816012934433987	0.2420522324651852	0.6997994276180817	primary_recist	melanoma_core_high_evidence	GSE91061
module_plus_TIDE_dysfunction_alpha0.8	0.6558573005941427	0.15036279509963724	0.6536034128175776	0.6095812082654188	0.14626239314313327	0.6925731459361355	primary_recist	melanoma_core_high_evidence	GSE91061
module_plus_CXCL9_alpha0.8	0.6638755980861244	0.16387559808612442	0.6451445897250434	0.6980848099269152	0.21913039541343263	0.6915849596005494	primary_recist	melanoma_core_high_evidence	GSE91061
module_plus_CXCL9_alpha0.65	0.6638755980861244	0.16387559808612442	0.6451445897250434	0.6980848099269152	0.23264709282397916	0.6895574549889674	primary_recist	melanoma_core_high_evidence	GSE91061
module_plus_TIDE_dysfunction_CYT	0.6551474840948525	0.16064198958935805	0.6523120917910971	0.6802276670697723	0.19122399204658885	0.68742896585874	primary_recist	melanoma_core_high_evidence	GSE91061
module_plus_CXCL9_alpha0.5	0.6638755980861244	0.16387559808612442	0.6451445897250434	0.6980848099269152	0.25459180919060886	0.686265747533973	primary_recist	melanoma_core_high_evidence	GSE91061
module_plus_TIDE_dysfunction_alpha0.65	0.6558573005941427	0.15036279509963724	0.6536034128175776	0.6095812082654188	0.19050691125326355	0.685936468219616	primary_recist	melanoma_core_high_evidence	GSE91061
single__TIDE_dysfunction	0.6558573005941427	0.15036279509963724	0.6536034128175776	0.6095812082654188	0.22359560967584582	0.6809731634562287	primary_recist	melanoma_core_high_evidence	GSE91061
module_plus_TIDE_dysfunction_alpha0.5	0.6558573005941427	0.15036279509963724	0.6536034128175776	0.6095812082654188	0.23204392658348716	0.6797059159200824	primary_recist	melanoma_core_high_evidence	GSE91061
