metric	n_settings	estimate_mean	estimate_sd	estimate_min	estimate_max	status
AUPRC	7	0.6889306978496025	0.0014259685900801678	0.6866992203045047	0.6919521858286991	computed_from_pipeline
AUROC	7	0.4618810353557377	0.014376833880878546	0.4414523555148555	0.4935696055487722	computed_from_pipeline
Brier	7	0.3663069541460585	0.0094961041263809	0.34654077231176617	0.3720193956721176	computed_from_pipeline
ECE	7	0.3834264678522599	0.006012656919301899	0.3716224608928788	0.39407842919690433	computed_from_pipeline
F1	7	0.45325412268440984	0.05472226863088143	0.42026424395276857	0.5666793854293853	computed_from_pipeline
MCC	7	-0.04347389920345685	0.03654804668192392	-0.12282554333279311	0.010618918482033937	computed_from_pipeline
balanced_accuracy	7	0.48041855631141345	0.01565390086899867	0.4488260582010582	0.5071097883597884	computed_from_pipeline
