endpoint	stratum	holdout	candidate	inner_mean_AUROC	inner_mean_AUPRC	inner_mean_balanced_accuracy	inner_mean_ECE	selection_score
primary_recist	melanoma_core_high_evidence	GSE91061	module_prior_composite	0.7619748672380251	0.7321301023557244	0.6381184604868816	0.2738923960234051	0.8304872953801553
primary_recist	melanoma_core_high_evidence	GSE91061	module_positive_composite	0.6843025395656974	0.6820445977478504	0.6657881592092119	0.17679260369870964	0.7516941774135506
primary_recist	melanoma_core_high_evidence	GSE91061	module_logistic_l1_C0.05	0.5	0.49096657633243	0.5	0.0275519421860885	0.5495483288166215
primary_recist	melanoma_core_high_evidence	GSE91061	module_logistic_l1_C0.25	0.5360166149639833	0.5296978158424812	0.5371076292128925	0.14455176841165412	0.589356887216752
primary_recist	melanoma_core_high_evidence	GSE91061	module_logistic_l1_C1	0.5920658289079341	0.5662182426507536	0.5607878963142121	0.2561823226470139	0.6484161358561824
primary_recist	melanoma_core_high_evidence	GSE91061	module_logistic_l2_C0.05	0.5922892896577107	0.5550068904139238	0.588635049161365	0.11767919319329956	0.6494713866364752
primary_recist	melanoma_core_high_evidence	GSE91061	module_logistic_l2_C0.25	0.5897654976602345	0.5529817250415525	0.5942872916557127	0.15943406393130483	0.6471289484950977
primary_recist	melanoma_core_high_evidence	GSE91061	module_logistic_l2_C1	0.5911851306588147	0.554562141103706	0.6063344550186656	0.20259683059160588	0.6492299604649334
primary_recist	melanoma_core_high_evidence	GSE78220	module_prior_composite	0.7442092994724574	0.6381198751142941	0.5789933750460066	0.28068072725850607	0.8050649619804724
primary_recist	melanoma_core_high_evidence	GSE78220	module_positive_composite	0.7304563857195436	0.6350556446979603	0.5841215801742117	0.23284384990183354	0.7914152469631521
primary_recist	melanoma_core_high_evidence	GSE78220	module_logistic_l1_C0.05	0.5	0.33374813339970133	0.5	0.16625186660029864	0.541687406669985
primary_recist	melanoma_core_high_evidence	GSE78220	module_logistic_l1_C0.25	0.7205434915961232	0.6294158834040063	0.5467795362532204	0.2626851541946903	0.7793532625789845
primary_recist	melanoma_core_high_evidence	GSE78220	module_logistic_l1_C1	0.6799595141700405	0.5673862124151028	0.6347135320819531	0.22424605812200515	0.7400645013948933
primary_recist	melanoma_core_high_evidence	GSE78220	module_logistic_l2_C0.05	0.7376334192123666	0.6209354066215413	0.6561096797938903	0.2208201357967659	0.8014856735331382
primary_recist	melanoma_core_high_evidence	GSE78220	module_logistic_l2_C0.25	0.6913200834253466	0.5885557842884696	0.5924886516991781	0.272807191978558	0.750372305224729
primary_recist	melanoma_core_high_evidence	GSE78220	module_logistic_l2_C1	0.643387314439946	0.5382509980639238	0.5851429272481904	0.19344365183106269	0.6995570107055517
primary_recist	melanoma_core_high_evidence	PRJEB23709_PD1_PRE	module_prior_composite	0.6305860805860806	0.5370622862934893	0.5338827838827839	0.3331911613328681	0.6841333340948942
primary_recist	melanoma_core_high_evidence	PRJEB23709_PD1_PRE	module_positive_composite	0.5846153846153845	0.5098296265882383	0.5191391941391942	0.242570922632914	0.6360638256517561
primary_recist	melanoma_core_high_evidence	PRJEB23709_PD1_PRE	module_logistic_l1_C0.05	0.5	0.36130007558578986	0.5	0.15721844293272863	0.5430650037792896
primary_recist	melanoma_core_high_evidence	PRJEB23709_PD1_PRE	module_logistic_l1_C0.25	0.4761904761904762	0.42933804126873515	0.486996336996337	0.21742895260787337	0.5220071951037298
primary_recist	melanoma_core_high_evidence	PRJEB23709_PD1_PRE	module_logistic_l1_C1	0.4236263736263736	0.3794105024796864	0.40934065934065933	0.30979706221722003	0.4630639317173909
primary_recist	melanoma_core_high_evidence	PRJEB23709_PD1_PRE	module_logistic_l2_C0.05	0.4694139194139194	0.39359900135359005	0.5164835164835165	0.23874010870366585	0.5149180453057748
primary_recist	melanoma_core_high_evidence	PRJEB23709_PD1_PRE	module_logistic_l2_C0.25	0.38992673992673993	0.36172548386932657	0.41712454212454214	0.28347371726914694	0.42886924122643333
primary_recist	melanoma_core_high_evidence	PRJEB23709_PD1_PRE	module_logistic_l2_C1	0.38278388278388276	0.35996923634812317	0.45009157509157505	0.3678121744837762	0.42328692335586765
primary_recist	melanoma_recist_supported_primary	GSE91061	module_prior_composite	0.6815943559364612	0.7219762250433064	0.5813189003978478	0.31655837058300756	0.7467591122085189
primary_recist	melanoma_recist_supported_primary	GSE91061	module_positive_composite	0.622868359710465	0.6865964428986114	0.5589381378855063	0.2151232307439742	0.6851450887496708
primary_recist	melanoma_recist_supported_primary	GSE91061	module_logistic_l1_C0.05	0.5	0.5177872413644771	0.5	0.042177485266916136	0.5508893620682239
primary_recist	melanoma_recist_supported_primary	GSE91061	module_logistic_l1_C0.25	0.5397314673630462	0.5877203361550151	0.5465499412867834	0.13410981405155956	0.5964449812351361
primary_recist	melanoma_recist_supported_primary	GSE91061	module_logistic_l1_C1	0.5947068282594599	0.6283997501445493	0.5754417366259471	0.24490097754666681	0.6548989025979847
primary_recist	melanoma_recist_supported_primary	GSE91061	module_logistic_l2_C0.05	0.5875177454124824	0.6224810079552295	0.5660384936700726	0.09826487773662622	0.6469437204937475
primary_recist	melanoma_recist_supported_primary	GSE91061	module_logistic_l2_C0.25	0.5950883911410226	0.6254136323215881	0.5462695199537305	0.18997344984535516	0.6536725487547885
primary_recist	melanoma_recist_supported_primary	GSE91061	module_logistic_l2_C1	0.5866447149341886	0.6168434331232072	0.578442756074335	0.2659545775941865	0.6464090243940657
primary_recist	melanoma_recist_supported_primary	GSE78220	module_prior_composite	0.6697506440927494	0.6593027402156862	0.4846813274444853	0.32108392473974157	0.726949847475758
primary_recist	melanoma_recist_supported_primary	GSE78220	module_positive_composite	0.6536375904796957	0.6552704741986846	0.5603545577229787	0.2524907282127235	0.7144188420757789
primary_recist	melanoma_recist_supported_primary	GSE78220	module_logistic_l1_C0.05	0.5	0.41297494607599133	0.5	0.13464410154305623	0.5456487473037996
primary_recist	melanoma_recist_supported_primary	GSE78220	module_logistic_l1_C0.25	0.651928188770294	0.6447222194033672	0.5599272072956284	0.26478286568862425	0.7121606601052437
primary_recist	melanoma_recist_supported_primary	GSE78220	module_logistic_l1_C1	0.6116090050300577	0.6201806685762857	0.5662853228642702	0.23188586706221667	0.6709323046020855
primary_recist	melanoma_recist_supported_primary	GSE78220	module_logistic_l2_C0.05	0.6591624749519486	0.6374890454763512	0.5622776346460557	0.25169093797370096	0.7191508089580689
primary_recist	melanoma_recist_supported_primary	GSE78220	module_logistic_l2_C0.25	0.6253833885412833	0.6193810964612386	0.5826084733979471	0.23259233984597402	0.6854828670342425
primary_recist	melanoma_recist_supported_primary	GSE78220	module_logistic_l2_C1	0.5832975504028136	0.586868506994849	0.5629585326953748	0.2727558671959809	0.6407889023873248
primary_recist	melanoma_recist_supported_primary	GSE145996	module_prior_composite	0.7122567490988544	0.6357707545878359	0.618025249604197	0.29592142820492645	0.7749465493084561
primary_recist	melanoma_recist_supported_primary	GSE145996	module_positive_composite	0.6664581033002085	0.6089766230113497	0.6355060144533828	0.21740245874448572	0.7286822351734451
primary_recist	melanoma_recist_supported_primary	GSE145996	module_logistic_l1_C0.05	0.5	0.3953382617726404	0.5	0.11700741723970526	0.544766913088632
primary_recist	melanoma_recist_supported_primary	GSE145996	module_logistic_l1_C0.25	0.6270770165507007	0.5595572966329169	0.5817539185960239	0.24469119157763153	0.6841425773121478
