candidate	n_samples	n_responders	n_nonresponders	AUROC	AUPRC	balanced_accuracy	accuracy	MCC	F1	sensitivity	specificity	PPV	NPV	Brier	ECE	calibration_slope	calibration_intercept
0.80*base+0.20*rz__PLA2G2D	116	56	60	0.7125	0.7260085416533733	0.6285714285714286	0.6293103448275862	0.2573343974726882	0.6126126126126126	0.6071428571428571	0.65	0.6181818181818182	0.639344262295082	0.22220172812309189	0.12765595267109317	0.7937580985017205	0.31776298559076027
base_rescue_robust	116	56	60	0.6860119047619048	0.6892418361322834	0.6738095238095239	0.6724137931034483	0.3482414636011078	0.6779661016949152	0.7142857142857143	0.6333333333333333	0.6451612903225806	0.7037037037037037	0.22684282658996965	0.09723746673814182	0.7051592545940478	0.17301363155951452
