endpoint	external_set	model_name	axis	transform	negative_weight	claim_boundary	cohorts	AUROC	AUPRC	balanced_accuracy	accuracy	MCC	F1	sensitivity	specificity	PPV	NPV	Brier	ECE	calibration_slope	calibration_intercept	threshold	n_samples	n_responders	n_nonresponders	response_prevalence	AUPRC_minus_prevalence
primary_recist	current_strict_pd1_like	EcoNiche-Opt-MAP4K1-TBX3AXL-PercentilePrimarySelected	MAP4K1_minus_TBX3_AXL	cohort_gene_percentile	1.25	primary_selected_locked_candidate	GSE145996,PHS000452_LIU_LIKE_PRE	0.636139722346619	0.5375098471443203	0.6260635915808329	0.6074074074074074	0.2564710283407001	0.624113475177305	0.7586206896551724	0.4935064935064935	0.5301204819277109	0.7307692307692307	0.27159195595248836	0.1896586025475211	0.1531630847613091	-0.36609700599879436	0.5447651006711409	135	58	77	0.42962962962962964	0.10788021751469062
primary_recist	secondary_small_melanoma	EcoNiche-Opt-MAP4K1-TBX3AXL-PercentilePrimarySelected	MAP4K1_minus_TBX3_AXL	cohort_gene_percentile	1.25	primary_selected_locked_candidate	GSE115821,GSE168204	0.5303030303030303	0.47615001348441766	0.5050505050505051	0.5172413793103449	0.009855206599818044	0.4166666666666667	0.45454545454545453	0.5555555555555556	0.38461538461538464	0.625	0.3138641453855437	0.28436005164242517	-0.06618109992832691	-0.49567175072971975	0.5447651006711409	29	11	18	0.3793103448275862	0.09683966865683147
primary_recist	low_n_array_sensitivity	EcoNiche-Opt-MAP4K1-TBX3AXL-PercentilePrimarySelected	MAP4K1_minus_TBX3_AXL	cohort_gene_percentile	1.25	primary_selected_locked_candidate	GSE122220	0.7083333333333334	0.5666666666666667	0.75	0.7	0.5345224838248488	0.7272727272727273	1.0	0.5	0.5714285714285714	1.0	0.2640106646448356	0.3702127659574468	0.04474848496245113	-0.45709586808299596	0.5447651006711409	10	4	6	0.4	0.16666666666666663
primary_recist	expanded_public_melanoma	EcoNiche-Opt-MAP4K1-TBX3AXL-PercentilePrimarySelected	MAP4K1_minus_TBX3_AXL	cohort_gene_percentile	1.25	primary_selected_locked_candidate	GSE115821,GSE145996,GSE168204,PHS000452_LIU_LIKE_PRE	0.627307398932113	0.528490053830666	0.6077040427154844	0.5914634146341463	0.2158530928532669	0.593939393939394	0.7101449275362319	0.5052631578947369	0.5104166666666666	0.7058823529411765	0.2790669162790652	0.20640459049722967	0.03876691906133447	-0.33745991881421433	0.5447651006711409	164	69	95	0.42073170731707316	0.1077583465135929
primary_recist	public_melanoma_nontraining_with_combo	EcoNiche-Opt-MAP4K1-TBX3AXL-PercentilePrimarySelected	MAP4K1_minus_TBX3_AXL	cohort_gene_percentile	1.25	primary_selected_locked_candidate	GSE115821,GSE145996,GSE168204,PHS000452_LIU_LIKE_PRE,PRJEB23709_COMBO_PRE	0.5884171907756812	0.526295612047341	0.5863731656184487	0.5816326530612245	0.17307319308308194	0.5858585858585859	0.6444444444444445	0.5283018867924528	0.5370370370370371	0.6363636363636364	0.2774914570181317	0.16087688074690423	0.029237738812263617	-0.17342085038211286	0.5447651006711409	196	90	106	0.45918367346938777	0.06711193857795322
primary_recist	public_melanoma_nontraining_with_combo_and_array	EcoNiche-Opt-MAP4K1-TBX3AXL-PercentilePrimarySelected	MAP4K1_minus_TBX3_AXL	cohort_gene_percentile	1.25	primary_selected_locked_candidate	GSE115821,GSE122220,GSE145996,GSE168204,PHS000452_LIU_LIKE_PRE,PRJEB23709_COMBO_PRE	0.5986417173252279	0.5231347701475813	0.5931800911854104	0.587378640776699	0.18692029104450245	0.5933014354066986	0.6595744680851063	0.5267857142857143	0.5391304347826087	0.6483516483516484	0.27683704962136974	0.1640154649287835	0.030793460776001532	-0.18660655001636783	0.5447651006711409	206	94	112	0.4563106796116505	0.06682409053593075
primary_recist	current_strict_pd1_like	EcoNiche-Opt-MAP4K1-TBX3AXL-RobustZStressOnly	MAP4K1_minus_TBX3_AXL	cohort_robust_zscore	1.0	current_external_stress_screen_not_locked_selection	GSE145996,PHS000452_LIU_LIKE_PRE	0.6379310344827588	0.5770958436459339	0.6305418719211823	0.6222222222222222	0.2593474106102344	0.6106870229007634	0.6896551724137931	0.5714285714285714	0.547945205479452	0.7096774193548387	0.23512086487134076	0.10493998185037184	0.40852072718342414	-0.16711555996938854	0.3996971989635964	135	58	77	0.42962962962962964	0.14746621401630428
primary_recist	secondary_small_melanoma	EcoNiche-Opt-MAP4K1-TBX3AXL-RobustZStressOnly	MAP4K1_minus_TBX3_AXL	cohort_robust_zscore	1.0	current_external_stress_screen_not_locked_selection	GSE115821,GSE168204	0.5328282828282829	0.4636644156432109	0.5025252525252526	0.4482758620689655	0.005482930791331409	0.5	0.7272727272727273	0.2777777777777778	0.38095238095238093	0.625	0.3193121303409879	0.28704448115454867	-0.06593122803512004	-0.494290299754471	0.3996971989635964	29	11	18	0.3793103448275862	0.08435407081562474
primary_recist	low_n_array_sensitivity	EcoNiche-Opt-MAP4K1-TBX3AXL-RobustZStressOnly	MAP4K1_minus_TBX3_AXL	cohort_robust_zscore	1.0	current_external_stress_screen_not_locked_selection	GSE122220	0.6666666666666667	0.5249999999999999	0.6666666666666666	0.6	0.4082482904638631	0.6666666666666666	1.0	0.3333333333333333	0.5	1.0	0.26345114965179395	0.4103860239679066	0.024540251550617526	-0.4146592914046815	0.3996971989635964	10	4	6	0.4	0.12499999999999989
primary_recist	expanded_public_melanoma	EcoNiche-Opt-MAP4K1-TBX3AXL-RobustZStressOnly	MAP4K1_minus_TBX3_AXL	cohort_robust_zscore	1.0	current_external_stress_screen_not_locked_selection	GSE115821,GSE145996,GSE168204,PHS000452_LIU_LIKE_PRE	0.6072463768115941	0.5317608918769756	0.605720823798627	0.5914634146341463	0.21103959047820584	0.588957055214724	0.6956521739130435	0.5157894736842106	0.5106382978723404	0.7	0.2500083447409735	0.12595547937442172	0.05944424075986741	-0.30855495921164294	0.3996971989635964	164	69	95	0.42073170731707316	0.11102918455990246
