AUROC	AUPRC	balanced_accuracy	accuracy	MCC	F1	sensitivity	specificity	PPV	NPV	Brier	ECE	calibration_slope	calibration_intercept	endpoint	stratum	model_name	n_samples	n_cohorts	n_responders	n_nonresponders	response_prevalence	AUPRC_minus_prevalence	fold_AUROC_sd	selected_candidates	selection_boundary
0.5125707102451289	0.3938688274707982	0.549654305468259	0.5042735042735043	0.10093961332223711	0.5166666666666667	0.7209302325581395	0.3783783783783784	0.4025974025974026	0.7	0.2627422336718145	0.15458916822051147	0.14974779531072185	-0.5414958236447182	primary_recist	melanoma_core_high_evidence	EcoNiche-Opt-NoLeakageStackedEnsemble	117	3	43	74	0.36752136752136755	0.026347459949430663	0.024717962710845535	all_l1_C0.3,module_l1_C0.03,module_l2_C0.03	training_only_nested_lodo
0.5933823529411765	0.4965369272026635	0.524264705882353	0.4580152671755725	0.0584973990990836	0.5419354838709678	0.8235294117647058	0.225	0.40384615384615385	0.6666666666666666	0.24609341626947726	0.1261842309726203	0.5863988241850627	-0.4551607073414903	primary_recist	melanoma_recist_supported_primary	EcoNiche-Opt-NoLeakageStackedEnsemble	131	4	51	80	0.3893129770992366	0.10722395010342689	0.13002187644607166	module_l1_C0.3,module_l2_C0.03,module_l2_C0.3	training_only_nested_lodo
0.5794642857142858	0.6092525261066235	0.5464285714285714	0.5517241379310345	0.09762210399274299	0.4583333333333333	0.39285714285714285	0.7	0.55	0.5526315789473685	0.24298023484338455	0.043636025913771206	0.8103961616233564	-0.05846491793361683	strict_recist	strict_melanoma_pd1_like_external	EcoNiche-Opt-NoLeakageStackedEnsemble	116	2	56	60	0.4827586206896552	0.1264939054169683	0.00303030303030305	module_l2_C0.03	discovery_only_nested_lodo_no_external_selection
