endpoint	stratum	holdout	train_cohorts	candidate	feature_family	penalty	C	n_features	inner_mean_AUROC	inner_sd_AUROC	inner_mean_AUPRC	inner_mean_balanced_accuracy	inner_mean_ECE	selection_score	selected_candidate
primary_recist	melanoma_core_high_evidence	GSE91061	GSE78220,PRJEB23709_PD1_PRE	compact_l2_C0.03	compact	l2	0.03	15	0.589896945160103	0.012973868237026176	0.5566553913861041	0.5811293969188706	0.1330339802491024	0.6331769229887786	all_l1_C0.3
primary_recist	melanoma_core_high_evidence	GSE91061	GSE78220,PRJEB23709_PD1_PRE	compact_l2_C0.1	compact	l2	0.1	15	0.5837846364162154	0.009621956990378044	0.552798420099713	0.5632722540617277	0.16319259376666678	0.6229382235690839	all_l1_C0.3
primary_recist	melanoma_core_high_evidence	GSE91061	GSE78220,PRJEB23709_PD1_PRE	compact_l2_C0.3	compact	l2	0.3	15	0.5730190861769808	0.020387507229612523	0.5494256824978268	0.5949708186550292	0.21355595500153884	0.600483048494478	all_l1_C0.3
primary_recist	melanoma_core_high_evidence	GSE91061	GSE78220,PRJEB23709_PD1_PRE	compact_l2_C1	compact	l2	1.0	15	0.5719543614280457	0.004968715495031306	0.5484714467913097	0.6176980913823019	0.23975872161059325	0.6042382446871871	all_l1_C0.3
primary_recist	melanoma_core_high_evidence	GSE91061	GSE78220,PRJEB23709_PD1_PRE	module_signature_l1_C0.03	module_signature	l1	0.03	20	0.5	0.0	0.49096657633243	0.5	0.0275519421860885	0.5499638663053298	all_l1_C0.3
primary_recist	melanoma_core_high_evidence	GSE91061	GSE78220,PRJEB23709_PD1_PRE	module_signature_l1_C0.1	module_signature	l1	0.1	20	0.5247252747252747	0.02472527472527475	0.5213204701533954	0.5260989010989011	0.06399075166288229	0.5612010166834897	all_l1_C0.3
primary_recist	melanoma_core_high_evidence	GSE91061	GSE78220,PRJEB23709_PD1_PRE	module_signature_l1_C0.3	module_signature	l1	0.3	20	0.5724407171775593	0.0065066512434933665	0.575287787684506	0.5290893317209107	0.11421810450654715	0.6160379212343267	all_l1_C0.3
primary_recist	melanoma_core_high_evidence	GSE91061	GSE78220,PRJEB23709_PD1_PRE	module_signature_l1_C1	module_signature	l1	1.0	20	0.5622535359377465	0.031153057468846945	0.5541758362209284	0.5362663652137336	0.2339668445622609	0.5738128824017633	all_l1_C0.3
primary_recist	melanoma_core_high_evidence	GSE91061	GSE78220,PRJEB23709_PD1_PRE	module_signature_l2_C0.03	module_signature	l2	0.03	20	0.5715994531784006	0.00017088174982909932	0.5448714373199739	0.5422472264577528	0.13952450822308765	0.6121848411249078	all_l1_C0.3
primary_recist	melanoma_core_high_evidence	GSE91061	GSE78220,PRJEB23709_PD1_PRE	module_signature_l2_C0.1	module_signature	l2	0.1	20	0.5750565224249435	0.01285556548714445	0.5470110100400838	0.5607878963142121	0.2258902963634591	0.5974856910465713	all_l1_C0.3
primary_recist	melanoma_core_high_evidence	GSE91061	GSE78220,PRJEB23709_PD1_PRE	module_signature_l2_C0.3	module_signature	l2	0.3	20	0.578999947421	0.01440664598559338	0.5522952703952553	0.5739457910510541	0.2475307045805606	0.5985938353331974	all_l1_C0.3
primary_recist	melanoma_core_high_evidence	GSE91061	GSE78220,PRJEB23709_PD1_PRE	module_signature_l2_C1	module_signature	l2	1.0	20	0.5700483726799516	0.004114306745885643	0.5491851874208136	0.5002891844997108	0.2692557266545351	0.5875358382758953	all_l1_C0.3
primary_recist	melanoma_core_high_evidence	GSE91061	GSE78220,PRJEB23709_PD1_PRE	module_signature_bio_l1_C0.03	module_signature_bio	l1	0.03	36	0.5	0.0	0.49096657633243	0.5	0.0275519421860885	0.5339638663053298	all_l1_C0.3
primary_recist	melanoma_core_high_evidence	GSE91061	GSE78220,PRJEB23709_PD1_PRE	module_signature_bio_l1_C0.1	module_signature_bio	l1	0.1	36	0.5439560439560439	0.04395604395604391	0.5292913510668229	0.5260989010989011	0.04129069213627988	0.5590184983192072	all_l1_C0.3
primary_recist	melanoma_core_high_evidence	GSE91061	GSE78220,PRJEB23709_PD1_PRE	module_signature_bio_l1_C0.3	module_signature_bio	l1	0.3	36	0.6054077501445922	0.026460381723539594	0.6015913590268973	0.5290893317209107	0.13130414382178882	0.6230955401982894	all_l1_C0.3
primary_recist	melanoma_core_high_evidence	GSE91061	GSE78220,PRJEB23709_PD1_PRE	module_signature_bio_l1_C1	module_signature_bio	l1	1.0	36	0.586623902413376	0.05073873494926129	0.5651381652621976	0.5099505757400494	0.238090923798988	0.5715522416821195	all_l1_C0.3
primary_recist	melanoma_core_high_evidence	GSE91061	GSE78220,PRJEB23709_PD1_PRE	module_signature_bio_l2_C0.03	module_signature_bio	l2	0.03	36	0.6246779536253221	0.009293338240706661	0.5803912925342454	0.5654871444345129	0.1415385536261452	0.6491139879361971	all_l1_C0.3
primary_recist	melanoma_core_high_evidence	GSE91061	GSE78220,PRJEB23709_PD1_PRE	module_signature_bio_l2_C0.1	module_signature_bio	l2	0.1	36	0.5999132446500868	0.020965876229034175	0.5565769558202733	0.5800186655449813	0.23109953132999972	0.6034240056953462	all_l1_C0.3
primary_recist	melanoma_core_high_evidence	GSE91061	GSE78220,PRJEB23709_PD1_PRE	module_signature_bio_l2_C0.3	module_signature_bio	l2	0.3	36	0.5908302224091697	0.019059887480940063	0.5620022639339508	0.5213142121036858	0.22756846622135407	0.5934309457340758	all_l1_C0.3
primary_recist	melanoma_core_high_evidence	GSE91061	GSE78220,PRJEB23709_PD1_PRE	module_signature_bio_l2_C1	module_signature_bio	l2	1.0	36	0.5673011199326989	0.006861559493138436	0.5523094158889341	0.51951995373048	0.2664563822585948	0.5691088221227579	all_l1_C0.3
primary_recist	melanoma_core_high_evidence	GSE91061	GSE78220,PRJEB23709_PD1_PRE	module_signature_edge_l1_C0.03	module_signature_edge	l1	0.03	50	0.5	0.0	0.49096657633243	0.5	0.0275519421860885	0.5199638663053298	all_l1_C0.3
primary_recist	melanoma_core_high_evidence	GSE91061	GSE78220,PRJEB23709_PD1_PRE	module_signature_edge_l1_C0.1	module_signature_edge	l1	0.1	50	0.5247252747252747	0.02472527472527475	0.5213204701533954	0.5260989010989011	0.06399077762131831	0.5312010127897242	all_l1_C0.3
primary_recist	melanoma_core_high_evidence	GSE91061	GSE78220,PRJEB23709_PD1_PRE	module_signature_edge_l1_C0.3	module_signature_edge	l1	0.3	50	0.6580787633419212	0.0811556864188443	0.6334760592177712	0.6062424417687575	0.12234955192000908	0.6428082153547127	all_l1_C0.3
primary_recist	melanoma_core_high_evidence	GSE91061	GSE78220,PRJEB23709_PD1_PRE	module_signature_edge_l1_C1	module_signature_edge	l1	1.0	50	0.5832588464167412	0.07608181292391819	0.5663606637889844	0.5081563173668437	0.2985446787063998	0.5324801203960626	all_l1_C0.3
primary_recist	melanoma_core_high_evidence	GSE91061	GSE78220,PRJEB23709_PD1_PRE	module_signature_edge_l2_C0.03	module_signature_edge	l2	0.03	50	0.6178558283821443	0.0030232924969766928	0.5723479154520339	0.5746358904253641	0.17268137082072993	0.6264085625770179	all_l1_C0.3
primary_recist	melanoma_core_high_evidence	GSE91061	GSE78220,PRJEB23709_PD1_PRE	module_signature_edge_l2_C0.1	module_signature_edge	l2	0.1	50	0.5995583364004416	0.01582627898417377	0.5595303251598749	0.5746358904253641	0.23577799353437526	0.590963324915454	all_l1_C0.3
primary_recist	melanoma_core_high_evidence	GSE91061	GSE78220,PRJEB23709_PD1_PRE	module_signature_edge_l2_C0.3	module_signature_edge	l2	0.3	50	0.5761212471738788	0.02827435722172561	0.5460753407904471	0.5369564645880436	0.27149992669823175	0.552714436866728	all_l1_C0.3
primary_recist	melanoma_core_high_evidence	GSE91061	GSE78220,PRJEB23709_PD1_PRE	module_signature_edge_l2_C1	module_signature_edge	l2	1.0	50	0.5571139386928861	0.03079814921920182	0.5422446458122046	0.53833009096167	0.33382538034033044	0.5227820261615395	all_l1_C0.3
primary_recist	melanoma_core_high_evidence	GSE91061	GSE78220,PRJEB23709_PD1_PRE	all_l1_C0.03	all	l1	0.03	66	0.5	0.0	0.49096657633243	0.5	0.0275519421860885	0.5039638663053299	all_l1_C0.3
primary_recist	melanoma_core_high_evidence	GSE91061	GSE78220,PRJEB23709_PD1_PRE	all_l1_C0.1	all	l1	0.1	66	0.5439560439560439	0.04395604395604391	0.5292913510668229	0.5260989010989011	0.04129094882007826	0.5290184598166374	all_l1_C0.3
primary_recist	melanoma_core_high_evidence	GSE91061	GSE78220,PRJEB23709_PD1_PRE	all_l1_C0.3	all	l1	0.3	66	0.6855512908144487	0.05368315894631681	0.6598378819188796	0.6062424417687575	0.13828516926996992	0.6682628462311206	all_l1_C0.3
primary_recist	melanoma_core_high_evidence	GSE91061	GSE78220,PRJEB23709_PD1_PRE	all_l1_C1	all	l1	1.0	66	0.5695225826804774	0.06234554918765445	0.536344251629715	0.5273870865976129	0.2741782481245591	0.5112268503608184	all_l1_C0.3
primary_recist	melanoma_core_high_evidence	GSE91061	GSE78220,PRJEB23709_PD1_PRE	all_l2_C0.03	all	l2	0.03	66	0.634115884115884	0.002247752247752255	0.5870645221675335	0.5746358904253641	0.15718248917960667	0.6308528813530885	all_l1_C0.3
