endpoint	stratum	target_model	baseline_model	n_samples	target_AUROC	baseline_AUROC	delta_AUROC	target_AUPRC	baseline_AUPRC	delta_AUPRC	target_ECE	baseline_ECE	delta_ECE	mean_delta	ci_low	ci_high	p_value	fdr_q	claim_level
primary_recist	melanoma_core_high_evidence	EcoNiche-Opt-NoLeakageStackedEnsemble	EcoNiche-Opt-ModulePriorFixed	117	0.5125707102451289	0.7049025769956003	-0.19233186675047143	0.3938688274707982	0.5584727461504684	-0.16460391867967017	0.15458916822051147	0.2348619118541941	-0.08027274363368264	-0.19037663470087243	-0.26486971851756463	-0.11732033800517845	0.0	0.0	ensemble_not_supported
primary_recist	melanoma_recist_supported_primary	EcoNiche-Opt-NoLeakageStackedEnsemble	EcoNiche-Opt-ModulePriorFixed	131	0.5933823529411765	0.6845588235294118	-0.0911764705882353	0.4965369272026635	0.5804730202048082	-0.08393609300214466	0.1261842309726203	0.23858416431842683	-0.11239993334580653	-0.090128733188236	-0.1339639762928122	-0.05012206797670679	0.0	0.0	ensemble_not_supported
