cell_id	module_score	state	patient_id	cell_type	treatment_group	Cohort	no.of.genes	no.of.reads
cy80_Cd45_pos_PD1_pos_S119_E11_S119_comb	1.739349112712948	caf_ecm_exclusion	Mel80	B.cell	treatment.naive	Tirosh	4536	129566
CY88CD45POS_7_B11_S215_comb	1.0611031665295316	caf_ecm_exclusion	Mel88	Macrophage	post.treatment	Tirosh	6640	1241586
CY88CD45_150813_F07_S355_comb	1.2741377603114081	caf_ecm_exclusion	Mel88	Macrophage	post.treatment	Tirosh	5803	775813
CY88_5_H02_S758_comb	0.0	caf_ecm_exclusion	Mel88	Mal	post.treatment	Tirosh	7449	490947
CY94CD45POS_1_B12_S120_comb	1.671345092862066	caf_ecm_exclusion	Mel94	B.cell	post.treatment	Tirosh	4400	111183
cy84_Primary_CD45_pos_C11_S419_comb	2.5438162372823903	caf_ecm_exclusion	Mel84	NK	treatment.naive	Tirosh	2825	52896
Cy71_CD45_D02_S518_comb	0.8834759951946041	caf_ecm_exclusion	Mel71	Macrophage	treatment.naive	Tirosh	2053	8898
cy94_cd45neg_cd90pos_C05_S317_comb	0.0	caf_ecm_exclusion	Mel94	?	post.treatment	Tirosh	3859	134435
Cy72_CD45_F06_S738_comb	1.0773483964691741	caf_ecm_exclusion	Mel72	?	post.treatment	Tirosh	3780	121104
cy84_Primary_CD45_pos_H06_S474_comb	0.9655480262850149	caf_ecm_exclusion	Mel84	B.cell	treatment.naive	Tirosh	5157	345971
cy94_cd45pos_B01_S109_comb	1.301273418580612	caf_ecm_exclusion	Mel94	B.cell	post.treatment	Tirosh	4087	310888
cy94_cd45pos_4_D12_S48_comb	1.186950474192606	caf_ecm_exclusion	Mel94	B.cell	post.treatment	Tirosh	5380	939650
CY84_PRIM_POS_ALL_7_B04_S208_comb	1.8564737802060542	caf_ecm_exclusion	Mel84	Macrophage	treatment.naive	Tirosh	3041	58210
cy79_p3_CD45_neg_PDL1_neg_E07_S247_comb	1.381197725862826	caf_ecm_exclusion	Mel79	Mal	treatment.naive	Tirosh	4572	140669
cy60_1_cd_45_neg_3_H01_S565_comb	0.1719939096442052	caf_ecm_exclusion	Mel60	Mal	post.treatment	Tirosh	3527	95214
cy74_CD45_pos_A11_S683_comb	1.104272975689244	caf_ecm_exclusion	Mel74	Macrophage	post.treatment	Tirosh	4247	177839
CY84_PRIM_POS_ALL_7_F10_S262_comb	0.0	caf_ecm_exclusion	Mel84	?	treatment.naive	Tirosh	2778	99062
cy94_cd45pos_F09_S165_comb	1.510403159747042	caf_ecm_exclusion	Mel94	B.cell	post.treatment	Tirosh	3923	172899
cy53_1_CD45_neg_D08_S332_comb	1.188145120863566	caf_ecm_exclusion	Mel53	Endo.	treatment.naive	Tirosh	4872	90294
CY88CD45POS_2_G06_S462_comb	0.0	caf_ecm_exclusion	Mel88	NK	post.treatment	Tirosh	4221	606438
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_H12_S384_comb	0.8606830925371239	caf_ecm_exclusion	Mel79	Mal	treatment.naive	Tirosh	11145	175804
CY89COREQ1_E03_S339_comb	0.0	caf_ecm_exclusion	Mel89	B.cell	treatment.naive	Tirosh	3398	92647
cy74_CD45_pos_C12_S708_comb	1.113119435170844	caf_ecm_exclusion	Mel74	B.cell	post.treatment	Tirosh	3348	36371
cy79_p3_CD45_pos_PD1_neg_G07_S175_comb	0.0	caf_ecm_exclusion	Mel79	B.cell	treatment.naive	Tirosh	3635	183835
cy80_Cd45_pos_Pd1_neg_S223_B07_S223_comb	0.0	caf_ecm_exclusion	Mel80	B.cell	treatment.naive	Tirosh	3896	58572
Cy74_CD45_E10_S442_comb	1.651316281081796	caf_ecm_exclusion	Mel74	?	post.treatment	Tirosh	2648	102158
cy94_cd45neg_cd90pos_C02_S314_comb	1.6416239743994043	caf_ecm_exclusion	Mel94	?	post.treatment	Tirosh	5228	1247376
cy82_CD45_pos_3_C06_S30_comb	1.069065080563028	caf_ecm_exclusion	Mel82	?	treatment.naive	Tirosh	2575	165277
Cy81_Bulk_CD45_C12_S132_comb	0.0	caf_ecm_exclusion	Mel81	?	treatment.naive	Tirosh	3200	172021
Cy72_CD45_H04_S760_comb	0.0	caf_ecm_exclusion	Mel72	?	post.treatment	Tirosh	3076	167530
cy60_1_cd_45_pos_4_B03_S15_comb	2.499707327553812	caf_ecm_exclusion	Mel60	B.cell	post.treatment	Tirosh	3227	59736
CY89A_CD45_POS_6_A08_S104_comb	1.295951377951078	caf_ecm_exclusion	Mel89	Macrophage	treatment.naive	Tirosh	3972	77015
Cy81_FNA_CD45_D05_S233_comb	1.40800094321559	caf_ecm_exclusion	Mel81	?	treatment.naive	Tirosh	2289	61476
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_G01_S553_comb	0.0	caf_ecm_exclusion	Mel79	B.cell	treatment.naive	Tirosh	2969	34283
cy79_p3_CD45_pos_PD1_neg_G04_S172_comb	0.0	caf_ecm_exclusion	Mel79	B.cell	treatment.naive	Tirosh	5125	406293
cy94_cd45pos_4_B04_S16_comb	1.25280593446269	caf_ecm_exclusion	Mel94	B.cell	post.treatment	Tirosh	2392	25976
cy80_CD_90_pos_C02_S890_comb	0.0	caf_ecm_exclusion	Mel80	CAF	treatment.naive	Tirosh	8776	232739
CY89COREQ1_C08_S320_comb	0.29872946679504203	caf_ecm_exclusion	Mel89	B.cell	treatment.naive	Tirosh	3669	116584
cy60_1_cd_45_pos_4_D02_S38_comb	0.639384346764066	caf_ecm_exclusion	Mel60	B.cell	post.treatment	Tirosh	2882	49220
CY89A_CD45_POS_6_G01_S169_comb	2.185222024552698	caf_ecm_exclusion	Mel89	B.cell	treatment.naive	Tirosh	2942	59196
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_H06_S570_comb	1.320461086687372	caf_ecm_exclusion	Mel79	B.cell	treatment.naive	Tirosh	3011	49633
CY88CD45POS_2_C01_S409_comb	1.0420032983309397	caf_ecm_exclusion	Mel88	Macrophage	post.treatment	Tirosh	7172	1691151
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_F04_S544_comb	0.0	caf_ecm_exclusion	Mel79	B.cell	treatment.naive	Tirosh	2163	16941
CY89A_CD45_POS_6_B09_S117_comb	0.0	caf_ecm_exclusion	Mel89	B.cell	treatment.naive	Tirosh	3037	104569
