cell_id	module_score	state	patient_id	cell_type	treatment_group	Cohort	no.of.genes	no.of.reads
cy78_CD45_neg_1_B04_S496_comb	2.1683234150681345	antigen_presentation_mhc	Mel78	Mal	post.treatment	Tirosh	8258	357919
cy79_p4_CD45_neg_PDL1_neg_E11_S1115_comb	3.2569824778317042	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	2047	5727
CY88_5_B10_S694_comb	2.763637629441354	antigen_presentation_mhc	Mel88	Mal	post.treatment	Tirosh	5375	139218
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_F07_S67_comb	3.452353673471054	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	5648	73996
cy78_CD45_neg_3_H06_S762_comb	2.310733625132344	antigen_presentation_mhc	Mel78	Mal	post.treatment	Tirosh	7409	380341
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_G01_S73_comb	4.63376803008656	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	6988	92485
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_D09_S141_comb	5.86170140479995	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	5195	63696
CY88_3_D02_S614_comb	5.90164070133089	antigen_presentation_mhc	Mel88	Mal	post.treatment	Tirosh	7345	494895
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_D06_S138_comb	4.446483328989362	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	4847	60074
cy53_1_CD45_neg_C06_S318_comb	2.279966442702258	antigen_presentation_mhc	Mel53	Mal	treatment.naive	Tirosh	4467	97098
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_C04_S28_comb	3.867140100442782	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	3968	37095
Cy71_CD45_D08_S524_comb	3.1221709800323802	antigen_presentation_mhc	Mel71	Mal	treatment.naive	Tirosh	4660	143878
Cy81_FNA_CD45_B01_S301_comb	1.831113525956128	antigen_presentation_mhc	Mel81	Mal	treatment.naive	Tirosh	6387	195829
CY88_5_B06_S690_comb	4.148339569992542	antigen_presentation_mhc	Mel88	Mal	post.treatment	Tirosh	6987	387883
cy79_p3_CD45_neg_PDL1_neg_E04_S244_comb	4.375862147186144	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	5197	590351
Cy80_II_CD45_B07_S883_comb	4.253200340845806	antigen_presentation_mhc	Mel80	Mal	treatment.naive	Tirosh	5913	103997
cy79_p4_CD45_neg_PDL1_neg_H11_S1151_comb	4.163404335730594	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	4855	128141
Cy81_Bulk_CD45_B10_S118_comb	1.91963533044478	antigen_presentation_mhc	Mel81	Mal	treatment.naive	Tirosh	8366	561231
cy79_p5_CD45_neg_PDL1_neg_F10_S838_comb	3.08732769130418	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	2394	10669
CY88_3_F01_S637_comb	5.005588263204178	antigen_presentation_mhc	Mel88	Mal	post.treatment	Tirosh	6010	254178
CY88_3_C01_S601_comb	3.1777157426399563	antigen_presentation_mhc	Mel88	Mal	post.treatment	Tirosh	6332	402959
CY89NEG_E07_S55_comb	4.225402173410098	antigen_presentation_mhc	Mel89	Mal	treatment.naive	Tirosh	7752	561966
CY89CORE11_G02_S170_comb	3.4890529366292085	antigen_presentation_mhc	Mel89	Mal	treatment.naive	Tirosh	6591	408607
cy78_CD45_neg_1_D07_S523_comb	3.7403571107063533	antigen_presentation_mhc	Mel78	Mal	post.treatment	Tirosh	8548	394632
cy78_CD45_neg_3_D01_S709_comb	3.6597881243406905	antigen_presentation_mhc	Mel78	Mal	post.treatment	Tirosh	8472	425938
cy79_p5_CD45_neg_PDL1_pos_A04_S676_comb	5.57468343261994	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	6065	176919
Cy71_CD45_B05_S497_comb	3.232135441531748	antigen_presentation_mhc	Mel71	Mal	treatment.naive	Tirosh	4721	23926
Cy80_II_CD45_C09_S897_comb	4.084009732722204	antigen_presentation_mhc	Mel80	Mal	treatment.naive	Tirosh	6021	310389
cy81_FNA_CD45_neg_D04_S1000_comb	1.215461334195116	antigen_presentation_mhc	Mel81	Mal	treatment.naive	Tirosh	9551	227393
cy82_CD45_pos_2_H12_S576_comb	4.861997324994935	antigen_presentation_mhc	Mel82	Macrophage	treatment.naive	Tirosh	4431	12102
cy79_p3_CD45_neg_PDL1_neg_F04_S256_comb	5.0406348063409	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	6717	441424
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_C01_S121_comb	3.988915755021602	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	4758	33564
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_D02_S134_comb	3.964195949220546	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	2862	63175
cy80_CD45_neg_G01_S937_comb	4.195025776826839	antigen_presentation_mhc	Mel80	Mal	treatment.naive	Tirosh	7453	154339
cy78_CD45_neg_2_B08_S596_comb	3.2843685696746343	antigen_presentation_mhc	Mel78	Mal	post.treatment	Tirosh	6475	70466
cy78_CD45_neg_1_E02_S530_comb	2.41270657410869	antigen_presentation_mhc	Mel78	Mal	post.treatment	Tirosh	7690	369174
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_F07_S163_comb	5.017702392159346	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	5376	73999
CY89CORE11_A11_S107_comb	4.004602759444386	antigen_presentation_mhc	Mel89	Mal	treatment.naive	Tirosh	6825	464978
cy78_CD45_neg_3_B02_S686_comb	4.740919523872696	antigen_presentation_mhc	Mel78	Mal	post.treatment	Tirosh	7586	315886
cy79_p5_CD45_neg_PDL1_neg_A02_S770_comb	3.230346981732462	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	3715	63501
cy79_p4_CD45_neg_PDL1_neg_D01_S1093_comb	4.24582936246553	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	4702	112991
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_C01_S313_comb	4.749730316206756	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	5901	112405
cy81_Bulk_CD45_neg_A10_S106_comb	1.25594670249342	antigen_presentation_mhc	Mel81	Mal	treatment.naive	Tirosh	5266	54399
cy53_1_CD45_neg_E04_S340_comb	3.032314330957238	antigen_presentation_mhc	Mel53	Mal	treatment.naive	Tirosh	4653	44271
cy79_p5_CD45_neg_PDL1_neg_C03_S795_comb	4.1695290865688275	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	4608	82513
cy78_CD45_neg_3_D04_S712_comb	2.6371754715088676	antigen_presentation_mhc	Mel78	Mal	post.treatment	Tirosh	7933	627292
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_A10_S10_comb	4.82024239210514	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	6014	115465
cy81_FNA_CD45_neg_B01_S973_comb	2.943724112911542	antigen_presentation_mhc	Mel81	Mal	treatment.naive	Tirosh	6667	186354
Cy81_FNA_CD45_E05_S341_comb	1.430201781080766	antigen_presentation_mhc	Mel81	Mal	treatment.naive	Tirosh	7719	145124
cy78_CD45_neg_3_E02_S722_comb	3.7098478033492044	antigen_presentation_mhc	Mel78	Mal	post.treatment	Tirosh	7418	440587
cy79_p3_CD45_neg_PDL1_neg_H12_S288_comb	4.333677152303582	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	8336	64660
cy79_p5_CD45_neg_PDL1_pos_D05_S713_comb	4.483850344768234	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	4068	23215
cy78_CD45_neg_3_D10_S718_comb	1.068880488292452	antigen_presentation_mhc	Mel78	Mal	post.treatment	Tirosh	3602	22809
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_G10_S82_comb	4.7405099016664884	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	6932	70246
cy78_CD45_neg_1_G05_S557_comb	4.296706553658774	antigen_presentation_mhc	Mel78	Mal	post.treatment	Tirosh	8934	610041
CY88_5_C12_S708_comb	1.927000905420264	antigen_presentation_mhc	Mel88	Mal	post.treatment	Tirosh	6563	211840
cy79_p5_CD45_neg_PDL1_pos_B02_S686_comb	3.2889900904216405	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	5283	74642
Cy81_Bulk_CD45_E10_S154_comb	1.009167218706472	antigen_presentation_mhc	Mel81	Mal	treatment.naive	Tirosh	7468	320723
CY88CD45_150813_G04_S364_comb	5.60626092225049	antigen_presentation_mhc	Mel88	Mal	post.treatment	Tirosh	8227	1236328
Cy80_II_CD45_H07_S955_comb	4.501331618191042	antigen_presentation_mhc	Mel80	Mal	treatment.naive	Tirosh	4020	125438
cy79_p4_CD45_neg_PDL1_neg_B08_S1076_comb	3.3334968961888265	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	4826	158817
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_B07_S19_comb	6.6089788401005265	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	5702	101410
cy82_CD45_pos_3_A03_S3_comb	1.7094302218956958	antigen_presentation_mhc	Mel82	?	treatment.naive	Tirosh	2967	56984
cy79_p4_CD45_neg_PDL1_neg_C12_S1092_comb	2.6401367852252617	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	3106	19208
cy78_CD45_neg_3_G11_S755_comb	3.4095533135446536	antigen_presentation_mhc	Mel78	Mal	post.treatment	Tirosh	7916	741227
Cy81_FNA_CD45_D09_S333_comb	0.9252060435615681	antigen_presentation_mhc	Mel81	Mal	treatment.naive	Tirosh	5345	168749
cy79_p3_CD45_neg_PDL1_neg_A08_S200_comb	3.425362039371758	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	4349	278476
Cy71_CD45_E12_S540_comb	4.345433653748014	antigen_presentation_mhc	Mel71	Mal	treatment.naive	Tirosh	4534	174886
cy94_cd45neg_cd90pos_G07_S367_comb	2.8319504690744983	antigen_presentation_mhc	Mel94	Mal	post.treatment	Tirosh	4627	473670
cy78_CD45_neg_1_H01_S565_comb	3.911372682368986	antigen_presentation_mhc	Mel78	Mal	post.treatment	Tirosh	8927	718738
CY89CORE11_F05_S161_comb	4.587820097674933	antigen_presentation_mhc	Mel89	Mal	treatment.naive	Tirosh	7496	373962
CY89NEG_C03_S27_comb	3.945717140038498	antigen_presentation_mhc	Mel89	Mal	treatment.naive	Tirosh	6231	435115
cy81_Bulk_CD45_neg_G01_S169_comb	2.774795124413852	antigen_presentation_mhc	Mel81	Mal	treatment.naive	Tirosh	6553	291115
CY89CORE11_B10_S118_comb	3.8272350478541464	antigen_presentation_mhc	Mel89	Mal	treatment.naive	Tirosh	6668	380657
cy78_CD45_neg_1_C02_S506_comb	2.478588255580068	antigen_presentation_mhc	Mel78	Mal	post.treatment	Tirosh	4651	68504
CY88_5_G04_S748_comb	3.01723947307995	antigen_presentation_mhc	Mel88	Mal	post.treatment	Tirosh	4793	99459
cy79_p3_CD45_neg_PDL1_neg_H04_S280_comb	4.032748216986104	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	5566	1055340
CY88_3_F05_S641_comb	5.796823540544348	antigen_presentation_mhc	Mel88	Mal	post.treatment	Tirosh	3891	112942
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_B10_S118_comb	4.282813748622969	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	5465	71842
Cy71_CD45_G02_S554_comb	4.0353955753817115	antigen_presentation_mhc	Mel71	Mal	treatment.naive	Tirosh	4063	138876
cy78_CD45_neg_1_A05_S485_comb	3.4708827427268196	antigen_presentation_mhc	Mel78	Mal	post.treatment	Tirosh	7402	226684
cy81_Bulk_CD45_neg_C03_S123_comb	1.0138712457767627	antigen_presentation_mhc	Mel81	Mal	treatment.naive	Tirosh	5958	232939
cy79_p4_CD45_neg_PDL1_neg_C03_S1083_comb	5.545399790471203	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	3950	97413
cy94_cd45neg_cd90pos_E08_S344_comb	2.563265341276651	antigen_presentation_mhc	Mel94	Mal	post.treatment	Tirosh	6592	1274757
cy81_FNA_CD45_neg_C09_S993_comb	1.9566777985391812	antigen_presentation_mhc	Mel81	Mal	treatment.naive	Tirosh	10092	319964
cy80_CD45_neg_G04_S940_comb	2.3331211659116	antigen_presentation_mhc	Mel80	Mal	treatment.naive	Tirosh	7840	146596
Cy80_II_CD45_H09_S957_comb	3.2929094187186863	antigen_presentation_mhc	Mel80	Mal	treatment.naive	Tirosh	6570	188204
cy80_CD45_neg_A09_S873_comb	3.36072103234635	antigen_presentation_mhc	Mel80	Mal	treatment.naive	Tirosh	6953	130159
CY88_3_H11_S671_comb	3.06349338673841	antigen_presentation_mhc	Mel88	Mal	post.treatment	Tirosh	6898	342938
Cy80_II_CD45_B11_S887_comb	2.022745450148986	antigen_presentation_mhc	Mel80	Mal	treatment.naive	Tirosh	6395	194184
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_D12_S144_comb	3.6192976280717923	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	3791	36347
CY89NEG_B03_S15_comb	4.0493634075510325	antigen_presentation_mhc	Mel89	Mal	treatment.naive	Tirosh	6231	466118
Cy81_Bulk_CD45_E04_S148_comb	1.203295921086416	antigen_presentation_mhc	Mel81	Mal	treatment.naive	Tirosh	7206	204837
Cy80_II_CD45_D11_S911_comb	4.971288549020818	antigen_presentation_mhc	Mel80	Mal	treatment.naive	Tirosh	7098	163706
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_D05_S137_comb	4.71735294962597	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	5438	54290
cy78_CD45_neg_1_E03_S531_comb	1.615489599497242	antigen_presentation_mhc	Mel78	Mal	post.treatment	Tirosh	5052	86657
CY88_3_C10_S610_comb	2.189268010052098	antigen_presentation_mhc	Mel88	Mal	post.treatment	Tirosh	6687	409749
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_B08_S308_comb	3.461396433738828	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	3865	176963
cy78_CD45_neg_1_E07_S535_comb	2.010168963822574	antigen_presentation_mhc	Mel78	Mal	post.treatment	Tirosh	6901	138179
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_B12_S24_comb	5.06283882343488	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	5850	91853
CY89NEG_G01_S73_comb	5.3501056172858386	antigen_presentation_mhc	Mel89	Mal	treatment.naive	Tirosh	5924	373183
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_B02_S14_comb	3.262324407992984	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	6001	134922
cy79_p4_CD45_neg_PDL1_pos_G08_S464_comb	5.241631125918315	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	6615	338979
cy81_FNA_CD45_neg_F09_S1029_comb	1.620648804554298	antigen_presentation_mhc	Mel81	Mal	treatment.naive	Tirosh	7912	291038
cy78_CD45_neg_2_C06_S606_comb	2.394858995120928	antigen_presentation_mhc	Mel78	Mal	post.treatment	Tirosh	3398	23194
Cy81_FNA_CD45_G10_S370_comb	0.0	antigen_presentation_mhc	Mel81	Mal	treatment.naive	Tirosh	2821	10836
Cy71_CD45_E11_S539_comb	4.050723511137586	antigen_presentation_mhc	Mel71	Mal	treatment.naive	Tirosh	4925	210318
CY88_5_D11_S719_comb	3.598001128530072	antigen_presentation_mhc	Mel88	Mal	post.treatment	Tirosh	6780	237637
cy82_CD45_pos_2_D11_S527_comb	1.738795519891902	antigen_presentation_mhc	Mel82	?	treatment.naive	Tirosh	5150	167233
CY89FNAQ2_F06_S450_comb	3.164820224940324	antigen_presentation_mhc	Mel89	Mal	treatment.naive	Tirosh	8202	500020
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_C08_S32_comb	4.20451174314401	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	6345	94466
cy78_CD45_neg_3_G02_S746_comb	3.5486340020393916	antigen_presentation_mhc	Mel78	Mal	post.treatment	Tirosh	7567	478827
Cy81_FNA_CD45_C09_S321_comb	1.3142898883762821	antigen_presentation_mhc	Mel81	Mal	treatment.naive	Tirosh	7589	236522
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_F06_S66_comb	4.070426736716586	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	7319	97258
cy78_CD45_neg_1_B02_S494_comb	4.609251958000118	antigen_presentation_mhc	Mel78	Mal	post.treatment	Tirosh	8130	294353
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_E01_S49_comb	5.614266233161202	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	5496	103466
cy80_CD45_neg_D04_S904_comb	4.300583876506346	antigen_presentation_mhc	Mel80	Mal	treatment.naive	Tirosh	7774	131854
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_F01_S157_comb	4.804667864262434	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	5660	69667
cy79_p4_CD45_neg_PDL1_pos_A02_S386_comb	5.676412710816573	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	4645	354250
cy80_CD45_neg_E02_S914_comb	5.008219548081332	antigen_presentation_mhc	Mel80	Mal	treatment.naive	Tirosh	5766	33436
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_D09_S45_comb	5.649130621927821	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	4353	58536
cy78_CD45_neg_1_H07_S571_comb	2.785705051960714	antigen_presentation_mhc	Mel78	Mal	post.treatment	Tirosh	6035	127235
Cy80_II_CD45_G07_S943_comb	3.9631655363621605	antigen_presentation_mhc	Mel80	Mal	treatment.naive	Tirosh	5909	49891
cy78_CD45_neg_1_F06_S546_comb	1.8166125024252122	antigen_presentation_mhc	Mel78	Mal	post.treatment	Tirosh	6791	144931
cy81_FNA_CD45_neg_E04_S1012_comb	2.6196253628207	antigen_presentation_mhc	Mel81	Mal	treatment.naive	Tirosh	7442	142010
cy81_Bulk_CD45_neg_E04_S148_comb	1.5953839924538484	antigen_presentation_mhc	Mel81	Mal	treatment.naive	Tirosh	4496	252729
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_H01_S181_comb	5.042454109443024	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	5891	79978
cy81_Bulk_CD45_neg_C11_S131_comb	1.73352304154924	antigen_presentation_mhc	Mel81	Mal	treatment.naive	Tirosh	9314	145569
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_A04_S4_comb	3.4490733480435667	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	5890	232508
cy81_Bulk_CD45_neg_D09_S141_comb	1.7647412155068438	antigen_presentation_mhc	Mel81	Mal	treatment.naive	Tirosh	7037	165323
Cy71_CD45_G08_S560_comb	5.107490437747444	antigen_presentation_mhc	Mel71	Mal	treatment.naive	Tirosh	3980	32936
CY89CORE11_A04_S100_comb	3.7499215399488306	antigen_presentation_mhc	Mel89	Mal	treatment.naive	Tirosh	6918	293857
cy80_CD45_neg_G02_S938_comb	3.9786064443542863	antigen_presentation_mhc	Mel80	Mal	treatment.naive	Tirosh	7821	141152
CY88_5_H03_S759_comb	3.10458287545343	antigen_presentation_mhc	Mel88	Mal	post.treatment	Tirosh	7148	285818
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_B08_S20_comb	5.177741197358364	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	5962	111338
CY88_5_E04_S724_comb	2.584407599440156	antigen_presentation_mhc	Mel88	Mal	post.treatment	Tirosh	4165	219964
CY89NEG_H11_S95_comb	4.349359758452932	antigen_presentation_mhc	Mel89	Mal	treatment.naive	Tirosh	6173	255980
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_D11_S335_comb	4.141114356850934	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	5362	239990
cy79_p5_CD45_neg_PDL1_neg_E02_S818_comb	2.393129810615084	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	4281	64309
cy82_CD45_pos_3_B11_S23_comb	3.1639907949052244	antigen_presentation_mhc	Mel82	?	treatment.naive	Tirosh	10512	462384
cy81_FNA_CD45_neg_F08_S1028_comb	2.0449093118460913	antigen_presentation_mhc	Mel81	Mal	treatment.naive	Tirosh	8761	252730
CY88_3_D07_S619_comb	3.628001337316784	antigen_presentation_mhc	Mel88	Mal	post.treatment	Tirosh	7931	547794
cy79_p3_CD45_neg_PDL1_neg_F09_S261_comb	4.1691095633983135	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	4745	114447
CY88_3_G09_S657_comb	4.245115213359802	antigen_presentation_mhc	Mel88	Mal	post.treatment	Tirosh	7092	278334
cy79_p5_CD45_neg_PDL1_neg_D03_S807_comb	3.24121164649456	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	3840	68201
CY88_5_H08_S764_comb	3.343640397115304	antigen_presentation_mhc	Mel88	Mal	post.treatment	Tirosh	7501	384215
cy79_p4_CD45_neg_PDL1_neg_F08_S1124_comb	3.0675484386592182	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	4407	149889
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_D10_S334_comb	4.629261386684558	antigen_presentation_mhc	Mel79	?	treatment.naive	Tirosh	3086	50239
cy81_FNA_CD45_neg_G12_S1044_comb	2.704670741810624	antigen_presentation_mhc	Mel81	Mal	treatment.naive	Tirosh	4097	72347
CY88_3_B04_S592_comb	1.509625284867812	antigen_presentation_mhc	Mel88	Mal	post.treatment	Tirosh	6591	406827
cy79_p5_CD45_neg_PDL1_pos_A11_S683_comb	4.427515852252334	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	5228	260920
Cy71_CD45_F06_S546_comb	4.880108321236562	antigen_presentation_mhc	Mel71	Mal	treatment.naive	Tirosh	4719	150976
cy79_p5_CD45_neg_PDL1_pos_G11_S755_comb	4.641426811819792	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	4701	112895
cy79_p5_CD45_neg_PDL1_pos_C10_S706_comb	3.049486528754356	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	4792	64393
cy79_p3_CD45_neg_PDL1_neg_F08_S260_comb	5.4082256856856095	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	6850	375455
cy53_1_CD45_neg_B02_S302_comb	2.62453925951759	antigen_presentation_mhc	Mel53	Mal	treatment.naive	Tirosh	5383	70216
CY89NEG_F05_S65_comb	4.9827724350727465	antigen_presentation_mhc	Mel89	Mal	treatment.naive	Tirosh	6335	320025
cy80_CD45_neg_H08_S956_comb	5.722068409552007	antigen_presentation_mhc	Mel80	Mal	treatment.naive	Tirosh	7410	82816
Cy81_Bulk_CD45_D01_S133_comb	0.8339434476794245	antigen_presentation_mhc	Mel81	?	treatment.naive	Tirosh	6992	750577
cy79_p3_CD45_neg_PDL1_neg_G03_S267_comb	4.482734179147412	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	5162	280063
Cy81_Bulk_CD45_D10_S142_comb	1.0457558362078905	antigen_presentation_mhc	Mel81	Mal	treatment.naive	Tirosh	9554	318336
CY89NEG_F07_S67_comb	1.8944024744640902	antigen_presentation_mhc	Mel89	Mal	treatment.naive	Tirosh	5122	235434
cy79_p5_CD45_neg_PDL1_pos_H06_S762_comb	5.439086571737734	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	4232	64142
cy79_p4_CD45_neg_PDL1_neg_F12_S1128_comb	3.602110152254622	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	2779	13061
cy82_CD45_pos_2_B03_S495_comb	2.734330999005242	antigen_presentation_mhc	Mel82	?	treatment.naive	Tirosh	9012	472872
cy78_CD45_neg_1_A04_S484_comb	4.073854306525	antigen_presentation_mhc	Mel78	Mal	post.treatment	Tirosh	8092	461572
Cy81_FNA_CD45_C05_S317_comb	0.0	antigen_presentation_mhc	Mel81	Mal	treatment.naive	Tirosh	5609	218953
Cy80_II_CD45_B01_S877_comb	2.7136174246761504	antigen_presentation_mhc	Mel80	Mal	treatment.naive	Tirosh	6089	160632
CY89CORE11_E10_S154_comb	3.6659617935151316	antigen_presentation_mhc	Mel89	Mal	treatment.naive	Tirosh	6314	319362
cy81_Bulk_CD45_neg_E02_S146_comb	3.5357358895499877	antigen_presentation_mhc	Mel81	Endo.	treatment.naive	Tirosh	6154	416093
cy80_CD45_neg_A05_S869_comb	4.934025275023582	antigen_presentation_mhc	Mel80	Mal	treatment.naive	Tirosh	3620	31148
cy79_p4_CD45_neg_PDL1_pos_D03_S423_comb	2.56071274519361	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	2618	19816
cy79_p4_CD45_neg_PDL1_pos_A04_S388_comb	5.358184051400622	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	5019	339816
CY89NEG_E06_S54_comb	3.434976275451098	antigen_presentation_mhc	Mel89	Mal	treatment.naive	Tirosh	6115	456901
cy79_p5_CD45_neg_PDL1_neg_C02_S794_comb	4.457745868464355	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	4786	93938
CY88_3_A10_S586_comb	3.3909576302448214	antigen_presentation_mhc	Mel88	Mal	post.treatment	Tirosh	5774	221121
CY88CD45POS_7_C07_S223_comb	4.757223799172852	antigen_presentation_mhc	Mel88	Macrophage	post.treatment	Tirosh	7234	473502
CY89FNAQ2_G07_S463_comb	3.98315438998578	antigen_presentation_mhc	Mel89	Mal	treatment.naive	Tirosh	8179	464709
cy80_CD45_neg_F05_S929_comb	3.04325929672306	antigen_presentation_mhc	Mel80	Mal	treatment.naive	Tirosh	5190	24359
Cy81_Bulk_CD45_G12_S180_comb	2.107597039961652	antigen_presentation_mhc	Mel81	Mal	treatment.naive	Tirosh	8971	371406
cy81_FNA_CD45_neg_F06_S1026_comb	2.4106732818759466	antigen_presentation_mhc	Mel81	Mal	treatment.naive	Tirosh	8367	266917
cy79_p4_CD45_neg_PDL1_pos_C02_S410_comb	3.1642894806484883	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	4495	247047
cy79_p5_CD45_neg_PDL1_pos_C11_S707_comb	4.249781870025754	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	7261	215089
cy79_p5_CD45_neg_PDL1_pos_F09_S741_comb	2.5699988481657257	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	3719	97463
cy79_p4_CD45_neg_PDL1_pos_E10_S442_comb	4.594260884432503	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	5133	208006
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_H01_S373_comb	2.0996699701851838	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	3607	109164
cy78_CD45_neg_1_H08_S572_comb	2.322216289099546	antigen_presentation_mhc	Mel78	Mal	post.treatment	Tirosh	4608	75056
CY89CORE11_B04_S112_comb	4.95966839550962	antigen_presentation_mhc	Mel89	Mal	treatment.naive	Tirosh	6202	526346
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_F03_S159_comb	5.532581162783816	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	5530	65639
cy79_p3_CD45_neg_PDL1_neg_H10_S286_comb	3.966752522448374	antigen_presentation_mhc	Mel79	Mal	treatment.naive	Tirosh	5203	307507
