patient_id	state	module_score
Mel72	antigen_presentation_mhc	3.8820214305704317
Mel72	caf_ecm_exclusion	1.7499187252245973
Mel72	myeloid_suppression	0.3511427962559544
Mel72	tcell_dysfunction	0.9473386939875537
Mel72	tnk_effector	0.35385380312940634
Mel72	tumor_dedifferentiation	1.1537532088656608
Mel74	antigen_presentation_mhc	5.6292260804776095
Mel74	caf_ecm_exclusion	2.8501211699053295
Mel74	myeloid_suppression	0.44614293830001295
Mel74	tcell_dysfunction	2.609549590370367
Mel74	tnk_effector	2.7834673608177423
Mel74	tumor_dedifferentiation	1.9538412561106884
Mel75	antigen_presentation_mhc	5.709730042547324
Mel75	caf_ecm_exclusion	2.771012863831031
Mel75	myeloid_suppression	0.46727763605170847
Mel75	tcell_dysfunction	2.639369080039309
Mel75	tnk_effector	2.856230236306275
Mel75	tumor_dedifferentiation	2.231186325835068
Mel78	antigen_presentation_mhc	3.0956628502779258
Mel78	caf_ecm_exclusion	0.3759642288208346
Mel78	myeloid_suppression	0.19048764346706287
Mel78	tcell_dysfunction	0.1001441163552112
Mel78	tnk_effector	0.008585840783477348
Mel78	tumor_dedifferentiation	0.5016651226233154
Mel79	antigen_presentation_mhc	4.791945358994377
Mel79	caf_ecm_exclusion	1.5310598964368298
Mel79	myeloid_suppression	0.2165889610346865
Mel79	tcell_dysfunction	1.2308083864623998
Mel79	tnk_effector	0.8170881817381419
Mel79	tumor_dedifferentiation	1.2763557131761372
Mel80	antigen_presentation_mhc	5.081400221820159
Mel80	caf_ecm_exclusion	2.2159860254460853
Mel80	myeloid_suppression	0.3578108700852584
Mel80	tcell_dysfunction	1.6538868162154798
Mel80	tnk_effector	1.3167293510401485
Mel80	tumor_dedifferentiation	1.768438310725133
Mel81	antigen_presentation_mhc	2.2063670458476152
Mel81	caf_ecm_exclusion	0.732343739829341
Mel81	myeloid_suppression	0.2761775604086572
Mel81	tcell_dysfunction	0.45108835735125796
Mel81	tnk_effector	0.5380504621034573
Mel81	tumor_dedifferentiation	0.7459652321760094
Mel82	antigen_presentation_mhc	3.767293848877286
Mel82	caf_ecm_exclusion	1.2742444872091698
Mel82	myeloid_suppression	0.44321251626152663
Mel82	tcell_dysfunction	0.8541809353410843
Mel82	tnk_effector	0.7229573323030184
Mel82	tumor_dedifferentiation	1.0820785051567403
Mel84	antigen_presentation_mhc	4.813644360511166
Mel84	caf_ecm_exclusion	1.702409837828122
Mel84	myeloid_suppression	1.2891328580691943
Mel84	tcell_dysfunction	1.281685350811067
Mel84	tnk_effector	1.3332274273548892
Mel84	tumor_dedifferentiation	1.4542744671503662
Mel88	antigen_presentation_mhc	4.415063202632286
Mel88	caf_ecm_exclusion	1.3832317929929616
Mel88	myeloid_suppression	0.5720891725028321
Mel88	tcell_dysfunction	1.007736630122696
Mel88	tnk_effector	0.7597135168662472
Mel88	tumor_dedifferentiation	1.246203364561546
Mel89	antigen_presentation_mhc	4.811579657061964
Mel89	caf_ecm_exclusion	1.5576992457921883
Mel89	myeloid_suppression	0.46761033133244606
Mel89	tcell_dysfunction	1.3654090750407037
Mel89	tnk_effector	1.2130123672998596
Mel89	tumor_dedifferentiation	1.3047567720196398
Mel94	antigen_presentation_mhc	4.78037855688342
Mel94	caf_ecm_exclusion	1.9160439667253255
Mel94	myeloid_suppression	0.40793015483724887
Mel94	tcell_dysfunction	0.978877357850033
Mel94	tnk_effector	0.2723655636947031
Mel94	tumor_dedifferentiation	1.5841387653420995
Mel98	antigen_presentation_mhc	4.881938856117779
Mel98	caf_ecm_exclusion	1.9984893945100024
Mel98	myeloid_suppression	0.5838256129079549
Mel98	tcell_dysfunction	2.043468420730012
Mel98	tnk_effector	2.212176266257075
Mel98	tumor_dedifferentiation	1.572496512402941
