endpoint	stratum	holdout	candidate	selection_score	inner_mean_AUROC	inner_mean_AUPRC	inner_mean_balanced_accuracy	inner_mean_ECE	inner_sd_AUROC	weights
primary_recist	melanoma_core_high_evidence	GSE91061	rank_module_dysfunction_0.75_cytpen_1.00	0.9196157202729771	0.7987998843262001	0.7558441765089448	0.6930635154319366	0.15413857480972282	0.04330537883169466	"{""CYT"": -1.0, ""EcoNiche-Opt-ModulePriorFixed"": 1.0, ""TIDE_dysfunction"": 0.75}"
primary_recist	melanoma_core_high_evidence	GSE91061	rank_module_dysfunction_0.75_cytpen_1.25	0.9387697515686774	0.8110113570639887	0.7698920812302622	0.7244334612755665	0.19041266323527134	0.013164467111835554	"{""CYT"": -1.25, ""EcoNiche-Opt-ModulePriorFixed"": 1.0, ""TIDE_dysfunction"": 0.75}"
primary_recist	melanoma_core_high_evidence	GSE91061	rank_module_exclusion_context_0.25	0.8743149184233171	0.7703940796046058	0.7115830820805775	0.7086071822913929	0.17535855214048074	0.10281166202218833	"{""EcoNiche-Opt-ModulePriorFixed"": 1.0, ""TIDE_exclusion"": 0.25}"
primary_recist	melanoma_core_high_evidence	GSE91061	rank_module_exclusion_context_0.50	0.8811326497157772	0.7758228613491771	0.7126787642531294	0.7098099269151901	0.1913714584303386	0.08900967453599029	"{""EcoNiche-Opt-ModulePriorFixed"": 1.0, ""TIDE_exclusion"": 0.5}"
primary_recist	melanoma_core_high_evidence	GSE91061	rank_module_exclusion_context_0.75	0.894325536833211	0.7807652873442348	0.7096078646916459	0.7019427940480572	0.14848352322740482	0.06373232031126769	"{""EcoNiche-Opt-ModulePriorFixed"": 1.0, ""TIDE_exclusion"": 0.75}"
primary_recist	melanoma_core_high_evidence	GSE78220	rank_module_prior	0.8154335230395883	0.7442092994724574	0.6381198751142941	0.5818151147098516	0.2449151808489473	0.13138878665194453	"{""EcoNiche-Opt-ModulePriorFixed"": 1.0}"
primary_recist	melanoma_core_high_evidence	GSE78220	rank_module_cytotoxic_penalty_0.250	0.80938762289149	0.7334836216415164	0.6209605677259467	0.6517053122316281	0.23896631648249875	0.13732977548767028	"{""CYT"": -0.25, ""EcoNiche-Opt-ModulePriorFixed"": 1.0}"
primary_recist	melanoma_core_high_evidence	GSE78220	rank_module_cytotoxic_penalty_0.375	0.7934814286886196	0.7200251502883082	0.5832170991226283	0.674861980125138	0.25782496902700913	0.132845663108821	"{""CYT"": -0.375, ""EcoNiche-Opt-ModulePriorFixed"": 1.0}"
primary_recist	melanoma_core_high_evidence	GSE78220	rank_module_cytotoxic_penalty_0.500	0.789192923669815	0.716221935958778	0.5590981736813971	0.6876824929456509	0.24616537913758418	0.13545270518954727	"{""CYT"": -0.5, ""EcoNiche-Opt-ModulePriorFixed"": 1.0}"
primary_recist	melanoma_core_high_evidence	GSE78220	rank_module_cytotoxic_penalty_0.625	0.7606632191187025	0.693065268065268	0.5191498905796361	0.6613176297386824	0.25425490955087376	0.1251165501165501	"{""CYT"": -0.625, ""EcoNiche-Opt-ModulePriorFixed"": 1.0}"
primary_recist	melanoma_core_high_evidence	GSE78220	rank_module_cytotoxic_penalty_0.750	0.7197008574520368	0.6575604220341063	0.45646424815113357	0.6620077291129922	0.2691262661960947	0.1139706784443626	"{""CYT"": -0.75, ""EcoNiche-Opt-ModulePriorFixed"": 1.0}"
primary_recist	melanoma_core_high_evidence	GSE78220	rank_module_cytotoxic_penalty_1.000	0.5949074843247795	0.556048337627285	0.3923011759669758	0.4694516010305484	0.3508082245115992	0.061176542755490115	"{""CYT"": -1.0, ""EcoNiche-Opt-ModulePriorFixed"": 1.0}"
primary_recist	melanoma_core_high_evidence	GSE78220	rank_module_dysfunction_0.25_cytpen_0.50	0.8104367272354328	0.7319899398846768	0.5943427510467975	0.6969144890197522	0.25306589704604543	0.1268617347564716	"{""CYT"": -0.5, ""EcoNiche-Opt-ModulePriorFixed"": 1.0, ""TIDE_dysfunction"": 0.25}"
primary_recist	melanoma_core_high_evidence	GSE78220	rank_module_dysfunction_0.25_cytpen_0.75	0.7894142979132737	0.7141731075941602	0.5717800152335407	0.699861980125138	0.27293515903050514	0.12314746656851921	"{""CYT"": -0.75, ""EcoNiche-Opt-ModulePriorFixed"": 1.0, ""TIDE_dysfunction"": 0.25}"
