endpoint	stratum	AUROC	AUPRC	balanced_accuracy	accuracy	MCC	F1	sensitivity	specificity	PPV	NPV	Brier	ECE	calibration_slope	calibration_intercept	n_samples	n_cohorts	n_responders	n_nonresponders	response_prevalence	AUPRC_minus_prevalence	selected_candidates	median_threshold
primary_recist	melanoma_core_high_evidence	0.6810182275298555	0.500033788924298	0.6382778126964174	0.6410256410256411	0.267858025233711	0.5625	0.627906976744186	0.6486486486486487	0.5094339622641509	0.75	0.25279442086467174	0.16692166625163024	0.13344252549826585	-0.5958378991536583	117	3	43	74	0.36752136752136755	0.1325124214029304	rank_module_cytotoxic_penalty_0.625,rank_module_dysfunction_0.50_cytpen_0.50,rank_module_dysfunction_0.75_cytpen_1.25	0.5597560975609756
primary_recist	melanoma_recist_supported_primary	0.6595588235294118	0.50670702364203	0.6118872549019607	0.5954198473282443	0.21930495382217527	0.5691056910569106	0.6862745098039216	0.5375	0.4861111111111111	0.7288135593220338	0.26061475127585243	0.1550699661852453	0.13210040912598264	-0.508543262951675	131	4	51	80	0.3893129770992366	0.1173940465427934	rank_module_cytotoxic_penalty_0.625,rank_module_dysfunction_0.25_cytpen_0.75,rank_module_dysfunction_0.50_cytpen_1.00,rank_module_exclusion_context_0.25	0.4655052264808362
