mean_delta	ci_low	ci_high	p_value	comparison	metric	n_samples	optimized_AUROC	baseline_AUROC	status	fdr_q
0.05828983397816018	-0.017141477030260862	0.129973682398225	0.14	EcoNiche-Opt-ImmuneComposite_vs_ML_Logistic_L2	response_AUROC	346	0.6215846994535519	0.5625200900032145	computed_from_pipeline	0.14
0.10739072313481057	0.026652413444269107	0.17608629224413153	0.006	EcoNiche-Opt-ImmuneComposite_vs_ML_ExtraTrees	response_AUROC	346	0.6215846994535519	0.5126165220186436	computed_from_pipeline	0.007200000000000001
0.11650333235316994	0.03830426045623746	0.18727357606912534	0.0	EcoNiche-Opt-ImmuneComposite_vs_ML_RandomForest	response_AUROC	346	0.6215846994535519	0.5030536804885889	computed_from_pipeline	0.0
0.12681577247432047	0.045875746650429976	0.20352070505875303	0.0	EcoNiche-Opt-ImmuneComposite_vs_ML_XGBoost	response_AUROC	346	0.6215846994535519	0.49308903889424627	computed_from_pipeline	0.0
0.13547252753525704	0.04775486423590574	0.21338084153811301	0.0	EcoNiche-Opt-ImmuneComposite_vs_ML_LightGBM	response_AUROC	346	0.6215846994535519	0.4841288974606236	computed_from_pipeline	0.0
0.16032265356029415	0.07136615280359118	0.24248702759342766	0.0	EcoNiche-Opt-ImmuneComposite_vs_ML_Logistic_L1	response_AUROC	346	0.6215846994535519	0.46046287367405975	computed_from_pipeline	0.0
