endpoint	stratum	n_samples	raw_pooled_AUROC	platt_pooled_AUROC	delta_pooled_AUROC_platt_minus_raw	raw_mean_fold_AUROC	platt_mean_fold_AUROC	raw_pooled_ECE	platt_pooled_ECE	delta_pooled_ECE_platt_minus_raw
primary_recist	melanoma_anti_pd1_primary	160	0.6407175773535221	0.5880513495720869	-0.05266622778143515	0.5926252881296741	0.5926252881296741	0.2683852390359654	0.114754937197733	-0.1536303018382324
primary_recist	melanoma_core_high_evidence	117	0.7049025769956003	0.6552482715273412	-0.04965430546825911	0.7122567490988544	0.7122567490988544	0.2348619118541941	0.1486571390229325	-0.0862047728312616
primary_recist	melanoma_core_plus_phs000452	238	0.6185391175380053	0.5770114942528735	-0.04152762328513182	0.667924956190338	0.667924956190338	0.2440290537975438	0.1266491759764472	-0.1173798778210966
primary_recist	pan_cancer_response_all	554	0.6289971751412429	0.6177542372881356	-0.01124293785310726	0.6330856888847266	0.6330856888847266	0.2147245940293717	0.1314815413381584	-0.08324305269121329
primary_recist	secondary_confounded_transfer	185	0.6130403968816441	0.6130403968816441	0.0	0.6945075503526207	0.6945075503526207	0.2125473193549285	0.0488619870240634	-0.16368533233086507
strict_recist	melanoma_anti_pd1_primary	137	0.6352688172043011	0.604516129032258	-0.03075268817204302	0.600436846327388	0.600436846327388	0.2590702299135122	0.0712538899856262	-0.187816339927886
strict_recist	melanoma_core_high_evidence	95	0.7070661896243291	0.6775491949910554	-0.02951699463327373	0.7098243099387265	0.7098243099387265	0.2322514603733581	0.1078653292668977	-0.12438613110646039
strict_recist	melanoma_core_plus_phs000452	200	0.6335041704351321	0.610290423073058	-0.023213747362074044	0.6737318688176812	0.6737318688176812	0.2226709305502815	0.0698384956763324	-0.1528324348739491
strict_recist	pan_cancer_response_all	480	0.6418035714285714	0.6330892857142858	-0.008714285714285563	0.6503541511342472	0.6503541511342472	0.1905627769756361	0.0780403422787191	-0.11252243469691699
strict_recist	secondary_confounded_transfer	164	0.6324557489216124	0.6324557489216124	0.0	0.7118975468975469	0.7118975468975469	0.1949785072184584	0.0461784749040196	-0.1488000323144388
clinical_benefit	melanoma_anti_pd1_primary	160	0.6	0.5893333333333333	-0.010666666666666713	0.5785955315484301	0.5785955315484301	0.2928500525463371	0.0500336619492615	-0.2428163905970756
clinical_benefit	melanoma_core_high_evidence	117	0.6428994082840236	0.6337278106508876	-0.00917159763313602	0.6504009396400702	0.6504009396400702	0.2861439631362454	0.0659156034691587	-0.2202283596670867
clinical_benefit	melanoma_core_plus_phs000452	238	0.6109723906684741	0.6083327388171506	-0.0026396518513235323	0.633530732278262	0.633530732278262	0.235625692453006	0.0636867875873758	-0.17193890486563018
clinical_benefit	pan_cancer_response_all	554	0.6228493222106362	0.6178571428571429	-0.004992179353493276	0.6258270294763978	0.6258270294763978	0.1989998320866526	0.0515975180533215	-0.1474023140333311
clinical_benefit	secondary_confounded_transfer	185	0.6287986704653372	0.6287986704653372	0.0	0.7052041392950484	0.7052041392950484	0.2113615875759432	0.0668153263022756	-0.1445462612736676
