mean_delta	ci_low	ci_high	p_value	comparison	metric	n_samples	optimized_AUROC	baseline_AUROC	baseline_direction	status	fdr_q
-0.008671603592894098	-0.037929166602965324	0.01927237062180243	0.55	EcoNiche-Opt-ImmuneComposite_vs_IFNG	response_AUROC	346	0.6215846994535519	0.6309466409514626	response_high	computed_from_pipeline	0.6875
-0.0025760819036606767	-0.04992812314957207	0.046658495169198115	0.898	EcoNiche-Opt-ImmuneComposite_vs_TIDE_dysfunction	response_AUROC	346	0.6215846994535519	0.6252209900353582	response_high	computed_from_pipeline	0.932
-0.0031464659586939586	-0.03969168855661063	0.02920944938867892	0.888	EcoNiche-Opt-ImmuneComposite_vs_CXCL9	response_AUROC	346	0.6215846994535519	0.6248392799742848	response_high	computed_from_pipeline	0.932
-0.001539537857472652	-0.03202648771664844	0.028237498533896992	0.932	EcoNiche-Opt-ImmuneComposite_vs_TIG	response_AUROC	346	0.6215846994535519	0.62399549983928	response_high	computed_from_pipeline	0.932
0.0032983342176948955	-0.03187710672003445	0.03701823632164186	0.862	EcoNiche-Opt-ImmuneComposite_vs_PDCD1LG2	response_AUROC	346	0.6215846994535519	0.6181693989071038	response_high	computed_from_pipeline	0.932
0.02263676008877324	-0.03266656171585038	0.07828842374195123	0.442	EcoNiche-Opt-ImmuneComposite_vs_IMPRES_template	response_AUROC	346	0.6215846994535519	0.601173256187721	response_high	computed_from_pipeline	0.6106666666666667
0.02258107031780611	-0.03456858957399134	0.0778890768165853	0.458	EcoNiche-Opt-ImmuneComposite_vs_APM	response_AUROC	346	0.6215846994535519	0.5979186756669881	response_high	computed_from_pipeline	0.6106666666666667
0.025183382234592152	-0.03224776697593555	0.08242824041727123	0.372	EcoNiche-Opt-ImmuneComposite_vs_PDL1_CD274	response_AUROC	346	0.6215846994535519	0.5966329154612665	response_high	computed_from_pipeline	0.5723076923076923
0.03371182701800841	-0.016948680367499722	0.08468197783814589	0.194	EcoNiche-Opt-ImmuneComposite_vs_HLA_DRA	response_AUROC	346	0.6215846994535519	0.5880946640951462	response_high	computed_from_pipeline	0.3233333333333333
0.04764041381189751	-0.009839516129032175	0.1041252641316892	0.106	EcoNiche-Opt-ImmuneComposite_vs_MCP_CD8_T	response_AUROC	346	0.6215846994535519	0.5757594021215043	response_high	computed_from_pipeline	0.19272727272727275
0.05278401362257366	-0.002338157485216228	0.11280326768177411	0.066	EcoNiche-Opt-ImmuneComposite_vs_TLS	response_AUROC	346	0.6215846994535519	0.5697926711668273	response_high	computed_from_pipeline	0.132
0.06565651476964499	0.0021903967031085855	0.12741344610864133	0.042	EcoNiche-Opt-ImmuneComposite_vs_PDCD1	response_AUROC	346	0.6215846994535519	0.5582409193185471	response_high	computed_from_pipeline	0.12000000000000001
0.06641709674776121	0.010044163165051346	0.12301872822299663	0.014	EcoNiche-Opt-ImmuneComposite_vs_CYT	response_AUROC	346	0.6215846994535519	0.5564930890388943	response_high	computed_from_pipeline	0.04666666666666667
0.07449582814243318	-0.00018232324125106868	0.14980392829716407	0.052	EcoNiche-Opt-ImmuneComposite_vs_CTLA4	response_AUROC	346	0.6215846994535519	0.5495821279331404	response_high	computed_from_pipeline	0.13
0.11339894456053719	-0.00402193218555665	0.22216955421170106	0.062	EcoNiche-Opt-ImmuneComposite_vs_MCP_fibroblast	response_AUROC	325	0.6077586206896552	0.49640804597701155	nonresponse_high_inverted	computed_from_pipeline	0.132
0.14343892969977565	0.030432912435835485	0.25103456855672535	0.01	EcoNiche-Opt-ImmuneComposite_vs_MPS	response_AUROC	346	0.6215846994535519	0.47854387656702024	nonresponse_high_inverted	computed_from_pipeline	0.04
0.1520187301800713	0.03381459167977037	0.2640028288543139	0.006	EcoNiche-Opt-ImmuneComposite_vs_IPRES	response_AUROC	346	0.6215846994535519	0.4701462552234008	nonresponse_high_inverted	computed_from_pipeline	0.03
0.16141005122895308	0.04169920563719436	0.26906230981712825	0.006	EcoNiche-Opt-ImmuneComposite_vs_ESCS	response_AUROC	346	0.6215846994535519	0.462331243972999	nonresponse_high_inverted	computed_from_pipeline	0.03
0.16316851822911535	0.048654988036881466	0.26859637448658724	0.004	EcoNiche-Opt-ImmuneComposite_vs_C_ECM	response_AUROC	346	0.6215846994535519	0.45833333333333337	nonresponse_high_inverted	computed_from_pipeline	0.03
0.18532117153255356	0.07303514272241535	0.29313603223260004	0.002	EcoNiche-Opt-ImmuneComposite_vs_TIDE_exclusion	response_AUROC	346	0.6215846994535519	0.4365155898424944	nonresponse_high_inverted	computed_from_pipeline	0.03
