holdout	candidate	inner_mean_AUROC	inner_mean_AUPRC	inner_balanced_accuracy	threshold	selection_score
GSE115821	ifn_core_pdcd1lg2_weighted	0.6225612154049653	0.5667720450350194	0.6033697632058288	0.45013493629867557	0.6810683058170077
GSE115821	immune_mean	0.604988107956858	0.5483757984038014	0.5917577413479053	0.5258825412199082	0.6619947849444433
GSE115821	immune_minus_suppressive	0.5362800035612535	0.45953160440308505	0.5586672738312083	0.3064458179613243	0.5871899474729682
GSE115821	immune_top5	0.6260846306471307	0.5705086747065424	0.6086065573770492	0.40810833555911397	0.6850403922513103
GSE115821	signed_APM	0.596375953907204	0.5179755997575842	0.6117941712204007	0.5681579207006401	0.6528644424561033
GSE115821	signed_CTLA4	0.521847591066341	0.4363432766799483	0.5734669095324834	0.6051862105762684	0.5723381003769626
GSE115821	signed_CXCL9	0.5869386637667888	0.49559396996578686	0.6117941712204007	0.5464514927738808	0.6423080708260982
GSE115821	signed_CYT	0.5655553902116403	0.4904442800481771	0.5636004857316332	0.4531261626655507	0.6182576285006307
GSE115821	signed_C_ECM	0.424537355006105	0.38773624920071303	0.5101700060716454	0.16922025227192766	0.4694326677697229
GSE115821	signed_ESCS	0.45147907763532763	0.3910579335231361	0.5168488160291439	0.1492195251004363	0.4968744151129416
GSE115821	signed_HLA_DRA	0.5978192027879528	0.5004504854151965	0.5850789313904068	0.411993377603515	0.6520956736282328
GSE115821	signed_IFNG	0.6054836691086691	0.5282024290778563	0.6033697632058288	0.6261560484301171	0.6620622787228534
GSE115821	signed_IMPRES_template	0.6011504502442002	0.5500702512963691	0.6068609593199756	0.6542764085960545	0.6589970107750174
GSE115821	signed_IPRES	0.445629298941799	0.4013372879039519	0.50986642380085	0.4333347032138657	0.4911894845270391
GSE115821	signed_MCP_CD8_T	0.5693740270146519	0.49865420797949156	0.5836369156041287	0.44789511116271635	0.6234885831938329
GSE115821	signed_MCP_fibroblast	0.48560817307692306	0.401157699216399	0.5270188221007893	0.21796247440543182	0.5320169991427824
GSE115821	signed_MPS	0.5166806573056574	0.44212278364946467	0.5252732240437159	0.28658841858764816	0.5650504576903165
GSE115821	signed_PDCD1	0.5583185732091981	0.4911020906524427	0.5664845173041895	0.4981303815965791	0.6111979036070296
GSE115821	signed_PDCD1LG2	0.6033242394179894	0.5241465676127051	0.5984365513054037	0.5098937015594354	0.6594533953638948
GSE115821	signed_PDL1_CD274	0.5607040852665852	0.5078035905698547	0.5850789313904068	0.5028297666011127	0.6153482113645983
GSE115821	signed_TIDE_dysfunction	0.6247362700956451	0.5799029910589987	0.6033697632058288	0.4058529556413963	0.6838999078088865
GSE115821	signed_TIDE_exclusion	0.39834146062271064	0.3563700117828286	0.5235276259866424	0.17858766419745273	0.4423363425111842
GSE115821	signed_TIG	0.6002911960724461	0.5182074864112487	0.5885701275045537	0.39534553424380947	0.6556300767682361
GSE115821	signed_TLS	0.5650838293650794	0.49037610385125135	0.5601092896174863	0.613048047878123	0.6176080990385162
GSE115821	suppression_inverse	0.43246571021571023	0.38478965876668836	0.5270188221007893	0.2680326134458119	0.4780561342590841
GSE115821	tcell_checkpoint	0.6121072318884819	0.5478961514733285	0.5917577413479053	0.5184020288277467	0.6690899265295436
GSE115821	top5_minus_stroma_myeloid	0.5665086741961742	0.48423621517681215	0.5752125075895568	0.5872952648391401	0.6194811103344927
GSE136961	ifn_core_pdcd1lg2_weighted	0.6308945487382988	0.5492393154189565	0.5887345037024712	0.43689447311400725	0.6877932396943701
GSE136961	immune_mean	0.5957288486975988	0.521563629091632	0.581412763125052	0.5462389289662211	0.650877668308433
GSE136961	immune_minus_suppressive	0.5196133368945868	0.442543926140897	0.5511897828438306	0.3044915238611463	0.5693000223438232
GSE136961	immune_top5	0.6242327787952788	0.5448539128017805	0.6023795656876612	0.40269187759868835	0.6815944527197509
GSE136961	signed_APM	0.6010055835368335	0.49818283079814857	0.6096181046676097	0.6053141544470754	0.6563956303101215
GSE136961	signed_CTLA4	0.5024031466218966	0.4054363798081392	0.5682253099259506	0.6047130350990797	0.5510862311086011
GSE136961	signed_CXCL9	0.5637905156186406	0.47137828369127704	0.5957858390881106	0.4170022466372876	0.6171487217576099
GSE136961	signed_CYT	0.5359257605820107	0.45386814013870386	0.5527498127964057	0.4988069541305153	0.5862566582287662
GSE136961	signed_C_ECM	0.43750031796906796	0.3820970763775877	0.5150178883434562	0.2187136700979198	0.48235606620512017
GSE136961	signed_ESCS	0.4440716702279202	0.3798108038420539	0.5131874531991014	0.7784317661543679	0.488721583079978
GSE136961	signed_HLA_DRA	0.5728192027879527	0.4569579031971241	0.5807679507446544	0.4119281502274398	0.6247054954850416
GSE136961	signed_IFNG	0.6045577431827431	0.5030462426716699	0.5959730426824195	0.6207001323677828	0.6595087074504475
GSE136961	signed_IMPRES_template	0.5909652650590151	0.5153770278531455	0.5964306514685083	0.6543755348337091	0.6465556490250979
GSE136961	signed_IPRES	0.4308144841269841	0.387985654062122	0.5165779182960313	0.46346987704360054	0.47604266274489176
GSE136961	signed_MCP_CD8_T	0.5378925455331705	0.46452315384843745	0.5677677011398619	0.5772093105927452	0.5895070882825855
GSE136961	signed_MCP_fibroblast	0.48560817307692306	0.3908005563592561	0.529120559114735	0.2142840851092962	0.5316042288506226
GSE136961	signed_MPS	0.5120510276760277	0.4295983944584088	0.5300357766869124	0.28790273235577607	0.5600327362332937
GSE136961	signed_PDCD1	0.5347074620980871	0.4550525075195262	0.553665030368583	0.5343633113316006	0.5851433389924925
GSE136961	signed_PDCD1LG2	0.6246205357142858	0.5472792836620877	0.6021091604958815	0.48447774455015735	0.6820899579221842
GSE136961	signed_PDL1_CD274	0.5847781593406592	0.5093315070977712	0.5889217072967801	0.594653224586219	0.6396908200603868
GSE136961	signed_TIDE_dysfunction	0.6164029367623118	0.5492838416898493	0.5887345037024712	0.39622345547628557	0.6733038540319278
GSE136961	signed_TIDE_exclusion	0.41130442358567365	0.3507308389597033	0.529120559114735	0.22211737993107417	0.45529699348939556
GSE136961	signed_TIG	0.5965874923687423	0.4975372924077214	0.5823279806972295	0.6656609164887524	0.6505807560239899
GSE136961	signed_TLS	0.5410097552910054	0.45650026291658685	0.5470713037690323	0.6110153583810447	0.5911883336252863
GSE136961	suppression_inverse	0.43246571021571023	0.3765975758906529	0.5220692237290956	0.2643016141780668	0.47739905019669765
GSE136961	tcell_checkpoint	0.6019220467032967	0.5173232984004754	0.5950578251102421	0.5120599384232758	0.6575411028788326
GSE136961	top5_minus_stroma_myeloid	0.5442864519739521	0.4620046558864293	0.5677677011398619	0.6076370948198899	0.5957750698252666
GSE140901	ifn_core_pdcd1lg2_weighted	0.6290426968864469	0.5624863307493052	0.59565649867374	0.43865564625514153	0.6869498383575992
GSE140901	immune_mean	0.5975807005494506	0.5353202428482458	0.5853779840848806	0.4955263951072339	0.6536156118961068
GSE140901	immune_minus_suppressive	0.5316503739316238	0.46335980234893015	0.560842175066313	0.3128743539654363	0.5828604728023861
