AUROC	AUPRC	balanced_accuracy	accuracy	MCC	F1	sensitivity	specificity	PPV	NPV	Brier	ECE	calibration_slope	calibration_intercept	balanced_accuracy_0_5	cohort	model_name	endpoint	n_samples	n_responders	n_nonresponders	selected_model	selected_by	threshold	inner_mean_AUROC	inner_mean_AUPRC	inner_balanced_accuracy	selection_score	preferred_tolerance
0.8333333333333334	0.5833333333333333	0.8333333333333333	0.75	0.5773502691896258	0.6666666666666666	1.0	0.6666666666666666	0.5	1.0	0.20411785304615496	0.4165216861711937	1.1466519483714335	-1.3178675670841131	0.9166666666666667	GSE115821	EcoNiche-Opt-ImmuneComposite	response_positive_primary_recist	8	2	6	ifn_core_pdcd1lg2_weighted	preferred_within_tolerance	0.45013493629867557	0.6225612154049653	0.5667720450350194	0.6033697632058288	0.6810683058170077	0.02
0.75	0.7586606294939628	0.7083333333333334	0.6666666666666666	0.4841229182759271	0.72	1.0	0.4166666666666667	0.5625	1.0	0.2029270387190556	0.14872752209222437	1.5436340013427283	-0.5726347662789623	0.6388888888888888	GSE136961	EcoNiche-Opt-ImmuneComposite	response_positive_primary_recist	21	9	12	ifn_core_pdcd1lg2_weighted	preferred_within_tolerance	0.43689447311400725	0.6308945487382988	0.5492393154189565	0.5887345037024712	0.6877932396943701	0.02
0.7685185185185185	0.6261904761904762	0.7222222222222222	0.5833333333333334	0.408248290463863	0.5454545454545454	1.0	0.4444444444444444	0.375	1.0	0.21070574088589988	0.2697843352493757	1.5506753824235224	-1.3847732277615337	0.6111111111111112	GSE140901	EcoNiche-Opt-ImmuneComposite	response_positive_primary_recist	24	6	18	ifn_core_pdcd1lg2_weighted	preferred_within_tolerance	0.43865564625514153	0.6290426968864469	0.5624863307493052	0.59565649867374	0.6869498383575992	0.02
0.5416666666666666	0.6982871295371296	0.5833333333333333	0.5714285714285714	0.16666666666666666	0.5714285714285714	0.5	0.6666666666666666	0.6666666666666666	0.5	0.2678535923156133	0.15238717048290285	0.3024075064320741	0.2966196027879551	0.5416666666666667	GSE145996	EcoNiche-Opt-ImmuneComposite	response_positive_primary_recist	14	8	6	ifn_core_pdcd1lg2_weighted	preferred_within_tolerance	0.45117416879536576	0.6517278820716321	0.5552766654146398	0.6041867566698811	0.7097010531758581	0.02
0.7749999999999999	0.7798611111111111	0.6666666666666667	0.625	0.3333333333333333	0.625	0.8333333333333334	0.5	0.5	0.8333333333333334	0.19958489194291615	0.21105204219123702	1.4059335125942292	-0.6032454275675876	0.7666666666666666	GSE165252	EcoNiche-Opt-ImmuneComposite	response_positive_primary_recist	32	12	20	ifn_core_pdcd1lg2_weighted	preferred_within_tolerance	0.4401668092076118	0.6283945487382987	0.5471192672572417	0.596184560780834	0.6855597401402025	0.02
0.5277777777777778	0.4569476275358628	0.5833333333333333	0.5714285714285714	0.16666666666666666	0.5714285714285714	0.6666666666666666	0.5	0.5	0.6666666666666666	0.2885576598257175	0.329371427542026	0.03368333556803948	-0.2877565797033851	0.41666666666666663	GSE168204	EcoNiche-Opt-ImmuneComposite	response_positive_primary_recist	21	9	12	ifn_core_pdcd1lg2_weighted	preferred_within_tolerance	0.44872727145072844	0.6531167709605209	0.5794106156147665	0.6098885098593894	0.7125817272342286	0.02
0.6848958333333334	0.3727577253848396	0.6319444444444444	0.6363636363636364	0.20701147597919425	0.38461538461538464	0.625	0.6388888888888888	0.2777777777777778	0.8846153846153846	0.23244488850115025	0.3028710922683792	0.7112149617498478	-1.5845727319925105	0.6805555555555556	GSE176307	EcoNiche-Opt-ImmuneComposite	response_positive_primary_recist	88	16	72	ifn_core_pdcd1lg2_weighted	preferred_within_tolerance	0.4479910291425872	0.6374049654049654	0.5878296058298689	0.5867200573750897	0.6961324485652133	0.02
0.5	0.5381944444444444	0.4642857142857143	0.45454545454545453	-0.06900655593423542	0.4	0.5	0.42857142857142855	0.3333333333333333	0.6	0.28346378529046334	0.4139625768096961	0.19181209052209774	-0.5637084046907632	0.3392857142857143	GSE67501	EcoNiche-Opt-ImmuneComposite	response_positive_primary_recist	11	4	7	ifn_core_pdcd1lg2_weighted	preferred_within_tolerance	0.45006572103195985	0.6558945487382988	0.5712859339239083	0.6130328441649195	0.7151104876427402	0.02
0.4945054945054945	0.49863911959500196	0.5164835164835164	0.5185185185185185	0.033149677206589796	0.5517241379310345	0.5714285714285714	0.46153846153846156	0.5333333333333333	0.5	0.3029772435272014	0.3187456875116468	-0.1478380312832747	0.07440832242048911	0.4807692307692308	GSE78220	EcoNiche-Opt-ImmuneComposite	response_positive_primary_recist	27	14	13	ifn_core_pdcd1lg2_weighted	preferred_within_tolerance	0.4492240943382392	0.6564439992877493	0.5752414664088527	0.618868670886076	0.7161495061524958	0.02
0.6076923076923078	0.4537276822276822	0.5307692307692308	0.4897959183673469	0.04986383946711771	0.32432432432432434	0.6	0.46153846153846156	0.2222222222222222	0.8181818181818182	0.27139998945096044	0.2968354137979493	0.4137881733634225	-1.405667250750155	0.5192307692307692	GSE91061	EcoNiche-Opt-ImmuneComposite	response_positive_primary_recist	49	10	39	ifn_core_pdcd1lg2_weighted	preferred_within_tolerance	0.44938970196740946	0.645125317969068	0.5797326101455846	0.6180331753554502	0.7050136072441198	0.02
0.5755555555555555	0.48445450482968405	0.5277777777777778	0.46153846153846156	0.05418800739686293	0.4444444444444444	0.7	0.35555555555555557	0.32558139534883723	0.7272727272727273	0.26762092525552644	0.2546972920000407	0.29291737837594867	-0.8245011822364366	0.5694444444444444	GSE93157	EcoNiche-Opt-ImmuneComposite	response_positive_primary_recist	65	20	45	ifn_core_pdcd1lg2_weighted	preferred_within_tolerance	0.43262875041076104	0.6483389931827432	0.5766599278853844	0.6165311653116532	0.7079985478425951	0.02
