selection_id	claim_boundary	blend_id	blend_type	primary_AUROC	primary_AUPRC	primary_balanced_accuracy	primary_AUPRC_minus_prevalence	strict_external_AUROC	strict_external_AUPRC	strict_external_balanced_accuracy	strict_external_per_cohort_AUROC
primary_auc_selected_blend	selected_by_primary_lodo_only_not_by_external	0.50*cohort_gene_percentile+0.50*cohort_zscore	pair_grid	0.7888120678818353	0.6963634504079403	0.7437146448774355	0.3288420828865728	0.6767857142857143	0.6523640768365637	0.6255952380952381	GSE145996:0.825;PHS000452_LIU_LIKE_PRE:0.647
robust_fixed_development_candidate	fixed_robust_transform_candidate_no_external_label_fit	0.05*cohort_zscore+0.95*cohort_robust_zscore	pair_grid	0.7724701445631679	0.657990756879542	0.6555625392834695	0.29046938935817446	0.6860119047619048	0.6892418361322834	0.6244047619047619	GSE145996:0.875;PHS000452_LIU_LIKE_PRE:0.652
primary_pass_external_stress_best	current_external_stress_screen_not_a_locked_selection_claim	0.05*cohort_zscore+0.95*cohort_robust_zscore	pair_grid	0.7724701445631679	0.657990756879542	0.6555625392834695	0.29046938935817446	0.6860119047619048	0.6892418361322834	0.6244047619047619	GSE145996:0.875;PHS000452_LIU_LIKE_PRE:0.652
current_external_stress_best	current_external_stress_screen_not_a_locked_selection_claim	cohort_robust_zscore	single	0.771213073538655	0.6564055471772958	0.6439346323067253	0.2888841796559283	0.6860119047619048	0.6897968225599096	0.6244047619047619	GSE145996:0.875;PHS000452_LIU_LIKE_PRE:0.652
