endpoint	cohort	blend_id	blend_type	axis	AUROC	AUPRC	balanced_accuracy	threshold	n_samples	n_responders	n_nonresponders
strict_recist	GSE145996	0.50*cohort_gene_percentile+0.50*cohort_zscore	pair_grid	MAP4K1_minus_TBX3_AXL	0.825	0.8644345238095238	0.7375	0.462248031330117	13	8	5
strict_recist	PHS000452_LIU_LIKE_PRE	0.50*cohort_gene_percentile+0.50*cohort_zscore	pair_grid	MAP4K1_minus_TBX3_AXL	0.6473484848484848	0.6042311827788572	0.6113636363636363	0.462248031330117	103	48	55
strict_recist	GSE145996	0.55*cohort_gene_percentile+0.45*cohort_zscore	pair_grid	MAP4K1_minus_TBX3_AXL	0.85	0.8956845238095238	0.7375	0.46289950716290806	13	8	5
strict_recist	PHS000452_LIU_LIKE_PRE	0.55*cohort_gene_percentile+0.45*cohort_zscore	pair_grid	MAP4K1_minus_TBX3_AXL	0.6462121212121212	0.5983522478235952	0.6113636363636363	0.46289950716290806	103	48	55
strict_recist	GSE145996	0.60*cohort_gene_percentile+0.40*cohort_zscore	pair_grid	MAP4K1_minus_TBX3_AXL	0.85	0.8956845238095238	0.7375	0.4635506982842402	13	8	5
strict_recist	PHS000452_LIU_LIKE_PRE	0.60*cohort_gene_percentile+0.40*cohort_zscore	pair_grid	MAP4K1_minus_TBX3_AXL	0.6428030303030303	0.596095793614437	0.6022727272727273	0.4635506982842402	103	48	55
strict_recist	GSE145996	0.65*cohort_gene_percentile+0.35*cohort_zscore	pair_grid	MAP4K1_minus_TBX3_AXL	0.85	0.8956845238095238	0.7375	0.4642016048807121	13	8	5
strict_recist	PHS000452_LIU_LIKE_PRE	0.65*cohort_gene_percentile+0.35*cohort_zscore	pair_grid	MAP4K1_minus_TBX3_AXL	0.6431818181818182	0.5962276608774713	0.5931818181818181	0.4642016048807121	103	48	55
strict_recist	GSE145996	0.70*cohort_gene_percentile+0.30*cohort_zscore	pair_grid	MAP4K1_minus_TBX3_AXL	0.85	0.8956845238095238	0.8375	0.49192648664284383	13	8	5
strict_recist	PHS000452_LIU_LIKE_PRE	0.70*cohort_gene_percentile+0.30*cohort_zscore	pair_grid	MAP4K1_minus_TBX3_AXL	0.6420454545454546	0.5955501600378214	0.6113636363636363	0.49192648664284383	103	48	55
strict_recist	GSE145996	0.75*cohort_gene_percentile+0.25*cohort_zscore	pair_grid	MAP4K1_minus_TBX3_AXL	0.85	0.8956845238095238	0.8375	0.4965322182763671	13	8	5
strict_recist	PHS000452_LIU_LIKE_PRE	0.75*cohort_gene_percentile+0.25*cohort_zscore	pair_grid	MAP4K1_minus_TBX3_AXL	0.6416666666666667	0.5941784710530209	0.6113636363636363	0.4965322182763671	103	48	55
strict_recist	GSE145996	0.80*cohort_gene_percentile+0.20*cohort_zscore	pair_grid	MAP4K1_minus_TBX3_AXL	0.85	0.8956845238095238	0.8375	0.5017440077510676	13	8	5
strict_recist	PHS000452_LIU_LIKE_PRE	0.80*cohort_gene_percentile+0.20*cohort_zscore	pair_grid	MAP4K1_minus_TBX3_AXL	0.6416666666666667	0.5950924909673272	0.6113636363636363	0.5017440077510676	103	48	55
strict_recist	GSE145996	0.85*cohort_gene_percentile+0.15*cohort_zscore	pair_grid	MAP4K1_minus_TBX3_AXL	0.85	0.8956845238095238	0.8375	0.5075618129506353	13	8	5
strict_recist	PHS000452_LIU_LIKE_PRE	0.85*cohort_gene_percentile+0.15*cohort_zscore	pair_grid	MAP4K1_minus_TBX3_AXL	0.640530303030303	0.5947460540269922	0.6113636363636363	0.5075618129506353	103	48	55
strict_recist	GSE145996	0.90*cohort_gene_percentile+0.10*cohort_zscore	pair_grid	MAP4K1_minus_TBX3_AXL	0.85	0.8956845238095238	0.8375	0.5133770789508887	13	8	5
strict_recist	PHS000452_LIU_LIKE_PRE	0.90*cohort_gene_percentile+0.10*cohort_zscore	pair_grid	MAP4K1_minus_TBX3_AXL	0.6386363636363637	0.5916384894476383	0.6022727272727273	0.5133770789508887	103	48	55
strict_recist	GSE145996	0.95*cohort_gene_percentile+0.05*cohort_zscore	pair_grid	MAP4K1_minus_TBX3_AXL	0.825	0.8644345238095238	0.8375	0.519189807413827	13	8	5
strict_recist	PHS000452_LIU_LIKE_PRE	0.95*cohort_gene_percentile+0.05*cohort_zscore	pair_grid	MAP4K1_minus_TBX3_AXL	0.6375000000000001	0.5901077047528285	0.6022727272727273	0.519189807413827	103	48	55
strict_recist	GSE145996	1.00*cohort_gene_percentile+0.00*cohort_zscore	pair_grid	MAP4K1_minus_TBX3_AXL	0.8375	0.8674107142857143	0.8375	0.5252083333333333	13	8	5
strict_recist	PHS000452_LIU_LIKE_PRE	1.00*cohort_gene_percentile+0.00*cohort_zscore	pair_grid	MAP4K1_minus_TBX3_AXL	0.6350378787878789	0.5759402958564229	0.6113636363636363	0.5252083333333333	103	48	55
