candidate	primary_AUROC	primary_AUPRC	primary_BA
0.80*base+0.20*pct__TPI1P3	0.8318667504714016	0.6953706566813644	0.7650848522941547
0.65*base+0.35*pct__TPI1P3	0.8079824010056568	0.6621259736384377	0.6802325581395349
0.80*base+0.20*rz__TPI1P3	0.8067253299811439	0.6873477967010555	0.6829038340666247
0.65*base+0.35*z__GCH1	0.798240100565682	0.7012711689591402	0.6836895034569453
0.65*base+0.35*rz__GCH1	0.798240100565682	0.7012711689591402	0.6836895034569453
0.65*base+0.35*rz__TPI1P3	0.7976115650534255	0.6921071427539426	0.6877749842866122
0.50*base+0.50*z__SIRPG	0.7941546197360151	0.6815809879098613	0.6285355122564424
0.50*base+0.50*rz__SIRPG	0.7941546197360151	0.6815809879098613	0.6285355122564424
0.80*base+0.20*z__TPI1P3	0.7910119421747329	0.6800600793693108	0.7118164676304211
0.65*base+0.35*z__SIRPG	0.7910119421747328	0.6906130065620478	0.7012884978001257
0.65*base+0.35*rz__SIRPG	0.7910119421747328	0.6906130065620478	0.7012884978001257
0.80*base+0.20*pct__DIAPH1	0.7906976744186047	0.6979998961332659	0.7077309868007542
0.80*base+0.20*z__GCH1	0.7900691389063482	0.6941177749702576	0.623664362036455
0.80*base+0.20*rz__GCH1	0.7900691389063482	0.6941177749702576	0.623664362036455
0.50*base+0.50*z__GCH1	0.78975487115022	0.6835713743740433	0.7166876178504085
0.50*base+0.50*rz__GCH1	0.78975487115022	0.6835713743740433	0.7166876178504085
0.50*base+0.50*z__BLK	0.7891263356379635	0.6881580413944002	0.7283155248271527
0.80*base+0.20*z__DIAPH1	0.7881835323695789	0.697264387983543	0.7155876807039598
0.80*base+0.20*rz__DIAPH1	0.7881835323695789	0.697264387983543	0.7155876807039598
0.65*base+0.35*z__BLK	0.7872407291011941	0.6856118982755071	0.7253299811439347
0.35*base+0.65*z__SIRPG	0.7862979258328096	0.660088041597067	0.6780326838466373
0.35*base+0.65*rz__SIRPG	0.7862979258328096	0.660088041597067	0.6780326838466373
0.80*base+0.20*pct__PLA2G2D	0.7837837837837839	0.6886842789800562	0.6829038340666247
0.80*base+0.20*z__SIRPG	0.7812696417347581	0.6748958187606471	0.7204588309239472
0.80*base+0.20*rz__SIRPG	0.7812696417347581	0.6748958187606471	0.7204588309239472
0.80*base+0.20*z__CD83	0.781269641734758	0.693186118294474	0.6642049025769956
0.80*base+0.20*rz__CD83	0.781269641734758	0.693186118294474	0.6642049025769956
0.65*base+0.35*pct__GCH1	0.7806411062225016	0.6962244638709373	0.6374921433060967
0.80*base+0.20*pct__GCH1	0.7803268384663734	0.6905242368365677	0.6352922690131992
0.80*base+0.20*pct__CXCL10	0.7800125707102451	0.6931746059581456	0.669076052796983
0.80*base+0.20*rz__IKZF3	0.7796983029541169	0.6756420999524593	0.7137020741671904
0.80*base+0.20*z__BLK	0.7790697674418604	0.6826838469250431	0.6923318667504714
0.80*base+0.20*z__CXCL9	0.7787554996857322	0.6832853452521516	0.6285355122564424
0.80*base+0.20*rz__CXCL9	0.7787554996857322	0.6832853452521516	0.6285355122564424
0.80*base+0.20*pct__SIRPG	0.7787554996857322	0.6749734187667413	0.7126021370207416
0.80*base+0.20*z__CXCL10	0.778441231929604	0.6908739995642746	0.6341923318667505
0.80*base+0.20*rz__CXCL10	0.778441231929604	0.6908739995642746	0.6341923318667505
0.80*base+0.20*z__CD247	0.778441231929604	0.6765360630764767	0.6934318038969202
0.80*base+0.20*rz__CD247	0.778441231929604	0.6765360630764767	0.6934318038969202
0.80*base+0.20*z__IKZF3	0.7781269641734758	0.6743469610543897	0.7185732243871779
0.80*base+0.20*rz__PLA2G2D	0.7778126964173475	0.6800259832587046	0.6585480829666877
0.65*base+0.35*z__CD247	0.7778126964173475	0.6703098714072724	0.6656191074795725
0.65*base+0.35*rz__CD247	0.7778126964173475	0.6703098714072724	0.6656191074795725
0.80*base+0.20*pct__CD83	0.7774984286612193	0.6920380765481826	0.6836895034569453
0.80*base+0.20*z__PIK3CD	0.7768698931489629	0.6888030149635878	0.6953174104336894
0.80*base+0.20*rz__PIK3CD	0.7768698931489629	0.6888030149635878	0.6953174104336894
0.80*base+0.20*z__SLAMF7	0.7765556253928346	0.6932331192271461	0.6330923947203018
0.80*base+0.20*rz__SLAMF7	0.7765556253928346	0.6932331192271461	0.6330923947203018
0.80*base+0.20*pct__ICOS	0.7765556253928346	0.6807871991694143	0.6964173475801383
0.80*base+0.20*z__CD3G	0.7762413576367064	0.671126003167857	0.6390634820867378
0.80*base+0.20*rz__CD3G	0.7762413576367064	0.671126003167857	0.6390634820867378
0.80*base+0.20*rz__BLK	0.7759270898805783	0.6739765087283944	0.7418290383406663
0.80*base+0.20*pct__IKZF3	0.7759270898805782	0.6731898931851816	0.6915461973601509
0.65*base+0.35*rz__IKZF3	0.7752985543683218	0.6606951589816321	0.7474858579509742
0.80*base+0.20*pct__LCK	0.7749842866121937	0.6747618936365569	0.7020741671904462
0.80*base+0.20*z__CD79A	0.7746700188560655	0.6777245798391627	0.7118164676304211
0.80*base+0.20*rz__CD79A	0.7746700188560655	0.6777245798391627	0.7118164676304211
0.80*base+0.20*z__ICOS	0.7746700188560653	0.6763015250593849	0.6458202388434946
0.80*base+0.20*rz__ICOS	0.7746700188560653	0.6763015250593849	0.6458202388434946
0.80*base+0.20*pct__LAX1	0.7743557510999372	0.6730310765318289	0.6847894406033941
0.80*base+0.20*z__IFNG	0.7743557510999372	0.6656951886406388	0.6964173475801383
0.80*base+0.20*rz__IFNG	0.7743557510999372	0.6656951886406388	0.6964173475801383
0.80*base+0.20*pct__CXCL9	0.774355751099937	0.674373181104025	0.63073538654934
0.80*base+0.20*z__LCK	0.774041483343809	0.6805703503745619	0.6934318038969202
0.80*base+0.20*rz__LCK	0.774041483343809	0.6805703503745619	0.6934318038969202
0.80*base+0.20*z__CCR4	0.7737272155876808	0.6753403466736303	0.7253299811439347
0.80*base+0.20*rz__CCR4	0.7737272155876808	0.6753403466736303	0.7253299811439347
