cohort	AUROC	AUPRC	balanced_accuracy	balanced_accuracy_0_5	MCC	F1	Brier	n_samples	n_features	feature_kind	k	model_name	inner_auc	inner_ap	threshold	inner_balanced_accuracy	selection_score
GSE115821	0.9166666666666667	0.9761904761904762	0.5	0.75	0.0	0.8571428571428571	0.12598680998478579	8	345	all_common	345	l20.1	0.5730940934065935	0.7422368328162217	0.0020095484570592445	0.49871584138072733	0.6351417271164409
GSE136961	0.37962962962962965	0.5350457778089357	0.5	0.5	0.0	0.7272727272727273	0.4280833690316911	21	345	all_common	345	l21.0	0.6258763227513228	0.7921634067074871	8.497531378218572e-06	0.5131848284166165	0.691143734507528
GSE168204	0.3055555555555556	0.5497634675266255	0.3472222222222222	0.3472222222222222	-0.31137618438976383	0.3	0.33960740698544467	21	50	genes_prior	50	enet_0.1_0.5	0.6215792887667888	0.759352542067335	0.7155483923400268	0.5116195063214931	0.6851278911862302
GSE176307	0.4809027777777778	0.8472416269804681	0.5	0.5	0.0	0.0	0.6239882816625107	88	50	genes	50	l20.03	0.6254248066748065	0.7798507535057029	0.2892469594772096	0.5622710622710623	0.6925308974636447
GSE78220	0.38461538461538464	0.42015357792359564	0.41758241758241754	0.5357142857142857	-0.19810721293758182	0.5294117647058824	0.3155592408050849	27	200	genes_prior	200	et	0.6491319444444444	0.8249710592675414	0.6886233014456001	0.5066666666666666	0.7157138307411548
GSE91061	0.49107142857142855	0.797107838709759	0.44345238095238093	0.49107142857142855	-0.0946222649056395	0.5641025641025641	0.4413911612782193	62	200	genes_prior	200	l20.03	0.668462555962556	0.7949449185287178	0.2332615389913494	0.5204347826086957	0.7342315410194267
