ablation	metric	estimate	sd	n_cohorts	status	reason
full_model	AUROC	1.0	0.0	4	computed_from_pipeline	
full_model	AUPRC	1.0	0.0	4	computed_from_pipeline	
full_model	balanced_accuracy	1.0	0.0	4	computed_from_pipeline	
full_model	MCC	1.0	0.0	4	computed_from_pipeline	
full_model	F1	1.0	0.0	4	computed_from_pipeline	
full_model	ECE	0.0002512632594452488	0.00034325121846157883	4	computed_from_pipeline	
full_model	Brier	6.296094126118609e-06	1.0754510854689253e-05	4	computed_from_pipeline	
zero_cell_state_priors	AUROC	1.0	0.0	4	computed_from_pipeline	
zero_cell_state_priors	AUPRC	1.0	0.0	4	computed_from_pipeline	
zero_cell_state_priors	balanced_accuracy	1.0	0.0	4	computed_from_pipeline	
zero_cell_state_priors	MCC	1.0	0.0	4	computed_from_pipeline	
zero_cell_state_priors	F1	1.0	0.0	4	computed_from_pipeline	
zero_cell_state_priors	ECE	0.001174102497210325	0.0007383982262189227	4	computed_from_pipeline	
zero_cell_state_priors	Brier	8.652506199530889e-05	9.234941078103775e-05	4	computed_from_pipeline	
no_biological_objective_terms	AUROC	1.0	0.0	4	computed_from_pipeline	
no_biological_objective_terms	AUPRC	1.0	0.0	4	computed_from_pipeline	
no_biological_objective_terms	balanced_accuracy	1.0	0.0	4	computed_from_pipeline	
no_biological_objective_terms	MCC	1.0	0.0	4	computed_from_pipeline	
no_biological_objective_terms	F1	1.0	0.0	4	computed_from_pipeline	
no_biological_objective_terms	ECE	0.0002512632594452488	0.00034325121846157883	4	computed_from_pipeline	
no_biological_objective_terms	Brier	6.296094126118609e-06	1.0754510854689253e-05	4	computed_from_pipeline	
no_size_penalty	AUROC	1.0	0.0	4	computed_from_pipeline	
no_size_penalty	AUPRC	1.0	0.0	4	computed_from_pipeline	
no_size_penalty	balanced_accuracy	1.0	0.0	4	computed_from_pipeline	
no_size_penalty	MCC	1.0	0.0	4	computed_from_pipeline	
no_size_penalty	F1	1.0	0.0	4	computed_from_pipeline	
no_size_penalty	ECE	0.0002512632594452488	0.00034325121846157883	4	computed_from_pipeline	
no_size_penalty	Brier	6.296094126118609e-06	1.0754510854689253e-05	4	computed_from_pipeline	
compact_module	AUROC	1.0	0.0	4	computed_from_pipeline	
compact_module	AUPRC	1.0	0.0	4	computed_from_pipeline	
compact_module	balanced_accuracy	1.0	0.0	4	computed_from_pipeline	
compact_module	MCC	1.0	0.0	4	computed_from_pipeline	
compact_module	F1	1.0	0.0	4	computed_from_pipeline	
compact_module	ECE	6.632278991544639e-05	8.196422248409151e-05	4	computed_from_pipeline	
compact_module	Brier	8.519051717606679e-08	1.4340860711820592e-07	4	computed_from_pipeline	
