AUROC	AUPRC	balanced_accuracy	accuracy	MCC	F1	sensitivity	specificity	PPV	NPV	Brier	ECE	calibration_slope	calibration_intercept	endpoint	stratum	evaluation	cohort	model_name	n_samples	n_responders	n_nonresponders	selected_model	threshold	inner_mean_AUROC	inner_mean_AUPRC	inner_mean_balanced_accuracy	selection_score	train_cohorts
0.6565217391304348	0.634047619047619	0.5521739130434783	0.45454545454545453	0.1076763804116331	0.47058823529411764	0.8	0.30434782608695654	0.3333333333333333	0.7777777777777778	0.2361106108444671	0.2446158489293604	1.5446528018796322	-0.9095417370831825	strict_recist	melanoma_anti_pd1_primary	LODO	GSE91061	EcoNiche-Opt-ModulePrior	33	10	23	module_positive_composite	0.4372470290231186	0.5952995201679412	0.5973401494150521	0.6139126662810874	0.6558621609527481	GSE78220,GSE168204,GSE115821,GSE145996,PRJEB23709_PD1_PRE
0.6086956521739131	0.3761800445856174	0.4478260869565217	0.5454545454545454	-0.1076763804116331	0.21052631578947367	0.2	0.6956521739130435	0.2222222222222222	0.6666666666666666	0.24104378957428305	0.23244337479514993	0.33399581604310347	-0.7211119188046559	strict_recist	melanoma_anti_pd1_primary	LODO	GSE91061	EcoNiche-Opt-WordFullGraph	33	10	23	word_full_graph	0.5665062769855063	0.48993750401645136	0.579564748252683	0.499872276845961	0.6269085339887277	GSE78220,GSE168204,GSE115821,GSE145996,PRJEB23709_PD1_PRE
0.6043478260869566	0.5204519067178913	0.5782608695652174	0.7272727272727273	0.2502172968684897	0.3076923076923077	0.2	0.9565217391304348	0.6666666666666666	0.7333333333333333	0.2076660076784512	0.1489314213215888	1.1879367575454631	-0.4247435717051582	strict_recist	melanoma_anti_pd1_primary	LODO	GSE91061	EcoNiche-Opt-WordNoInteraction	33	10	23	word_no_interaction	0.5664654353787819	0.5711136816399974	0.6230782809415755	0.5175595238095239	0.5922572512783285	GSE78220,GSE168204,GSE115821,GSE145996,PRJEB23709_PD1_PRE
0.5652173913043479	0.43100493168404885	0.5695652173913044	0.6363636363636364	0.1391304347826087	0.4	0.4	0.7391304347826086	0.4	0.7391304347826086	0.24605029946633428	0.16744662178167274	0.38432497457199144	-0.7933305871848093	strict_recist	melanoma_anti_pd1_primary	LODO	GSE91061	EcoNiche-Opt-WordUnsignedGraph	33	10	23	word_unsigned_graph	0.519817625935076	0.44473207591628644	0.5110815089224287	0.5273011856564488	0.5833353832999255	GSE78220,GSE168204,GSE115821,GSE145996,PRJEB23709_PD1_PRE
0.6086956521739131	0.3761800445856174	0.4478260869565217	0.5454545454545454	-0.1076763804116331	0.21052631578947367	0.2	0.6956521739130435	0.2222222222222222	0.6666666666666666	0.24104378957428305	0.23244337479514993	0.33399581604310347	-0.7211119188046559	strict_recist	melanoma_anti_pd1_primary	LODO	GSE91061	EcoNiche-Opt-WordNoBioObjective	33	10	23	word_no_bio_objective	0.5665062769855063	0.48993750401645136	0.579564748252683	0.499872276845961	0.43600220742021195	GSE78220,GSE168204,GSE115821,GSE145996,PRJEB23709_PD1_PRE
0.34615384615384615	0.46006145572793167	0.3791208791208791	0.37037037037037035	-0.27564680606792347	0.19047619047619047	0.14285714285714285	0.6153846153846154	0.2857142857142857	0.4	0.31737742371316746	0.26495550525083106	-0.9220759790672486	-0.3387004162883898	strict_recist	melanoma_anti_pd1_primary	LODO	GSE78220	EcoNiche-Opt-ModulePrior	27	14	13	word_full_graph	0.4445736106751205	0.6363354945334352	0.598320325449243	0.5167121154335114	0.7988068680167859	GSE91061,GSE168204,GSE115821,GSE145996,PRJEB23709_PD1_PRE
0.34615384615384615	0.46006145572793167	0.3791208791208791	0.37037037037037035	-0.27564680606792347	0.19047619047619047	0.14285714285714285	0.6153846153846154	0.2857142857142857	0.4	0.31737742371316746	0.26495550525083106	-0.9220759790672486	-0.3387004162883898	strict_recist	melanoma_anti_pd1_primary	LODO	GSE78220	EcoNiche-Opt-WordFullGraph	27	14	13	word_full_graph	0.4445736106751205	0.6363354945334352	0.598320325449243	0.5167121154335114	0.7988068680167859	GSE91061,GSE168204,GSE115821,GSE145996,PRJEB23709_PD1_PRE
0.3846153846153846	0.5094552746590129	0.4560439560439561	0.4444444444444444	-0.11308055883843512	0.21052631578947367	0.14285714285714285	0.7692307692307693	0.4	0.45454545454545453	0.28212283869613985	0.20582381242548967	-0.7152683752878275	-0.21146784652210907	strict_recist	melanoma_anti_pd1_primary	LODO	GSE78220	EcoNiche-Opt-WordNoInteraction	27	14	13	word_no_interaction	0.46854287522080657	0.6323885498771082	0.6290367729164167	0.5266812865497077	0.6847626672744397	GSE91061,GSE168204,GSE115821,GSE145996,PRJEB23709_PD1_PRE
0.48901098901098894	0.5522574731033377	0.4807692307692308	0.48148148148148145	-0.038461538461538464	0.5	0.5	0.46153846153846156	0.5	0.46153846153846156	0.28825665134563405	0.2836065793964625	-0.2138751212292088	0.05348195954971258	strict_recist	melanoma_anti_pd1_primary	LODO	GSE78220	EcoNiche-Opt-WordUnsignedGraph	27	14	13	word_unsigned_graph	0.45769252839164304	0.5586467073480804	0.5433194093416146	0.5218846936181032	0.7076319416282862	GSE91061,GSE168204,GSE115821,GSE145996,PRJEB23709_PD1_PRE
0.34615384615384615	0.46006145572793167	0.3791208791208791	0.37037037037037035	-0.27564680606792347	0.19047619047619047	0.14285714285714285	0.6153846153846154	0.2857142857142857	0.4	0.31737742371316746	0.26495550525083106	-0.9220759790672486	-0.3387004162883898	strict_recist	melanoma_anti_pd1_primary	LODO	GSE78220	EcoNiche-Opt-WordNoBioObjective	27	14	13	word_no_bio_objective	0.4445736106751205	0.6363354945334352	0.598320325449243	0.5167121154335114	0.6215730766364064	GSE91061,GSE168204,GSE115821,GSE145996,PRJEB23709_PD1_PRE
